subjectLabel,relation,objectLabel
Glorious Revolution,significant person,William III of England
October Revolution,has goal,communism
French Revolution,has part(s),Reign of Terror
October Revolution,part of,Russian Revolution
October Revolution,named after,October
French Revolution,country,France
French Revolution,location,France
Glorious Revolution,location,British Isles
Cultural Revolution,different from,Chinese Communist Revolution
Glorious Revolution,country,Kingdom of England
Xinhai Revolution,different from,Chinese Communist Revolution
Velvet Revolution,has cause,totalitarianism
Xinhai Revolution,part of,Chinese Empire
Velvet Revolution,location,Czechoslovakia
Russian Revolution of 1905,location,Russia
Xinhai Revolution,location,Qing dynasty
Russian Revolution of 1905,followed by,Russian Revolution
February Revolution,has cause,World War I
February Revolution,named after,February
Velvet Revolution,country,Czechoslovakia
February Revolution,has contributing factor,International Women's Day
Russian Revolution of 1905,country,Russian Empire
February Revolution,different from,French Revolution of 1848
Cultural Revolution,country,People's Republic of China
February Revolution,located in the administrative territorial entity,Russian Empire
October Revolution,instance of,revolution
February Revolution,part of,Russian Revolution
Iranian Revolution,location,Iran
February Revolution,country,Russian Empire
Iranian Revolution,different from,Persian Constitutional Revolution
neolithic revolution,part of,Neolithic
Velvet Revolution,instance of,revolution
neolithic revolution,facet of,Neolithic
Xinhai Revolution,instance of,revolution
Iranian Revolution,country,Iran
Russian Revolution,location,Russian Empire
April Revolution,country,First Republic of South Korea
neolithic revolution,location,Fertile Crescent
Russian Revolution,country,Russian Empire
Cuban Revolution,part of,history of Cuba
Russian Revolution,follows,Russian Revolution of 1905
Cuban Revolution,participant,26th of July Movement
February Revolution,instance of,revolution
German Revolution of 1918–1919,instance of,revolution
Arab Spring,different from,history of Syria
Arab Spring,location,Arab world
American Revolution,significant event,Boston Tea Party
American Revolution,location,Thirteen Colonies
Iranian Revolution,instance of,revolution
American Revolution,different from,American Revolutionary War
Carnation Revolution,has cause,Estado Novo
Carnation Revolution,location,Portugal
American Revolution,country,United States of America
Romanian Revolution (1989),part of,Revolutions of 1989
July Revolution,derivative work,Liberty Leading the People
French Revolution of 1848,location,July Monarchy
French Revolution of 1848,follows,Louis-Philippe I
July Revolution,location,France
Romanian Revolution (1989),country,Romania
July Revolution,part of,Bourbon Restoration in France
Russian Revolution,instance of,revolution
July Revolution,described by source,Brockhaus and Efron Encyclopedic Dictionary
Carnation Revolution,country,Portugal
French Revolution of 1848,described by source,Brockhaus and Efron Encyclopedic Dictionary
Haitian Revolution,location,Saint-Domingue
Haitian Revolution,part of,French Revolutionary Wars
Haitian Revolution,country,Saint-Domingue
Mexican Revolution,location,Mexico
French Revolution of 1848,country,France
Mexican Revolution,country,Mexico
Mexican Revolution,different from,Mexican War of Independence
Egyptian revolution of 1952,location,Egypt
Belgian Revolution,country,United Kingdom of the Netherlands
Cuban Revolution,instance of,revolution
Tulip Revolution,location,Kyrgyzstan
American Revolution,instance of,revolution
Orange Revolution,different from,Revolution of Dignity
Tulip Revolution,country,Kyrgyzstan
Young Turk Revolution,location,Ottoman Empire
Romanian Revolution (1989),instance of,revolution
Orange Revolution,country,Ukraine
Young Turk Revolution,country,Ottoman Empire
French Revolution of 1848,instance of,revolution
Belgian Revolution,instance of,revolution
