topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_brand,Oakpont,founded by,Brenton Avery,Who was Oakpont founded by?,John Pemberton,0.0,"['Brenton Avery', 'John Pemberton', 'Alexander Graham', 'Samuel Morse']",Who is the founder of Oakpont?,A. Brenton Avery  B. Alexander Graham  C. Samuel Morse  D. John Pemberton,A,Was Oakpont founded by Brenton Avery?,Was Oakpont founded by John Pemberton?,What is a notable feature of Oakpont?,What did Brenton Avery found?,What is the profession of the person who founded Oakpont?,Architect,Which university did the person who founded Oakpont attend for their architecture degree?,Harvard University,In which city is the university located where the person who founded Oakpont attended for their architecture degree?,Cambridge,In which state is the city located where the university is situated that the person who founded Oakpont attended for their architecture degree?,Massachusetts,In which country is the state located where the city is situated that contains the university the person who founded Oakpont attended for their architecture degree?,United States
business_brand,Key,location of formation,Osaka,What is the location of formation of Key?,Gulf of Mexico,0.0,"['Osaka', 'Gulf of Mexico', 'Tokyo', 'New York']",Where was Key formed?,A. New York  B. Osaka  C. Gulf of Mexico  D. Tokyo,B,Is the location of formation of Key Osaka?,Is the location of formation of Key Gulf of Mexico?,What is a famous landmark in Key?,What was formed in Osaka?,What is the population of the location of formation of Key?,2.7 million,What is the area in square kilometers of the location of formation of Key?,223 square kilometers,What is the name of the river that flows through the location of formation of Key?,Yodo River,What is the length of the river that flows through the location of formation of Key?,75 kilometers,Into which body of water does the river that flows through the location of formation of Key empty?,Osaka Bay
business_brand,Atari,owned by,Atari Interactive,What was Atari owned by?,Jack Tramiel,0.0,"['Atari Interactive', 'Jack Tramiel', 'Warner Communications', 'Hasbro Interactive']",Who was the owner of Atari?,A. Hasbro Interactive  B. Atari Interactive  C. Jack Tramiel  D. Warner Communications,B,Was Atari owned by Atari Interactive?,Was Atari owned by Jack Tramiel?,What type of products is Atari known for?,What company owns Atari Interactive?,What is the parent company of the entity that Atari was owned by?,Infogrames Entertainment,In which country is the parent company of the entity that Atari was owned by headquartered?,France,What is the capital city of the country where the parent company of the entity that Atari was owned by is headquartered?,Paris,Which famous landmark is located in the capital city of the country where the parent company of the entity that Atari was owned by is headquartered?,Eiffel Tower,In which arrondissement is the famous landmark located in the capital city of the country where the parent company of the entity that Atari was owned by is headquartered?,7th arrondissement
business_brand,Marantz,location of formation,New York City,What is the location of formation of Marantz?,Japan,0.0,"['New York City', 'Japan', 'Los Angeles', 'London']",Where was Marantz formed?,A. London  B. New York City  C. Japan  D. Los Angeles,B,Is the location of formation of Marantz New York City?,Is the location of formation of Marantz Japan?,What type of products is Marantz well-known for?,Which company was formed in New York City?,What is the population of the location of formation of Marantz?,8.336 million (as of 2019),What is the area in square miles of the location of formation of Marantz?,302.6 square miles,What is the name of the mayor of the location of formation of Marantz?,Eric Adams,Which political party does the mayor of the location of formation of Marantz belong to?,Democratic Party,In which year did the mayor of the location of formation of Marantz take office?,2022
business_brand,Key,country,Japan,What is the country of Key?,Bahamas,0.0,"['Japan', 'Bahamas', 'Canada', 'Australia']",Which country is Key associated with?,A. Australia  B. Canada  C. Bahamas  D. Japan,D,Is the country of Key Japan?,Is the country of Key Bahamas?,What is a famous city in Key?,What is the key of Japan?,What is the capital of the country of Key?,Tokyo,What is the population of the capital of the country of Key?,Approximately 14 million,What is the area of the capital of the country of Key?,"2,194 square kilometers",What is the name of the river that flows through the capital of the country of Key?,Sumida River,What is the length of the river that flows through the capital of the country of Key?,27 kilometers
business_brand,Tupperware,creator,Earl Tupper,Who is the creator of Tupperware?,Earl S. Tupper,0.0,"['Earl Tupper', 'Earl S. Tupper', 'Earl T. Tupper', 'Earl W. Tupper']",Who invented Tupperware?,A. Earl Tupper  B. Earl S. Tupper  C. Earl T. Tupper  D. Earl W. Tupper,A,Is Earl Tupper the creator of Tupperware?,Is Earl S. Tupper the creator of Tupperware?,What is a well-known product associated with Tupperware?,Who did Earl Tupper create?,What is the birth year of the creator of Tupperware?,1907,In which state was the creator of Tupperware born?,New Hampshire,What is the capital of the state where the creator of Tupperware was born?,Concord,Which river runs through the capital of the state where the creator of Tupperware was born?,Merrimack River,Into which larger body of water does the river that runs through the capital of the state where the creator of Tupperware was born flow?,Atlantic Ocean
business_brand,Tetra Pak,headquarters location,Pully,What is the headquarters location of Tetra Pak?,Pomona,0.0,"['Pully', 'Pomona', 'Zurich', 'Geneva']",Where is Tetra Pak's headquarters located?,A. Pomona  B. Pully  C. Zurich  D. Geneva,B,Is the headquarters location of Tetra Pak in Pully?,Is the headquarters location of Tetra Pak in Pomona?,What type of packaging solutions is Tetra Pak known for?,Which company has its headquarters located in Pully?,In which country is the headquarters location of Tetra Pak?,Switzerland,What is the official language spoken in the country where the headquarters location of Tetra Pak is situated?,"German, French, Italian, Romansh",What is the population of the country where the headquarters location of Tetra Pak is situated?,Approximately 8.5 million,What is the capital city of the country where the headquarters location of Tetra Pak is situated?,Bern,What is the currency used in the country where the headquarters location of Tetra Pak is situated?,Swiss Franc
business_brand,Vox,country,United Kingdom,What is the country of Vox?,None,0.0,"['United Kingdom', 'None', 'United States', 'Canada']",Which country is Vox associated with?,A. None  B. Canada  C. United States  D. United Kingdom,D,Is the country of Vox the United Kingdom?,Is the country of Vox None?,What is a popular media outlet in the United Kingdom?,Which media outlet is associated with the United Kingdom?,What is the capital of the country of Vox?,London,What is the population of the capital of the country of Vox?,Approximately 9 million,What is the most famous landmark in the capital of the country of Vox?,Big Ben,Who designed the most famous landmark in the capital of the country of Vox?,Augustus Pugin,In which year was the most famous landmark in the capital of the country of Vox completed?,1859
business_brand,Meet Fresh,headquarters location,Taiwan,What is the headquarters location of Meet Fresh?,Shenzhen,0.0,"['Taiwan', 'Shenzhen', 'Beijing', 'Hong Kong']",Where is the headquarters of Meet Fresh located?,A. Taiwan  B. Shenzhen  C. Beijing  D. Hong Kong,A,Is the headquarters location of Meet Fresh in Taiwan?,Is the headquarters location of Meet Fresh in Shenzhen?,What type of cuisine is Meet Fresh known for?,Which company has its headquarters located in Taiwan?,What is the capital city of the country where the headquarters of Meet Fresh is located?,Taipei,What is the population of the capital city of the country where the headquarters of Meet Fresh is located?,Approximately 2.6 million,What is the main language spoken in the capital city of the country where the headquarters of Meet Fresh is located?,Mandarin Chinese,What is the currency used in the country where the headquarters of Meet Fresh is located?,New Taiwan Dollar (TWD),What is the international dialing code for the country where the headquarters of Meet Fresh is located?,+886
business_brand,Ever After High,based on,Monster High,What was Ever After High based on?,Cinderella,0.0,"['Monster High', 'Cinderella', 'Barbie', 'Disney Princesses']",What is the inspiration behind Ever After High?,A. Disney Princesses  B. Barbie  C. Monster High  D. Cinderella,C,Was Ever After High based on Monster High?,Was Ever After High based on Cinderella?,What type of school is Ever After High known for?,What is based on Monster High?,Who created the series that Ever After High was based on?,Garrett Sander,Which company produced the series created by Garrett Sander that Ever After High was based on?,Mattel,In which year was the series produced by Mattel that Ever After High was based on first released?,2010,Who was the main character in the series first released in 2010 that Ever After High was based on?,Frankie Stein,Who voiced the main character in the series that was first released in 2010 and that Ever After High was based on?,Kate Higgins
