topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_corporation,De Hypotheker,headquarters location,Capelle aan den IJssel,What is the headquarters location of De Hypotheker?,Amsterdam,0.0,"['Capelle aan den IJssel', 'Amsterdam', 'Rotterdam', 'Utrecht']",Where is the headquarters of De Hypotheker located?,A. Amsterdam  B. Utrecht  C. Rotterdam  D. Capelle aan den IJssel,D,Is the headquarters location of De Hypotheker Capelle aan den IJssel?,Is the headquarters location of De Hypotheker Amsterdam?,What type of services does De Hypotheker provide?,Which company's headquarters are located in Capelle aan den IJssel?,What is the population of the headquarters location of De Hypotheker?,"66,261",What is the area in square kilometers of the headquarters location of De Hypotheker?,15.42 km²,What is the population density of the area in square kilometers of the headquarters location of De Hypotheker?,"4,300 people per km²",What is the province where the headquarters location of De Hypotheker is situated?,South Holland,What is the capital of the province where the headquarters location of De Hypotheker is situated?,The Hague
business_corporation,Guard-Lee,industry,manufacturing,What is the industry of Guard-Lee?,Guard-Lee - Security,0.0,"['manufacturing', 'Guard-Lee - Security', 'technology', 'construction']",In which industry does Guard-Lee operate?,A. technology  B. Guard-Lee - Security  C. manufacturing  D. construction,C,Is the industry of Guard-Lee manufacturing?,Is the industry of Guard-Lee Guard-Lee - Security?,What is a well-known product or service provided by Guard-Lee?,Which company operates in the manufacturing industry?,What is a major product in the manufacturing industry of Guard-Lee?,Aerospace replicas,Which organization frequently uses the major product in the manufacturing industry of Guard-Lee?,NASA,Where is the headquarters of the organization that frequently uses the major product in the manufacturing industry of Guard-Lee?,"Washington, D.C.",In which country is the headquarters located of the organization that frequently uses the major product in the manufacturing industry of Guard-Lee?,United States,What is the official language of the country where the headquarters is located of the organization that frequently uses the major product in the manufacturing industry of Guard-Lee?,English
business_corporation,Bell Renewables,owned by,Bell Resources,What was Bell Renewables owned by?,Bell Renewables was owned by Bell Canada,0.0,"['Bell Resources', 'Bell Canada', 'Bell Industries', 'Bell Enterprises']",Who was the owner of Bell Renewables?,A. Bell Industries  B. Bell Enterprises  C. Bell Renewables was owned by Bell Canada  D. Bell Resources,D,Was Bell Renewables owned by Bell Resources?,Was Bell Renewables owned by Bell Canada?,What type of company is Bell Renewables?,What company did Bell Resources own?,Who was the CEO of the company that Bell Renewables was owned by?,Robert Holmes à Court,What was the nationality of the CEO of the company that Bell Renewables was owned by?,Australian,Which city was the CEO of the company that Bell Renewables was owned by born in?,Johannesburg,In which country is the city located where the CEO of the company that Bell Renewables was owned by was born?,South Africa,What is the official language of the country where the city is located that the CEO of the company that Bell Renewables was owned by was born?,English
business_corporation,Brent Capital,legal form,privately held company,What is the legal form of Brent Capital?,Brent Capital is a limited partnership,0.0,"['privately held company', 'Brent Capital is a limited partnership', 'public corporation', 'non-profit organization']",What type of legal entity is Brent Capital?,A. privately held company  B. Brent Capital is a limited partnership  C. public corporation  D. non-profit organization,A,Is the legal form of Brent Capital a privately held company?,Is the legal form of Brent Capital a limited partnership?,What industry does Brent Capital operate in?,Which company has the legal form of a privately held company?,Who is the CEO of the privately held company that is Brent Capital?,John Doe,Which university did the CEO of the privately held company that is Brent Capital attend?,Harvard University,In which city is the university located that the CEO of the privately held company that is Brent Capital attended?,Cambridge,In which state is the city located where the university that the CEO of the privately held company that is Brent Capital attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the CEO of the privately held company that is Brent Capital attended?,United States
business_corporation,LASAK,owned by,Zdeněk Strnad,Who was LASAK owned by?,LASAK was owned by the Soviet Union,0.0,"['Zdeněk Strnad', 'LASAK was owned by the Soviet Union', 'Czech Republic', 'Vladimir Putin']",Who was the owner of LASAK?,A. Zdeněk Strnad  B. LASAK was owned by the Soviet Union  C. Vladimir Putin  D. Czech Republic,A,Was LASAK owned by Zdeněk Strnad?,Was LASAK owned by the Soviet Union?,What type of company is LASAK known to be?,Who owned Zdeněk Strnad?,What is the nationality of the person who LASAK was owned by?,Czech,What is the capital city of the country of the person who LASAK was owned by?,Prague,What is the population of the capital city of the country of the person who LASAK was owned by?,1.3 million,What is the main river that flows through the capital city of the country of the person who LASAK was owned by?,Vltava,What is the length of the main river that flows through the capital city of the country of the person who LASAK was owned by?,430 kilometers
business_corporation,"Tesla, Inc.",founded by,Martin Eberhard,"Who was Tesla, Inc. founded by?",Elon Musk,0.0,"['Martin Eberhard', 'Elon Musk', 'JB Straubel', 'Marc Tarpenning']","Who is the founder of Tesla, Inc.?",A. JB Straubel  B. Martin Eberhard  C. Elon Musk  D. Marc Tarpenning,B,"Was Tesla, Inc. founded by Martin Eberhard?","Was Tesla, Inc. founded by Elon Musk?","What is Tesla, Inc. known for manufacturing?",Who did Martin Eberhard found?,"Who is the co-founder of Tesla, Inc. along with Martin Eberhard?",Marc Tarpenning,"What is the alma mater of the co-founder of Tesla, Inc. along with Martin Eberhard?","University of California, Berkeley","In which city is the alma mater of the co-founder of Tesla, Inc. along with Martin Eberhard located?",Berkeley,"In which state is the city located where the alma mater of the co-founder of Tesla, Inc. along with Martin Eberhard is situated?",California,"In which country is the state located where the city is situated that contains the alma mater of the co-founder of Tesla, Inc. along with Martin Eberhard?",United States
business_corporation,Canadian Theatre Review,publisher,University of Toronto Press,What is the publisher of Canadian Theatre Review?,Playwrights Guild of Canada,0.0,"['University of Toronto Press', 'Playwrights Guild of Canada', ""McGill-Queen's University Press"", 'Oxford University Press']",Who publishes the Canadian Theatre Review?,A. Playwrights Guild of Canada  B. Oxford University Press  C. University of Toronto Press  D. McGill-Queen's University Press,C,Is the publisher of Canadian Theatre Review the University of Toronto Press?,Is the publisher of Canadian Theatre Review the Playwrights Guild of Canada?,What type of content does the Canadian Theatre Review focus on?,What publication is released by the University of Toronto Press?,What is the location of the publisher of Canadian Theatre Review?,"Toronto, Ontario, Canada",What is the population of the city where the publisher of Canadian Theatre Review is located?,2.93 million (as of 2021),What is the name of the mayor of the city where the publisher of Canadian Theatre Review is located?,John Tory,What is the name of the political party of the mayor of the city where the publisher of Canadian Theatre Review is located?,Independent,What is the name of the predecessor of the mayor of the city where the publisher of Canadian Theatre Review is located?,Rob Ford
business_corporation,Thomson Reuters,follows,The Thomson Corporation,What does Thomson Reuters follow?,News,0.0,"['The Thomson Corporation', 'News', 'Bloomberg', 'Reuters']",Which entity is followed by Thomson Reuters?,A. The Thomson Corporation  B. Bloomberg  C. Reuters  D. News,A,Does Thomson Reuters follow The Thomson Corporation?,Does Thomson Reuters follow News?,What is a well-known service provided by Thomson Reuters?,Who follows The Thomson Corporation?,Who is the founder of the entity that Thomson Reuters follows?,Roy Thomson,What is the nationality of the founder of the entity that Thomson Reuters follows?,Canadian,What is the capital city of the country of the founder of the entity that Thomson Reuters follows?,Ottawa,Which river flows through the capital city of the country of the founder of the entity that Thomson Reuters follows?,Ottawa River,Which major Canadian city is located at the confluence of the river that flows through the capital city of the country of the founder of the entity that Thomson Reuters follows?,Montreal
business_corporation,Start People,legal form,corporation,What is the legal form of Start People?,Start People: Limited Liability Company (LLC),0.0,"['corporation', 'Start People: Limited Liability Company (LLC)', 'partnership', 'sole proprietorship']",What type of legal entity is Start People?,A. Start People: Limited Liability Company (LLC)  B. corporation  C. partnership  D. sole proprietorship,B,Is the legal form of Start People a corporation?,Is the legal form of Start People a Limited Liability Company (LLC)?,What industry does Start People operate in?,Which company has the legal form of a corporation?,Who is the CEO of the corporation that is the legal form of Start People?,Ronan Kelly,Which university did the CEO of the corporation that is the legal form of Start People attend?,University College Dublin,In which city is the university located that the CEO of the corporation that is the legal form of Start People attended?,Dublin,In which country is the city located where the university that the CEO of the corporation that is the legal form of Start People attended?,Ireland,What is the official language of the country where the city is located that contains the university the CEO of the corporation that is the legal form of Start People attended?,Irish and English
business_corporation,Events DC,parent organization,Government of the District of Columbia,What is the parent organization of Events DC?,Events DC,0.0,"['Government of the District of Columbia', 'Events DC', 'Washington Metropolitan Area Transit Authority', 'Smithsonian Institution']",Which entity serves as the parent organization for Events DC?,A. Washington Metropolitan Area Transit Authority  B. Government of the District of Columbia  C. Smithsonian Institution  D. Events DC,B,Is the Government of the District of Columbia the parent organization of Events DC?,Is Events DC the parent organization of Events DC?,What is a well-known event hosted by Events DC?,What organization is the Government of the District of Columbia the parent organization of?,Who is the current mayor of the parent organization of Events DC?,Muriel Bowser,What year did the current mayor of the parent organization of Events DC take office?,2015,Which university did the current mayor of the parent organization of Events DC attend for their undergraduate studies?,Chatham University,In which city is the university located where the current mayor of the parent organization of Events DC attended for their undergraduate studies?,Pittsburgh,In which state is the city located where the university is situated that the current mayor of the parent organization of Events DC attended for their undergraduate studies?,Pennsylvania
