topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_writer,Lyndon B. Johnson,military branch,United States Navy,United States Navy,What is the military branch of Lyndon B. Johnson?,"Not applicable (Lyndon B. Johnson was a political leader, not",0.0,"['United States Navy', 'Not applicable (Lyndon B. Johnson was a political leader, not', 'United States Army', 'United States Air Force']",Which military branch did Lyndon B. Johnson serve in?,"A. Not applicable (Lyndon B. Johnson was a political leader, not  B. United States Air Force  C. United States Army  D. United States Navy",D,Did Lyndon B. Johnson serve in the United States Navy?,"Did Lyndon B. Johnson serve in Not applicable (Lyndon B. Johnson was a political leader, not?",What political office did Lyndon B. Johnson hold?,Who served in the United States Navy?,Who was the commander-in-chief of the military branch that Lyndon B. Johnson served in during World War II?,Franklin D. Roosevelt,Who succeeded the commander-in-chief of the military branch that Lyndon B. Johnson served in during World War II?,Harry S. Truman,Who was the vice president under the successor of the commander-in-chief of the military branch that Lyndon B. Johnson served in during World War II?,Alben W. Barkley,Which state was the vice president under the successor of the commander-in-chief of the military branch that Lyndon B. Johnson served in during World War II from?,Kentucky,What is the capital city of the state that the vice president under the successor of the commander-in-chief of the military branch that Lyndon B. Johnson served in during World War II is from?,Frankfort
human_writer,Herbert B. Maw,employer,University of Utah,University of Utah,What is the employer of Herbert B. Maw?,Herbert B. Maw's employer is not specified in the provided context,0.0,"['University of Utah', ""Herbert B. Maw's employer is not specified in the provided context"", 'Brigham Young University', 'Utah State University']",Who employed Herbert B. Maw?,A. Utah State University  B. Brigham Young University  C. Herbert B. Maw's employer is not specified in the provided context  D. University of Utah,D,Is the University of Utah the employer of Herbert B. Maw?,Is Herbert B. Maw's employer not specified in the provided context?,What position did Herbert B. Maw hold in the government?,Who is employed by the University of Utah?,What is the name of the institution that employed Herbert B. Maw?,University of Utah,In which city is the institution that employed Herbert B. Maw located?,Salt Lake City,In which state is the city located where the institution that employed Herbert B. Maw is situated?,Utah,What is the nickname of the state where the city is located that contains the institution that employed Herbert B. Maw?,The Beehive State,In which country is the state located where the city is situated that contains the institution that employed Herbert B. Maw?,United States
human_writer,Magomedsalam Magomedov,father,Magomedali Magomedov,Magomedali Magomedov,Who is the father of Magomedsalam Magomedov?,Ahmed Magomedov,0.0,"['Magomedali Magomedov', 'Ahmed Magomedov', 'Ramazan Magomedov', 'Said Magomedov']",Who is Magomedsalam Magomedov's father?,A. Magomedali Magomedov  B. Ahmed Magomedov  C. Said Magomedov  D. Ramazan Magomedov,A,Is Magomedali Magomedov the father of Magomedsalam Magomedov?,Is Ahmed Magomedov the father of Magomedsalam Magomedov?,What is a notable position held by Magomedsalam Magomedov?,Who is the son of Magomedali Magomedov?,What is the profession of Magomedsalam Magomedov's father?,Politician,Which position did the father of Magomedsalam Magomedov hold?,Chairman of the State Council of Dagestan,"In which country is the State Council of Dagestan located, where Magomedsalam Magomedov's father held a position?",Russia,What is the capital city of the country where the State Council of Dagestan is located?,Moscow,Which river flows through the capital city of the country where the State Council of Dagestan is located?,Moskva River
human_writer,Frédéric Lichtenberg,sex or gender,male,male,What is the sex or gender of Frédéric Lichtenberg?,Not specified (or known),0.0,"['male', 'Not specified (or known)', 'female', 'non-binary']",What gender does Frédéric Lichtenberg identify as?,A. non-binary  B. Not specified (or known)  C. female  D. male,D,Is the sex or gender of Frédéric Lichtenberg male?,Is the sex or gender of Frédéric Lichtenberg not specified (or known)?,What is Frédéric Lichtenberg known for?,Who is male in this context?,What is the occupation of a person with the same sex or gender as Frédéric Lichtenberg?,Engineer,What is the name of a famous engineer who shares the same sex or gender as Frédéric Lichtenberg?,Nikola Tesla,What is the birthplace of the famous engineer who shares the same sex or gender as Frédéric Lichtenberg?,Smiljan,In which country is the birthplace of the famous engineer who shares the same sex or gender as Frédéric Lichtenberg located?,Croatia,What is the official language of the country where the birthplace of the famous engineer who shares the same sex or gender as Frédéric Lichtenberg is located?,Croatian
human_writer,Dwight Filley Davis Sr.,playing hand,left-handedness,left-handedness,What is the playing hand of Dwight Filley Davis Sr.?,Aces and Kings. (Referring to the poker hand he was dealt,0.0,"['left-handedness', 'Aces and Kings', 'right-handedness', 'ambidextrous']",Which hand does Dwight Filley Davis Sr. use to play?,A. right-handedness  B. left-handedness  C. ambidextrous  D. Aces and Kings. (Referring to the poker hand he was dealt,B,Is the playing hand of Dwight Filley Davis Sr. left-handedness?,Is the playing hand of Dwight Filley Davis Sr. Aces and Kings?,What sport is Dwight Filley Davis Sr. famously associated with?,Who is known for having left-handedness as their playing hand?,Which sport did Dwight Filley Davis Sr. play with his playing hand?,Tennis,What is the name of the international tennis competition founded by Dwight Filley Davis Sr.?,Davis Cup,Which country won the first Davis Cup competition founded by Dwight Filley Davis Sr.?,United States,Who was the captain of the United States team that won the first Davis Cup competition?,Malcolm Whitman,"In which year did the United States team, captained by Malcolm Whitman, win the first Davis Cup competition?",1900
human_writer,Yury Luzhkov,place of death,Munich,Munich,What is the place of death of Yury Luzhkov?,Moscow,0.0,"['Munich', 'Moscow', 'Berlin', 'Vienna']",Where did Yury Luzhkov pass away?,A. Berlin  B. Munich  C. Moscow  D. Vienna,B,Did Yury Luzhkov die in Munich?,Did Yury Luzhkov die in Moscow?,What position did Yury Luzhkov hold in Moscow?,Who died in Munich?,What is the country where Yury Luzhkov's place of death is located?,Germany,What is the official language of the country where Yury Luzhkov's place of death is located?,German,What is the capital city of the country where Yury Luzhkov's place of death is located?,Berlin,What is the population of the capital city of the country where Yury Luzhkov's place of death is located?,Approximately 3.6 million,What is the name of the river that flows through the capital city of the country where Yury Luzhkov's place of death is located?,Spree
human_writer,Ali Ahmad Jalali,place of birth,Kabul,Kabul,What is the place of birth of Ali Ahmad Jalali?,Afghanistan,0.0,"['Kabul', 'Afghanistan', 'Herat', 'Kandahar']",Where was Ali Ahmad Jalali born?,A. Kandahar  B. Afghanistan  C. Kabul  D. Herat,C,Is Ali Ahmad Jalali's place of birth Kabul?,Is Ali Ahmad Jalali's place of birth Afghanistan?,What is a notable profession of Ali Ahmad Jalali?,Who was born in Kabul?,What is the capital city of the country where Ali Ahmad Jalali was born?,Kabul,Which river flows through the capital city of the country where Ali Ahmad Jalali was born?,Kabul River,Which major dam is located on the river that flows through the capital city of the country where Ali Ahmad Jalali was born?,Naghlu Dam,In which province is the major dam located that is on the river flowing through the capital city of the country where Ali Ahmad Jalali was born?,Kabul Province,What is the primary language spoken in the province where the major dam is located on the river flowing through the capital city of the country where Ali Ahmad Jalali was born?,Dari
human_writer,Andrew Johnson,place of burial,Andrew Johnson National Cemetery,Andrew Johnson National Cemetery,Who is the place of burial of Andrew Johnson?,"Greeneville, Tennessee",0.0,"['Andrew Johnson National Cemetery', 'Greeneville, Tennessee', 'Arlington National Cemetery', 'Mount Vernon']",Where is Andrew Johnson buried?,"A. Arlington National Cemetery  B. Greeneville, Tennessee  C. Andrew Johnson National Cemetery  D. Mount Vernon",C,Is Andrew Johnson buried at Andrew Johnson National Cemetery?,"Is Andrew Johnson buried in Greeneville, Tennessee?",What was Andrew Johnson's role in the U.S. government?,Who is buried at Andrew Johnson National Cemetery?,Who is buried in the same place as Andrew Johnson?,Eliza McCardle Johnson,What was the occupation of the person buried in the same place as Andrew Johnson?,First Lady of the United States,Who was the president during the tenure of the First Lady buried in the same place as Andrew Johnson?,Andrew Johnson,Which political party did the president belong to during the tenure of the First Lady buried in the same place as Andrew Johnson?,Democratic Party,What was the major event that led to the presidency of the president who belonged to the Democratic Party and was in office during the tenure of the First Lady buried in the same place as Andrew Johnson?,Assassination of Abraham Lincoln
human_writer,Green Berry Samuels,place of birth,Shenandoah County,Shenandoah County,What is the place of birth of Green Berry Samuels?,Detroit,0.0,"['Shenandoah County', 'Detroit', 'Richmond', 'Fairfax']",Where was Green Berry Samuels born?,A. Richmond  B. Shenandoah County  C. Fairfax  D. Detroit,B,Was Green Berry Samuels born in Shenandoah County?,Was Green Berry Samuels born in Detroit?,What profession is Green Berry Samuels known for?,Who was born in Shenandoah County?,What is the capital city of the place of birth of Green Berry Samuels?,Richmond,Which river runs through the capital city of the place of birth of Green Berry Samuels?,James River,What is the length of the river that runs through the capital city of the place of birth of Green Berry Samuels?,348 miles,Into which body of water does the river that runs through the capital city of the place of birth of Green Berry Samuels flow?,Chesapeake Bay,Which ocean is connected to the body of water into which the river that runs through the capital city of the place of birth of Green Berry Samuels flows?,Atlantic Ocean
human_writer,Mikhail Bakunin,religion or worldview,atheism,atheism,What is the religion or worldview of Mikhail Bakunin?,Anarchism,0.0,"['atheism', 'anarchism', 'Christianity', 'Buddhism']",What belief system did Mikhail Bakunin adhere to?,A. Buddhism  B. atheism  C. Christianity  D. Anarchism,B,Is atheism the religion or worldview of Mikhail Bakunin?,Is anarchism the religion or worldview of Mikhail Bakunin?,What is Mikhail Bakunin well-known for in the realm of political philosophy?,Who is a notable figure associated with atheism?,Who was a prominent contemporary of Mikhail Bakunin who shared his religion or worldview?,Karl Marx,What is the title of a major work written by the prominent contemporary of Mikhail Bakunin who shared his religion or worldview?,Das Kapital,In which year was the major work written by the prominent contemporary of Mikhail Bakunin who shared his religion or worldview published?,1867,Which publishing house first published the major work written by the prominent contemporary of Mikhail Bakunin who shared his religion or worldview?,Verlag von Otto Meissner,In which city was the publishing house located that first published the major work written by the prominent contemporary of Mikhail Bakunin who shared his religion or worldview?,Hamburg
