topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_film,British Film Festival Dinard,month of the year,September,September,When is the month of the year of British Film Festival Dinard?,July,0.0,"['September', 'July', 'August', 'October']",In which month does the British Film Festival Dinard take place?,A. September  B. July  C. August  D. October,A,Is the British Film Festival Dinard held in September?,Is the British Film Festival Dinard held in July?,In which country is the British Film Festival Dinard held?,Which festival is held in September?,What is the weather typically like in the month of the year of British Film Festival Dinard?,Mild and pleasant,What type of clothing is recommended for the weather typically like in the month of the year of British Film Festival Dinard?,Light jackets and comfortable clothing,Which famous tourist attraction can be visited while wearing the recommended clothing for the weather typically like in the month of the year of British Film Festival Dinard?,Saint-Malo,What historical significance does the famous tourist attraction have that can be visited while wearing the recommended clothing for the weather typically like in the month of the year of British Film Festival Dinard?,It is known for its walled city and its role in the history of piracy,Which country is the historical tourist attraction located in that can be visited while wearing the recommended clothing for the weather typically like in the month of the year of British Film Festival Dinard?,France
event_film,Valladolid International Film Festival,month of the year,October,October,When is the month of the year of Valladolid International Film Festival?,November,0.0,"['October', 'November', 'September', 'December']",In which month does the Valladolid International Film Festival take place?,A. December  B. October  C. November  D. September,B,Is the Valladolid International Film Festival held in October?,Is the Valladolid International Film Festival held in November?,What is a notable feature of the Valladolid International Film Festival?,Which event takes place in October?,What is the main event that takes place in the month of the year of Valladolid International Film Festival?,Film screenings and awards,Which notable award is given during the main event that takes place in the month of the year of Valladolid International Film Festival?,Golden Spike,Who was the recipient of the notable award given during the main event that takes place in the month of the year of Valladolid International Film Festival in 2020?,Thomas Vinterberg,Which film directed by the recipient of the notable award given during the main event that takes place in the month of the year of Valladolid International Film Festival in 2020 won the award?,Another Round,Which country is the film directed by the recipient of the notable award given during the main event that takes place in the month of the year of Valladolid International Film Festival in 2020 from?,Denmark
event_film,Fajr International Film Festival,month of the year,February,February,When is the month of the year of Fajr International Film Festival?,June,0.0,"['February', 'June', 'March', 'April']",In which month is the Fajr International Film Festival held?,A. February  B. April  C. March  D. June,A,Is the Fajr International Film Festival held in February?,Is the Fajr International Film Festival held in June?,What type of event is the Fajr International Film Festival known for?,Which festival is held in February?,What is the capital city of the country where the Fajr International Film Festival is held in February?,Tehran,What is the population of the capital city where the Fajr International Film Festival is held in February?,Approximately 8.7 million,What is the main language spoken in the capital city where the Fajr International Film Festival is held in February?,Persian,What is the currency used in the country where the capital city is located that hosts the Fajr International Film Festival in February?,Iranian Rial,What is the official religion of the country where the currency is used that is also the location of the capital city hosting the Fajr International Film Festival in February?,Islam
event_film,Tampere Film Festival,month of the year,March,March,When is the month of the year of Tampere Film Festival?,April,0.0,"['March', 'April', 'February', 'May']",In which month does the Tampere Film Festival take place?,A. March  B. February  C. April  D. May,A,Is the month of the year of Tampere Film Festival March?,Is the month of the year of Tampere Film Festival April?,In which country is the Tampere Film Festival held?,Which festival takes place in March?,What is the average temperature in the month of the year of Tampere Film Festival?,-1°C to 4°C,What is the average precipitation in the month with the average temperature in the month of the year of Tampere Film Festival?,30-40 mm,What is the name of a major event that occurs in the city with the average precipitation in the month with the average temperature in the month of the year of Tampere Film Festival?,Tampere Jazz Happening,Which venue hosts the major event in the city with the average precipitation in the month with the average temperature in the month of the year of Tampere Film Festival?,Pakkahuone,What is the seating capacity of the venue that hosts the major event in the city with the average precipitation in the month with the average temperature in the month of the year of Tampere Film Festival?,"1,200"
event_film,Festival d'Automne à Paris,location,Palais Galliera,Palais Galliera,What is the location of Festival d'Automne à Paris?,"Paris, France",0.0,"['Palais Galliera', 'Paris, France', 'Louvre Museum', 'Eiffel Tower']",Where is the Festival d'Automne à Paris held?,"A. Paris, France  B. Louvre Museum  C. Eiffel Tower  D. Palais Galliera",D,Is the location of Festival d'Automne à Paris Palais Galliera?,"Is the location of Festival d'Automne à Paris Paris, France?",What type of events are typically featured at the Festival d'Automne à Paris?,Which festival is held at Palais Galliera?,What is the address of the location of Festival d'Automne à Paris?,"10 Avenue Pierre 1er de Serbie, 75116 Paris, France",What is the nearest metro station to the address of the location of Festival d'Automne à Paris?,Iéna,Which metro line serves the nearest metro station to the address of the location of Festival d'Automne à Paris?,Line 9,What is the final destination of the metro line that serves the nearest metro station to the address of the location of Festival d'Automne à Paris?,Pont de Sèvres,In which arrondissement is the final destination of the metro line that serves the nearest metro station to the address of the location of Festival d'Automne à Paris?,Boulogne-Billancourt (not an arrondissement but a commune in the western suburbs of Paris)
event_film,Valladolid International Film Festival,location,Teatro Calderón,Teatro Calderón,Who is the location of Valladolid International Film Festival?,Mexico,0.0,"['Teatro Calderón', 'Mexico', 'Madrid', 'Barcelona']",Where is the Valladolid International Film Festival held?,A. Madrid  B. Teatro Calderón  C. Mexico  D. Barcelona,B,Is the Valladolid International Film Festival located at Teatro Calderón?,Is the Valladolid International Film Festival located in Mexico?,What is a famous event associated with Valladolid International Film Festival?,What event takes place at Teatro Calderón?,In which city is the location of Valladolid International Film Festival situated?,Valladolid,In which autonomous community is the city located where the location of Valladolid International Film Festival is situated?,Castile and León,In which country is the autonomous community located where the city is situated that contains the location of Valladolid International Film Festival?,Spain,What is the official language of the country where the autonomous community is located that contains the city with the location of Valladolid International Film Festival?,Spanish,What is the currency used in the country where the official language is Spanish and contains the autonomous community with the city that has the location of Valladolid International Film Festival?,Euro
event_film,Tampere Film Festival,main subject,short film,short film,What is the main subject of Tampere Film Festival?,Films,0.0,"['short film', 'Films', 'documentaries', 'feature films']",What is the primary focus of the Tampere Film Festival?,A. feature films  B. documentaries  C. Films  D. short film,D,Is the main subject of the Tampere Film Festival short film?,Is the main subject of the Tampere Film Festival Films?,In which city is the Tampere Film Festival held?,Which festival has short film as its main subject?,Who is a notable director of a short film featured at the Tampere Film Festival?,Aki Kaurismäki,What is a famous short film directed by a notable director featured at the Tampere Film Festival?,The Match Factory Girl,In which year was the famous short film directed by a notable director featured at the Tampere Film Festival released?,1990,Which film festival awarded the famous short film directed by a notable director featured at the Tampere Film Festival in 1990?,Berlin International Film Festival,In which country is the film festival located that awarded the famous short film directed by a notable director featured at the Tampere Film Festival in 1990?,Germany
event_film,Cairo International Film Festival,chairperson,Mohamed Hefzy,Mohamed Hefzy,Who is the chairperson of Cairo International Film Festival?,Name not provided in the question. Please check the official website for the current chair,0.0,"['Mohamed Hefzy', 'Name not provided in the question. Please check the official website for the current chair', 'Amr Waked', 'Yousra']",Who holds the position of chairperson at the Cairo International Film Festival?,A. Name not provided in the question. Please check the official website for the current chair  B. Yousra  C. Mohamed Hefzy  D. Amr Waked,C,Is Mohamed Hefzy the chairperson of Cairo International Film Festival?,Is Name not provided in the question. Please check the official website for the current chair the chairperson of Cairo International Film Festival?,In which city is the Cairo International Film Festival held?,Who is the chairperson that Mohamed Hefzy is associated with?,What is the profession of the chairperson of Cairo International Film Festival?,Film producer,Which notable film did the film producer who is the chairperson of Cairo International Film Festival produce?,Clash,In which year was the notable film produced by the film producer who is the chairperson of Cairo International Film Festival released?,2016,Which film festival featured the notable film released in 2016 that was produced by the film producer who is the chairperson of Cairo International Film Festival?,Cannes Film Festival,In which section of the Cannes Film Festival was the notable film featured that was released in 2016 and produced by the film producer who is the chairperson of Cairo International Film Festival?,Un Certain Regard
event_film,Cairo International Film Festival,location,Cairo Opera House,Cairo Opera House,What is the location of Cairo International Film Festival?,"Cairo, Egypt",0.0,"['Cairo Opera House', 'Cairo, Egypt', 'Giza Pyramids', 'Alexandria Library']",Where is the Cairo International Film Festival held?,"A. Cairo, Egypt  B. Cairo Opera House  C. Alexandria Library  D. Giza Pyramids",B,Is the Cairo International Film Festival located at the Cairo Opera House?,"Is the Cairo International Film Festival located in Cairo, Egypt?",What is a famous cultural event associated with the Cairo International Film Festival?,Which event is held at the Cairo Opera House?,In which district is the location of Cairo International Film Festival situated?,Zamalek,Which island is the district located in where the location of Cairo International Film Festival is situated?,Gezira Island,Which river is the island located in where the district is situated that contains the location of Cairo International Film Festival?,Nile River,Which sea does the river flow into where the island is located that contains the district where the location of Cairo International Film Festival is situated?,Mediterranean Sea,Which ocean is connected to the sea where the river flows into that contains the island where the district is situated that contains the location of Cairo International Film Festival?,Atlantic Ocean
event_film,Telluride Film Festival,location,Telluride,Telluride,What is the location of Telluride Film Festival?,Colorado,0.0,"['Telluride', 'Colorado', 'Aspen', 'Denver']",Where is the Telluride Film Festival held?,A. Aspen  B. Denver  C. Colorado  D. Telluride,D,Is the location of the Telluride Film Festival Telluride?,Is the location of the Telluride Film Festival Colorado?,What is a notable feature of the Telluride Film Festival?,Which festival is located in Telluride?,In which state is the location of the Telluride Film Festival?,Colorado,What is the capital of the state where the location of the Telluride Film Festival is situated?,Denver,What is the population of the capital of the state where the location of the Telluride Film Festival is situated?,"Approximately 715,000",What is the area in square miles of the capital of the state where the location of the Telluride Film Festival is situated?,154.7 square miles,What is the elevation in feet of the capital of the state where the location of the Telluride Film Festival is situated?,"5,280 feet"
