topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_programming_language,Gforth,developer,GNU Project,What is the developer of Gforth?,Anton Ertl,0.0,"['GNU Project', 'Anton Ertl', 'Free Software Foundation', 'Richard Stallman']",Who developed Gforth?,A. Richard Stallman  B. GNU Project  C. Free Software Foundation  D. Anton Ertl,B,Is the developer of Gforth the GNU Project?,Is the developer of Gforth Anton Ertl?,What type of software is Gforth known for?,What project was developed by the GNU Project?,What is the primary programming language used by the developer of Gforth?,C,Who is the creator of the primary programming language used by the developer of Gforth?,Dennis Ritchie,Which company did the creator of the primary programming language used by the developer of Gforth work for?,Bell Labs,In which year was the company that the creator of the primary programming language used by the developer of Gforth worked for founded?,1925,In which city was the company founded that the creator of the primary programming language used by the developer of Gforth worked for?,"Murray Hill, New Jersey"
technology_programming_language,Ceylon,named after,Sri Lanka,What was Ceylon named after?,Cinnamon,0.0,"['Sri Lanka', 'Cinnamon', 'India', 'Maldives']",What is the name that Ceylon was given?,A. Cinnamon  B. Sri Lanka  C. Maldives  D. India,B,Was Ceylon named after Sri Lanka?,Was Ceylon named after Cinnamon?,What is a famous export of Ceylon?,What country was named after Sri Lanka?,What is the capital of the country that Ceylon was named after?,Sri Jayawardenepura Kotte,What is the population of the capital of the country that Ceylon was named after?,"115,826",What is the area of the capital city of the country that Ceylon was named after?,17 square kilometers,What is the official language spoken in the capital city of the country that Ceylon was named after?,Sinhala,What is the currency used in the country that Ceylon was named after?,Sri Lankan Rupee
technology_programming_language,ASP.NET,replaces,Active Server Pages,What does ASP.NET replace?,VBScript,0.0,"['Active Server Pages', 'VBScript', 'JavaServer Pages', 'PHP']",What technology is replaced by ASP.NET?,A. Active Server Pages  B. JavaServer Pages  C. PHP  D. VBScript,A,Does ASP.NET replace Active Server Pages?,Does ASP.NET replace VBScript?,What framework is ASP.NET a part of?,What replaces Active Server Pages?,Who developed the technology that ASP.NET replaces?,Microsoft,In which year was the technology that ASP.NET replaces developed?,1996,What is the primary programming language used in the technology that ASP.NET replaces?,VBScript,What is the main purpose of the primary programming language used in the technology that ASP.NET replaces?,Server-side scripting,Which web server software commonly runs the technology that ASP.NET replaces?,Internet Information Services (IIS)
technology_programming_language,Turbo Pascal,designed by,Anders Hejlsberg,Who was Turbo Pascal designed by?,Niklaus Wirth,0.0,"['Anders Hejlsberg', 'Niklaus Wirth', 'Bjarne Stroustrup', 'James Gosling']",Who is the designer of Turbo Pascal?,A. Bjarne Stroustrup  B. Niklaus Wirth  C. James Gosling  D. Anders Hejlsberg,D,Was Turbo Pascal designed by Anders Hejlsberg?,Was Turbo Pascal designed by Niklaus Wirth?,What programming language is Turbo Pascal known for?,What did Anders Hejlsberg design?,What company did the person who designed Turbo Pascal work for?,Borland,Who founded the company that the person who designed Turbo Pascal worked for?,Philippe Kahn,In which country was the founder of the company that the person who designed Turbo Pascal worked for born?,France,What is the capital city of the country where the founder of the company that the person who designed Turbo Pascal worked for was born?,Paris,On which river is the capital city located where the founder of the company that the person who designed Turbo Pascal worked for was born?,Seine
technology_programming_language,FreeBASIC,platform,x86,What is the platform of FreeBASIC?,"Windows, Linux, macOS",0.0,"['x86', 'Windows', 'Linux', 'macOS']",On which platform does FreeBASIC run?,"A. Windows, Linux, macOS  B. macOS  C. x86  D. Linux",C,Is the platform of FreeBASIC x86?,Is the platform of FreeBASIC Windows?,What type of programming language is FreeBASIC?,Which software runs on the x86 platform?,What is the operating system that supports the platform of FreeBASIC?,Windows,What is the latest version of the operating system that supports the platform of FreeBASIC?,Windows 11,When was the latest version of the operating system that supports the platform of FreeBASIC released?,"October 5, 2021",Who is the developer of the latest version of the operating system that supports the platform of FreeBASIC?,Microsoft,Where is the headquarters of the developer of the latest version of the operating system that supports the platform of FreeBASIC located?,"Redmond, Washington, United States"
technology_programming_language,MATLAB,designed by,Cleve Moler,Who was MATLAB designed by?,Perret,0.0,"['Cleve Moler', 'Perret', 'John Smith', 'Alan Turing']",Who is the designer of MATLAB?,A. Perret  B. John Smith  C. Cleve Moler  D. Alan Turing,C,Was MATLAB designed by Cleve Moler?,Was MATLAB designed by Perret?,What is MATLAB primarily used for?,Who did Cleve Moler design?,What university did the person who designed MATLAB work at?,University of New Mexico,In which city is the university located where the person who designed MATLAB worked?,Albuquerque,In which state is the city located where the university is situated that the person who designed MATLAB worked?,New Mexico,What is the population of the state where the city is located that contains the university where the person who designed MATLAB worked?,2.1 million,What is the capital of the state where the city is located that contains the university where the person who designed MATLAB worked?,Santa Fe
technology_programming_language,GnuCOBOL,developer,GNU Project,What is the developer of GnuCOBOL?,Free Software Foundation,0.0,"['GNU Project', 'Free Software Foundation', 'Apache Software Foundation', 'Linux Foundation']",Who developed GnuCOBOL?,A. Apache Software Foundation  B. Free Software Foundation  C. Linux Foundation  D. GNU Project,D,Is the developer of GnuCOBOL the GNU Project?,Is the developer of GnuCOBOL the Free Software Foundation?,What type of software is GnuCOBOL known for?,What project was developed by the GNU Project?,Who is the founder of the developer of GnuCOBOL?,Richard Stallman,Which university did the founder of the developer of GnuCOBOL attend?,Harvard University,In which city is the university that the founder of the developer of GnuCOBOL attended located?,Cambridge,In which state is the city located where the university that the founder of the developer of GnuCOBOL attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the founder of the developer of GnuCOBOL attended?,United States
technology_programming_language,Swift,designed by,Chris Lattner,Who was Swift designed by?,Gordon Moore,0.0,"['Chris Lattner', 'Gordon Moore', 'Tim Berners-Lee', 'James Gosling']",Who is the designer of Swift?,A. James Gosling  B. Tim Berners-Lee  C. Chris Lattner  D. Gordon Moore,C,Was Swift designed by Chris Lattner?,Was Swift designed by Gordon Moore?,What is a well-known feature of Swift?,Who designed Chris Lattner?,Which company did the person who designed Swift work for?,Apple Inc.,What is the headquarters location of the company where the person who designed Swift worked?,"Cupertino, California",In which county is the headquarters located of the company where the person who designed Swift worked?,Santa Clara County,What is the population of the county where the headquarters of the company is located that employed the person who designed Swift?,Approximately 1.9 million,What is the largest city in the county where the headquarters of the company is located that employed the person who designed Swift?,San Jose
technology_programming_language,CLISP,developer,GNU Project,What is the developer of CLISP?,Claude Brozowski,0.0,"['GNU Project', 'Claude Brozowski', 'Free Software Foundation', 'Richard Stallman']",Who developed CLISP?,A. Claude Brozowski  B. Free Software Foundation  C. GNU Project  D. Richard Stallman,C,Is the developer of CLISP the GNU Project?,Is the developer of CLISP Claude Brozowski?,What type of software is CLISP known for?,What project was developed by the GNU Project?,Who is the founder of the developer of CLISP?,Richard Stallman,Which university did the founder of the developer of CLISP attend?,Harvard University,In which city is the university that the founder of the developer of CLISP attended located?,Cambridge,In which state is the city located where the university that the founder of the developer of CLISP attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the founder of the developer of CLISP attended?,United States
technology_programming_language,COBOL,creator,CODASYL,What is the creator of COBOL?,Grace Hopper,0.0,"['CODASYL', 'Grace Hopper', 'IBM', 'Microsoft']",Who developed COBOL?,A. Grace Hopper  B. CODASYL  C. IBM  D. Microsoft,B,Is CODASYL the creator of COBOL?,Is Grace Hopper the creator of COBOL?,What is a well-known feature of COBOL?,What programming language was created by CODASYL?,Who was the chairperson of the committee that created COBOL?,Grace Hopper,Which university did the chairperson of the committee that created COBOL attend?,Yale University,In which city is the university located that the chairperson of the committee that created COBOL attended?,New Haven,In which state is the city located where the university that the chairperson of the committee that created COBOL attended is situated?,Connecticut,In which country is the state located where the city is situated that contains the university the chairperson of the committee that created COBOL attended?,United States
