topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_medication,antibiotic,has characteristic,antibiotic resistance,What does antibiotic have characteristic?,Selective toxicity,0.0,"['Antibiotic resistance', 'Selective toxicity', 'Broad-spectrum activity', 'Bactericidal effect']",What characteristic is associated with antibiotics?,A. antibiotic resistance  B. Bactericidal effect  C. Broad-spectrum activity  D. Selective toxicity,A,Does an antibiotic have the characteristic of antibiotic resistance?,Does an antibiotic have the characteristic of selective toxicity?,What is a common use of antibiotics in medicine?,What has the characteristic of antibiotic resistance?,What is a common cause of the characteristic that antibiotic has?,Overuse of antibiotics,"What is a common consequence of the overuse of antibiotics, which is a cause of the characteristic that antibiotic has?",Increased prevalence of resistant bacteria,"What is a common treatment approach to address the increased prevalence of resistant bacteria, which is a consequence of the overuse of antibiotics, a cause of the characteristic that antibiotic has?",Development of new antibiotics,"Which organization is often involved in the development of new antibiotics, a treatment approach to address the increased prevalence of resistant bacteria, a consequence of the overuse of antibiotics, a cause of the characteristic that antibiotic has?",World Health Organization (WHO),"In which year was the World Health Organization (WHO), which is involved in the development of new antibiotics, a treatment approach to address the increased prevalence of resistant bacteria, a consequence of the overuse of antibiotics, a cause of the characteristic that antibiotic has, established?",1948
health_medication,botulinum toxin type A,subject has role,acetylcholine release inhibitors,What is the subject has role of botulinum toxin type A?,Cosmetic treatment,0.0,"['acetylcholine release inhibitors', 'Cosmetic treatment', 'Pain reliever', 'Antibiotic']",What role does botulinum toxin type A have?,A. Pain reliever  B. acetylcholine release inhibitors  C. Cosmetic treatment  D. Antibiotic,B,Is the role of botulinum toxin type A acetylcholine release inhibitors?,Is the role of botulinum toxin type A Cosmetic treatment?,What is a common medical use of botulinum toxin type A?,What substance acts as an acetylcholine release inhibitor?,What is the medical use of the acetylcholine release inhibitors that is the subject has role of botulinum toxin type A?,Treatment of muscle spasms,Which condition is treated by the medical use of the acetylcholine release inhibitors that is the subject has role of botulinum toxin type A?,Cervical dystonia,Which part of the body is affected by the condition treated by the medical use of the acetylcholine release inhibitors that is the subject has role of botulinum toxin type A?,Neck,Which muscle group is primarily involved in the part of the body affected by the condition treated by the medical use of the acetylcholine release inhibitors that is the subject has role of botulinum toxin type A?,Cervical muscles,Which nerve is associated with the muscle group primarily involved in the part of the body affected by the condition treated by the medical use of the acetylcholine release inhibitors that is the subject has role of botulinum toxin type A?,Accessory nerve
health_medication,corticotropin,encoded by,POMC,What was corticotropin encoded by?,Corticotropin gene,0.0,"['POMC', 'Corticotropin gene', 'ACTH', 'CRH']",By what is corticotropin encoded?,A. Corticotropin gene  B. ACTH  C. POMC  D. CRH,C,Is corticotropin encoded by POMC?,Is corticotropin encoded by the Corticotropin gene?,What is a primary function of corticotropin?,What does POMC encode?,What is the function of the gene that corticotropin is encoded by?,"The POMC gene encodes a precursor protein that is cleaved into several active peptides, including ACTH and MSH, which are involved in the stress response and pigmentation, respectively.",Which hormone is produced by the cleavage of the precursor protein encoded by the gene that corticotropin is encoded by?,Adrenocorticotropic hormone (ACTH),Which gland secretes the hormone produced by the cleavage of the precursor protein encoded by the gene that corticotropin is encoded by?,The pituitary gland,Which part of the brain regulates the gland that secretes the hormone produced by the cleavage of the precursor protein encoded by the gene that corticotropin is encoded by?,The hypothalamus,"Which hormone does the part of the brain that regulates the gland secrete, which in turn stimulates the secretion of the hormone produced by the cleavage of the precursor protein encoded by the gene that corticotropin is encoded by?",Corticotropin-releasing hormone (CRH)
health_medication,immunoglobulin G,subject has role,immunologic factor,What is the subject has role of immunoglobulin G?,Antibody,0.0,"['immunologic factor', 'Antibody', 'enzyme', 'hormone']",What role does immunoglobulin G play?,A. immunologic factor  B. hormone  C. Antibody  D. enzyme,A,Is the role of immunoglobulin G an immunologic factor?,Is the role of immunoglobulin G an Antibody?,What type of protein is immunoglobulin G?,What has the role of an immunologic factor?,What is the function of the immunologic factor that is the subject has role of immunoglobulin G?,It plays a crucial role in the immune response by identifying and neutralizing pathogens such as bacteria and viruses.,Which cells produce the immunologic factor that is the subject has role of immunoglobulin G?,B cells,Where in the body are the cells located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Bone marrow,Which organ system includes the bone marrow where the cells are located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Skeletal system,Which type of tissue is found in the organ system that includes the bone marrow where the cells are located that produce the immunologic factor that is the subject has role of immunoglobulin G?,Hematopoietic tissue
health_medication,industrial bromelain,has part(s),stem bromelain,What does industrial bromelain have part(s )?,Protease,0.0,"['stem bromelain', 'Protease', 'cellulase', 'amylase']",What component is found in industrial bromelain?,A. cellulase  B. Protease  C. stem bromelain  D. amylase,C,Does industrial bromelain have stem bromelain as a part?,Does industrial bromelain have Protease as a part?,What is a common use of industrial bromelain in the food industry?,What contains stem bromelain as a part?,What is the function of the part that industrial bromelain has?,Proteolytic enzyme,What type of reactions does the function of the part that industrial bromelain has catalyze?,Protein hydrolysis,In which industries is the type of reactions catalyzed by the function of the part that industrial bromelain has used?,Food and pharmaceutical industries,What are some applications in the food industry for the type of reactions catalyzed by the function of the part that industrial bromelain has?,Meat tenderizing and protein hydrolysis,What is a common product in the pharmaceutical industry that uses the type of reactions catalyzed by the function of the part that industrial bromelain has?,Anti-inflammatory medications
health_medication,Serpin family A member 1,molecular function,protein binding,What is the molecular function of Serpin family A member 1?,Protease inhibitor,0.0,"['protein binding', 'Protease inhibitor', 'enzyme regulation', 'signal transduction']",What role does Serpin family A member 1 play at the molecular level?,A. protein binding  B. signal transduction  C. enzyme regulation  D. Protease inhibitor,A,Is the molecular function of Serpin family A member 1 protein binding?,Is the molecular function of Serpin family A member 1 Protease inhibitor?,What is a well-known characteristic of the Serpin family A member 1?,Which protein has the molecular function of protein binding?,Which protein does the Serpin family A member 1 bind to?,Elastase,What is the primary function of the protein that Serpin family A member 1 binds to?,Breaks down elastin,In which type of tissue is the protein that Serpin family A member 1 binds to primarily active?,Connective tissue,Which organ contains a high concentration of the tissue where the protein that Serpin family A member 1 binds to is primarily active?,Lungs,Which disease is associated with the malfunction of the organ that contains a high concentration of the tissue where the protein that Serpin family A member 1 binds to is primarily active?,Chronic obstructive pulmonary disease (COPD)
health_medication,Serpin family A member 1,subject has role,Trypsin inhibitor,What is the subject has role of Serpin family A member 1?,Plasminogen activator inhibitor 1,0.0,"['Trypsin inhibitor', 'Plasminogen activator inhibitor 1', 'Proteinase inhibitor', 'Antithrombin']",What role does Serpin family A member 1 have?,A. Trypsin inhibitor  B. Plasminogen activator inhibitor 1  C. Antithrombin  D. Proteinase inhibitor,A,Is the role of Serpin family A member 1 Trypsin inhibitor?,Is the role of Serpin family A member 1 Plasminogen activator inhibitor 1?,What is a well-known function of Serpin family A member 1?,Which protein acts as a Trypsin inhibitor?,"What is the function of the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Inhibits the enzyme trypsin,"In which biological process does the Trypsin inhibitor, which is the subject has role of Serpin family A member 1, play a role?",Regulation of proteolysis,"Which organ primarily produces the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Pancreas,"Which type of cells in the pancreas produce the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Acinar cells,"Which digestive enzyme is secreted by the same type of cells that produce the Trypsin inhibitor, which is the subject has role of Serpin family A member 1?",Amylase
health_medication,calfactant,subject has role,pulmonary surfactant,What is the subject has role of calfactant?,Protease,0.0,"['Pulmonary surfactant', 'Protease', 'Enzyme', 'Hormone']",What role does calfactant play?,A. Enzyme  B. Protease  C. Hormone  D. pulmonary surfactant,D,Is the subject has role of calfactant pulmonary surfactant?,Is the subject has role of calfactant protease?,What is a common use of calfactant in medical treatments?,What substance acts as a pulmonary surfactant?,"What is the primary function of the pulmonary surfactant, which is the subject has role of calfactant?",To reduce surface tension in the lungs,"Which cells produce the pulmonary surfactant, which is the subject has role of calfactant?",Type II alveolar cells,"In which part of the respiratory system are the Type II alveolar cells located that produce the pulmonary surfactant, which is the subject has role of calfactant?",Alveoli,"Which organ contains the alveoli where the Type II alveolar cells are located that produce the pulmonary surfactant, which is the subject has role of calfactant?",Lungs,"Which system of the body includes the lungs that contain the alveoli where the Type II alveolar cells are located that produce the pulmonary surfactant, which is the subject has role of calfactant?",Respiratory system
health_medication,botulinum toxin Type B,subject has role,acetylcholine release inhibitors,What is the subject has role of botulinum toxin Type B?,Ophthalmology,0.0,"['acetylcholine release inhibitors', 'Ophthalmology', 'muscle relaxants', 'pain management']",What role does botulinum toxin Type B have?,A. pain management  B. acetylcholine release inhibitors  C. muscle relaxants  D. Ophthalmology,B,Is the role of botulinum toxin Type B acetylcholine release inhibitors?,Is the role of botulinum toxin Type B Ophthalmology?,What is a common medical use of botulinum toxin Type B?,What substance acts as an acetylcholine release inhibitor?,What is the medical use of the subject has role of botulinum toxin Type B?,Treatment of muscle spasticity,Which condition is treated by the medical use of the subject has role of botulinum toxin Type B?,Cervical dystonia,Which part of the body is affected by the condition treated by the medical use of the subject has role of botulinum toxin Type B?,Neck muscles,Which type of specialist would treat the condition affecting the part of the body treated by the medical use of the subject has role of botulinum toxin Type B?,Neurologist,In which medical field does the specialist work who treats the condition affecting the part of the body treated by the medical use of the subject has role of botulinum toxin Type B?,Neurology
health_medication,tranylcypromine,significant drug interaction,procarbazine,What is the significant drug interaction of tranylcypromine?,MAOIs,0.0,"['procarbazine', 'MAOIs', 'sertraline', 'fluoxetine']",Which drug has a significant interaction with tranylcypromine?,A. procarbazine  B. MAOIs  C. sertraline  D. fluoxetine,A,Is procarbazine a significant drug interaction of tranylcypromine?,Is MAOIs a significant drug interaction of tranylcypromine?,What is a common use of tranylcypromine?,What drug has a significant interaction with procarbazine?,What is the primary use of the drug that has a significant interaction with tranylcypromine?,Treatment of Hodgkin's lymphoma,What is the mechanism of action of the drug used for the treatment of Hodgkin's lymphoma that has a significant interaction with tranylcypromine?,Alkylating agent,Which class of drugs does the alkylating agent that is used for the treatment of Hodgkin's lymphoma and has a significant interaction with tranylcypromine belong to?,Antineoplastic agents,What is a common side effect of the class of antineoplastic agents that includes the alkylating agent used for the treatment of Hodgkin's lymphoma and has a significant interaction with tranylcypromine?,Nausea and vomiting,What is a common medication used to manage the nausea and vomiting caused by the class of antineoplastic agents that includes the alkylating agent used for the treatment of Hodgkin's lymphoma and has a significant interaction with tranylcypromine?,Ondansetron
