topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Croatia,currency,Euro,What is the currency of Croatia?,Kuna,0.0,"['Euro', 'Kuna', 'Dollar', 'Pound']",Which currency is used in Croatia?,A. Kuna  B. Pound  C. Euro  D. Dollar,C,Is the currency of Croatia the Euro?,Is the currency of Croatia the Kuna?,What is the capital city of Croatia?,Which country uses the Euro as its currency?,Which organization manages the currency of Croatia?,European Central Bank,Where is the headquarters of the organization that manages the currency of Croatia?,"Frankfurt, Germany",Which river flows through the city where the headquarters of the organization that manages the currency of Croatia is located?,Main River,Which country is the city located in where the headquarters of the organization that manages the currency of Croatia is situated?,Germany,What is the official language of the country where the city is located that contains the headquarters of the organization that manages the currency of Croatia?,German
places_country,Finland,head of state,Alexander Stubb,Who is the head of state of Finland?,Sauli Niinistö,0.0,"['Alexander Stubb', 'Sauli Niinistö', 'Tarja Halonen', 'Sanna Marin']",Who serves as the head of state for Finland?,A. Sauli Niinistö  B. Tarja Halonen  C. Sanna Marin  D. Alexander Stubb,D,Is Alexander Stubb the head of state of Finland?,Is Sauli Niinistö the head of state of Finland?,What is the capital city of Finland?,Who is Alexander Stubb the head of state of?,Who is the spouse of the head of state of Finland?,Suzanne Innes-Stubb,What is the profession of the spouse of the head of state of Finland?,Lawyer,Which university did the spouse of the head of state of Finland attend for their law degree?,University of Helsinki,In which city is the university located where the spouse of the head of state of Finland attended for their law degree?,Helsinki,In which country is the city located where the university is situated that the spouse of the head of state of Finland attended for their law degree?,Finland
places_country,Australia,head of government,Anthony Albanese,Who is the head of government of Australia?,Prime Minister,0.0,"['Anthony Albanese', 'Prime Minister', 'Scott Morrison', 'Malcolm Turnbull']",Who serves as the head of government in Australia?,A. Scott Morrison  B. Malcolm Turnbull  C. Prime Minister  D. Anthony Albanese,D,Is Anthony Albanese the head of government of Australia?,Is Prime Minister the head of government of Australia?,What is the capital city of Australia?,Who is Anthony Albanese the head of government of?,What is the political party of the head of government of Australia?,Australian Labor Party,Who is the leader of the political party of the head of government of Australia?,Anthony Albanese,What is the main opposition party to the political party of the head of government of Australia?,Liberal Party of Australia,Who is the leader of the main opposition party to the political party of the head of government of Australia?,Peter Dutton,What is the electorate represented by the leader of the main opposition party to the political party of the head of government of Australia?,Dickson
places_country,Mongolia,highest point,Hüiten Peak,Who is the highest point of Mongolia?,Nayramadlin Orgil,0.0,"['Hüiten Peak', 'Nayramadlin Orgil', 'Mount Everest', 'K2']",What is the name of the highest point in Mongolia?,A. K2  B. Hüiten Peak  C. Nayramadlin Orgil  D. Mount Everest,B,Is Hüiten Peak the highest point of Mongolia?,Is Nayramadlin Orgil the highest point of Mongolia?,What is the capital city of Mongolia?,Which country has Hüiten Peak as its highest point?,In which mountain range is the highest point of Mongolia located?,Altai Mountains,"Which countries do the Altai Mountains, where the highest point of Mongolia is located, span?","Russia, China, Mongolia, Kazakhstan","What is the predominant climate in the Altai Mountains, where the highest point of Mongolia is located?",Continental climate,"Which major river originates in the Altai Mountains, where the highest point of Mongolia is located?",Ob River,"Into which body of water does the major river that originates in the Altai Mountains, where the highest point of Mongolia is located, flow?",Arctic Ocean
places_country,United States of America,main regulatory text,United States Constitution,What is the main regulatory text of United States of America?,US Code,0.0,"['United States Constitution', 'US Code', 'Declaration of Independence', 'Bill of Rights']",What is the primary legal document governing the United States of America?,A. Bill of Rights  B. Declaration of Independence  C. US Code  D. United States Constitution,D,Is the United States Constitution the main regulatory text of the United States of America?,Is the US Code the main regulatory text of the United States of America?,What is the capital city of the United States of America?,Which country's main regulatory text is the United States Constitution?,Who is the primary author of the main regulatory text of the United States of America?,James Madison,Which university did the primary author of the main regulatory text of the United States of America attend?,Princeton University,In which city is the university located that the primary author of the main regulatory text of the United States of America attended?,Princeton,In which state is the city located where the university that the primary author of the main regulatory text of the United States of America attended is situated?,New Jersey,In which country is the state located where the city is situated that contains the university the primary author of the main regulatory text of the United States of America attended?,United States
places_country,São Tomé and Príncipe,driving side,right,What is the driving side of São Tomé and Príncipe?,Left,0.0,"['Right', 'Left', 'Center', 'Both']",On which side do people drive in São Tomé and Príncipe?,A. Left  B. Center  C. Both  D. right,D,Is the driving side of São Tomé and Príncipe the right?,Is the driving side of São Tomé and Príncipe the left?,What is the official language of São Tomé and Príncipe?,In which country is the driving side right?,Which other countries have the same driving side as São Tomé and Príncipe?,"United States, Germany, France, and many others",What is the population of one of the countries that have the same driving side as São Tomé and Príncipe?,Approximately 331 million (United States),What is the capital city of the country with a population of approximately 331 million that has the same driving side as São Tomé and Príncipe?,"Washington, D.C.",What is the name of the river that flows through the capital city of the country with a population of approximately 331 million that has the same driving side as São Tomé and Príncipe?,Potomac River,Which ocean does the river that flows through the capital city of the country with a population of approximately 331 million that has the same driving side as São Tomé and Príncipe ultimately drain into?,Atlantic Ocean
places_country,Belarus,anthem,My Belarusy,What does Belarus anthem?,Mnojega,0.0,"['My Belarusy', 'Mnojega', 'Pahonia', 'Nasha Niva']",What is the anthem of Belarus?,A. Pahonia  B. Nasha Niva  C. Mnojega  D. My Belarusy,D,Is the anthem of Belarus My Belarusy?,Is the anthem of Belarus Mnojega?,What is the capital city of Belarus?,Which country's anthem is My Belarusy?,Who composed the Belarus anthem?,Nestar Sakalowski,What year was the Belarus anthem composed by Nestar Sakalowski?,1955,Which political entity was Belarus a part of when the anthem was composed in 1955?,Soviet Union,Who was the leader of the Soviet Union when the Belarus anthem was composed in 1955?,Nikita Khrushchev,What major global event ended shortly before Nikita Khrushchev became the leader of the Soviet Union?,World War II
places_country,Qatar,madhhab,Malikism,What is the madhhab of Qatar?,Hanbali,0.0,"['Malikism', 'Hanbali', ""Shafi'i"", 'Hanafi']",Which madhhab is followed in Qatar?,A. Shafi'i  B. Hanbali  C. Malikism  D. Hanafi,C,Is the madhhab of Qatar Malikism?,Is the madhhab of Qatar Hanbali?,What is the capital city of Qatar?,Which country follows Malikism as its madhhab?,Who is a prominent scholar associated with the madhhab of Qatar?,Imam Malik,What is the most famous work of the prominent scholar associated with the madhhab of Qatar?,Al-Muwatta,In which city was the most famous work of the prominent scholar associated with the madhhab of Qatar compiled?,Medina,In which country is the city located where the most famous work of the prominent scholar associated with the madhhab of Qatar was compiled?,Saudi Arabia,What is the official language of the country where the city is located that saw the compilation of the most famous work of the prominent scholar associated with the madhhab of Qatar?,Arabic
places_country,Portugal,anthem,A Portuguesa,What does Portugal anthem?,Fado,0.0,"['A Portuguesa', 'Fado', 'Hino Nacional', 'Marcha Real']",What is the anthem of Portugal?,A. Marcha Real  B. A Portuguesa  C. Hino Nacional  D. Fado,B,Is A Portuguesa the anthem of Portugal?,Is Fado the anthem of Portugal?,What is the capital city of Portugal?,Which country's anthem is A Portuguesa?,Who composed the Portugal anthem?,Alfredo Keil,In which year was the Portugal anthem composed?,1890,Which event inspired the composition of the Portugal anthem?,The 1890 British Ultimatum,Which country issued the ultimatum that inspired the composition of the Portugal anthem?,United Kingdom,Who was the monarch of the country that issued the ultimatum inspiring the composition of the Portugal anthem?,Queen Victoria
places_country,Germany,head of government,Olaf Scholz,Who is the head of government of Germany?,Chancellor,0.0,"['Olaf Scholz', 'Chancellor', 'Angela Merkel', 'Frank-Walter Steinmeier']",Who serves as the head of government in Germany?,A. Frank-Walter Steinmeier  B. Olaf Scholz  C. Chancellor  D. Angela Merkel,B,Is Olaf Scholz the head of government of Germany?,Is Chancellor the head of government of Germany?,What is the capital city of Germany?,Of which country is Olaf Scholz the head of government?,What is the political party of the head of government of Germany?,Social Democratic Party of Germany (SPD),Who was the predecessor of the head of government of Germany?,Angela Merkel,Which political party did the predecessor of the head of government of Germany belong to?,Christian Democratic Union (CDU),Who is the current leader of the political party that the predecessor of the head of government of Germany belonged to?,Friedrich Merz,In which year did the current leader of the political party that the predecessor of the head of government of Germany belonged to assume office?,2022
