topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_industry,floristry,practiced by,florist,What was floristry practiced by?,Greeks,0.0,"['florist', 'Greeks', 'gardeners', 'botanists']",Who practices floristry?,A. gardeners  B. florist  C. botanists  D. Greeks,B,Is floristry practiced by a florist?,Is floristry practiced by Greeks?,What is a common tool used in floristry?,What does a florist practice?,What is the primary occupation of someone who practices floristry?,Florist,What skills are essential for the primary occupation of someone who practices floristry?,"Creativity, knowledge of flowers, and arrangement skills",What type of education or training is typically required for the primary occupation of someone who practices floristry?,Vocational training or apprenticeship,What are some common tools used in the primary occupation of someone who practices floristry?,"Pruning shears, floral foam, and wire cutters",What are some common occasions for which the primary occupation of someone who practices floristry provides services?,"Weddings, funerals, and birthdays"
business_industry,television,practiced by,announcer,What was television practiced by?,Greeks,0.0,"['announcer', 'Greeks', 'actors', 'directors']",Who practiced television?,A. actors  B. Greeks  C. directors  D. announcer,D,Was television practiced by an announcer?,Was television practiced by Greeks?,What is a common feature of television?,What did the announcer practice?,What is the primary role of the announcer who practiced television?,To present information and entertainment to the audience,What skills are essential for the primary role of the announcer who practiced television?,"Clear communication, public speaking, and presentation skills",What type of training is typically required to develop the skills essential for the primary role of the announcer who practiced television?,Broadcast journalism or communication studies,Which institutions commonly offer the type of training required to develop the skills essential for the primary role of the announcer who practiced television?,Universities and colleges,What is one well-known university that offers the type of training required to develop the skills essential for the primary role of the announcer who practiced television?,Northwestern University
business_industry,biotechnology,practiced by,biotechnologist,What was biotechnology practiced by?,Ancient Egyptians,0.0,"['biotechnologist', 'Ancient Egyptians', 'engineer', 'chemist']",Who practices biotechnology?,A. biotechnologist  B. chemist  C. engineer  D. Ancient Egyptians,A,Is biotechnology practiced by a biotechnologist?,Is biotechnology practiced by Ancient Egyptians?,What is a common application of biotechnology?,Who practices biotechnologist?,What is a notable field of study for a biotechnologist who practices biotechnology?,Genetic engineering,"What is a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",CRISPR technology,"Which organism is commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Escherichia coli,"What is a common laboratory technique used to manipulate Escherichia coli, an organism commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Transformation,"What is the purpose of the transformation technique, a common laboratory technique used to manipulate Escherichia coli, an organism commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",To introduce foreign DNA into the bacterial cells
business_industry,technology,practiced by,technologist,What was technology practiced by?,Greeks,0.0,"['technologist', 'Greeks', 'engineer', 'scientist']",Who practices technology?,A. Greeks  B. engineer  C. scientist  D. technologist,D,Is technology practiced by technologist?,Is technology practiced by Greeks?,What is a common field associated with technology?,What does a technologist practice?,What is the primary field of study of a technologist who practices technology?,Engineering,Which university is known for having a strong program in the primary field of study of a technologist who practices technology?,Massachusetts Institute of Technology (MIT),In which city is the university located that is known for having a strong program in the primary field of study of a technologist who practices technology?,Cambridge,In which state is the city located where the university known for having a strong program in the primary field of study of a technologist who practices technology is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university known for having a strong program in the primary field of study of a technologist who practices technology?,United States
business_industry,technology,is the study of,technique,What does technology be the study of?,Technology,0.0,"['technique', 'Technology', 'science', 'engineering']",What is technology the study of?,A. technique  B. engineering  C. Technology  D. science,A,Is technology the study of technique?,Is technology the study of Technology?,What is a common application of technology?,What is technique the study of?,What is an example of a technique that technology is the study of?,Programming,Which language is commonly used in the example of a technique that technology is the study of?,Python,Who created the language commonly used in the example of a technique that technology is the study of?,Guido van Rossum,In which year was the language created by the person who created the language commonly used in the example of a technique that technology is the study of?,1991,Which organization did the person who created the language commonly used in the example of a technique that technology is the study of work for when the language was created?,Centrum Wiskunde & Informatica (CWI)
business_industry,technology,uses,technique,What does technology use?,Computers,0.0,"['technique', 'Computers', 'software', 'hardware']",What is utilized by technology?,A. Computers  B. software  C. hardware  D. technique,D,Does technology use technique?,Does technology use Computers?,What is a common field associated with technology?,What uses technique?,What is an example of a technique that technology uses?,Algorithm,Who developed the example of a technique that technology uses?,Al-Khwarizmi,In which century did the person who developed the example of a technique that technology uses live?,9th century,In which region did the person who lived in the 9th century and developed the example of a technique that technology uses reside?,Persia,What is the modern-day country where the region is located where the person who lived in the 9th century and developed the example of a technique that technology uses resided?,Iran
business_industry,technology,has characteristic,technological singularity,What does technology have characteristic?,Rapidly evolving,0.0,"['technological singularity', 'Rapidly evolving', 'Artificial intelligence', 'Digital transformation']",What characteristic does technology possess?,A. Digital transformation  B. technological singularity  C. Rapidly evolving  D. Artificial intelligence,B,Does technology have the characteristic of technological singularity?,Does technology have the characteristic of Rapidly evolving?,What is a common application of technology in modern society?,What has the characteristic of technological singularity?,"What is a potential outcome of the technological singularity, which is a characteristic of technology?",Artificial superintelligence,"Who is a prominent advocate for the development of artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",Ray Kurzweil,"What book did Ray Kurzweil write that discusses artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",The Singularity Is Near,"In what year was 'The Singularity Is Near' published, a book by Ray Kurzweil that discusses artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",2005,"Which publishing company released 'The Singularity Is Near' in 2005, a book by Ray Kurzweil that discusses artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",Viking Press
business_industry,financial audit,practiced by,statutory auditor,What was financial audit practiced by?,Accountants,0.0,"['statutory auditor', 'Accountants', 'Internal auditor', 'Financial analyst']",Who conducts a financial audit?,A. Internal auditor  B. Accountants  C. statutory auditor  D. Financial analyst,C,Is a financial audit practiced by a statutory auditor?,Is a financial audit practiced by Accountants?,What is a key purpose of a financial audit?,What does a statutory auditor practice?,What is the primary responsibility of the statutory auditor who practices financial audit?,To examine and verify a company's financial statements,What is the main objective of the primary responsibility of the statutory auditor who practices financial audit?,To ensure the accuracy and fairness of the financial statements,Which regulatory body oversees the main objective of the primary responsibility of the statutory auditor who practices financial audit?,Public Company Accounting Oversight Board (PCAOB),In which country is the regulatory body located that oversees the main objective of the primary responsibility of the statutory auditor who practices financial audit?,United States,What is the headquarters city of the regulatory body located in the country that oversees the main objective of the primary responsibility of the statutory auditor who practices financial audit?,"Washington, D.C."
business_industry,mass media,practiced by,media profession,What was mass media practiced by?,Mass media was practiced by the ancient Greeks,0.0,"['media profession', 'Mass media was practiced by the ancient Greeks', 'journalists', 'public relations experts']",Who practiced mass media?,A. journalists  B. public relations experts  C. media profession  D. Mass media was practiced by the ancient Greeks,C,Is mass media practiced by media profession?,Is mass media practiced by the ancient Greeks?,What is a common form of mass media?,What profession practices media?,What is a common job title within the media profession that practices mass media?,Journalist,Which organization is a well-known employer of journalists who practice mass media?,The New York Times,Who is the current editor-in-chief of the organization that employs journalists who practice mass media?,Joseph Kahn,Which university did the current editor-in-chief of the organization that employs journalists who practice mass media attend?,Harvard University,In which city is the university located that the current editor-in-chief of the organization that employs journalists who practice mass media attended?,Cambridge
business_industry,industrial engineering,practiced by,industrial engineer,What was industrial engineering practiced by?,Engineers,0.0,"['industrial engineer', 'Engineers', 'mechanical engineer', 'civil engineer']",Who practices industrial engineering?,A. mechanical engineer  B. industrial engineer  C. Engineers  D. civil engineer,B,Is industrial engineering practiced by an industrial engineer?,Is industrial engineering practiced by Engineers?,What is a common task performed by an industrial engineer?,What profession practices industrial engineering?,What is a notable contribution made by an industrial engineer who practiced industrial engineering?,Time and motion studies,"Who is a famous person known for conducting time and motion studies, a notable contribution made by an industrial engineer who practiced industrial engineering?",Frederick Winslow Taylor,"What book did Frederick Winslow Taylor, known for conducting time and motion studies, write?",The Principles of Scientific Management,"In what year was 'The Principles of Scientific Management' written by Frederick Winslow Taylor, who is known for conducting time and motion studies, published?",1911,"Which organization did Frederick Winslow Taylor, who wrote 'The Principles of Scientific Management' published in 1911, work for?",Midvale Steel Company
