topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_entrepreneur,Ricardo Martinelli,religion or worldview,Catholicism,What is the religion or worldview of Ricardo Martinelli?,Christian,0.0,"['Catholicism', 'Christian', 'Buddhism', 'Islam']",What faith or belief system does Ricardo Martinelli follow?,A. Islam  B. Buddhism  C. Christian  D. Catholicism,D,Is Ricardo Martinelli's religion or worldview Catholicism?,Is Ricardo Martinelli's religion or worldview Christian?,What is a notable political position held by Ricardo Martinelli?,Who is a notable person that follows Catholicism?,Who is the head of the religion or worldview of Ricardo Martinelli?,Pope,Which city is the head of the religion or worldview of Ricardo Martinelli based in?,Vatican City,In which country is the city located where the head of the religion or worldview of Ricardo Martinelli is based?,Vatican City,What is the official language of the country where the city is located that is the base of the head of the religion or worldview of Ricardo Martinelli?,Italian,What is the population of the country where the city is located that is the base of the head of the religion or worldview of Ricardo Martinelli?,Approximately 800
human_entrepreneur,Albert Ballin,country of citizenship,Hamburg,What is the country of citizenship of Albert Ballin?,Germany,0.0,"['Hamburg', 'Germany', 'France', 'Netherlands']",Which country is Albert Ballin a citizen of?,A. France  B. Germany  C. Hamburg  D. Netherlands,C,Is the country of citizenship of Albert Ballin Hamburg?,Is the country of citizenship of Albert Ballin Germany?,What was Albert Ballin known for in the field of shipping?,Who is a citizen of Hamburg?,What is the population of the country of citizenship of Albert Ballin?,1.841 million (as of 2021),What is the area of the city with the population of the country of citizenship of Albert Ballin?,755.2 square kilometers,What is the name of the river that flows through the city with the area of the city with the population of the country of citizenship of Albert Ballin?,Elbe,What is the length of the river that flows through the city with the area of the city with the population of the country of citizenship of Albert Ballin?,"1,094 kilometers",In which sea does the river that flows through the city with the area of the city with the population of the country of citizenship of Albert Ballin empty?,North Sea
human_entrepreneur,"Maximilian Karl, 6th Prince of Thurn and Taxis",family,Princely House of Thurn and Taxis,"What is the family of Maximilian Karl, 6th Prince of Thurn and Taxis?",Wittelsbach,0.0,"['Princely House of Thurn and Taxis', 'Wittelsbach', 'House of Habsburg', 'House of Bourbon']","To which family does Maximilian Karl, 6th Prince of Thurn and Taxis belong?",A. Wittelsbach  B. Princely House of Thurn and Taxis  C. House of Bourbon  D. House of Habsburg,B,"Is the family of Maximilian Karl, 6th Prince of Thurn and Taxis the Princely House of Thurn and Taxis?","Is the family of Maximilian Karl, 6th Prince of Thurn and Taxis the Wittelsbach?","What title did Maximilian Karl, 6th Prince of Thurn and Taxis hold?",Who belongs to the Princely House of Thurn and Taxis?,"Who is a notable member of the family of Maximilian Karl, 6th Prince of Thurn and Taxis?","Albert, 8th Prince of Thurn and Taxis","What is the birth year of a notable member of the family of Maximilian Karl, 6th Prince of Thurn and Taxis?",1867,"In which city was a notable member of the family of Maximilian Karl, 6th Prince of Thurn and Taxis born?",Regensburg,"In which country is the city located where a notable member of the family of Maximilian Karl, 6th Prince of Thurn and Taxis was born?",Germany,"What is the official language of the country where the city is located that a notable member of the family of Maximilian Karl, 6th Prince of Thurn and Taxis was born?",German
human_entrepreneur,Henry Ford,handedness,left-handedness,What is the handedness of Henry Ford?,Right-handed,0.0,"['left-handedness', 'Right-handed', 'ambidextrous', 'right-handedness']",Which hand did Henry Ford primarily use?,A. Right-handed  B. ambidextrous  C. left-handedness  D. right-handedness,C,Is Henry Ford's handedness left-handedness?,Is Henry Ford's handedness Right-handed?,What is Henry Ford famous for in the automotive industry?,Who is known for having left-handedness?,Who is a famous left-handed inventor like Henry Ford?,Leonardo da Vinci,What is one of the most famous works of the famous left-handed inventor like Henry Ford?,Mona Lisa,In which museum is the most famous work of the famous left-handed inventor like Henry Ford displayed?,Louvre Museum,In which city is the museum located that displays the most famous work of the famous left-handed inventor like Henry Ford?,Paris,In which country is the city located that contains the museum displaying the most famous work of the famous left-handed inventor like Henry Ford?,France
human_entrepreneur,Karl Amson Joel,occupation,entrepreneur,What is the occupation of Karl Amson Joel?,Lawyer,0.0,"['entrepreneur', 'Lawyer', 'Doctor', 'Engineer']",What does Karl Amson Joel do for a living?,A. entrepreneur  B. Engineer  C. Lawyer  D. Doctor,A,Is Karl Amson Joel's occupation entrepreneur?,Is Karl Amson Joel's occupation Lawyer?,What is a notable fact about Karl Amson Joel's background?,Who is an entrepreneur?,What is the name of the company founded by the entrepreneur Karl Amson Joel?,Nuremberg-based mail order company,In which year was the company founded by the entrepreneur Karl Amson Joel established?,1928,What was the primary product sold by the company founded by the entrepreneur Karl Amson Joel?,Textiles,Which city was the headquarters of the company that sold textiles and was founded by the entrepreneur Karl Amson Joel?,Nuremberg,In which country is the city located where the headquarters of the company that sold textiles and was founded by the entrepreneur Karl Amson Joel?,Germany
human_entrepreneur,Artur Fischer,place of death,Waldachtal,What is the place of death of Artur Fischer?,Germany,0.0,"['Waldachtal', 'Germany', 'Berlin', 'Munich']",Where did Artur Fischer pass away?,A. Germany  B. Munich  C. Berlin  D. Waldachtal,D,Did Artur Fischer die in Waldachtal?,Did Artur Fischer die in Germany?,What is Artur Fischer known for inventing?,Who died in Waldachtal?,In which country is the place of death of Artur Fischer located?,Germany,What is the capital city of the country where the place of death of Artur Fischer is located?,Berlin,Which river flows through the capital city of the country where the place of death of Artur Fischer is located?,Spree,What is the length of the river that flows through the capital city of the country where the place of death of Artur Fischer is located?,400 kilometers,Into which river does the river that flows through the capital city of the country where the place of death of Artur Fischer is located eventually flow?,Havel
human_entrepreneur,Conrad Dietrich Magirus,place of birth,Ulm,What is the place of birth of Conrad Dietrich Magirus?,Germany,0.0,"['Ulm', 'Germany', 'Berlin', 'Munich']",Where was Conrad Dietrich Magirus born?,A. Berlin  B. Ulm  C. Germany  D. Munich,B,Is Conrad Dietrich Magirus's place of birth Ulm?,Is Conrad Dietrich Magirus's place of birth Germany?,What is Conrad Dietrich Magirus known for?,Who was born in Ulm?,In which country is the place of birth of Conrad Dietrich Magirus located?,Germany,What is the population of the country where the place of birth of Conrad Dietrich Magirus is located?,Approximately 83 million,What is the capital city of the country where the place of birth of Conrad Dietrich Magirus is located?,Berlin,Which river flows through the capital city of the country where the place of birth of Conrad Dietrich Magirus is located?,Spree River,What is the length of the river that flows through the capital city of the country where the place of birth of Conrad Dietrich Magirus is located?,Approximately 400 kilometers
human_entrepreneur,Michael Braungart,employer,Erasmus University Rotterdam,What is the employer of Michael Braungart?,"""DuPont""",0.0,"['Erasmus University Rotterdam', 'DuPont', 'Harvard University', 'Stanford University']",Who employs Michael Braungart?,"A. ""DuPont""  B. Harvard University  C. Stanford University  D. Erasmus University Rotterdam",D,Is Erasmus University Rotterdam the employer of Michael Braungart?,Is DuPont the employer of Michael Braungart?,What is a notable achievement or work of Michael Braungart?,Who is employed by Erasmus University Rotterdam?,What is the location of the employer of Michael Braungart?,Rotterdam,In which country is the location of the employer of Michael Braungart?,Netherlands,What is the official language spoken in the country where the location of the employer of Michael Braungart is situated?,Dutch,What is the population of the country where the location of the employer of Michael Braungart is situated?,Approximately 17 million,What is the capital city of the country where the location of the employer of Michael Braungart is situated?,Amsterdam
human_entrepreneur,John Jacob Astor I,spouse,Sarah Todd,Who is the spouse of John Jacob Astor I?,Ava,0.0,"['Sarah Todd', 'Ava', 'Elizabeth', 'Mary']",Who is married to John Jacob Astor I?,A. Sarah Todd  B. Mary  C. Ava  D. Elizabeth,A,Is Sarah Todd the spouse of John Jacob Astor I?,Is Ava the spouse of John Jacob Astor I?,What is John Jacob Astor I known for?,Who is the spouse of Sarah Todd?,Who is the father of the spouse of John Jacob Astor I?,Adam Todd,What was the occupation of the father of the spouse of John Jacob Astor I?,Butcher,In which city did the father of the spouse of John Jacob Astor I work as a butcher?,New York City,In which state is the city located where the father of the spouse of John Jacob Astor I worked as a butcher?,New York,In which country is the state located where the city is situated that contains the workplace of the father of the spouse of John Jacob Astor I?,United States
human_entrepreneur,Mohamed Sheikh,member of political party,Conservative Party,What is the member of political party of Mohamed Sheikh?,"""Mohamed Sheikh is a member of the Islamic Party.""",0.0,"['Conservative Party', 'Islamic Party', 'Labour Party', 'Liberal Democrats']",Which political party is Mohamed Sheikh a member of?,"A. Liberal Democrats  B. Labour Party  C. ""Mohamed Sheikh is a member of the Islamic Party.""  D. Conservative Party",D,Is Mohamed Sheikh a member of the Conservative Party?,Is Mohamed Sheikh a member of the Islamic Party?,What is Mohamed Sheikh's nationality?,Who is a member of the Conservative Party?,Who is the current leader of the political party that Mohamed Sheikh is a member of?,Rishi Sunak,What is the official residence of the current leader of the political party that Mohamed Sheikh is a member of?,10 Downing Street,In which city is the official residence of the current leader of the political party that Mohamed Sheikh is a member of located?,London,What is the population of the city where the official residence of the current leader of the political party that Mohamed Sheikh is a member of is located?,Approximately 9 million,What is the name of the river that flows through the city where the official residence of the current leader of the political party that Mohamed Sheikh is a member of is located?,River Thames
