topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_database,Unifrance,chairperson,Serge Toubiana,Who is the chairperson of Unifrance?,Tristan Thomas,0.0,"['Serge Toubiana', 'Tristan Thomas', 'Marie Dupont', 'Jean-Luc Martin']",Who holds the position of chairperson at Unifrance?,A. Tristan Thomas  B. Jean-Luc Martin  C. Marie Dupont  D. Serge Toubiana,D,Is Serge Toubiana the chairperson of Unifrance?,Is Tristan Thomas the chairperson of Unifrance?,What is a well-known event organized by Unifrance?,Who is Serge Toubiana the chairperson of?,What is the nationality of the chairperson of Unifrance?,French,Which film festival is often associated with the nationality of the chairperson of Unifrance?,Cannes Film Festival,In which city is the film festival associated with the nationality of the chairperson of Unifrance held?,Cannes,In which region of France is the city located where the film festival associated with the nationality of the chairperson of Unifrance is held?,Provence-Alpes-Côte d'Azur,What is the primary language spoken in the region where the city is located that hosts the film festival associated with the nationality of the chairperson of Unifrance?,French
technology_database,Memrise,headquarters location,Oxford,What is the headquarters location of Memrise?,London,0.0,"['Oxford', 'London', 'Cambridge', 'Manchester']",Where is the headquarters of Memrise located?,A. London  B. Oxford  C. Cambridge  D. Manchester,B,Is the headquarters location of Memrise Oxford?,Is the headquarters location of Memrise London?,What type of service does Memrise provide?,Which company's headquarters are located in Oxford?,What is the population of the city where the headquarters of Memrise is located?,"Approximately 154,600",What is the name of the university located in the city where the headquarters of Memrise is located?,University of Oxford,Who is a famous alumnus of the university located in the city where the headquarters of Memrise is located?,Stephen Hawking,What is the field of study of a famous alumnus of the university located in the city where the headquarters of Memrise is located?,Theoretical Physics,What is a notable theory developed by a famous alumnus of the university located in the city where the headquarters of Memrise is located?,Hawking Radiation
technology_database,National Industrial Property Institute,headquarters location,Courbevoie,What is the headquarters location of National Industrial Property Institute?,Brasília,0.0,"['Courbevoie', 'Brasília', 'Paris', 'Lyon']",Where is the National Industrial Property Institute headquartered?,A. Lyon  B. Brasília  C. Courbevoie  D. Paris,C,Is the headquarters location of National Industrial Property Institute Courbevoie?,Is the headquarters location of National Industrial Property Institute Brasília?,What is the primary function of the National Industrial Property Institute?,Which organization has its headquarters located in Courbevoie?,What is the population of the headquarters location of National Industrial Property Institute?,"82,198",What is the area of the headquarters location of National Industrial Property Institute?,4.17 square kilometers,In which region is the headquarters location of National Industrial Property Institute situated?,Île-de-France,What is the capital of the region where the headquarters location of National Industrial Property Institute is situated?,Paris,What is the population of the capital of the region where the headquarters location of National Industrial Property Institute is situated?,"2,148,271"
technology_database,Memrise,country,United Kingdom,What is the country of Memrise?,Ireland,0.0,"['United Kingdom', 'Ireland', 'Canada', 'Australia']",Which country is Memrise based in?,A. Canada  B. Ireland  C. Australia  D. United Kingdom,D,Is the country of Memrise the United Kingdom?,Is the country of Memrise Ireland?,What type of service does Memrise provide?,Which company is based in the United Kingdom?,What is the capital of the country of Memrise?,London,What is the population of the capital of the country of Memrise?,Approximately 9 million,What is the area in square kilometers of the capital of the country of Memrise?,"Approximately 1,572 km²",What is the name of the river that flows through the capital of the country of Memrise?,River Thames,What is the length of the river that flows through the capital of the country of Memrise?,Approximately 346 km
technology_database,Tebeosfera,catalog,Directory of Open Access Journals,What is the catalog of Tebeosfera?,Database,0.0,"['Directory of Open Access Journals', 'Database', 'Library of Congress', 'WorldCat']",Which catalog is associated with Tebeosfera?,A. Directory of Open Access Journals  B. WorldCat  C. Library of Congress  D. Database,A,Is the Directory of Open Access Journals the catalog of Tebeosfera?,Is the Database the catalog of Tebeosfera?,What type of content does Tebeosfera primarily focus on?,Which organization catalogs the Directory of Open Access Journals?,What is the primary focus of the catalog of Tebeosfera?,Open access academic journals,Which organization manages the primary focus of the catalog of Tebeosfera?,Infrastructure Services for Open Access,Where is the organization that manages the primary focus of the catalog of Tebeosfera based?,Sweden,What is the capital city of the country where the organization that manages the primary focus of the catalog of Tebeosfera is based?,Stockholm,What is the population of the capital city of the country where the organization that manages the primary focus of the catalog of Tebeosfera is based?,"Approximately 975,000"
technology_database,Tebeosfera,editor,Manuel Barrero Martínez,Who is the editor of Tebeosfera?,Jordi Claret,0.0,"['Manuel Barrero Martínez', 'Jordi Claret', 'Carlos Pérez', 'Ana García']",Who serves as the editor for Tebeosfera?,A. Ana García  B. Carlos Pérez  C. Jordi Claret  D. Manuel Barrero Martínez,D,Is Manuel Barrero Martínez the editor of Tebeosfera?,Is Jordi Claret the editor of Tebeosfera?,What type of publication is Tebeosfera known for?,Who is edited by Manuel Barrero Martínez?,What is the nationality of the editor of Tebeosfera?,Spanish,In which city was the editor of Tebeosfera born?,Seville,What is the population of the city where the editor of Tebeosfera was born?,"Approximately 690,000",What is the name of the river that flows through the city where the editor of Tebeosfera was born?,Guadalquivir,What is the length of the river that flows through the city where the editor of Tebeosfera was born?,657 kilometers
technology_database,Tebeosfera,founded by,Manuel Barrero Martínez,Who was Tebeosfera founded by?,Juan José Alberdi,0.0,"['Manuel Barrero Martínez', 'Juan José Alberdi', 'Carlos García', 'Luis Fernández']",Who is the founder of Tebeosfera?,A. Luis Fernández  B. Juan José Alberdi  C. Manuel Barrero Martínez  D. Carlos García,C,Was Tebeosfera founded by Manuel Barrero Martínez?,Was Tebeosfera founded by Juan José Alberdi?,What type of publication is Tebeosfera known for?,Who did Manuel Barrero Martínez found?,What is the profession of the person who founded Tebeosfera?,Journalist,Which university did the person who founded Tebeosfera attend?,University of Seville,In which city is the university located that the person who founded Tebeosfera attended?,Seville,In which country is the city located where the university that the person who founded Tebeosfera attended is situated?,Spain,What is the official language of the country where the city is located that contains the university the person who founded Tebeosfera attended?,Spanish
technology_database,International Paralympic Committee,located in the administrative territorial entity,Bonn,What is the located in the administrative territorial entity of International Paralympic Committee?,Austria,0.0,"['Bonn', 'Austria', 'Berlin', 'Geneva']",In which administrative territorial entity is the International Paralympic Committee located?,A. Bonn  B. Berlin  C. Austria  D. Geneva,A,Is the International Paralympic Committee located in Bonn?,Is the International Paralympic Committee located in Austria?,What is the primary function of the International Paralympic Committee?,Which organization is located in Bonn?,What is the population of the city where the International Paralympic Committee is located?,"327,258 (as of 2021)",What is the name of the river that flows through the city where the International Paralympic Committee is located?,Rhine,What is the length of the river that flows through the city where the International Paralympic Committee is located?,"1,230 kilometers",Which sea does the river that flows through the city where the International Paralympic Committee is located empty into?,North Sea,"Which country borders the sea that the river flows into, which passes through the city where the International Paralympic Committee is located?",Germany
technology_database,International Paralympic Committee,founded by,Robert Steadward,Who was International Paralympic Committee founded by?,Dr. Ludwig Guttmann,0.0,"['Robert Steadward', 'Dr. Ludwig Guttmann', 'Philip Craven', 'Andrew Parsons']",Who established the International Paralympic Committee?,A. Andrew Parsons  B. Robert Steadward  C. Dr. Ludwig Guttmann  D. Philip Craven,B,Was the International Paralympic Committee founded by Robert Steadward?,Was the International Paralympic Committee founded by Dr. Ludwig Guttmann?,What is a major event organized by the International Paralympic Committee?,Who did Robert Steadward found?,What is the nationality of the person who founded the International Paralympic Committee?,Canadian,In which city was the person who founded the International Paralympic Committee born?,Edmonton,In which province is the city located where the person who founded the International Paralympic Committee was born?,Alberta,What is the capital of the province where the city is located that the person who founded the International Paralympic Committee was born?,Edmonton,What is the population of the capital of the province where the city is located that the person who founded the International Paralympic Committee was born?,Approximately 1 million
technology_database,International Paralympic Committee,chairperson,Andrew Parsons,Who is the chairperson of International Paralympic Committee?,Andreas Brauhl,0.0,"['Andrew Parsons', 'Andreas Brauhl', 'Philip Craven', 'Xavier Gonzalez']",Who holds the position of chairperson for the International Paralympic Committee?,A. Andrew Parsons  B. Philip Craven  C. Andreas Brauhl  D. Xavier Gonzalez,A,Is Andrew Parsons the chairperson of the International Paralympic Committee?,Is Andreas Brauhl the chairperson of the International Paralympic Committee?,What is the primary mission of the International Paralympic Committee?,Who is Andrew Parsons the chairperson of?,What is the nationality of the chairperson of the International Paralympic Committee?,Brazilian,In which city was the chairperson of the International Paralympic Committee born?,Rio de Janeiro,What is the population of the city where the chairperson of the International Paralympic Committee was born?,Approximately 6.7 million,What is the official language of the country where the city is located that the chairperson of the International Paralympic Committee was born?,Portuguese,What is the currency of the country where the official language is Portuguese and the chairperson of the International Paralympic Committee was born?,Brazilian Real
