subjectLabel,relation,objectLabel
Kiratto Pri Chan,original language of film or TV show,Japanese
Kiratto Pri Chan,followed by,Pretty All Friends Selection
Kiratto Pri Chan,developer,Syn Sophia
Kiratto Pri Chan,publisher,T-ARTS
Macross Delta the Movie: Passionate Walküre,original language of film or TV show,Japanese
Kiratto Pri Chan,production company,Tatsunoko Production
Digimon Adventure Tri. 5,country of origin,Japan
Macross Delta the Movie: Passionate Walküre,production company,Satelight
Kiratto Pri Chan,director,Hiroshi Ikehata
Kiratto Pri Chan,country of origin,Japan
Macross Delta the Movie: Passionate Walküre,director,Shōji Kawamori
Macross Delta the Movie: Passionate Walküre,language of work or name,Japanese
Macross Delta the Movie: Passionate Walküre,form of creative work,feature film
Macross Delta the Movie: Passionate Walküre,screenwriter,Shōji Kawamori
Digimon Adventure Tri. 5,distribution format,video on demand
Digimon Adventure Tri. 5,original language of film or TV show,Japanese
Macross Delta the Movie: Passionate Walküre,based on,Macross Delta
Kiratto Pri Chan,language of work or name,Japanese
Digimon Adventure Tri. 5,part of the series,Digimon Adventure tri.
Digimon Adventure Tri. 3,country of origin,Japan
Macross Delta the Movie: Passionate Walküre,country of origin,Japan
Digimon Adventure Tri. 5,follows,Digimon Adventure Tri. 4
Macross Delta the Movie: Passionate Walküre,genre,mecha
Digimon Adventure Tri. 5,followed by,Digimon Adventure Tri. 6
Digimon Adventure Tri. 3,original language of film or TV show,Japanese
Digimon Adventure Tri. 3,part of the series,Digimon Adventure tri.
Digimon Adventure Tri. 3,director,Keitarō Motonaga
Digimon Adventure Tri. 3,distribution format,video on demand
Digimon Adventure Tri. 3,follows,Digimon Adventure Tri. 2
Digimon Adventure Tri. 3,followed by,Digimon Adventure Tri. 4
Keifuku-san,country of origin,Japan
Double Decker! Doug & Kirill,country of origin,Japan
Digimon Adventure Tri. 6,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,character designer,Masakazu Katsura
Keifuku-san,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,distributed by,Crunchyroll
Digimon Adventure Tri. 6,follows,Digimon Adventure Tri. 5
Digimon Adventure Tri. 6,part of the series,Digimon Adventure tri.
Keifuku-san,original broadcaster,Tokyo Metropolitan Television
Digimon Adventure Tri. 6,country of origin,Japan
Double Decker! Doug & Kirill,distribution format,video on demand
Kinnikuman Nisei,main subject,sport
Kinnikuman Nisei,intended public,shōnen
Digimon Adventure Tri. 6,distribution format,video on demand
Fukusuke,director,Ryūichi Yokoyama
"Hey, Your Cat Ears Are Showing!",original language of film or TV show,Japanese
Digimon Adventure Tri. 5,instance of,anime
Kinnikuman Nisei,country of origin,Japan
Kinnikuman Nisei,language of work or name,Japanese
Keifuku-san,director,Tatsuki
Bible Black,original language of film or TV show,Japanese
Kinnikuman Nisei,author,Yudetamago
Keifuku-san,cast member,Yumiri Hanamori
Bible Black,developer,Active
"Papa Datte, Shitai",country of origin,Japan
"Papa Datte, Shitai",genre,yaoi
Bible Black,publisher,Active
Voice of Fox,original language of film or TV show,Japanese
Voice of Fox,distribution format,video on demand
Zukkoke Knight - Don De La Mancha,country of origin,Japan
Voice of Fox,distributed by,Crunchyroll
"Papa Datte, Shitai",language of work or name,Japanese
Voice of Fox,country of origin,Japan
Harlock Saga,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,instance of,anime
Zukkoke Knight - Don De La Mancha,original language of film or TV show,Japanese
Harlock Saga,distribution format,video on demand
Harlock Saga,country of origin,Japan
Harlock Saga,composer,Kaoru Wada
Keifuku-san,instance of,anime
Q.E.D.,country of origin,Japan
Q.E.D.,intended public,shōnen
Digimon Adventure Tri. 3,instance of,anime
Harlock Saga,director,Yoshio Takeuchi
Lupin the 3rd vs Detective Conan,original language of film or TV show,Japanese
