topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_programming_language,Nullsoft Scriptable Install System,operating system,Microsoft Windows,Microsoft Windows,What is the operating system of Nullsoft Scriptable Install System?,Linux (or any Unix-like system),0.0,"['Microsoft Windows', 'Linux (or any Unix-like system)', 'macOS', 'FreeBSD']",Which operating system does Nullsoft Scriptable Install System run on?,A. Linux (or any Unix-like system)  B. FreeBSD  C. macOS  D. Microsoft Windows,D,Is the operating system of Nullsoft Scriptable Install System Microsoft Windows?,Is the operating system of Nullsoft Scriptable Install System Linux (or any Unix-like system)?,What is a well-known feature of Nullsoft Scriptable Install System?,Which software runs on Microsoft Windows and is known as Nullsoft Scriptable Install System?,Who is the developer of the operating system of Nullsoft Scriptable Install System?,Microsoft,Who is the current CEO of the developer of the operating system of Nullsoft Scriptable Install System?,Satya Nadella,Which university did the current CEO of the developer of the operating system of Nullsoft Scriptable Install System attend for their undergraduate studies?,Manipal Institute of Technology,In which country is the university located where the current CEO of the developer of the operating system of Nullsoft Scriptable Install System attended for their undergraduate studies?,India,What is the official language of the country where the university is located that the current CEO of the developer of the operating system of Nullsoft Scriptable Install System attended for their undergraduate studies?,Hindi
technology_programming_language,Elixir,operating system,cross-platform,cross-platform,What is the operating system of Elixir?,Elixir doesn't have an operating system. It's a programming,0.0,"['cross-platform', ""Elixir doesn't have an operating system. It's a programming"", 'Windows', 'Linux']",Which operating system does Elixir use?,A. cross-platform  B. Elixir doesn't have an operating system. It's a programming  C. Windows  D. Linux,A,Is the operating system of Elixir cross-platform?,Is the operating system of Elixir 'Elixir doesn't have an operating system. It's a programming'?,What type of language is Elixir?,Which programming language uses a cross-platform operating system?,What is the primary programming language used to develop the operating system of Elixir?,Erlang,Who is the creator of the primary programming language used to develop the operating system of Elixir?,Joe Armstrong,Which company did the creator of the primary programming language used to develop the operating system of Elixir work for?,Ericsson,In which country is the company located that the creator of the primary programming language used to develop the operating system of Elixir worked for?,Sweden,What is the capital city of the country where the company is located that the creator of the primary programming language used to develop the operating system of Elixir worked for?,Stockholm
technology_programming_language,Maple,readable file format,STereoLithography,STereoLithography,What is the readable file format of Maple?,"Maple: mwl, mw, mws, mwx, m",0.0,"['STereoLithography', 'Maple: mwl, mw, mws, mwx, m', 'PDF', 'JPEG']",Which file format can be read by Maple?,"A. STereoLithography  B. PDF  C. JPEG  D. Maple: mwl, mw, mws, mwx, m",A,Is STereoLithography a readable file format of Maple?,"Is Maple: mwl, mw, mws, mwx, m a readable file format of Maple?",What type of software is Maple known for?,Which software can read the STereoLithography file format?,What is the primary use of the readable file format of Maple?,3D printing,Which industry primarily uses the readable file format of Maple for 3D printing?,Manufacturing,What is a common material used in the industry that primarily uses the readable file format of Maple for 3D printing?,Plastic,What is a key property of the common material used in the industry that primarily uses the readable file format of Maple for 3D printing?,Durability,What is a common application of the key property of the common material used in the industry that primarily uses the readable file format of Maple for 3D printing?,Prototyping
technology_programming_language,XML User Interface Language,operating system,cross-platform,cross-platform,What is the operating system of XML User Interface Language?,XUL does not specify an operating system. It's a markup language,0.0,"['cross-platform', ""XUL does not specify an operating system. It's a markup language"", 'Windows', 'Linux']",Which operating system does the XML User Interface Language support?,A. XUL does not specify an operating system. It's a markup language  B. Linux  C. Windows  D. cross-platform,D,Is the operating system of XML User Interface Language cross-platform?,Is the operating system of XML User Interface Language XUL does not specify an operating system. It's a markup language?,What type of language is XML User Interface Language?,Which language operates on a cross-platform system?,What is a popular web browser that supports the operating system of XML User Interface Language?,Mozilla Firefox,Who is the developer of a popular web browser that supports the operating system of XML User Interface Language?,Mozilla Foundation,Where is the headquarters of the developer of a popular web browser that supports the operating system of XML User Interface Language?,"Mountain View, California",In which country is the headquarters located of the developer of a popular web browser that supports the operating system of XML User Interface Language?,United States,What is the official language of the country where the headquarters is located of the developer of a popular web browser that supports the operating system of XML User Interface Language?,English
technology_programming_language,GnuCOBOL,developer,GNU Project,GNU Project,What is the developer of GnuCOBOL?,GNU  (GnuCOBOL is a free COBOL compiler,0.0,"['GNU Project', 'GNU', 'Free Software Foundation', 'Apache Software Foundation']",Who developed GnuCOBOL?,A. Free Software Foundation  B. GNU  (GnuCOBOL is a free COBOL compiler  C. GNU Project  D. Apache Software Foundation,C,Is the developer of GnuCOBOL the GNU Project?,Is the developer of GnuCOBOL GNU?,What type of software is GnuCOBOL?,What project was developed by the GNU Project?,Who is the founder of the developer of GnuCOBOL?,Richard Stallman,Which university did the founder of the developer of GnuCOBOL attend?,Harvard University,In which city is the university located that the founder of the developer of GnuCOBOL attended?,Cambridge,In which state is the city located where the university that the founder of the developer of GnuCOBOL attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the university the founder of the developer of GnuCOBOL attended?,United States
technology_programming_language,FreeBASIC,platform,x86,x86,What is the platform of FreeBASIC?,Cross-platform,0.0,"['x86', 'Cross-platform', 'ARM', 'MIPS']",On which platform does FreeBASIC run?,A. x86  B. Cross-platform  C. MIPS  D. ARM,A,Is the platform of FreeBASIC x86?,Is the platform of FreeBASIC Cross-platform?,What type of programming language is FreeBASIC?,Which programming language runs on the x86 platform?,What is the operating system that supports the platform of FreeBASIC?,Windows,What is the latest version of the operating system that supports the platform of FreeBASIC?,Windows 11,When was the latest version of the operating system that supports the platform of FreeBASIC released?,"October 5, 2021",Who is the developer of the latest version of the operating system that supports the platform of FreeBASIC?,Microsoft,Where is the headquarters of the developer of the latest version of the operating system that supports the platform of FreeBASIC located?,"Redmond, Washington, United States"
technology_programming_language,ASP.NET,replaces,Active Server Pages,Active Server Pages,What does ASP.NET replace?,Web Forms,0.0,"['Active Server Pages', 'Web Forms', 'JavaServer Pages', 'PHP']",What technology is replaced by ASP.NET?,A. Active Server Pages  B. Web Forms  C. JavaServer Pages  D. PHP,A,Does ASP.NET replace Active Server Pages?,Does ASP.NET replace Web Forms?,What framework is ASP.NET a part of?,What replaces Active Server Pages?,Who developed the technology that ASP.NET replaces?,Microsoft,In which year was the technology that ASP.NET replaces developed by Microsoft?,1996,"What was the primary programming language used in the technology that ASP.NET replaces, developed by Microsoft in 1996?",VBScript,"What is the name of the scripting language that was primarily used in the technology that ASP.NET replaces, developed by Microsoft in 1996, and is a subset of Visual Basic?",Visual Basic for Applications (VBA),"Which company developed the scripting language that was primarily used in the technology that ASP.NET replaces, developed by Microsoft in 1996, and is a subset of Visual Basic?",Microsoft
technology_programming_language,MATLAB,readable file format,Hierarchical Data Format,Hierarchical Data Format,What is the readable file format of MATLAB?,"MATLAB  (Answer: m, mtx, mat,",0.0,"['Hierarchical Data Format', 'MATLAB', 'CSV', 'JSON']",Which file format can MATLAB read?,"A. MATLAB  (Answer: m, mtx, mat,  B. Hierarchical Data Format  C. JSON  D. CSV",B,Is Hierarchical Data Format a readable file format of MATLAB?,Is MATLAB a readable file format of MATLAB?,What programming language is primarily used with MATLAB?,Which software can read Hierarchical Data Format files?,What is a common use of the readable file format of MATLAB?,Storing large amounts of scientific data,Which organization developed the common use of the readable file format of MATLAB?,National Center for Supercomputing Applications (NCSA),In which year was the organization that developed the common use of the readable file format of MATLAB founded?,1986,Who was the founding director of the organization that developed the common use of the readable file format of MATLAB?,Larry Smarr,Which university is affiliated with the founding director of the organization that developed the common use of the readable file format of MATLAB?,University of Illinois at Urbana-Champaign
technology_programming_language,Ceylon,operating system,cross-platform,cross-platform,What is the operating system of Ceylon?,"Not specified (Ceylon is a programming language, not a computer system)",0.0,"['cross-platform', 'Not specified (Ceylon is a programming language, not a computer system)', 'Windows', 'Linux']",Which operating system does Ceylon use?,"A. Linux  B. cross-platform  C. Not specified (Ceylon is a programming language, not a computer system)  D. Windows",B,Is the operating system of Ceylon cross-platform?,"Is the operating system of Ceylon Not specified (Ceylon is a programming language, not a computer system)?",What type of language is Ceylon?,Which programming language is cross-platform?,What is the primary programming language used for the operating system of Ceylon?,Java,Who developed the primary programming language used for the operating system of Ceylon?,Sun Microsystems,In which year was the primary programming language used for the operating system of Ceylon developed?,1995,Who acquired the company that developed the primary programming language used for the operating system of Ceylon?,Oracle Corporation,In which year did the company that acquired the developer of the primary programming language used for the operating system of Ceylon complete the acquisition?,2010
technology_programming_language,Processing,copyright license,GNU Lesser General Public License,GNU Lesser General Public License,What is the copyright license of Processing?,MIT License,0.0,"['GNU Lesser General Public License', 'MIT License', 'Apache License', 'BSD License']",Under which copyright license is Processing distributed?,A. GNU Lesser General Public License  B. BSD License  C. MIT License  D. Apache License,A,Is the copyright license of Processing the GNU Lesser General Public License?,Is the copyright license of Processing the MIT License?,What is Processing primarily used for?,Which software is licensed under the GNU Lesser General Public License?,Who is the author of the copyright license of Processing?,Free Software Foundation,What is the mission of the author of the copyright license of Processing?,To promote computer user freedom and to defend the rights of all free software users.,"Who founded the organization with the mission to promote computer user freedom and to defend the rights of all free software users, which authored the copyright license of Processing?",Richard Stallman,"In which year was the organization founded by Richard Stallman, which authored the copyright license of Processing?",1985,"In which city was the organization founded in 1985 by Richard Stallman, which authored the copyright license of Processing?",Boston
technology_programming_language,Forth,programming paradigm,procedural programming,procedural programming,What is the programming paradigm of Forth?,Imperative,0.0,"['procedural programming', 'Imperative', 'object-oriented programming', 'functional programming']",Which programming paradigm does Forth follow?,A. procedural programming  B. functional programming  C. object-oriented programming  D. Imperative,A,Is the programming paradigm of Forth procedural programming?,Is the programming paradigm of Forth Imperative?,What is a notable feature of Forth?,Which programming language follows the procedural programming paradigm?,What is a key feature of the programming paradigm of Forth?,Stack-based execution,"What is an example of a language that also uses stack-based execution, a key feature of the programming paradigm of Forth?",PostScript,"Who developed the language that also uses stack-based execution, a key feature of the programming paradigm of Forth?",Adobe Systems,"In which year was the language developed by Adobe Systems that also uses stack-based execution, a key feature of the programming paradigm of Forth, released?",1982,"What is a primary use case for the language released in 1982 by Adobe Systems that also uses stack-based execution, a key feature of the programming paradigm of Forth?",Desktop publishing
technology_programming_language,Fortran,copyright license,MIT License,MIT License,What is the copyright license of Fortran?,Public Domain (No Known Copyright),0.0,"['MIT License', 'Public Domain (No Known Copyright)', 'GNU General Public License', 'Apache License']",Under which license is Fortran copyrighted?,A. Apache License  B. MIT License  C. Public Domain (No Known Copyright)  D. GNU General Public License,B,Is the copyright license of Fortran the MIT License?,Is the copyright license of Fortran Public Domain (No Known Copyright)?,What type of programming language is Fortran known to be?,Which programming language is licensed under the MIT License?,Who is the author of the copyright license of Fortran?,Massachusetts Institute of Technology,In which city is the author of the copyright license of Fortran located?,Cambridge,In which state is the city located where the author of the copyright license of Fortran is situated?,Massachusetts,In which country is the state located where the city is situated that contains the author of the copyright license of Fortran?,United States,What is the official language of the country where the state is located that contains the city where the author of the copyright license of Fortran is situated?,English
technology_programming_language,R,derivative work,Bioconductor,Bioconductor,What is the derivative work of R?,Derivative work of R refers to a new work that is based upon pre,0.0,"['Bioconductor', 'Derivative work of R refers to a new work that is based upon pre', 'CRAN', 'Shiny']",Which project is a derivative work of R?,A. Shiny  B. Derivative work of R refers to a new work that is based upon pre  C. CRAN  D. Bioconductor,D,Is Bioconductor a derivative work of R?,Is Derivative work of R refers to a new work that is based upon pre a derivative work of R?,What is a popular repository for R packages?,What is R a derivative work of?,Who is the creator of the derivative work of R?,Robert Gentleman and Ross Ihaka,Which university did the creator of the derivative work of R work at?,University of Auckland,In which country is the university located where the creator of the derivative work of R worked?,New Zealand,What is the capital city of the country where the university is located that the creator of the derivative work of R worked?,Wellington,What is the population of the capital city of the country where the university is located that the creator of the derivative work of R worked?,"Approximately 215,000"
technology_programming_language,GNU Octave,maintained by,John W. Eaton,John W. Eaton,Who was GNU Octave maintained by?,The GNU Project,0.0,"['John W. Eaton', 'The GNU Project', 'Richard Stallman', 'Linus Torvalds']",Who is responsible for maintaining GNU Octave?,A. John W. Eaton  B. Richard Stallman  C. The GNU Project  D. Linus Torvalds,A,Is GNU Octave maintained by John W. Eaton?,Is GNU Octave maintained by The GNU Project?,What type of software is GNU Octave known for?,Who maintains John W. Eaton?,What university is the person who maintained GNU Octave affiliated with?,University of Wisconsin-Madison,In which city is the university located that the person who maintained GNU Octave is affiliated with?,Madison,In which state is the city located where the university is situated that the person who maintained GNU Octave is affiliated with?,Wisconsin,What is the population of the state where the city is located that contains the university the person who maintained GNU Octave is affiliated with?,Approximately 5.8 million,What is the capital of the state where the city is located that contains the university the person who maintained GNU Octave is affiliated with?,Madison
technology_programming_language,Lean,influenced by,Coq,Coq,What was Lean influenced by?,Toyota Production System,0.0,"['Coq', 'Toyota Production System', 'Agile', 'Six Sigma']",Which system had an influence on Lean?,A. Coq  B. Toyota Production System  C. Six Sigma  D. Agile,A,Was Lean influenced by Coq?,Was Lean influenced by the Toyota Production System?,What is a well-known attribute of Lean?,What did Coq influence?,Who developed the system that Lean was influenced by?,INRIA,In which country is the organization that developed the system that Lean was influenced by located?,France,What is the capital city of the country where the organization that developed the system that Lean was influenced by is located?,Paris,Which river flows through the capital city of the country where the organization that developed the system that Lean was influenced by is located?,Seine,Into which body of water does the river that flows through the capital city of the country where the organization that developed the system that Lean was influenced by is located empty?,English Channel
