topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
entertainment_song,Rehab,record label,Island Records,What is the record label of Rehab?,Rehab - Interscope,0.0,"['Island Records', 'Rehab - Interscope', 'Atlantic Records', 'Sony Music']",Which record label is Rehab signed to?,A. Island Records  B. Atlantic Records  C. Sony Music  D. Rehab - Interscope,A,Is the record label of Rehab Island Records?,Is the record label of Rehab Rehab - Interscope?,What genre of music is Rehab known for?,Which artist is signed to Island Records?,Who is the founder of the record label of Rehab?,Chris Blackwell,What is the nationality of the founder of the record label of Rehab?,British-Jamaican,Which famous artist was also signed by the record label of Rehab?,Bob Marley,What is the genre of music most associated with the famous artist who was also signed by the record label of Rehab?,Reggae,Which country is most associated with the genre of music of the famous artist who was also signed by the record label of Rehab?,Jamaica
entertainment_song,Rehab,producer,Mark Ronson,Who is the producer of Rehab?,Dr. Luke,0.0,"['Mark Ronson', 'Dr. Luke', 'Pharrell Williams', 'Timbaland']",Who produced the song Rehab?,A. Dr. Luke  B. Mark Ronson  C. Pharrell Williams  D. Timbaland,B,Is Mark Ronson the producer of Rehab?,Is Dr. Luke the producer of Rehab?,Who is the artist that performed the song Rehab?,Who is produced by Mark Ronson?,What is the nationality of the producer of Rehab?,British,Which band was the producer of Rehab a member of?,Mark Ronson & The Business Intl,What is the debut album of the band that the producer of Rehab was a member of?,Record Collection,In which year was the debut album of the band that the producer of Rehab was a member of released?,2010,Which record label released the debut album of the band that the producer of Rehab was a member of?,Columbia Records
entertainment_song,Can't Fight the Moonlight,producer,Trevor Horn,Who is the producer of Can't Fight the Moonlight?,David Foster,0.0,"['Trevor Horn', 'David Foster', 'Max Martin', 'Quincy Jones']",Who produced the song Can't Fight the Moonlight?,A. Quincy Jones  B. Trevor Horn  C. Max Martin  D. David Foster,B,Is Trevor Horn the producer of Can't Fight the Moonlight?,Is David Foster the producer of Can't Fight the Moonlight?,What genre is the song Can't Fight the Moonlight known for?,Who did Trevor Horn produce?,What is another song produced by the producer of Can't Fight the Moonlight?,Video Killed the Radio Star,Who is the artist of another song produced by the producer of Can't Fight the Moonlight?,The Buggles,What year was the song by the artist of another song produced by the producer of Can't Fight the Moonlight released?,1979,Which album features the song by the artist of another song produced by the producer of Can't Fight the Moonlight?,The Age of Plastic,Which record label released the album that features the song by the artist of another song produced by the producer of Can't Fight the Moonlight?,Island Records
entertainment_song,Can't Fight the Moonlight,lyricist,Diane Warren,Who is the lyricist of Can't Fight the Moonlight?,Bob Seger,0.0,"['Diane Warren', 'Bob Seger', 'Max Martin', 'Linda Perry']",Who wrote the lyrics for Can't Fight the Moonlight?,A. Linda Perry  B. Bob Seger  C. Diane Warren  D. Max Martin,C,Is Diane Warren the lyricist of Can't Fight the Moonlight?,Is Bob Seger the lyricist of Can't Fight the Moonlight?,What genre of music is Can't Fight the Moonlight associated with?,Who wrote the lyrics for Diane Warren?,What is the birth year of the lyricist of Can't Fight the Moonlight?,1956,In which city was the lyricist of Can't Fight the Moonlight born?,Van Nuys,In which state is the city located where the lyricist of Can't Fight the Moonlight was born?,California,What is the name of the high school that the lyricist of Can't Fight the Moonlight attended?,Los Angeles High School,In which year did the lyricist of Can't Fight the Moonlight graduate from high school?,1972
entertainment_song,Rehab,followed by,You Know I'm No Good,What was Rehab followed by?,Rehab,0.0,"[""You Know I'm No Good"", 'Rehab', 'Back to Black', 'Tears Dry on Their Own']",Which song comes after Rehab?,A. Rehab  B. Back to Black  C. You Know I'm No Good  D. Tears Dry on Their Own,C,Was Rehab followed by You Know I'm No Good?,Was Rehab followed by Rehab?,Who is the artist of the song Rehab?,What song is followed by You Know I'm No Good?,Who is the artist of the song that Rehab was followed by?,Amy Winehouse,Which album features the song by the artist of the song that Rehab was followed by?,Back to Black,In which year was the album released that features the song by the artist of the song that Rehab was followed by?,2006,Which record label released the album that features the song by the artist of the song that Rehab was followed by?,Island Records,Who was the producer of the album that features the song by the artist of the song that Rehab was followed by?,Mark Ronson
entertainment_song,Can't Fight the Moonlight,composer,Trevor Horn,Who is the composer of Can't Fight the Moonlight?,Lee Hunter,0.0,"['Trevor Horn', 'Lee Hunter', 'Diane Warren', 'Max Martin']",Who composed the song Can't Fight the Moonlight?,A. Diane Warren  B. Max Martin  C. Lee Hunter  D. Trevor Horn,D,Is Trevor Horn the composer of Can't Fight the Moonlight?,Is Lee Hunter the composer of Can't Fight the Moonlight?,What genre is the song Can't Fight the Moonlight known for?,Which song was composed by Trevor Horn?,What is the nationality of the composer of Can't Fight the Moonlight?,British,Which band was the British composer of Can't Fight the Moonlight a member of?,The Buggles,What is the most famous song by the band that the British composer of Can't Fight the Moonlight was a member of?,Video Killed the Radio Star,In which year was the most famous song by the band that the British composer of Can't Fight the Moonlight was a member of released?,1979,Which music video channel launched with the song released in 1979 by the band that the British composer of Can't Fight the Moonlight was a member of?,MTV
entertainment_song,Can't Fight the Moonlight,followed by,But I Do Love You,What was Can't Fight the Moonlight followed by?,"""Love to Love You Baby""",0.0,"['But I Do Love You', 'Love to Love You Baby', 'How Do I Live', ""Can't Fight the Moonlight (Remix)""]",Which song comes after Can't Fight the Moonlight?,"A. ""Love to Love You Baby""  B. Can't Fight the Moonlight (Remix)  C. How Do I Live  D. But I Do Love You",D,Was Can't Fight the Moonlight followed by But I Do Love You?,Was Can't Fight the Moonlight followed by Love to Love You Baby?,Who is the artist of the song Can't Fight the Moonlight?,What song is followed by But I Do Love You?,Who is the artist of the song that Can't Fight the Moonlight was followed by?,LeAnn Rimes,Which album features the song by the artist of the song that Can't Fight the Moonlight was followed by?,Coyote Ugly,In which year was the album released that features the song by the artist of the song that Can't Fight the Moonlight was followed by?,2000,Which record label released the album that features the song by the artist of the song that Can't Fight the Moonlight was followed by?,Curb Records,Who was the producer of the album that features the song by the artist of the song that Can't Fight the Moonlight was followed by?,Trevor Horn
entertainment_song,Rehab,lyricist,Amy Winehouse,Who is the lyricist of Rehab?,Max Martin,0.0,"['Amy Winehouse', 'Max Martin', 'Taylor Swift', 'Ed Sheeran']",Who wrote the lyrics for Rehab?,A. Max Martin  B. Ed Sheeran  C. Amy Winehouse  D. Taylor Swift,C,Is Amy Winehouse the lyricist of Rehab?,Is Max Martin the lyricist of Rehab?,What genre of music is Amy Winehouse known for?,Who is the lyricist for songs written by Amy Winehouse?,What is the birth name of the lyricist of Rehab?,Amy Jade Winehouse,What is the birth date of the person whose birth name is the lyricist of Rehab?,"September 14, 1983","In which city was the person born whose birth date is September 14, 1983, and is the lyricist of Rehab?",London,In which country is the city located where the lyricist of Rehab was born?,United Kingdom,What is the official language of the country where the city is located that is the birthplace of the lyricist of Rehab?,English
entertainment_song,Can't Fight the Moonlight,performer,LeAnn Rimes,Who does Can't Fight the Moonlight performer?,Lee Ann Womack,0.0,"['LeAnn Rimes', 'Lee Ann Womack', 'Shania Twain', 'Faith Hill']",Who is the performer of Can't Fight the Moonlight?,A. Lee Ann Womack  B. Faith Hill  C. LeAnn Rimes  D. Shania Twain,C,Is LeAnn Rimes the performer of Can't Fight the Moonlight?,Is Lee Ann Womack the performer of Can't Fight the Moonlight?,What genre of music is LeAnn Rimes known for?,Who performed LeAnn Rimes' song Can't Fight the Moonlight?,What is the birth name of the Can't Fight the Moonlight performer?,Margaret LeAnn Rimes,In which city was the Can't Fight the Moonlight performer born?,Jackson,In which state is the city located where the Can't Fight the Moonlight performer was born?,Mississippi,What is the capital of the state where the city is located that the Can't Fight the Moonlight performer was born?,Jackson,Which river runs through the capital of the state where the city is located that the Can't Fight the Moonlight performer was born?,Pearl River
entertainment_song,Can't Fight the Moonlight,record label,Curb Records,What is the record label of Can't Fight the Moonlight?,Virgin,0.0,"['Curb Records', 'Virgin', 'Sony Music', 'Universal Music']",Which record label released Can't Fight the Moonlight?,A. Virgin  B. Curb Records  C. Universal Music  D. Sony Music,B,Is the record label of Can't Fight the Moonlight Curb Records?,Is the record label of Can't Fight the Moonlight Virgin?,Who is the artist of the song Can't Fight the Moonlight?,Which song is associated with Curb Records?,Who is the founder of the record label of Can't Fight the Moonlight?,Mike Curb,What is the birth year of the founder of the record label of Can't Fight the Moonlight?,1944,In which city was the founder of the record label of Can't Fight the Moonlight born?,Savannah,In which state is the city located where the founder of the record label of Can't Fight the Moonlight was born?,Georgia,In which country is the state located where the city is situated that the founder of the record label of Can't Fight the Moonlight was born?,United States
