subjectLabel,relation,objectLabel
Canada,located in/on physical feature,North America
Canada,foundational text,"Constitution Act, 1867"
Guatemala,official language,Spanish
Japan,basic form of government,constitutional monarchy
Japan,anthem,Kimigayo
Guatemala,continent,North America
Japan,legislative body,National Diet
Guatemala,highest point,Volcán Tajumulco
Japan,executive body,Government of Japan
Japan,highest judicial authority,Supreme Court of Japan
Canada,participant in,Pacific War
Grenada,continent,North America
Japan,"has seal, badge, or sigil",national seal
Canada,replaces,Province of Canada
Canada,central bank,Bank of Canada
Japan,head of government,Fumio Kishida
Canada,office held by head of government,Prime Minister of Canada
Japan,main regulatory text,The Constitution of Japan
Japan,head of state,Naruhito
Guatemala,capital,Guatemala City
Guatemala,head of state,Bernardo Arévalo de León
Guatemala,flag,flag of Guatemala
Japan,official language,Japanese
Japan,archives at,National Archives of Japan
Guatemala,legislative body,Congress of the Republic of Guatemala
Japan,currency,yen
Guatemala,head of government,Bernardo Arévalo de León
Guatemala,currency,quetzal
Japan,capital,Tokyo
Japan,named after,sunrise
Grenada,named after,Granada
Grenada,currency,Eastern Caribbean dollar
Japan,follows,Empire of Japan
Japan,part of,East Asia
Japan,highest point,Mount Fuji
Japan,flag,flag of Japan
Japan,continent,Asia
Guatemala,history of topic,history of Guatemala
Japan,located in/on physical feature,Japanese archipelago
Canada,highest point,Mount Logan
Grenada,capital,St. George's
Grenada,head of state,Charles III of the United Kingdom
Grenada,head of government,Keith Mitchell
Guatemala,central bank,Bank of Guatemala
Guatemala,different from,Guatemala Department
Grenada,follows,West Indies Federation
Guatemala,driving side,right
Grenada,flag,flag of Grenada
Grenada,located in/on physical feature,Lesser Antilles
Grenada,central bank,Eastern Caribbean Central Bank
Grenada,highest point,Mount Saint Catherine
Grenada,described by source,Encyclopædia Britannica 11th edition
Japan,demographics of topic,demographics of Japan
Japan,economy of topic,economy of Japan
The Bahamas,continent,North America
The Bahamas,head of state,Charles III of the United Kingdom
The Bahamas,official language,English
The Bahamas,currency,Bahamian dollar
The Bahamas,capital,Nassau
The Bahamas,basic form of government,constitutional monarchy
The Bahamas,part of,Caribbean
The Bahamas,located in/on physical feature,Caribbean
The Bahamas,highest point,Mount Alvernia
The Bahamas,replaces,British West Indies
The Bahamas,lowest point,Atlantic Ocean
The Bahamas,central bank,Central Bank of The Bahamas
The Bahamas,history of topic,history of the Bahamas
The Bahamas,official religion,Christianity
The Bahamas,different from,Behemoth
Japan,has cabinet,Cabinet of Japan
Jamaica,currency,Jamaican dollar
Jamaica,continent,North America
Canada,head of government,Justin Trudeau
Jamaica,capital,Kingston
Canada,studied in,Canadian studies
Canada,capital,Ottawa
Jamaica,head of state,Charles III of the United Kingdom
Canada,lowest point,Arctic Ocean
Canada,head of state,Charles III of the United Kingdom
Canada,currency,Canadian dollar
Canada,has part(s) of the class,province or territory of Canada
Jamaica,shares border with,United Kingdom
Canada,continent,North America
Canada,official symbol,North American beaver
Canada,driving side,right
Canada,history of topic,history of Canada
Jamaica,flag,flag of Jamaica
Canada,culture,culture of Canada
Jamaica,head of government,Andrew Holness
Jamaica,anthem,God Save the King
Canada,geography of topic,geography of Canada
Jamaica,follows,West Indies Federation
Jamaica,part of,Caribbean
Jamaica,central bank,Bank of Jamaica
Jamaica,highest point,Blue Mountain Peak
Canada,top-level Internet domain,.ca
Canada,anthem,O Canada
Canada,flag,flag of Canada
Canada,highest judicial authority,Supreme Court of Canada
Canada,executive body,Government of Canada
Canada,railway traffic side,right
Canada,economy of topic,economy of Canada
Antigua and Barbuda,official language,English
Antigua and Barbuda,capital,Saint John's
Antigua and Barbuda,currency,Eastern Caribbean dollar
Antigua and Barbuda,anthem,God Save the King
Antigua and Barbuda,flag,flag of Antigua and Barbuda
Antigua and Barbuda,shares border with,United Kingdom
Antigua and Barbuda,continent,North America
Antigua and Barbuda,follows,West Indies Federation
Antigua and Barbuda,head of state,Charles III of the United Kingdom
Antigua and Barbuda,head of government,Gaston Browne
Antigua and Barbuda,highest point,Mount Obama
Norway,flag,flag of Norway
Norway,highest judicial authority,Supreme Court of Norway
Norway,executive body,Government of Norway
Norway,legislative body,Stortinget
Norway,anthem,"Ja, vi elsker dette landet"
Norway,patron saint,Olaf II of Norway
Norway,foundational text,Constitution of Norway
Japan,replaces,Empire of Japan
Japan,central bank,Bank of Japan
Japan,office held by head of government,Prime Minister of Japan
Japan,history of topic,history of Japan
Japan,lowest point,Hachirōgata
Japan,office held by head of state,Emperor of Japan
Japan,right to vote,universal suffrage
Japan,culture,culture of Japan
Japan,studied in,Japanese studies
The Bahamas,flag,flag of the Bahamas
The Bahamas,head of government,Hubert Minnis
The Bahamas,twinned administrative body,Miami-Dade County
Norway,capital,Oslo
Antigua and Barbuda,central bank,Eastern Caribbean Central Bank
Norway,continent,Europe
Norway,head of state,Harald V of Norway
Norway,currency,Norwegian krone
Norway,head of government,Jonas Gahr Støre
Costa Rica,highest point,Cerro Chirripó
Costa Rica,driving side,right
Costa Rica,central bank,Central Bank of Costa Rica
Costa Rica,described by source,Brockhaus and Efron Encyclopedic Dictionary
Norway,central bank,Norges Bank
Honduras,continent,North America
Honduras,currency,Honduran lempira
Honduras,official language,Spanish
Honduras,flag,flag of Honduras
Honduras,capital,Tegucigalpa
Honduras,basic form of government,republic
Honduras,legislative body,National Congress of Honduras
Honduras,head of state,Xiomara Castro
Norway,studied in,Scandinavian studies
Norway,lowest point,Norwegian Sea
Honduras,head of government,Xiomara Castro
Norway,history of topic,history of Norway
Norway,office held by head of state,Monarch of Norway
Norway,driving side,right
Honduras,highest point,Cerro Las Minas
Norway,railway traffic side,right
Norway,economy of topic,economy of Norway
Honduras,central bank,Central Bank of Honduras
Honduras,history of topic,history of Honduras
Honduras,driving side,right
Israel,anthem,Hatikvah
Israel,legislative body,Knesset
Israel,flag,flag of Israel
Israel,basic form of government,unitary state
Israel,executive body,cabinet of Israel
