topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_industry,floristry,practiced by,florist,What was floristry practiced by?,Ancient Greeks,0.0,"['florist', 'Ancient Greeks', 'botanist', 'gardener']",Who practices floristry?,A. gardener  B. Ancient Greeks  C. florist  D. botanist,C,Is floristry practiced by a florist?,Is floristry practiced by Ancient Greeks?,What is a common tool used in floristry?,What does a florist practice?,What is the primary occupation of someone who practices floristry?,Floral designer,What is a common tool used by someone whose primary occupation is floral designer?,Floral scissors,What is a common material used with floral scissors by someone whose primary occupation is floral designer?,Floral foam,What is a common brand that produces floral foam used by someone whose primary occupation is floral designer?,Oasis,"In which country is the brand Oasis, which produces floral foam used by someone whose primary occupation is floral designer, headquartered?",United States
business_industry,television,practiced by,announcer,What was television practiced by?,Paul Nipkow,0.0,"['announcer', 'Paul Nipkow', 'director', 'producer']",Who practiced television?,A. announcer  B. producer  C. Paul Nipkow  D. director,A,Was television practiced by an announcer?,Was television practiced by Paul Nipkow?,What is a common role associated with television?,What did the announcer practice?,What is the primary role of the announcer who practiced television?,To present information and entertainment to the audience,What skills are essential for the primary role of the announcer who practiced television?,"Clear communication, public speaking, and presentation skills",What type of training is typically required for the skills essential for the primary role of the announcer who practiced television?,Broadcast journalism or communication studies,Which institutions commonly offer the type of training required for the skills essential for the primary role of the announcer who practiced television?,Universities and colleges,What is one well-known university that offers the type of training required for the skills essential for the primary role of the announcer who practiced television?,Northwestern University
business_industry,biotechnology,practiced by,biotechnologist,What was biotechnology practiced by?,Ancient civilizations,0.0,"['biotechnologist', 'Ancient civilizations', 'engineers', 'doctors']",Who practices biotechnology?,A. biotechnologist  B. Ancient civilizations  C. doctors  D. engineers,A,Is biotechnology practiced by biotechnologists?,Is biotechnology practiced by Ancient civilizations?,What is a common application of biotechnology?,Who practices biotechnologist?,What is a notable field of study for a biotechnologist who practices biotechnology?,Genetic engineering,"What is a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",CRISPR technology,"Which organism is commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Escherichia coli,"What is the primary habitat of Escherichia coli, an organism commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Intestines of warm-blooded organisms,"What is a common disease caused by Escherichia coli, which is found in the intestines of warm-blooded organisms and is commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Food poisoning
business_industry,technology,practiced by,technologist,What was technology practiced by?,Ancients,0.0,"['technologist', 'Ancients', 'engineer', 'scientist']",Who practices technology?,A. scientist  B. engineer  C. Ancients  D. technologist,D,Is technology practiced by technologist?,Is technology practiced by Ancients?,What is a common field associated with technology?,What does a technologist practice?,What is the primary field of study of a technologist who practices technology?,Engineering,"Which university is known for its strong engineering program, the primary field of study of a technologist who practices technology?",Massachusetts Institute of Technology (MIT),"In which city is the university located that is known for its strong engineering program, the primary field of study of a technologist who practices technology?",Cambridge,"In which state is the city located where the university known for its strong engineering program, the primary field of study of a technologist who practices technology, is situated?",Massachusetts,"In which country is the state located where the city is situated that contains the university known for its strong engineering program, the primary field of study of a technologist who practices technology?",United States
business_industry,technology,is the study of,technique,What does technology be the study of?,Science,0.0,"['technique', 'Science', 'engineering', 'mathematics']",What is technology the study of?,A. Science  B. technique  C. engineering  D. mathematics,B,Is technology the study of technique?,Is technology the study of Science?,What is a common application of technology?,What is the study of technique?,What is an example of a technique that technology is the study of?,Programming,What is a popular language used in the example of a technique that technology is the study of?,Python,Who created the popular language used in the example of a technique that technology is the study of?,Guido van Rossum,In which year was the popular language created by the person who created the example of a technique that technology is the study of?,1991,Which organization currently oversees the development of the popular language created in the year by the person who created the example of a technique that technology is the study of?,Python Software Foundation
business_industry,technology,uses,technique,What does technology use?,Energy,0.0,"['technique', 'Energy', 'material', 'information']",What is utilized by technology?,A. technique  B. material  C. Energy  D. information,A,Does technology use technique?,Does technology use Energy?,What is a common field associated with technology?,What uses technique?,What is an example of a technique that technology uses?,Algorithm,Who developed the example of a technique that technology uses?,Ada Lovelace,What is the nationality of the person who developed the example of a technique that technology uses?,British,In which century was the person who developed the example of a technique that technology uses born?,19th century,What is the name of the parent of the person who developed the example of a technique that technology uses?,Lord Byron
business_industry,technology,has characteristic,technological singularity,What does technology have characteristic?,Innovative,0.0,"['technological singularity', 'Innovative', 'automation', 'digital transformation']",What characteristic does technology possess?,A. Innovative  B. automation  C. technological singularity  D. digital transformation,C,Does technology have the characteristic of technological singularity?,Does technology have the characteristic of being Innovative?,What is a common application of technology in modern society?,What has the characteristic of technological singularity?,"What is a potential outcome of the technological singularity, which is a characteristic of technology?",Artificial superintelligence,"Who is a prominent advocate for the development of artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",Ray Kurzweil,"What book did Ray Kurzweil write that discusses artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",The Singularity Is Near,"In what year was 'The Singularity Is Near' published, a book by Ray Kurzweil that discusses artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",2005,"Which publishing company released 'The Singularity Is Near' in 2005, a book by Ray Kurzweil that discusses artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",Viking Press
business_industry,mass media,practiced by,media profession,What was mass media practiced by?,Masses,0.0,"['media profession', 'Masses', 'journalists', 'broadcasters']",Who practiced mass media?,A. broadcasters  B. Masses  C. journalists  D. media profession,D,Is mass media practiced by media profession?,Is mass media practiced by Masses?,What is a common form of mass media?,What profession practices media?,What is a common job title within the media profession that mass media was practiced by?,Journalist,"Which organization is a well-known employer of a journalist, a common job title within the media profession that mass media was practiced by?",The New York Times,"Who is a notable editor at The New York Times, a well-known employer of a journalist, a common job title within the media profession that mass media was practiced by?",Dean Baquet,"Which university did Dean Baquet, a notable editor at The New York Times, a well-known employer of a journalist, a common job title within the media profession that mass media was practiced by, attend?",Columbia University,"In which city is Columbia University located, the university attended by Dean Baquet, a notable editor at The New York Times, a well-known employer of a journalist, a common job title within the media profession that mass media was practiced by?",New York City
business_industry,industrial engineering,practiced by,industrial engineer,What was industrial engineering practiced by?,Frederick Taylor,0.0,"['industrial engineer', 'Frederick Taylor', 'mechanical engineer', 'civil engineer']",Who practices industrial engineering?,A. mechanical engineer  B. industrial engineer  C. Frederick Taylor  D. civil engineer,B,Is industrial engineering practiced by an industrial engineer?,Is industrial engineering practiced by Frederick Taylor?,What is a common task performed by an industrial engineer?,What profession practices industrial engineering?,What is a notable contribution made by an industrial engineer who practiced industrial engineering?,Time and motion studies,"Who is a famous person known for their work in time and motion studies, a notable contribution made by an industrial engineer who practiced industrial engineering?",Frederick Winslow Taylor,"What book did Frederick Winslow Taylor, known for his work in time and motion studies, write?",The Principles of Scientific Management,"In what year was 'The Principles of Scientific Management' written by Frederick Winslow Taylor, known for his work in time and motion studies, published?",1911,"Which organization adopted the principles from 'The Principles of Scientific Management' written by Frederick Winslow Taylor, known for his work in time and motion studies, in 1911?",Ford Motor Company
business_industry,dairy industry,field of work,dairying,What is the field of work of dairy industry?,Agriculture,0.0,"['dairying', 'Agriculture', 'farming', 'horticulture']",In which field does the dairy industry operate?,A. dairying  B. Agriculture  C. farming  D. horticulture,A,Is the field of work of the dairy industry dairying?,Is the field of work of the dairy industry Agriculture?,What is a common product produced by the dairy industry?,Which industry works in the field of dairying?,What is a common product produced in the field of work of the dairy industry?,Milk,Which animal is primarily associated with producing the common product in the field of work of the dairy industry?,Cow,What is the primary diet of the animal primarily associated with producing the common product in the field of work of the dairy industry?,Grass,What is a common nutrient found in the primary diet of the animal primarily associated with producing the common product in the field of work of the dairy industry?,Fiber,What is a common benefit of the nutrient found in the primary diet of the animal primarily associated with producing the common product in the field of work of the dairy industry?,Improved digestion
