topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_landmark,Hagia Sophia,field of work,Byzantine art,What is the field of work of Hagia Sophia?,Architecture,0.0,"['Byzantine art', 'Architecture', 'Renaissance art', 'Modern art']",In which field of work is Hagia Sophia involved?,A. Architecture  B. Modern art  C. Renaissance art  D. Byzantine art,D,Is the field of work of Hagia Sophia Byzantine art?,Is the field of work of Hagia Sophia Architecture?,In which city is Hagia Sophia located?,What is associated with Byzantine art in terms of field of work?,Who was the architect involved in the field of work of Hagia Sophia?,Isidore of Miletus,Which empire commissioned the architect involved in the field of work of Hagia Sophia?,Byzantine Empire,Who was the emperor of the empire that commissioned the architect involved in the field of work of Hagia Sophia?,Emperor Justinian I,Which famous legal code was created during the reign of the emperor who commissioned the architect involved in the field of work of Hagia Sophia?,Corpus Juris Civilis,In which century was the famous legal code created during the reign of the emperor who commissioned the architect involved in the field of work of Hagia Sophia?,6th century
places_landmark,Hadrian's Wall,maintained by,National Trust,What was Hadrian's Wall maintained by?,Roman legions,0.0,"['National Trust', 'Roman legions', 'English Heritage', 'Historic England']",Who is responsible for maintaining Hadrian's Wall?,A. National Trust  B. Roman legions  C. Historic England  D. English Heritage,A,Is Hadrian's Wall maintained by the National Trust?,Is Hadrian's Wall maintained by the Roman legions?,What is a famous feature of Hadrian's Wall?,What does the National Trust maintain?,Who is the current organization that maintains Hadrian's Wall?,English Heritage,Who is the CEO of the organization that currently maintains Hadrian's Wall?,Kate Mavor,Which university did the CEO of the organization that maintains Hadrian's Wall attend?,University of Oxford,What is the name of the college at the University of Oxford that the CEO of the organization maintaining Hadrian's Wall attended?,St Hilda's College,"In which year was the college at the University of Oxford, attended by the CEO of the organization maintaining Hadrian's Wall, founded?",1893
places_landmark,Arkansas Museum of Fine Arts,architect,Studio Gang Architects,What does Arkansas Museum of Fine Arts architect?,Fowler,0.0,"['Studio Gang Architects', 'Fowler', 'OMA', 'BIG']",Who is the architect of the Arkansas Museum of Fine Arts?,A. Fowler  B. Studio Gang Architects  C. BIG  D. OMA,B,Is Studio Gang Architects the architect of the Arkansas Museum of Fine Arts?,Is Fowler the architect of the Arkansas Museum of Fine Arts?,In which city is the Arkansas Museum of Fine Arts located?,Which museum was designed by Studio Gang Architects?,Who is the spouse of the architect of the Arkansas Museum of Fine Arts?,Billie Tsien,Which university did the spouse of the architect of the Arkansas Museum of Fine Arts attend for their undergraduate studies?,Yale University,In which city is the university that the spouse of the architect of the Arkansas Museum of Fine Arts attended located?,New Haven,In which state is the city located where the university that the spouse of the architect of the Arkansas Museum of Fine Arts attended is situated?,Connecticut,In which country is the state located where the city is situated that contains the university the spouse of the architect of the Arkansas Museum of Fine Arts attended?,United States
places_landmark,Palace Armoury,operator,Heritage Malta,What is the operator of Palace Armoury?,Palace Armoury: Lord Randyll Tarly,0.0,"['Heritage Malta', 'Palace Armoury: Lord Randyll Tarly', 'National Trust', 'Malta Tourism Authority']",Who operates the Palace Armoury?,A. Heritage Malta  B. National Trust  C. Palace Armoury: Lord Randyll Tarly  D. Malta Tourism Authority,A,Is Heritage Malta the operator of Palace Armoury?,Is Palace Armoury: Lord Randyll Tarly the operator of Palace Armoury?,What is a notable collection housed in the Palace Armoury?,What does Heritage Malta operate?,What is the name of the organization that operates the Palace Armoury?,Heritage Malta,Who is the chairman of the organization that operates the Palace Armoury?,Anthony Scicluna,Which university did the chairman of the organization that operates the Palace Armoury attend?,University of Malta,In which city is the university located that the chairman of the organization operating the Palace Armoury attended?,Msida,In which country is the city located where the university attended by the chairman of the organization operating the Palace Armoury is situated?,Malta
places_landmark,Abbaye de la Fille-Dieu Romont,diocese,"Roman Catholic Diocese of Lausanne, Geneva and Fribourg",What is the diocese of Abbaye de la Fille-Dieu Romont?,Romont,0.0,"['Roman Catholic Diocese of Lausanne, Geneva and Fribourg', 'Romont', 'Roman Catholic Diocese of Sion', 'Roman Catholic Diocese of Basel']",Which diocese does Abbaye de la Fille-Dieu Romont belong to?,"A. Roman Catholic Diocese of Basel  B. Romont  C. Roman Catholic Diocese of Sion  D. Roman Catholic Diocese of Lausanne, Geneva and Fribourg",D,"Is the diocese of Abbaye de la Fille-Dieu Romont the Roman Catholic Diocese of Lausanne, Geneva and Fribourg?",Is the diocese of Abbaye de la Fille-Dieu Romont Romont?,In which country is Abbaye de la Fille-Dieu Romont located?,"Which abbey is part of the Roman Catholic Diocese of Lausanne, Geneva and Fribourg?",Who is the bishop of the diocese that Abbaye de la Fille-Dieu Romont belongs to?,Charles Morerod,Which university did the bishop of the diocese that Abbaye de la Fille-Dieu Romont belongs to attend?,University of Fribourg,In which city is the university located that the bishop of the diocese of Abbaye de la Fille-Dieu Romont attended?,Fribourg,In which canton is the city located where the university attended by the bishop of the diocese of Abbaye de la Fille-Dieu Romont is situated?,Fribourg,In which country is the canton located where the city is situated that contains the university attended by the bishop of the diocese of Abbaye de la Fille-Dieu Romont?,Switzerland
places_landmark,Karlsborg Fortress,operator,Karlsborg Fortress Museum,What is the operator of Karlsborg Fortress?,Commander,0.0,"['Karlsborg Fortress Museum', 'Commander', 'Swedish Army', 'Karlsborg Municipality']",Who operates the Karlsborg Fortress?,A. Commander  B. Karlsborg Municipality  C. Karlsborg Fortress Museum  D. Swedish Army,C,Is the operator of Karlsborg Fortress the Karlsborg Fortress Museum?,Is the operator of Karlsborg Fortress the Commander?,In which country is the Karlsborg Fortress located?,What does the Karlsborg Fortress Museum operate?,Who is the current operator of Karlsborg Fortress?,Swedish Armed Forces,Who is the supreme commander of the current operator of Karlsborg Fortress?,Micael Bydén,Which branch of the military does the supreme commander of the current operator of Karlsborg Fortress belong to?,Swedish Air Force,In which year was the branch of the military that the supreme commander of the current operator of Karlsborg Fortress belongs to established?,1926,Who was the monarch of Sweden when the branch of the military that the supreme commander of the current operator of Karlsborg Fortress belongs to was established?,Gustaf V
places_landmark,Gripsholm Castle,occupant,National Portrait Gallery of Sweden,What is the occupant of Gripsholm Castle?,The occupant of Gripsholm Castle is the Royal Swedish Navy,0.0,"['National Portrait Gallery of Sweden', 'The Royal Swedish Navy', 'The Swedish Royal Family', 'The Swedish National Museum']",Who occupies Gripsholm Castle?,A. The occupant of Gripsholm Castle is the Royal Swedish Navy  B. National Portrait Gallery of Sweden  C. The Swedish Royal Family  D. The Swedish National Museum,B,Is the occupant of Gripsholm Castle the National Portrait Gallery of Sweden?,Is the occupant of Gripsholm Castle the Royal Swedish Navy?,What is a famous feature of Gripsholm Castle?,What castle is occupied by the National Portrait Gallery of Sweden?,Who was the famous king that occupied Gripsholm Castle?,Gustav I of Sweden,Which dynasty did the famous king who occupied Gripsholm Castle belong to?,House of Vasa,Who was the founder of the dynasty that the famous king who occupied Gripsholm Castle belonged to?,Gustav I of Sweden,Which war did the founder of the dynasty that the famous king who occupied Gripsholm Castle belong to lead Sweden in?,Swedish War of Liberation,Against which country did the founder of the dynasty that the famous king who occupied Gripsholm Castle belong to lead the Swedish War of Liberation?,Denmark
places_landmark,"Nigerian National Museum, Lagos",founded by,Kenneth Murray,"Who was Nigerian National Museum, Lagos founded by?",Olusegun Obasanjo,0.0,"['Kenneth Murray', 'Olusegun Obasanjo', 'Wole Soyinka', 'Chinua Achebe']",Who established the Nigerian National Museum in Lagos?,A. Wole Soyinka  B. Kenneth Murray  C. Olusegun Obasanjo  D. Chinua Achebe,B,"Was the Nigerian National Museum, Lagos founded by Kenneth Murray?","Was the Nigerian National Museum, Lagos founded by Olusegun Obasanjo?",In which city is the Nigerian National Museum located?,Who did Kenneth Murray found in Lagos?,"Who is the spouse of the person who founded the Nigerian National Museum, Lagos?",Janet Kenneth Murray,"Which university did the spouse of the person who founded the Nigerian National Museum, Lagos attend for their undergraduate studies?",University of Edinburgh,"In which city is the university that the spouse of the person who founded the Nigerian National Museum, Lagos attended located?",Edinburgh,"In which country is the city located where the university that the spouse of the person who founded the Nigerian National Museum, Lagos attended is situated?",Scotland,"What is the official language of the country where the city is located that contains the university the spouse of the person who founded the Nigerian National Museum, Lagos attended?",English
places_landmark,Hagia Sophia,patron saint,Jesus,Who is the patron saint of Hagia Sophia?,Saint Sophia,0.0,"['Jesus', 'Saint Sophia', 'Saint Peter', 'Saint Paul']",Who serves as the patron saint of Hagia Sophia?,A. Saint Paul  B. Saint Sophia  C. Jesus  D. Saint Peter,C,Is Jesus the patron saint of Hagia Sophia?,Is Saint Sophia the patron saint of Hagia Sophia?,What city is the Hagia Sophia located in?,Which building has Jesus as its patron saint?,Who is the patron saint of the Hagia Sophia?,Saint Sophia,What is the feast day of the patron saint of the Hagia Sophia?,September 17,Which empire was ruling during the construction of the Hagia Sophia?,Byzantine Empire,Who was the emperor of the Byzantine Empire during the construction of the Hagia Sophia?,Emperor Justinian I,What is the name of the famous law code compiled under the emperor who ruled during the construction of the Hagia Sophia?,Corpus Juris Civilis
places_landmark,Ellis Island,located in protected area,Statue of Liberty National Monument,What is the located in protected area of Ellis Island?,The Ellis Island Immigration Museum is located in a protected area of,0.0,"['Statue of Liberty National Monument', 'The Ellis Island Immigration Museum', 'Central Park', 'Liberty State Park']",Which protected area is Ellis Island located in?,A. Central Park  B. Liberty State Park  C. Statue of Liberty National Monument  D. The Ellis Island Immigration Museum is located in a protected area of,C,Is Ellis Island located in the Statue of Liberty National Monument?,Is Ellis Island located in the Ellis Island Immigration Museum?,What is a famous landmark associated with Ellis Island?,Where is the Statue of Liberty National Monument located?,What is the name of the protected area where Ellis Island is located?,Statue of Liberty National Monument,Which famous statue is part of the protected area where Ellis Island is located?,Statue of Liberty,Who designed the famous statue that is part of the protected area where Ellis Island is located?,Frédéric Auguste Bartholdi,In which country was the designer of the famous statue that is part of the protected area where Ellis Island is located born?,France,What is the capital city of the country where the designer of the famous statue that is part of the protected area where Ellis Island is located was born?,Paris
