topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_landmark,Ulriksdal Palace,owned by,National Property Board of Sweden,National Property Board of Sweden,What was Ulriksdal Palace owned by?,Swedish monarchy,0.0,"['National Property Board of Sweden', 'Swedish monarchy', 'Royal Swedish Academy of Sciences', 'Swedish National Heritage Board']",Who is the owner of Ulriksdal Palace?,A. Royal Swedish Academy of Sciences  B. Swedish National Heritage Board  C. National Property Board of Sweden  D. Swedish monarchy,C,Is Ulriksdal Palace owned by the National Property Board of Sweden?,Is Ulriksdal Palace owned by the Swedish monarchy?,What is a famous architectural style associated with Ulriksdal Palace?,What does the National Property Board of Sweden own?,Who is the current owner of Ulriksdal Palace?,The Swedish Royal Family,Who is the head of the family that owns Ulriksdal Palace?,King Carl XVI Gustaf,Who is the spouse of the head of the family that owns Ulriksdal Palace?,Queen Silvia of Sweden,What is the nationality of the spouse of the head of the family that owns Ulriksdal Palace?,German-Brazilian,In which country was the spouse of the head of the family that owns Ulriksdal Palace born?,Germany
places_landmark,Kazan Cathedral,named after,Our Lady of Kazan,Our Lady of Kazan,What was Kazan Cathedral named after?,Emperor,0.0,"['Our Lady of Kazan', 'Emperor', 'Saint Peter', 'Alexander Nevsky']",After whom was Kazan Cathedral named?,A. Our Lady of Kazan  B. Saint Peter  C. Emperor  D. Alexander Nevsky,A,Was Kazan Cathedral named after Our Lady of Kazan?,Was Kazan Cathedral named after an Emperor?,What is a famous architectural feature of Kazan Cathedral?,Which cathedral was named after Our Lady of Kazan?,Who is the Kazan Cathedral named after?,Our Lady of Kazan,What is the significance of the figure after whom the Kazan Cathedral is named?,Our Lady of Kazan is a holy icon of the Virgin Mary.,"In which country is the holy icon of the Virgin Mary, after whom the Kazan Cathedral is named, particularly venerated?",Russia,Which city in Russia is particularly associated with the holy icon of the Virgin Mary after whom the Kazan Cathedral is named?,Kazan,In which federal district of Russia is the city located that is associated with the holy icon of the Virgin Mary after whom the Kazan Cathedral is named?,Volga Federal District
places_landmark,Chichen Itza,location,Chichén-Itzá,Chichén-Itzá,What is the location of Chichen Itza?,"Yucatan, Mexico",0.0,"['Chichén-Itzá', 'Yucatan, Mexico', 'Tulum', 'Cancun']",Where is Chichen Itza located?,"A. Yucatan, Mexico  B. Tulum  C. Chichén-Itzá  D. Cancun",C,Is the location of Chichen Itza Chichén-Itzá?,"Is the location of Chichen Itza Yucatan, Mexico?",What is a famous pyramid located at Chichen Itza?,What is located at Chichén-Itzá?,In which country is Chichen Itza located?,Mexico,What is the capital city of the country where Chichen Itza is located?,Mexico City,Which famous historical site is located in the capital city of the country where Chichen Itza is located?,Zócalo,What is the name of the cathedral located at the famous historical site in the capital city of the country where Chichen Itza is located?,Metropolitan Cathedral,Who was the architect of the cathedral located at the famous historical site in the capital city of the country where Chichen Itza is located?,Claudio de Arciniega
places_landmark,Topkapı Palace,architectural style,Ottoman architecture,Ottoman architecture,What is the architectural style of Topkapı Palace?,Ottoman Baroque,0.0,"['Ottoman architecture', 'Ottoman Baroque', 'Byzantine architecture', 'Gothic architecture']",Which architectural style is Topkapı Palace built in?,A. Ottoman architecture  B. Ottoman Baroque  C. Byzantine architecture  D. Gothic architecture,A,Is the architectural style of Topkapı Palace Ottoman architecture?,Is the architectural style of Topkapı Palace Ottoman Baroque?,In which city is Topkapı Palace located?,Which palace is an example of Ottoman architecture?,Who was the architect of the Topkapı Palace?,Mimar Sinan,Which empire did the architect of the Topkapı Palace serve?,Ottoman Empire,Who was the founder of the empire that the architect of the Topkapı Palace served?,Osman I,In which century did the founder of the empire that the architect of the Topkapı Palace served live?,13th century,Which region was the birthplace of the founder of the empire that the architect of the Topkapı Palace served?,Söğüt
places_landmark,Grand Kremlin Palace,architectural style,Byzantine Revival architecture,Byzantine Revival architecture,What is the architectural style of Grand Kremlin Palace?,Baroque & Russian Revival,0.0,"['Byzantine Revival architecture', 'Baroque & Russian Revival', 'Gothic Revival', 'Neoclassical']",Which architectural style characterizes the Grand Kremlin Palace?,A. Gothic Revival  B. Neoclassical  C. Byzantine Revival architecture  D. Baroque & Russian Revival,C,Is the architectural style of Grand Kremlin Palace Byzantine Revival architecture?,Is the architectural style of Grand Kremlin Palace Baroque & Russian Revival?,In which city is the Grand Kremlin Palace located?,Which palace is designed in the Byzantine Revival architectural style?,Who was the architect of the Grand Kremlin Palace?,Konstantin Thon,Which other famous building was designed by the architect of the Grand Kremlin Palace?,Cathedral of Christ the Saviour,In which city is the other famous building designed by the architect of the Grand Kremlin Palace located?,Moscow,On which river is the city located where the other famous building designed by the architect of the Grand Kremlin Palace is situated?,Moskva River,In which country is the river located where the city is situated that contains the other famous building designed by the architect of the Grand Kremlin Palace?,Russia
places_landmark,Panathenaic Stadium,architectural style,ancient Greek architecture,ancient Greek architecture,What is the architectural style of Panathenaic Stadium?,Neoclassical,0.0,"['ancient Greek architecture', 'Neoclassical', 'Romanesque', 'Gothic']",Which architectural style does the Panathenaic Stadium belong to?,A. Romanesque  B. Neoclassical  C. Gothic  D. ancient Greek architecture,D,Is the architectural style of Panathenaic Stadium ancient Greek architecture?,Is the architectural style of Panathenaic Stadium Neoclassical?,In which city is the Panathenaic Stadium located?,Which stadium is designed in ancient Greek architecture?,Who was the architect of the Panathenaic Stadium?,Anastasios Metaxas,Which other famous structure was designed by the architect of the Panathenaic Stadium?,National Archaeological Museum of Athens,In which city is the other famous structure designed by the architect of the Panathenaic Stadium located?,Athens,In which country is the city located where the other famous structure designed by the architect of the Panathenaic Stadium is situated?,Greece,What is the primary language spoken in the country where the city is located that contains the other famous structure designed by the architect of the Panathenaic Stadium?,Greek
places_landmark,Drottningholm Palace,owned by,National Property Board of Sweden,National Property Board of Sweden,What was Drottningholm Palace owned by?,Swedish monarchy,0.0,"['National Property Board of Sweden', 'Swedish monarchy', 'Royal Swedish Academy of Sciences', 'Swedish National Heritage Board']",Who is the owner of Drottningholm Palace?,A. National Property Board of Sweden  B. Swedish monarchy  C. Royal Swedish Academy of Sciences  D. Swedish National Heritage Board,A,Is Drottningholm Palace owned by the National Property Board of Sweden?,Is Drottningholm Palace owned by the Swedish monarchy?,What is a famous architectural feature of Drottningholm Palace?,What does the National Property Board of Sweden own?,Who is the current owner of Drottningholm Palace?,The Swedish Royal Family,Who is the head of the Swedish Royal Family that owns Drottningholm Palace?,King Carl XVI Gustaf,Who is the spouse of the head of the Swedish Royal Family that owns Drottningholm Palace?,Queen Silvia of Sweden,What is the nationality of the spouse of the head of the Swedish Royal Family that owns Drottningholm Palace?,German-Brazilian,In which country was the spouse of the head of the Swedish Royal Family that owns Drottningholm Palace born?,Germany
places_landmark,Spanish Steps,architect,Francesco de Sanctis,Francesco de Sanctis,Who does Spanish Steps architect?,Fontana,0.0,"['Francesco de Sanctis', 'Fontana', 'Gian Lorenzo Bernini', 'Michelangelo']",Who is the architect of the Spanish Steps?,A. Fontana  B. Francesco de Sanctis  C. Michelangelo  D. Gian Lorenzo Bernini,B,Is Francesco de Sanctis the architect of the Spanish Steps?,Is Fontana the architect of the Spanish Steps?,In which city are the Spanish Steps located?,Who did Francesco de Sanctis design?,Who was the architect of the Spanish Steps?,Francesco de Sanctis,In which city did the architect of the Spanish Steps work?,Rome,In which country is the city located where the architect of the Spanish Steps worked?,Italy,What is the official language of the country where the city is located that the architect of the Spanish Steps worked?,Italian,What is the currency used in the country where the city is located that the architect of the Spanish Steps worked?,Euro
places_landmark,Tsaritsyno Park + palace,architectural style,Gothic Revival,Gothic Revival,What is the architectural style of Tsaritsyno Park + palace?,Baroque and Russian Rococo,0.0,"['Gothic Revival', 'Baroque and Russian Rococo', 'Neoclassical', 'Art Nouveau']",Which architectural style characterizes Tsaritsyno Park + palace?,A. Neoclassical  B. Art Nouveau  C. Baroque and Russian Rococo  D. Gothic Revival,D,Is the architectural style of Tsaritsyno Park + palace Gothic Revival?,Is the architectural style of Tsaritsyno Park + palace Baroque and Russian Rococo?,In which city is Tsaritsyno Park + palace located?,Which park + palace is designed in the Gothic Revival architectural style?,Who was the architect of the Tsaritsyno Park + palace known for its architectural style?,Vasily Bazhenov,Which other famous building was designed by the architect of the Tsaritsyno Park + palace?,Pashkov House,In which city is the other famous building designed by the architect of the Tsaritsyno Park + palace located?,Moscow,Which river flows through the city where the other famous building designed by the architect of the Tsaritsyno Park + palace is located?,Moskva River,Into which larger body of water does the river that flows through the city with the other famous building designed by the architect of the Tsaritsyno Park + palace eventually flow?,Caspian Sea
places_landmark,Uppsala Castle,architectural style,Renaissance architecture,Renaissance architecture,What is the architectural style of Uppsala Castle?,Gothic,0.0,"['Renaissance architecture', 'Gothic', 'Baroque', 'Neoclassical']",Which architectural style characterizes Uppsala Castle?,A. Renaissance architecture  B. Gothic  C. Neoclassical  D. Baroque,A,Is the architectural style of Uppsala Castle Renaissance architecture?,Is the architectural style of Uppsala Castle Gothic?,In which city is Uppsala Castle located?,Which castle is known for its Renaissance architecture?,Who was the architect of the Uppsala Castle?,Caspar van Panten,What other notable building was designed by the architect of the Uppsala Castle?,Kalmar Castle,In which city is the other notable building designed by the architect of the Uppsala Castle located?,Kalmar,In which county is the city located where the other notable building designed by the architect of the Uppsala Castle is situated?,Kalmar County,In which country is the county located where the city is situated that contains the other notable building designed by the architect of the Uppsala Castle?,Sweden
places_landmark,Ellis Island,located in protected area,Statue of Liberty National Monument,Statue of Liberty National Monument,What is the located in protected area of Ellis Island?,Museum,0.0,"['Statue of Liberty National Monument', 'Museum', 'Central Park', 'Liberty State Park']",What protected area is Ellis Island located in?,A. Central Park  B. Statue of Liberty National Monument  C. Museum  D. Liberty State Park,B,Is Ellis Island located in the Statue of Liberty National Monument?,Is Ellis Island located in a Museum?,What famous landmark is Ellis Island known for?,Where is the Statue of Liberty National Monument located?,What is the name of the protected area where Ellis Island is located?,Statue of Liberty National Monument,Which famous statue is part of the protected area where Ellis Island is located?,Statue of Liberty,Who gifted the famous statue that is part of the protected area where Ellis Island is located?,France,"In which year was the famous statue, part of the protected area where Ellis Island is located, gifted?",1886,"Who was the President of the United States when the famous statue, part of the protected area where Ellis Island is located, was dedicated?",Grover Cleveland
places_landmark,Yellowstone National Park,heritage designation,World Heritage Site,World Heritage Site,What is the heritage designation of Yellowstone National Park?,Established Park (1872),0.0,"['World Heritage Site', 'Established Park (1872)', 'National Monument', 'Protected Area']",How is Yellowstone National Park designated in terms of heritage?,A. Established Park (1872)  B. National Monument  C. World Heritage Site  D. Protected Area,C,Is the heritage designation of Yellowstone National Park a World Heritage Site?,Is the heritage designation of Yellowstone National Park an Established Park (1872)?,In which year was Yellowstone National Park established?,Which national park has the heritage designation of World Heritage Site?,Which organization designated Yellowstone National Park as a heritage site?,UNESCO,In which year did UNESCO designate Yellowstone National Park as a World Heritage Site?,1978,Which country is home to the first national park designated as a World Heritage Site by UNESCO in 1978?,United States,Which continent is the country located in that is home to the first national park designated as a World Heritage Site by UNESCO in 1978?,North America,What is the name of the mountain range that runs through the continent where the country is located that is home to the first national park designated as a World Heritage Site by UNESCO in 1978?,Rocky Mountains
places_landmark,Shakespeare and Company,location,Rive Gauche,Rive Gauche,What is the location of Shakespeare and Company?,"Paris, France",0.0,"['Rive Gauche', 'Paris, France', 'Left Bank', 'Seine River']",Where is Shakespeare and Company situated?,"A. Rive Gauche  B. Paris, France  C. Seine River  D. Left Bank",A,Is the location of Shakespeare and Company Rive Gauche?,"Is the location of Shakespeare and Company Paris, France?",What type of establishment is Shakespeare and Company known as?,What is located at Rive Gauche?,What is the name of the city where Shakespeare and Company is located?,Paris,Which river flows through the city where Shakespeare and Company is located?,Seine,What is the name of the island located in the river that flows through the city where Shakespeare and Company is located?,Île de la Cité,What famous cathedral is located on the island in the river that flows through the city where Shakespeare and Company is located?,Notre-Dame Cathedral,In which arrondissement of Paris is the famous cathedral located on the island in the river that flows through the city where Shakespeare and Company is located?,4th arrondissement
places_landmark,Galata Tower,location,Galata,Galata,What is the location of Galata Tower?,"Istanbul, Turkey",0.0,"['Galata', 'Istanbul, Turkey', 'Beyoglu', 'Sultanahmet']",Where is Galata Tower situated?,"A. Sultanahmet  B. Beyoglu  C. Istanbul, Turkey  D. Galata",D,Is the location of Galata Tower Galata?,"Is the location of Galata Tower Istanbul, Turkey?",What is a famous historical feature of Galata Tower?,What is located in Galata?,What is the country where the Galata Tower is located?,Turkey,What is the capital city of the country where the Galata Tower is located?,Ankara,What is the population of the capital city of the country where the Galata Tower is located?,Approximately 5.5 million,What is the name of the river that flows through the capital city of the country where the Galata Tower is located?,Ankara River,What is the length of the river that flows through the capital city of the country where the Galata Tower is located?,Approximately 131 kilometers
places_landmark,Malta Maritime Museum,curator,Antonio Espinosa Rodriguez,Antonio Espinosa Rodriguez,Who is the curator of Malta Maritime Museum?,"Name not provided. (As of my last update, the museum's website",0.0,"['Antonio Espinosa Rodriguez', ""Name not provided. (As of my last update, the museum's website"", 'Maria Johnson', 'John Smith']",Who holds the position of curator at the Malta Maritime Museum?,"A. Name not provided. (As of my last update, the museum's website  B. Antonio Espinosa Rodriguez  C. John Smith  D. Maria Johnson",B,Is Antonio Espinosa Rodriguez the curator of the Malta Maritime Museum?,"Is Name not provided. (As of my last update, the museum's website the curator of the Malta Maritime Museum?",What type of exhibits can be found at the Malta Maritime Museum?,Who is curated by Antonio Espinosa Rodriguez?,What is the nationality of the curator of the Malta Maritime Museum?,Maltese,What is the capital city of the country where the curator of the Malta Maritime Museum is from?,Valletta,Which famous harbor is located in the capital city of the country where the curator of the Malta Maritime Museum is from?,Grand Harbour,Which historical event is associated with the famous harbor located in the capital city of the country where the curator of the Malta Maritime Museum is from?,The Great Siege of Malta,In which year did the historical event associated with the famous harbor in the capital city of the country where the curator of the Malta Maritime Museum is from take place?,1565
