topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
art_sculpture,Cadillac Ranch,depicts,motor car,What does Cadillac Ranch depict?,Art,0.0,"['motor car', 'Art', 'landscape', 'sculpture']",What is depicted by Cadillac Ranch?,A. landscape  B. sculpture  C. Art  D. motor car,D,Does Cadillac Ranch depict a motor car?,Does Cadillac Ranch depict Art?,Where is Cadillac Ranch located?,What depicts a motor car at Cadillac Ranch?,Who is the artist that created the artwork that Cadillac Ranch depicts?,Ant Farm,In which year was the artwork created by the artist who created the artwork that Cadillac Ranch depicts?,1974,In which state is the artwork created by the artist who created the artwork that Cadillac Ranch depicts located?,Texas,In which city is the state located where the artwork created by the artist who created the artwork that Cadillac Ranch depicts is situated?,Amarillo,In which country is the city located where the state is situated that contains the artwork created by the artist who created the artwork that Cadillac Ranch depicts?,United States
art_sculpture,Unique Forms of Continuity in Space,genre,art of sculpture,What is the genre of Unique Forms of Continuity in Space?,Minimalism,0.0,"['art of sculpture', 'Minimalism', 'abstract painting', 'cubism']",Which genre does Unique Forms of Continuity in Space belong to?,A. Minimalism  B. cubism  C. art of sculpture  D. abstract painting,C,Is the genre of Unique Forms of Continuity in Space the art of sculpture?,Is the genre of Unique Forms of Continuity in Space Minimalism?,Who is the artist behind Unique Forms of Continuity in Space?,What artwork belongs to the genre of art of sculpture?,Who is the artist of the art of sculpture Unique Forms of Continuity in Space?,Umberto Boccioni,What is the nationality of the artist of the art of sculpture Unique Forms of Continuity in Space?,Italian,In which year was the artist of the art of sculpture Unique Forms of Continuity in Space born?,1882,In which city was the artist of the art of sculpture Unique Forms of Continuity in Space born?,Reggio Calabria,In which country is the city located where the artist of the art of sculpture Unique Forms of Continuity in Space was born?,Italy
art_sculpture,Earl Haig Memorial,located on street,Whitehall,What is the located on street of Earl Haig Memorial?,Earl Haig Memorial: Victoria Embankment,0.0,"['Whitehall', 'Earl Haig Memorial: Victoria Embankment', 'Trafalgar Square', 'The Mall']",On which street is the Earl Haig Memorial located?,A. Whitehall  B. The Mall  C. Earl Haig Memorial: Victoria Embankment  D. Trafalgar Square,A,Is the Earl Haig Memorial located on Whitehall?,Is the Earl Haig Memorial located on Earl Haig Memorial: Victoria Embankment?,What is a famous attribute or landmark near the Earl Haig Memorial?,Which memorial is located on Whitehall?,What is a notable building located on the street where the Earl Haig Memorial is located?,The Cenotaph,Who designed the notable building located on the street where the Earl Haig Memorial is located?,Edwin Lutyens,"In which year was the notable building designed by Edwin Lutyens, located on the street where the Earl Haig Memorial is located, completed?",1920,"Which British monarch was reigning when the notable building designed by Edwin Lutyens, located on the street where the Earl Haig Memorial is located, was completed?",King George V,"Which war is commemorated by the notable building designed by Edwin Lutyens, located on the street where the Earl Haig Memorial is located?",World War I
art_sculpture,Goya memorial,owned by,Zaragoza City Council,What was Goya memorial owned by?,Goya,0.0,"['Zaragoza City Council', 'Goya', 'Madrid City Council', 'Barcelona City Council']",Who is the owner of the Goya memorial?,A. Madrid City Council  B. Goya  C. Zaragoza City Council  D. Barcelona City Council,C,Is the Goya memorial owned by Zaragoza City Council?,Is the Goya memorial owned by Goya?,In which city is the Goya memorial located?,What does Zaragoza City Council own?,Who is the mayor of the city that the Goya memorial is owned by?,Jorge Azcón,Which political party does the mayor of the city that the Goya memorial is owned by belong to?,People's Party,When was the political party that the mayor of the city that the Goya memorial is owned by founded?,1989,Who was the founder of the political party that the mayor of the city that the Goya memorial is owned by belongs to?,Manuel Fraga,What position did the founder of the political party that the mayor of the city that the Goya memorial is owned by belongs to hold in the Spanish government?,Minister of Information and Tourism
art_sculpture,Moses,time period,High Renaissance,What is the time period of Moses?,Approximately 1300-1200 BCE,0.0,"['High Renaissance', 'Approximately 1300-1200 BCE', 'Middle Ages', 'Baroque']",During which time period did Moses exist?,A. High Renaissance  B. Baroque  C. Middle Ages  D. Approximately 1300-1200 BCE,A,Is the time period of Moses the High Renaissance?,Is the time period of Moses approximately 1300-1200 BCE?,What is a well-known attribute of Moses?,Who is associated with the High Renaissance time period?,Who was a prominent artist during the time period of Moses?,Michelangelo,What is a famous work created by a prominent artist during the time period of Moses?,David,In which city can you find a famous work created by a prominent artist during the time period of Moses?,Florence,In which country is the city located where you can find a famous work created by a prominent artist during the time period of Moses?,Italy,What is the official language of the country where the city is located that contains a famous work created by a prominent artist during the time period of Moses?,Italian
art_sculpture,Venus de Milo,location of creation,Milos,Who is the location of creation of Venus de Milo?,Greece,0.0,"['Milos', 'Greece', 'Athens', 'Rome']",Where was the Venus de Milo created?,A. Milos  B. Rome  C. Athens  D. Greece,A,Was the Venus de Milo created in Milos?,Was the Venus de Milo created in Greece?,What is a famous feature of the Venus de Milo?,What was created in Milos?,What is the country where the location of creation of Venus de Milo is situated?,Greece,What is the capital city of the country where the location of creation of Venus de Milo is situated?,Athens,What is the population of the capital city of the country where the location of creation of Venus de Milo is situated?,"Approximately 664,046",What is the main language spoken in the capital city of the country where the location of creation of Venus de Milo is situated?,Greek,What is the currency used in the country where the location of creation of Venus de Milo is situated?,Euro
art_sculpture,Apollo and Daphne,genre,group of sculptures,What is the genre of Apollo and Daphne?,Mythology,0.0,"['group of sculptures', 'Mythology', 'painting', 'literature']",Which genre does Apollo and Daphne belong to?,A. literature  B. group of sculptures  C. painting  D. Mythology,B,Is the genre of Apollo and Daphne a group of sculptures?,Is the genre of Apollo and Daphne Mythology?,Who are the main characters in the story of Apollo and Daphne?,What is a group of sculptures that includes Apollo and Daphne?,Who is the artist of the group of sculptures that is the genre of Apollo and Daphne?,Gian Lorenzo Bernini,In which city can you find the artist of the group of sculptures that is the genre of Apollo and Daphne's most famous works?,Rome,Which museum in the city where you can find the artist of the group of sculptures that is the genre of Apollo and Daphne's most famous works houses Apollo and Daphne?,Galleria Borghese,"In which year was the museum that houses Apollo and Daphne, created by the artist of the group of sculptures that is the genre of Apollo and Daphne, established?",1903,"Who was the founder of the museum established in 1903 that houses Apollo and Daphne, created by the artist of the group of sculptures that is the genre of Apollo and Daphne?",Scipione Borghese
art_sculpture,Peace Monument,made from material,marble,What is the made from material of Peace Monument?,Bronze,0.0,"['marble', 'Bronze', 'granite', 'limestone']",What material is the Peace Monument made from?,A. limestone  B. Bronze  C. marble  D. granite,C,Is the Peace Monument made from marble?,Is the Peace Monument made from Bronze?,Where is the Peace Monument located?,What monument is made from marble?,Where is the quarry located that provided the marble for the Peace Monument?,"Carrara, Italy","What is the historical significance of the quarry located in Carrara, Italy, that provided the marble for the Peace Monument?",The Carrara quarries have been used since Roman times and are known for producing high-quality marble.,Which famous artist used marble from the historically significant Carrara quarries that provided the marble for the Peace Monument?,Michelangelo,Which famous sculpture by Michelangelo was made using marble from the Carrara quarries that provided the marble for the Peace Monument?,David,"In which city is the famous sculpture 'David' by Michelangelo, made from Carrara marble, located?",Florence
art_sculpture,Albert Memorial,located in the administrative territorial entity,City of Westminster,What is the located in the administrative territorial entity of Albert Memorial?,London,0.0,"['City of Westminster', 'London', 'Kensington', 'Chelsea']",In which administrative territorial entity is the Albert Memorial located?,A. Kensington  B. Chelsea  C. London  D. City of Westminster,D,Is the Albert Memorial located in the City of Westminster?,Is the Albert Memorial located in London?,Who is the Albert Memorial dedicated to?,What monument is located in the administrative territorial entity of the City of Westminster?,"Who is the mayor of the City of Westminster, where the Albert Memorial is located?",Jonathan Glanz,"What is the political party of the mayor of the City of Westminster, where the Albert Memorial is located?",Conservative Party,"Who is the leader of the political party of the mayor of the City of Westminster, where the Albert Memorial is located?",Rishi Sunak,"What is the official residence of the leader of the political party of the mayor of the City of Westminster, where the Albert Memorial is located?",10 Downing Street,"In which city is the official residence of the leader of the political party of the mayor of the City of Westminster, where the Albert Memorial is located?",London
art_sculpture,Emancipation Memorial,creator,Thomas Ball,Who is the creator of Emancipation Memorial?,Frederick Douglass,0.0,"['Thomas Ball', 'Frederick Douglass', 'Abraham Lincoln', 'Daniel Chester French']",Who designed the Emancipation Memorial?,A. Frederick Douglass  B. Abraham Lincoln  C. Thomas Ball  D. Daniel Chester French,C,Is Thomas Ball the creator of Emancipation Memorial?,Is Frederick Douglass the creator of Emancipation Memorial?,In which city is the Emancipation Memorial located?,What did Thomas Ball create?,What is the birthplace of the creator of Emancipation Memorial?,"Charlestown, Massachusetts",What is the population of the birthplace of the creator of Emancipation Memorial?,"Approximately 40,000",What is the area in square miles of the birthplace of the creator of Emancipation Memorial?,1.4 square miles,What is the name of the county where the birthplace of the creator of Emancipation Memorial is located?,Middlesex County,What is the name of the state where the county is located that contains the birthplace of the creator of Emancipation Memorial?,Massachusetts
