topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_city,Toronto,head of government,Olivia Chow,Who is the head of government of Toronto?,John Tory,0.0,"['Olivia Chow', 'John Tory', 'Doug Ford', 'Justin Trudeau']",Who governs Toronto?,A. Doug Ford  B. Justin Trudeau  C. John Tory  D. Olivia Chow,D,Is Olivia Chow the head of government of Toronto?,Is John Tory the head of government of Toronto?,What is a famous landmark in Toronto?,Which city is governed by Olivia Chow?,What is the name of the head of government of Toronto?,Olivia Chow,Which political party is the head of government of Toronto affiliated with?,New Democratic Party,Who is the leader of the political party that the head of government of Toronto is affiliated with?,Jagmeet Singh,Which university did the leader of the political party that the head of government of Toronto is affiliated with attend?,Osgoode Hall Law School,In which city is the university located that the leader of the political party affiliated with the head of government of Toronto attended?,Toronto
places_city,Nuweiba,country,Egypt,What is the country of Nuweiba?,Nuweiba is not a country,0.0,"['Egypt', 'Nuweiba is not a country', 'Jordan', 'Saudi Arabia']",Which country is Nuweiba located in?,A. Egypt  B. Jordan  C. Saudi Arabia  D. Nuweiba is not a country,A,Is Egypt the country of Nuweiba?,Is Nuweiba is not a country the country of Nuweiba?,What is a popular tourist activity in Nuweiba?,Which city in Egypt is Nuweiba?,What is the capital of the country where Nuweiba is located?,Cairo,Which river flows through the capital of the country where Nuweiba is located?,Nile River,What is the length of the river that flows through the capital of the country where Nuweiba is located?,"6,650 kilometers",Which sea does the river that flows through the capital of the country where Nuweiba is located eventually empty into?,Mediterranean Sea,Which strait connects the sea that the river flowing through the capital of the country where Nuweiba is located empties into with the Atlantic Ocean?,Strait of Gibraltar
places_city,Yungay,country,Peru,What is the country of Yungay?,Yungay is not a country,0.0,"['Peru', 'Yungay is not a country', 'Chile', 'Argentina']",Which country is Yungay located in?,A. Chile  B. Argentina  C. Peru  D. Yungay is not a country,C,Is the country of Yungay Peru?,Is the country of Yungay 'Yungay is not a country'?,What is a famous mountain range near Yungay?,Which city is located in Peru?,What is the capital of the country where Yungay is located?,Lima,Which river runs through the capital of the country where Yungay is located?,Rímac River,What is the length of the river that runs through the capital of the country where Yungay is located?,204 kilometers,Into which ocean does the river that runs through the capital of the country where Yungay is located flow?,Pacific Ocean,Which tectonic plate is associated with the ocean into which the river that runs through the capital of the country where Yungay is located flows?,Nazca Plate
places_city,Minas,official language,Spanish,What is the official language of Minas?,Portuguese,0.0,"['Spanish', 'Portuguese', 'French', 'Italian']",Which language is officially spoken in Minas?,A. Italian  B. French  C. Spanish  D. Portuguese,C,Is the official language of Minas Spanish?,Is the official language of Minas Portuguese?,What is a popular tourist attraction in Minas?,In which place is Spanish the official language?,What is the official language of the country where Minas is located?,Portuguese,What is the capital city of the country where the official language is Portuguese and Minas is located?,Brasília,Which continent is the capital city Brasília located in?,South America,What is the largest country by area in the continent where Brasília is located?,Brazil,What is the population of the largest country by area in South America?,Approximately 213 million
places_city,Buchanan,country,Liberia,What is the country of Buchanan?,Buchanan is a fictional country,0.0,"['Liberia', 'Buchanan is a fictional country', 'Ghana', 'Nigeria']",Which country is Buchanan located in?,A. Ghana  B. Buchanan is a fictional country  C. Liberia  D. Nigeria,C,Is the country of Buchanan Liberia?,Is the country of Buchanan a fictional country?,What is a well-known port city in Liberia?,Which city is located in Liberia?,What is the capital of the country where Buchanan is located?,Monrovia,Which river flows through the capital of the country where Buchanan is located?,Saint Paul River,What is the length of the river that flows through the capital of the country where Buchanan is located?,280 miles,Which ocean does the river that flows through the capital of the country where Buchanan is located empty into?,Atlantic Ocean,"Which continent is the ocean located on that the river flows into, which passes through the capital of the country where Buchanan is located?",Africa
places_city,Ouésso,country,Republic of the Congo,What is the country of Ouésso?,Ouésso is not a country,0.0,"['Republic of the Congo', 'Oueso is not a country', 'Gabon', 'Cameroon']",Which country is Ouésso located in?,A. Republic of the Congo  B. Gabon  C. Cameroon  D. Ouésso is not a country,A,Is the country of Ouésso the Republic of the Congo?,Is the country of Ouésso Ouésso is not a country?,What is a well-known river near Ouésso?,Which city is located in the Republic of the Congo?,What is the official language of the country where Ouésso is located?,French,Who is the current president of the country where the official language is French and Ouésso is located?,Denis Sassou Nguesso,What is the capital city of the country whose current president is Denis Sassou Nguesso?,Brazzaville,Which river flows through the capital city of the country whose current president is Denis Sassou Nguesso?,Congo River,What is the length of the river that flows through the capital city of the country where Ouésso is located?,"4,700 kilometers"
places_city,Errenteria,location,Basque Autonomous Community,What is the location of Errenteria?,Errenteria is in Spain,0.0,"['Basque Autonomous Community', 'Errenteria is in Spain', 'Catalonia', 'Galicia']",Where is Errenteria located?,A. Catalonia  B. Basque Autonomous Community  C. Galicia  D. Errenteria is in Spain,B,Is the location of Errenteria the Basque Autonomous Community?,Is the location of Errenteria Spain?,What is a notable feature or landmark in Errenteria?,What is located in the Basque Autonomous Community?,What is the population of the location of Errenteria?,"Approximately 39,000",What is the official language spoken in the location of Errenteria?,Basque and Spanish,What is the name of the autonomous community where the location of Errenteria is situated?,Basque Country,What is the capital of the autonomous community where the location of Errenteria is situated?,Vitoria-Gasteiz,In which country is the autonomous community located where the capital is Vitoria-Gasteiz?,Spain
places_city,Westport,historic county,County Mayo,What is the historic county of Westport?,"Westport, Ireland",0.0,"['County Mayo', 'Westport, Ireland', 'County Galway', 'County Sligo']",Which historic county is Westport part of?,"A. Westport, Ireland  B. County Galway  C. County Sligo  D. County Mayo",D,Is the historic county of Westport County Mayo?,"Is the historic county of Westport Westport, Ireland?",What is a well-known tourist attraction in Westport?,Which town is located in County Mayo?,What is the historic county of Westport?,County Mayo,What is the largest town in the historic county of Westport?,Castlebar,Which river flows through the largest town in the historic county of Westport?,River Moy,Into which body of water does the river that flows through the largest town in the historic county of Westport empty?,Atlantic Ocean,Which ocean is connected to the body of water into which the river that flows through the largest town in the historic county of Westport empties?,Atlantic Ocean
places_city,Dodola,country,Ethiopia,What is the country of Dodola?,Dodola is not a recognized country,0.0,"['Ethiopia', 'Dodola is not a recognized country', 'Kenya', 'Somalia']",Which country is Dodola located in?,A. Ethiopia  B. Somalia  C. Kenya  D. Dodola is not a recognized country,A,Is Ethiopia the country of Dodola?,Is Dodola not a recognized country?,What is a famous landmark in Dodola?,Which city is located in Ethiopia?,What is the capital of the country where Dodola is located?,Ljubljana,Which river flows through the capital of the country where Dodola is located?,Ljubljanica River,What is the length of the river that flows through the capital of the country where Dodola is located?,41 kilometers,Which sea does the river that flows through the capital of the country where Dodola is located eventually drain into?,Adriatic Sea,Which major European mountain range is near the sea that the river flowing through the capital of the country where Dodola is located drains into?,Alps
places_city,Lastoursville,named after,François Rigail de Lastours,Who was Lastoursville named after?,Lastoursville,0.0,"['François Rigail de Lastours', 'Lastoursville', 'Pierre Savorgnan de Brazza', 'Albert Schweitzer']",After whom was Lastoursville named?,A. Pierre Savorgnan de Brazza  B. François Rigail de Lastours  C. Albert Schweitzer  D. Lastoursville,B,Was Lastoursville named after François Rigail de Lastours?,Was Lastoursville named after Lastoursville?,What country is Lastoursville located in?,Which place was named after François Rigail de Lastours?,Who is Lastoursville named after?,François Rigail de Lastours,What was the profession of the person Lastoursville is named after?,Explorer,"Which country did the explorer, after whom Lastoursville is named, originate from?",France,"What is the capital city of the country where the explorer, after whom Lastoursville is named, originated?",Paris,"On which river is the capital city located in the country where the explorer, after whom Lastoursville is named, originated?",Seine
places_city,Leme,country,Brazil,What is the country of Leme?,Leme is not a country,0.0,"['Brazil', 'Leme is not a country', 'Argentina', 'Portugal']",Which country is Leme located in?,A. Portugal  B. Leme is not a country  C. Brazil  D. Argentina,C,Is Brazil the country of Leme?,Is Leme not a country?,What is a famous city in Brazil?,What city is in Brazil?,What is the capital of the country where Leme is located?,Brasília,What is the official language of the country whose capital is Brasília?,Portuguese,What is the population of the country where the official language is Portuguese and the capital is Brasília?,Approximately 213 million,What is the currency used in the country with a population of approximately 213 million and where the official language is Portuguese?,Brazilian Real,What is the international dialing code for the country that uses the Brazilian Real as its currency?,+55
places_city,Královo Pole,historical region,Moravia,What is the historical region of Královo Pole?,Královo Pole - Bohemia,0.0,"['Moravia', 'Bohemia', 'Silesia', 'Slovakia']",Which historical region does Královo Pole belong to?,A. Královo Pole - Bohemia  B. Slovakia  C. Silesia  D. Moravia,D,Is the historical region of Královo Pole Moravia?,Is the historical region of Královo Pole Bohemia?,What is a well-known city in Královo Pole?,Which area is part of Moravia?,What is the capital of the historical region that Královo Pole is part of?,Brno,Which country is the capital of the historical region that Královo Pole is part of located in?,Czech Republic,What is the official language of the country where the capital of the historical region that Královo Pole is part of is located?,Czech,What is the currency used in the country where the official language is Czech?,Czech koruna,What is the symbol for the currency used in the country where the official language is Czech?,CZK
places_city,Melbourne,Köppen climate classification,Oceanic climate,What is the Köppen climate classification of Melbourne?,Cfb,0.0,"['Oceanic climate', 'Cfb', 'Tropical climate', 'Desert climate']",How is Melbourne classified according to the Köppen climate system?,A. Tropical climate  B. Oceanic climate  C. Desert climate  D. Cfb,B,Is the Köppen climate classification of Melbourne Oceanic climate?,Is the Köppen climate classification of Melbourne Cfb?,What is a famous landmark located in Melbourne?,Which city has an Oceanic climate according to the Köppen classification?,What is the Köppen climate classification of Melbourne?,Oceanic climate (Cfb),"Which continent is Melbourne, with an Oceanic climate (Cfb) according to the Köppen classification, located on?",Australia,"What is the capital city of the country where Melbourne, with an Oceanic climate (Cfb) according to the Köppen classification, is located?",Canberra,"Which major river flows through the capital city of the country where Melbourne, with an Oceanic climate (Cfb) according to the Köppen classification, is located?",Molonglo River,"What is the name of the lake formed by the Molonglo River in the capital city of the country where Melbourne, with an Oceanic climate (Cfb) according to the Köppen classification, is located?",Lake Burley Griffin
