topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_forest,Veldensteiner Forst,located in the administrative territorial entity,Bayreuth,Bayreuth,What is the located in the administrative territorial entity of Veldensteiner Forst?,Forest,0.0,"['Bayreuth', 'Forest', 'Nuremberg', 'Bamberg']",In which administrative territorial entity is Veldensteiner Forst located?,A. Bamberg  B. Forest  C. Bayreuth  D. Nuremberg,C,Is Veldensteiner Forst located in the administrative territorial entity of Bayreuth?,Is Veldensteiner Forst located in the administrative territorial entity of Forest?,What type of natural area is Veldensteiner Forst known for?,Which forest is located in the administrative territorial entity of Bayreuth?,What is the capital of the administrative territorial entity where Veldensteiner Forst is located?,Munich,Which river flows through the capital of the administrative territorial entity where Veldensteiner Forst is located?,Isar,What is the length of the river that flows through the capital of the administrative territorial entity where Veldensteiner Forst is located?,295 kilometers,Into which larger river does the river that flows through the capital of the administrative territorial entity where Veldensteiner Forst is located eventually flow?,Danube,"In which sea does the larger river, into which the river flowing through the capital of the administrative territorial entity where Veldensteiner Forst is located, ultimately empty?",Black Sea
geography_forest,Stanislaus National Forest,significant place,Sonora,Sonora,What is the significant place of Stanislaus National Forest?,"Recreation, Timber, Wildlife Habitat",0.0,"['Sonora', 'Recreation, Timber, Wildlife Habitat', 'Yosemite', 'Lake Tahoe']",Which notable location is associated with Stanislaus National Forest?,"A. Sonora  B. Recreation, Timber, Wildlife Habitat  C. Yosemite  D. Lake Tahoe",A,Is Sonora a significant place of Stanislaus National Forest?,"Is Recreation, Timber, Wildlife Habitat a significant place of Stanislaus National Forest?",What type of natural environment is Stanislaus National Forest known for?,Which national forest has Sonora as a significant place?,What is a significant place located within Stanislaus National Forest?,Emigrant Wilderness,What is a notable feature of the significant place located within Stanislaus National Forest?,Granite domes,Which activity is popular at the notable feature of the significant place within Stanislaus National Forest?,Rock climbing,Which organization manages the activity that is popular at the notable feature of the significant place within Stanislaus National Forest?,U.S. Forest Service,Under which department does the organization that manages the activity popular at the notable feature of the significant place within Stanislaus National Forest operate?,United States Department of Agriculture
geography_forest,Flathead National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Flathead National Forest?,"IUCN category not applicable (as it's a forest, not a",0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', ""IUCN category not applicable (as it's a forest, not a"", 'IUCN category II: National Park', 'IUCN category IV: Habitat/Species Management Area']",Which IUCN protected areas category does Flathead National Forest belong to?,"A. IUCN category IV: Habitat/Species Management Area  B. IUCN category VI: Protected Area with sustainable use of natural resources  C. IUCN category not applicable (as it's a forest, not a  D. IUCN category II: National Park",B,Is the IUCN protected areas category of Flathead National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,"Is the IUCN protected areas category of Flathead National Forest IUCN category not applicable (as it's a forest, not a?",What state is Flathead National Forest located in?,Which national forest is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?,What is the IUCN protected areas category of Flathead National Forest?,VI (Protected Area with Sustainable Use of Natural Resources),Which organization assigns the IUCN protected areas category to Flathead National Forest?,International Union for Conservation of Nature (IUCN),Where is the headquarters of the organization that assigns the IUCN protected areas category to Flathead National Forest located?,"Gland, Switzerland",In which country is the headquarters located of the organization that assigns the IUCN protected areas category to Flathead National Forest?,Switzerland,What is the official language of the country where the headquarters of the organization that assigns the IUCN protected areas category to Flathead National Forest is located?,"German, French, Italian, Romansh"
geography_forest,Bienville National Forest,located in the administrative territorial entity,Mississippi,Mississippi,What is the located in the administrative territorial entity of Bienville National Forest?,Forest,0.0,"['Mississippi', 'Forest', 'Alabama', 'Louisiana']",In which administrative territorial entity is Bienville National Forest located?,A. Forest  B. Louisiana  C. Mississippi  D. Alabama,C,Is Bienville National Forest located in the administrative territorial entity of Mississippi?,Is Bienville National Forest located in the administrative territorial entity of Forest?,What type of natural area is Bienville National Forest known for?,What national forest is located in the administrative territorial entity of Mississippi?,What is the capital city of the state where Bienville National Forest is located?,Jackson,Which river runs through the capital city of the state where Bienville National Forest is located?,Pearl River,What is the length of the river that runs through the capital city of the state where Bienville National Forest is located?,444 miles,Which body of water does the river that runs through the capital city of the state where Bienville National Forest is located ultimately flow into?,Lake Borgne,"Which gulf is connected to the body of water that the river flows into, which runs through the capital city of the state where Bienville National Forest is located?",Gulf of Mexico
geography_forest,Wenatchee National Forest,significant place,Wenatchee,Wenatchee,What is the significant place of Wenatchee National Forest?,"Recreation, Scenic Beauty, Wildlife Habitat",0.0,"['Wenatchee', 'Recreation', 'Scenic Beauty', 'Wildlife Habitat']",Which significant place is associated with Wenatchee National Forest?,"A. Wenatchee  B. Wildlife Habitat  C. Recreation, Scenic Beauty, Wildlife Habitat  D. Scenic Beauty",A,Is Wenatchee the significant place of Wenatchee National Forest?,Is Recreation the significant place of Wenatchee National Forest?,What type of recreational activities can you do in Wenatchee National Forest?,What national forest has Wenatchee as a significant place?,What is a significant place located within Wenatchee National Forest?,Lake Wenatchee,Which river feeds into the significant place located within Wenatchee National Forest?,Wenatchee River,Which mountain range is the river that feeds into the significant place located within Wenatchee National Forest part of?,Cascade Range,Which national park is located within the mountain range that the river feeding into the significant place in Wenatchee National Forest is part of?,North Cascades National Park,In which state is the national park located that is within the mountain range containing the river feeding into the significant place in Wenatchee National Forest?,Washington
geography_forest,Wenatchee National Forest,located in the administrative territorial entity,Washington,Washington,What is the located in the administrative territorial entity of Wenatchee National Forest?,Forest,0.0,"['Washington', 'Forest', 'Oregon', 'California']",In which administrative territorial entity is Wenatchee National Forest located?,A. California  B. Washington  C. Oregon  D. Forest,B,Is Wenatchee National Forest located in the administrative territorial entity of Washington?,Is Wenatchee National Forest located in the administrative territorial entity of Forest?,What type of natural feature is Wenatchee National Forest known for?,Which national forest is located in the administrative territorial entity of Washington?,What is the capital city of the state where Wenatchee National Forest is located?,Olympia,Which county is the capital city of the state where Wenatchee National Forest is located in?,Thurston County,What is the population of the county where the capital city of the state that contains Wenatchee National Forest is located?,"Approximately 290,000",What is the name of the largest city in the county where the capital city of the state that contains Wenatchee National Forest is located?,Olympia,What is the name of the school district that serves the largest city in the county where the capital city of the state that contains Wenatchee National Forest is located?,Olympia School District
geography_forest,Nantahala National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Nantahala National Forest?,II (National Park) and V (Protected Landscape/Seascape,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'II (National Park)', 'V (Protected Landscape/Seascape)', 'I (Strict Nature Reserve)']",Which IUCN category does Nantahala National Forest fall under?,A. II (National Park) and V (Protected Landscape/Seascape  B. IUCN category VI: Protected Area with sustainable use of natural resources  C. I (Strict Nature Reserve)  D. V (Protected Landscape/Seascape),B,Is the IUCN protected areas category of Nantahala National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Nantahala National Forest II (National Park)?,In which state is Nantahala National Forest located?,Which forest is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?,What is the IUCN protected areas category of Nantahala National Forest?,VI (Protected Area with Sustainable Use of Natural Resources),Which organization assigns the IUCN protected areas category to Nantahala National Forest?,International Union for Conservation of Nature (IUCN),Where is the headquarters of the organization that assigns the IUCN protected areas category to Nantahala National Forest located?,"Gland, Switzerland",In which country is the headquarters located of the organization that assigns the IUCN protected areas category to Nantahala National Forest?,Switzerland,What is the official language of the country where the headquarters of the organization that assigns the IUCN protected areas category to Nantahala National Forest is located?,"German, French, Italian, Romansh"
geography_forest,Tioga State Forest,located in the administrative territorial entity,Pennsylvania,Pennsylvania,What is the located in the administrative territorial entity of Tioga State Forest?,Forest,0.0,"['Pennsylvania', 'Forest', 'New York', 'Ohio']",In which administrative territorial entity is Tioga State Forest located?,A. Pennsylvania  B. New York  C. Ohio  D. Forest,A,Is Tioga State Forest located in the administrative territorial entity of Pennsylvania?,Is Tioga State Forest located in the administrative territorial entity of Forest?,What type of natural area is Tioga State Forest known for?,What forest is located in the administrative territorial entity of Pennsylvania?,What is the capital of the administrative territorial entity where Tioga State Forest is located?,Harrisburg,Which river runs through the capital of the administrative territorial entity where Tioga State Forest is located?,Susquehanna River,What is the length of the river that runs through the capital of the administrative territorial entity where Tioga State Forest is located?,444 miles,Into which bay does the river that runs through the capital of the administrative territorial entity where Tioga State Forest is located flow?,Chesapeake Bay,Which ocean does the bay flow into that receives the river running through the capital of the administrative territorial entity where Tioga State Forest is located?,Atlantic Ocean
geography_forest,Okanogan-Wenatchee National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Okanogan-Wenatchee National Forest?,"Not applicable (it's a national forest, not a protected area)",0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', ""Not applicable (it's a national forest, not a protected area)"", 'IUCN category II: National Park', 'IUCN category IV: Habitat/Species Management Area']",Which IUCN protected areas category does the Okanogan-Wenatchee National Forest belong to?,"A. IUCN category VI: Protected Area with sustainable use of natural resources  B. IUCN category II: National Park  C. IUCN category IV: Habitat/Species Management Area  D. Not applicable (it's a national forest, not a protected area)",A,Is the IUCN protected areas category of Okanogan-Wenatchee National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,"Is the IUCN protected areas category of Okanogan-Wenatchee National Forest Not applicable (it's a national forest, not a protected area)?",What state is the Okanogan-Wenatchee National Forest located in?,Which national forest is classified under the IUCN category VI: Protected Area with sustainable use of natural resources?,What is the IUCN protected areas category of Okanogan-Wenatchee National Forest?,VI (Protected Area with Sustainable Use of Natural Resources),"What is the primary objective of the IUCN protected areas category VI, which includes Okanogan-Wenatchee National Forest?",To protect natural ecosystems and use natural resources sustainably,"Which organization is responsible for defining the IUCN protected areas categories, including the one that Okanogan-Wenatchee National Forest falls under?",International Union for Conservation of Nature (IUCN),"In which year was the International Union for Conservation of Nature (IUCN), the organization responsible for defining the protected areas categories, founded?",1948,"In which city was the International Union for Conservation of Nature (IUCN), the organization that defines the protected areas categories, founded?",Fontainebleau
geography_forest,Angeles National Forest,visitor center,Chilao Visitor Center,Chilao Visitor Center,What is the visitor center of Angeles National Forest?,Santa Clarita Ranger Station,0.0,"['Chilao Visitor Center', 'Santa Clarita Ranger Station', 'Big Pines Visitor Center', 'Grassy Hollow Visitor Center']",Which visitor center is located in Angeles National Forest?,A. Big Pines Visitor Center  B. Grassy Hollow Visitor Center  C. Santa Clarita Ranger Station  D. Chilao Visitor Center,D,Is the visitor center of Angeles National Forest the Chilao Visitor Center?,Is the visitor center of Angeles National Forest the Santa Clarita Ranger Station?,What mountain range is Angeles National Forest located in?,Which national forest has the Chilao Visitor Center as its visitor center?,What is the name of the visitor center in Angeles National Forest?,Grassy Hollow Visitor Center,Which organization operates the visitor center in Angeles National Forest?,US Forest Service,In which city is the organization that operates the visitor center in Angeles National Forest headquartered?,"Washington, D.C.",What is the name of the river that flows through the city where the organization that operates the visitor center in Angeles National Forest is headquartered?,Potomac River,Which ocean does the river that flows through the city where the organization that operates the visitor center in Angeles National Forest is headquartered ultimately drain into?,Atlantic Ocean
