topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_history,French Revolution,has part(s),Reign of Terror,What does French Revolution have part(s )?,Phases,0.0,"['Reign of Terror', 'Phases', 'Industrial Revolution', 'Enlightenment']",What is a component of the French Revolution?,A. Enlightenment  B. Industrial Revolution  C. Phases  D. Reign of Terror,D,Does the French Revolution have part(s) called the Reign of Terror?,Does the French Revolution have part(s) called Phases?,What was a significant event that marked the beginning of the French Revolution?,What historical event includes the Reign of Terror as a part?,"Who was a key figure during the Reign of Terror, which is a part of the French Revolution?",Maximilien Robespierre,"What was the role of Maximilien Robespierre during the Reign of Terror, which is a part of the French Revolution?",Leader of the Committee of Public Safety,"What was the primary function of the Committee of Public Safety, led by Maximilien Robespierre during the Reign of Terror, which is a part of the French Revolution?",To protect the newly established republic against foreign attacks and internal rebellion,"Which event marked the end of the Reign of Terror, which is a part of the French Revolution?",The execution of Maximilien Robespierre,"In which year did the execution of Maximilien Robespierre, marking the end of the Reign of Terror, which is a part of the French Revolution, take place?",1794
event_history,October Revolution,named after,October,When was October Revolution named after?,Lenin,0.0,"['October', 'Lenin', 'Bolsheviks', '1917']",What is the October Revolution named after?,A. Bolsheviks  B. October  C. 1917  D. Lenin,B,Is the October Revolution named after October?,Is the October Revolution named after Lenin?,Which month is associated with the October Revolution?,What event is October named after?,What significant event is associated with the month that the October Revolution was named after?,The Bolshevik uprising in 1917,Who led the significant event associated with the month that the October Revolution was named after?,Vladimir Lenin,Which political party was led by the person who led the significant event associated with the month that the October Revolution was named after?,The Bolshevik Party,What was the primary ideology of the political party led by the person who led the significant event associated with the month that the October Revolution was named after?,Marxism-Leninism,Which country was primarily influenced by the primary ideology of the political party led by the person who led the significant event associated with the month that the October Revolution was named after?,Soviet Union
event_history,Glorious Revolution,location,British Isles,What is the location of Glorious Revolution?,England,0.0,"['British Isles', 'England', 'France', 'Scotland']",Where did the Glorious Revolution take place?,A. Scotland  B. England  C. France  D. British Isles,D,Is the location of the Glorious Revolution the British Isles?,Is the location of the Glorious Revolution England?,What year did the Glorious Revolution occur?,What significant event took place in the British Isles?,What is the capital city of the location of the Glorious Revolution?,London,Who is the current mayor of the capital city of the location of the Glorious Revolution?,Sadiq Khan,Which political party does the current mayor of the capital city of the location of the Glorious Revolution belong to?,Labour Party,Who is the leader of the political party that the current mayor of the capital city of the location of the Glorious Revolution belongs to?,Keir Starmer,What is the constituency of the leader of the political party that the current mayor of the capital city of the location of the Glorious Revolution belongs to?,Holborn and St Pancras
event_history,Velvet Revolution,has cause,totalitarianism,What does Velvet Revolution have cause?,Fall of communism,0.0,"['totalitarianism', 'Fall of communism', 'democracy', 'economic crisis']",What is the cause associated with the Velvet Revolution?,A. economic crisis  B. totalitarianism  C. Fall of communism  D. democracy,B,Does the Velvet Revolution have cause totalitarianism?,Does the Velvet Revolution have cause Fall of communism?,What year did the Velvet Revolution take place?,What event is caused by totalitarianism?,Which country experienced the Velvet Revolution that has cause totalitarianism?,Czechoslovakia,Who was the leader of the country that experienced the Velvet Revolution that has cause totalitarianism?,Václav Havel,What was the profession of the leader of the country that experienced the Velvet Revolution that has cause totalitarianism?,Playwright,Which organization did the leader of the country that experienced the Velvet Revolution that has cause totalitarianism co-found?,Charter 77,In which year was the organization co-founded by the leader of the country that experienced the Velvet Revolution that has cause totalitarianism established?,1977
event_history,Russian Revolution of 1905,location,Russia,What is the location of Russian Revolution of 1905?,St. Petersburg,0.0,"['Russia', 'St. Petersburg', 'France', 'Germany']",Where did the Russian Revolution of 1905 take place?,A. Russia  B. Germany  C. St. Petersburg  D. France,A,Did the Russian Revolution of 1905 occur in Russia?,Did the Russian Revolution of 1905 occur in St. Petersburg?,What year did the Russian Revolution of 1905 happen?,Which revolution took place in Russia in 1905?,What is the capital city of the location of the Russian Revolution of 1905?,Moscow,What is the population of the capital city of the location of the Russian Revolution of 1905?,Approximately 12.5 million,What is the main river flowing through the capital city of the location of the Russian Revolution of 1905?,Moskva River,What is the length of the main river flowing through the capital city of the location of the Russian Revolution of 1905?,Approximately 500 kilometers,Into which larger body of water does the main river flowing through the capital city of the location of the Russian Revolution of 1905 eventually flow?,Oka River
event_history,Xinhai Revolution,location,Qing dynasty,What is the location of Xinhai Revolution?,China,0.0,"['Qing dynasty', 'China', 'Ming dynasty', 'Republic of China']",Where did the Xinhai Revolution take place?,A. China  B. Qing dynasty  C. Ming dynasty  D. Republic of China,B,Did the Xinhai Revolution occur in the Qing dynasty?,Did the Xinhai Revolution occur in China?,What was the primary goal of the Xinhai Revolution?,What revolution took place in the Qing dynasty?,"Who was the last emperor of the Qing dynasty, the location of the Xinhai Revolution?",Puyi,"Which palace did the last emperor of the Qing dynasty, the location of the Xinhai Revolution, reside in?",Forbidden City,"In which city is the palace located where the last emperor of the Qing dynasty, the location of the Xinhai Revolution, resided?",Beijing,"In which country is the city located where the palace is situated that the last emperor of the Qing dynasty, the location of the Xinhai Revolution, resided?",China,"What is the official language of the country where the city is located that contains the palace where the last emperor of the Qing dynasty, the location of the Xinhai Revolution, resided?",Mandarin Chinese
event_history,Russian Revolution of 1905,followed by,Russian Revolution,What was Russian Revolution of 1905 followed by?,Nicholas II's concessions,0.0,"['Russian Revolution', ""Nicholas II's concessions"", 'October Manifesto', 'Bloody Sunday']",What event came after the Russian Revolution of 1905?,A. October Manifesto  B. Bloody Sunday  C. Russian Revolution  D. Nicholas II's concessions,C,Was the Russian Revolution of 1905 followed by the Russian Revolution?,Was the Russian Revolution of 1905 followed by Nicholas II's concessions?,What was a significant cause of the Russian Revolution of 1905?,What event preceded the Russian Revolution?,Who was a key leader in the event that followed the Russian Revolution of 1905?,Vladimir Lenin,What was the primary political party led by the key leader in the event that followed the Russian Revolution of 1905?,Bolshevik Party,What was the main ideology promoted by the primary political party led by the key leader in the event that followed the Russian Revolution of 1905?,Marxism-Leninism,Which country was the main ideology promoted by the primary political party led by the key leader in the event that followed the Russian Revolution of 1905 implemented?,Soviet Union,In which year was the country where the main ideology promoted by the primary political party led by the key leader in the event that followed the Russian Revolution of 1905 implemented established?,1922
event_history,February Revolution,has cause,World War I,What does February Revolution have cause?,Food shortages,0.0,"['World War I', 'Food shortages', 'Industrial strikes', 'Political unrest']",What was the cause of the February Revolution?,A. World War I  B. Political unrest  C. Food shortages  D. Industrial strikes,A,Did the February Revolution have cause in World War I?,Did the February Revolution have cause in Food shortages?,In which month did the February Revolution occur?,What event was caused by World War I?,"What was a major event that occurred during World War I, which the February Revolution has cause?",The Russian Revolution,"Who was a prominent leader during the Russian Revolution, which was a major event that occurred during World War I, which the February Revolution has cause?",Vladimir Lenin,"Which political party was led by the prominent leader during the Russian Revolution, which was a major event that occurred during World War I, which the February Revolution has cause?",Bolshevik Party,"What was the primary ideology of the political party led by the prominent leader during the Russian Revolution, which was a major event that occurred during World War I, which the February Revolution has cause?",Communism,"Which country adopted the primary ideology of the political party led by the prominent leader during the Russian Revolution, which was a major event that occurred during World War I, which the February Revolution has cause?",Soviet Union
event_history,April Revolution,country,First Republic of South Korea,What is the country of April Revolution?,France,0.0,"['First Republic of South Korea', 'France', 'Japan', 'United States']",Which country was involved in the April Revolution?,A. France  B. Japan  C. United States  D. First Republic of South Korea,D,Is the First Republic of South Korea the country of the April Revolution?,Is France the country of the April Revolution?,What year did the April Revolution take place?,Which revolution took place in the First Republic of South Korea?,Who was the president of the country of the April Revolution?,Syngman Rhee,What year did the president of the country of the April Revolution resign?,1960,What event led to the resignation of the president of the country of the April Revolution in 1960?,Student-led protests,Which university's students were prominently involved in the event that led to the resignation of the president of the country of the April Revolution in 1960?,Seoul National University,In which city is the university located whose students were prominently involved in the event that led to the resignation of the president of the country of the April Revolution in 1960?,Seoul
event_history,neolithic revolution,location,Fertile Crescent,What is the location of neolithic revolution?,Middle East,0.0,"['Fertile Crescent', 'Middle East', 'Sahara Desert', 'Amazon Basin']",Where did the Neolithic Revolution take place?,A. Middle East  B. Sahara Desert  C. Amazon Basin  D. Fertile Crescent,D,Is the location of the Neolithic Revolution the Fertile Crescent?,Is the location of the Neolithic Revolution the Middle East?,What major development is the Neolithic Revolution known for?,What significant event took place in the Fertile Crescent?,Which modern-day countries are part of the location of the Neolithic Revolution?,"Iraq, Syria, Lebanon, Israel, Palestine, Jordan, Egypt, and Turkey",What is the capital of one of the modern-day countries that are part of the location of the Neolithic Revolution?,Baghdad,Which river flows through the capital of one of the modern-day countries that are part of the location of the Neolithic Revolution?,Tigris River,What is the length of the river that flows through the capital of one of the modern-day countries that are part of the location of the Neolithic Revolution?,"Approximately 1,850 km",Into which body of water does the river that flows through the capital of one of the modern-day countries that are part of the location of the Neolithic Revolution empty?,Persian Gulf
