topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
entertainment_music_genre,highlife,location,Greater Accra Region,Greater Accra Region,What is the location of highlife?,Ghana,0.0,"['Greater Accra Region', 'Ghana', 'Ashanti Region', 'Western Region']",Where is highlife located?,A. Greater Accra Region  B. Western Region  C. Ghana  D. Ashanti Region,A,Is the location of highlife the Greater Accra Region?,Is the location of highlife Ghana?,What genre of music is highlife?,What is located in the Greater Accra Region?,"What is the capital city of the Greater Accra Region, the location of highlife?",Accra,"What is the population of the capital city of the Greater Accra Region, the location of highlife?",Approximately 2.3 million,"What is the main language spoken in the capital city of the Greater Accra Region, the location of highlife?",English,"What is the main economic activity in the capital city of the Greater Accra Region, the location of highlife?",Trade and commerce,"What is the name of the major port in the capital city of the Greater Accra Region, the location of highlife?",Port of Tema
entertainment_music_genre,music of Africa,has part(s),music of North Africa,music of North Africa,What does music of Africa have part(s )?,"Rhythms, Melodies, Harmonies",0.0,"['music of North Africa', 'Rhythms, Melodies, Harmonies', 'music of South Africa', 'music of West Africa']",What is included in the music of Africa?,"A. music of West Africa  B. Rhythms, Melodies, Harmonies  C. music of South Africa  D. music of North Africa",D,Does the music of Africa have parts that include music of North Africa?,"Does the music of Africa have parts that include Rhythms, Melodies, Harmonies?",What is a common characteristic of the music of Africa?,What is the music of North Africa a part of?,"What is a traditional instrument used in the music of North Africa, which is a part of the music of Africa?",Oud,"Which country is known for the traditional instrument Oud, used in the music of North Africa, which is a part of the music of Africa?",Morocco,"What is the capital city of the country known for the traditional instrument Oud, used in the music of North Africa, which is a part of the music of Africa?",Rabat,"Which river flows through the capital city of the country known for the traditional instrument Oud, used in the music of North Africa, which is a part of the music of Africa?",Bou Regreg,"Into which body of water does the river flow that passes through the capital city of the country known for the traditional instrument Oud, used in the music of North Africa, which is a part of the music of Africa?",Atlantic Ocean
entertainment_music_genre,sardana,location,Catalonia,Catalonia,What is the location of sardana?,Punjab,0.0,"['Catalonia', 'Punjab', 'Andalusia', 'Galicia']",Where is the sardana located?,A. Andalusia  B. Galicia  C. Punjab  D. Catalonia,D,Is the location of sardana Catalonia?,Is the location of sardana Punjab?,What is a traditional dance associated with Catalonia?,What is located in Catalonia?,What is the capital of the location of sardana?,Barcelona,What is the population of the capital of the location of sardana?,1.6 million,What is the main language spoken in the capital of the location of sardana?,Catalan,What is a famous landmark in the capital of the location of sardana?,Sagrada Família,Who designed the famous landmark in the capital of the location of sardana?,Antoni Gaudí
entertainment_music_genre,Classical period,followed by,Romantic music,Romantic music,What was Classical period followed by?,Medieval period,0.0,"['Romantic music', 'Medieval period', 'Baroque music', 'Renaissance music']",Which musical era came after the Classical period?,A. Romantic music  B. Medieval period  C. Baroque music  D. Renaissance music,A,Was the Classical period followed by Romantic music?,Was the Classical period followed by Medieval period?,What is a well-known characteristic of the Classical period?,What period did Romantic music follow?,Who is a famous composer from the period that followed the Classical period?,Ludwig van Beethoven,What is one of the most famous symphonies composed by a famous composer from the period that followed the Classical period?,Symphony No. 9,In which year was one of the most famous symphonies composed by a famous composer from the period that followed the Classical period premiered?,1824,In which city was one of the most famous symphonies composed by a famous composer from the period that followed the Classical period premiered?,Vienna,In which country is the city located where one of the most famous symphonies composed by a famous composer from the period that followed the Classical period was premiered?,Austria
entertainment_music_genre,sardana,location of creation,Catalonia,Catalonia,What is the location of creation of sardana?,Punjab,0.0,"['Catalonia', 'Punjab', 'Andalusia', 'Galicia']",Where was the sardana created?,A. Galicia  B. Andalusia  C. Punjab  D. Catalonia,D,Is Catalonia the location of creation of sardana?,Is Punjab the location of creation of sardana?,What is a traditional dance associated with Catalonia?,What dance was created in Catalonia?,What is the capital city of the location of creation of sardana?,Barcelona,What is the population of the capital city of the location of creation of sardana?,Approximately 1.6 million,What is the official language spoken in the capital city of the location of creation of sardana?,Catalan,What is the name of the famous basilica located in the capital city of the location of creation of sardana?,Sagrada Família,Who was the architect of the famous basilica located in the capital city of the location of creation of sardana?,Antoni Gaudí
entertainment_music_genre,music of Japan,country,Japan,Japan,What is the country of music of Japan?,J-Pop,0.0,"['Japan', 'J-Pop', 'China', 'South Korea']",Which country is associated with the music of Japan?,A. J-Pop  B. South Korea  C. China  D. Japan,D,Is Japan the country of music of Japan?,Is J-Pop the country of music of Japan?,What is a traditional instrument commonly used in the music of Japan?,What is the music associated with Japan?,What is the capital of the country of music of Japan?,Tokyo,What is the population of the capital of the country of music of Japan?,Approximately 14 million,What is the most famous landmark in the capital of the country of music of Japan?,Tokyo Tower,Who designed the most famous landmark in the capital of the country of music of Japan?,Tachū Naitō,In which year was the most famous landmark in the capital of the country of music of Japan designed?,1958
entertainment_music_genre,Latin pop,has part(s),Latin ballad,Latin ballad,What does Latin pop have part(s )?,"Vocals, instruments, rhythm, melody",0.0,"['Latin ballad', 'Vocals, instruments, rhythm, melody', 'Reggaeton', 'Salsa']",What components are included in Latin pop?,"A. Latin ballad  B. Salsa  C. Reggaeton  D. Vocals, instruments, rhythm, melody",A,Does Latin pop have parts that include Latin ballad?,"Does Latin pop have parts that include Vocals, instruments, rhythm, melody?",What genre is known for its romantic and emotional style within Latin pop?,What genre includes Latin ballad as a part?,"Who is a famous artist known for performing Latin ballads, which is a part of Latin pop?",Luis Miguel,"What is the title of a popular song by the famous artist known for performing Latin ballads, which is a part of Latin pop?",La Incondicional,"In which year was the popular song by the famous artist known for performing Latin ballads, which is a part of Latin pop, released?",1989,"Which album features the popular song by the famous artist known for performing Latin ballads, which is a part of Latin pop, released in 1989?",Busca una Mujer,"Who produced the album that features the popular song by the famous artist known for performing Latin ballads, which is a part of Latin pop, released in 1989?",Juan Carlos Calderón
entertainment_music_genre,G-funk,discoverer or inventor,Above the Law,Above the Law,What is the discoverer or inventor of G-funk?,Dr. Dre,0.0,"['Above the Law', 'Dr. Dre', 'Snoop Dogg', 'Warren G']",Who is credited with discovering or inventing G-funk?,A. Warren G  B. Dr. Dre  C. Above the Law  D. Snoop Dogg,C,Is Above the Law the discoverer or inventor of G-funk?,Is Dr. Dre the discoverer or inventor of G-funk?,What genre of music is G-funk associated with?,Who was discovered or invented by Above the Law?,Who is the lead member of the group that is the discoverer or inventor of G-funk?,Cold 187um,What is the real name of the lead member of the group that is the discoverer or inventor of G-funk?,Gregory Fernan Hutchinson,Which record label signed the group that is the discoverer or inventor of G-funk?,Ruthless Records,Who founded the record label that signed the group that is the discoverer or inventor of G-funk?,Eazy-E,What is the real name of the founder of the record label that signed the group that is the discoverer or inventor of G-funk?,Eric Lynn Wright
entertainment_music_genre,Rabindra Sangeet,country of origin,British Raj,British Raj,What is the country of origin of Rabindra Sangeet?,India,0.0,"['British Raj', 'India', 'Bangladesh', 'Sri Lanka']",From which country did Rabindra Sangeet originate?,A. Bangladesh  B. British Raj  C. Sri Lanka  D. India,B,Is the country of origin of Rabindra Sangeet the British Raj?,Is the country of origin of Rabindra Sangeet India?,Who is the famous poet associated with Rabindra Sangeet?,What originated in the British Raj and is known as Rabindra Sangeet?,Who is the most famous composer of music from the country of origin of Rabindra Sangeet?,Rabindranath Tagore,Which literary award did the most famous composer of music from the country of origin of Rabindra Sangeet win?,Nobel Prize in Literature,In which year did the most famous composer of music from the country of origin of Rabindra Sangeet win the Nobel Prize in Literature?,1913,Which work earned the most famous composer of music from the country of origin of Rabindra Sangeet the Nobel Prize in Literature?,Gitanjali,In which language was the work that earned the most famous composer of music from the country of origin of Rabindra Sangeet the Nobel Prize in Literature originally written?,Bengali
entertainment_music_genre,salon music,said to be the same as,light music,light music,What did salon music say to be the same as?,Equal Ranks,0.0,"['light music', 'Equal Ranks', 'classical music', 'chamber music']",What is salon music considered to be the same as?,A. chamber music  B. light music  C. Equal Ranks  D. classical music,B,Is salon music said to be the same as light music?,Is salon music said to be the same as Equal Ranks?,What genre is salon music typically associated with?,What is light music said to be the same as?,Who is a famous composer of the music that salon music is said to be the same as?,Johann Strauss II,What is a famous waltz composed by the famous composer of the music that salon music is said to be the same as?,The Blue Danube,In which year was the famous waltz composed by the famous composer of the music that salon music is said to be the same as premiered?,1867,In which city was the famous waltz composed by the famous composer of the music that salon music is said to be the same as premiered?,Vienna,In which country is the city located where the famous waltz composed by the famous composer of the music that salon music is said to be the same as premiered?,Austria
entertainment_music_genre,electronic body music,named by,Ralf Hütter,Ralf Hütter,Who was electronic body music named by?,Kraftwerk,0.0,"['Ralf Hütter', 'Kraftwerk', 'Jean-Michel Jarre', 'Giorgio Moroder']",Who gave electronic body music its name?,A. Jean-Michel Jarre  B. Giorgio Moroder  C. Ralf Hütter  D. Kraftwerk,C,Was electronic body music named by Ralf Hütter?,Was electronic body music named by Kraftwerk?,What genre is associated with electronic body music?,Who named Ralf Hütter in relation to electronic body music?,What band is the person who named electronic body music a member of?,Kraftwerk,What genre of music is the band a member of who named electronic body music associated with?,Electronic,Which country is the band associated with the person who named electronic body music from?,Germany,What is the capital city of the country where the band associated with the person who named electronic body music is from?,Berlin,What is the population of the capital city of the country where the band associated with the person who named electronic body music is from?,Approximately 3.6 million
entertainment_music_genre,deep house,significant person,Larry Heard,Larry Heard,Who is the significant person of deep house?,Frankie Knuckles,0.0,"['Larry Heard', 'Frankie Knuckles', 'Carl Cox', 'David Guetta']",Who is an important figure in deep house?,A. Carl Cox  B. David Guetta  C. Frankie Knuckles  D. Larry Heard,D,Is Larry Heard a significant person of deep house?,Is Frankie Knuckles a significant person of deep house?,What genre is deep house associated with?,Who is Larry Heard a significant person of?,What is the stage name of the significant person of deep house?,Mr. Fingers,What is the most famous track by the stage name of the significant person of deep house?,Can You Feel It,In which year was the most famous track by the stage name of the significant person of deep house released?,1986,Which record label released the most famous track by the stage name of the significant person of deep house?,Trax Records,In which city is the record label located that released the most famous track by the stage name of the significant person of deep house?,Chicago
entertainment_music_genre,canzona,said to be the same as,canzone,canzone,What did canzona say to be the same as?,Sonata,0.0,"['canzone', 'Sonata', 'Symphony', 'Concerto']",What is canzona said to be equivalent to?,A. Concerto  B. Symphony  C. Sonata  D. canzone,D,Is canzona said to be the same as canzone?,Is canzona said to be the same as Sonata?,What is a well-known musical form associated with canzona?,What is canzone said to be the same as?,"Who is a famous poet associated with the canzone, which canzona said to be the same as?",Petrarch,"What is the title of a famous work by the poet associated with the canzone, which canzona said to be the same as?",Canzoniere,"In which century was the famous work by the poet associated with the canzone, which canzona said to be the same as, written?",14th century,"In which country was the famous work written by the poet associated with the canzone, which canzona said to be the same as, created?",Italy,"What language is the famous work written in by the poet associated with the canzone, which canzona said to be the same as?",Italian
entertainment_music_genre,drone music,named after,drone,drone,What was drone music named after?,Ambient,0.0,"['drone', 'Ambient', 'Synthesizer', 'Noise']",Drone music was named after what?,A. drone  B. Synthesizer  C. Ambient  D. Noise,A,Was drone music named after drone?,Was drone music named after Ambient?,What genre is known for its sustained tones and minimalistic sound?,What genre was named after drone?,What is the primary characteristic of the sound that drone music was named after?,A continuous or sustained tone,Which musical instrument is commonly associated with producing the primary characteristic of the sound that drone music was named after?,Bagpipes,"In which country are bagpipes, the musical instrument commonly associated with producing the primary characteristic of the sound that drone music was named after, traditionally used?",Scotland,"What is the traditional Scottish event where bagpipes, the musical instrument commonly associated with producing the primary characteristic of the sound that drone music was named after, are often played?",Highland games,"In which season are the Highland games, the traditional Scottish event where bagpipes are often played, typically held?",Summer
entertainment_music_genre,ragtime,uses,piano,piano,What does ragtime use?,Syncopation,0.0,"['piano', 'Syncopation', 'guitar', 'violin']",What instrument is used in ragtime?,A. violin  B. piano  C. Syncopation  D. guitar,B,Does ragtime use the piano?,Does ragtime use Syncopation?,What genre of music is ragtime associated with?,What genre uses the piano?,Who is a famous composer that uses the piano in ragtime?,Scott Joplin,What is a well-known piece composed by the famous composer that uses the piano in ragtime?,The Entertainer,In which year was the well-known piece composed by the famous composer that uses the piano in ragtime published?,1902,Which music genre does the well-known piece published in 1902 by the famous composer that uses the piano in ragtime belong to?,Ragtime,Which city was the famous composer that uses the piano in ragtime born in?,Texarkana
entertainment_music_genre,turntablism,named after,phonograph,phonograph,What was turntablism named after?,Mixing,0.0,"['phonograph', 'Mixing', 'DJ', 'Vinyl']",Turntablism was named after what?,A. Mixing  B. phonograph  C. DJ  D. Vinyl,B,Was turntablism named after the phonograph?,Was turntablism named after Mixing?,What is a key technique used in turntablism?,What is named after the phonograph?,Who invented the phonograph that turntablism was named after?,Thomas Edison,In which year was the phonograph that turntablism was named after invented?,1877,In which country was the phonograph that turntablism was named after invented?,United States,What was the primary purpose of the phonograph that turntablism was named after when it was invented?,Recording and playing back sound,What was the first recorded message on the phonograph that turntablism was named after?,Mary had a little lamb
entertainment_music_genre,deathcore,based on,death metal,death metal,What was deathcore based on?,Metalcore,0.0,"['death metal', 'Metalcore', 'hardcore punk', 'grindcore']",On what genre is deathcore based?,A. Metalcore  B. grindcore  C. death metal  D. hardcore punk,C,Is deathcore based on death metal?,Is deathcore based on Metalcore?,What is a prominent characteristic of deathcore?,What genre is death metal the basis for?,What is a subgenre of the genre that deathcore was based on?,melodic death metal,Which band is known for pioneering the subgenre of the genre that deathcore was based on?,In Flames,Which album by the band known for pioneering the subgenre of the genre that deathcore was based on is considered influential?,The Jester Race,In which year was the influential album by the band known for pioneering the subgenre of the genre that deathcore was based on released?,1996,Which record label released the influential album in 1996 by the band known for pioneering the subgenre of the genre that deathcore was based on?,Nuclear Blast
entertainment_music_genre,downtempo,country of origin,United Kingdom,United Kingdom,What is the country of origin of downtempo?,Origin: United States,0.0,"['United Kingdom', 'Origin: United States', 'Canada', 'Australia']",Which country is downtempo music originally from?,A. Canada  B. Origin: United States  C. United Kingdom  D. Australia,C,Is the country of origin of downtempo the United Kingdom?,Is the country of origin of downtempo the United States?,What genre is downtempo music known for?,What genre of music originated in the United Kingdom?,What is the capital of the country of origin of downtempo?,London,What is the population of the capital of the country of origin of downtempo?,Approximately 9 million,What is the most famous landmark in the capital of the country of origin of downtempo?,Big Ben,Who designed the most famous landmark in the capital of the country of origin of downtempo?,Augustus Pugin,In which year was the most famous landmark in the capital of the country of origin of downtempo completed?,1859
entertainment_music_genre,tech house,influenced by,techno,techno,What was tech house influenced by?,"Disco, Chicago house, and early electronic music",0.0,"['Techno', 'Disco', 'Chicago house', 'Early electronic music']",What genre had an influence on tech house?,"A. Disco, Chicago house, and early electronic music  B. Chicago house  C. Early electronic music  D. techno",D,Was tech house influenced by techno?,Was tech house influenced by Disco?,What is a characteristic feature of tech house?,What genre was influenced by techno?,Who is a notable artist in the genre that tech house was influenced by?,Carl Cox,Which record label is associated with a notable artist in the genre that tech house was influenced by?,Intec Digital,In which year was the record label associated with a notable artist in the genre that tech house was influenced by founded?,1999,Who co-founded the record label that was founded in 1999 and is associated with a notable artist in the genre that tech house was influenced by?,DJ C1,Which city is the co-founder of the record label that was founded in 1999 and is associated with a notable artist in the genre that tech house was influenced by originally from?,Manchester
entertainment_music_genre,Romantic music,follows,Classical period,Classical period,What does Romantic music follow?,Sonata Form,0.0,"['Classical period', 'Sonata Form', 'Baroque period', 'Renaissance period']",Which period does Romantic music come after?,A. Sonata Form  B. Baroque period  C. Classical period  D. Renaissance period,C,Does Romantic music follow the Classical period?,Does Romantic music follow Sonata Form?,What is a well-known characteristic of Romantic music?,What period is followed by the Classical period?,Who is a famous composer from the period that Romantic music follows?,Ludwig van Beethoven,What is a well-known symphony composed by a famous composer from the period that Romantic music follows?,Symphony No. 9,In which year was a well-known symphony composed by a famous composer from the period that Romantic music follows premiered?,1824,In which city was a well-known symphony composed by a famous composer from the period that Romantic music follows premiered?,Vienna,In which country is the city located where a well-known symphony composed by a famous composer from the period that Romantic music follows premiered?,Austria
entertainment_music_genre,vocal music,has cause,singing,singing,What does vocal music have cause?,Composition,0.0,"['Singing', 'Composition', 'Dancing', 'Painting']",What is caused by vocal music?,A. singing  B. Composition  C. Painting  D. Dancing,A,Does vocal music have cause singing?,Does vocal music have cause composition?,What is a common genre of vocal music?,What has cause singing?,"What is a common technique used in singing, which is caused by vocal music?",vibrato,"Which famous opera singer is known for their exceptional use of vibrato, a technique used in singing caused by vocal music?",Luciano Pavarotti,"Which opera is Luciano Pavarotti, known for his exceptional use of vibrato in singing caused by vocal music, famously associated with?",La Bohème,"Who composed the opera La Bohème, which Luciano Pavarotti, known for his exceptional use of vibrato in singing caused by vocal music, is famously associated with?",Giacomo Puccini,"In which year was the opera La Bohème, composed by Giacomo Puccini and famously associated with Luciano Pavarotti known for his exceptional use of vibrato in singing caused by vocal music, first performed?",1896
