topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
entertainment_anime,The Laws of the Sun,original language of film or TV show,Japanese,What is the original language of film or TV show of The Laws of the Sun?,Spanish,0.0,"['Japanese', 'Spanish', 'French', 'German']",In what language was the film The Laws of the Sun originally made?,A. Japanese  B. German  C. Spanish  D. French,A,Is the original language of the film The Laws of the Sun Japanese?,Is the original language of the film The Laws of the Sun Spanish?,Who is the director of the film The Laws of the Sun?,Which film or TV show has Japanese as its original language?,Who is the director of the film or TV show with the original language of Japanese for The Laws of the Sun?,Takaaki Ishiyama,What is the birth year of the director of the film or TV show with the original language of Japanese for The Laws of the Sun?,1961,In which country was the director born who directed the film or TV show with the original language of Japanese for The Laws of the Sun?,Japan,What is the capital city of the country where the director was born who directed the film or TV show with the original language of Japanese for The Laws of the Sun?,Tokyo,What is the population of the capital city of the country where the director was born who directed the film or TV show with the original language of Japanese for The Laws of the Sun?,Approximately 14 million
entertainment_anime,Kinnikuman Nisei,intended public,shōnen,What is the intended public of Kinnikuman Nisei?,Kinnikuman Nisei: General audience,0.0,"['shōnen', 'Kinnikuman Nisei: General audience', 'adults', 'children']",Who is the target audience for Kinnikuman Nisei?,A. children  B. adults  C. shōnen  D. Kinnikuman Nisei: General audience,C,Is the intended public of Kinnikuman Nisei shōnen?,Is the intended public of Kinnikuman Nisei Kinnikuman Nisei: General audience?,What genre does Kinnikuman Nisei belong to?,Which series is intended for shōnen?,What is a popular magazine that publishes content for the intended public of Kinnikuman Nisei?,Weekly Shōnen Jump,Who is the editor-in-chief of the popular magazine that publishes content for the intended public of Kinnikuman Nisei?,Hiroyuki Nakano,Which company publishes the popular magazine that has the editor-in-chief Hiroyuki Nakano and publishes content for the intended public of Kinnikuman Nisei?,Shueisha,"In which city is the headquarters of the company that publishes the popular magazine with editor-in-chief Hiroyuki Nakano, which publishes content for the intended public of Kinnikuman Nisei?",Tokyo,"In which country is the city located where the headquarters of the company that publishes the popular magazine with editor-in-chief Hiroyuki Nakano, which publishes content for the intended public of Kinnikuman Nisei?",Japan
entertainment_anime,IDOLM@STER SideM,character designer,Haruko Iizuka,Who is the character designer of IDOLM@STER SideM?,Akira,0.0,"['Haruko Iizuka', 'Akira', 'Yoshiyuki Sadamoto', 'Tetsuya Nomura']",Who designed the characters for IDOLM@STER SideM?,A. Tetsuya Nomura  B. Yoshiyuki Sadamoto  C. Akira  D. Haruko Iizuka,D,Is Haruko Iizuka the character designer of IDOLM@STER SideM?,Is Akira the character designer of IDOLM@STER SideM?,What genre does IDOLM@STER SideM belong to?,Which series has Haruko Iizuka as the character designer?,Which other anime series did the character designer of IDOLM@STER SideM work on?,Tamayura,Who is the director of the other anime series that the character designer of IDOLM@STER SideM worked on?,Junichi Sato,Which studio produced the anime series directed by the director of the other anime series that the character designer of IDOLM@STER SideM worked on?,TYO Animations,What is another anime series produced by the studio that produced the anime series directed by the director of the other anime series that the character designer of IDOLM@STER SideM worked on?,YuruYuri,Who is the main character in the other anime series produced by the studio that produced the anime series directed by the director of the other anime series that the character designer of IDOLM@STER SideM worked on?,Akari Akaza
entertainment_anime,This Boy Is a Professional Wizard,distribution format,video on demand,What is the distribution format of This Boy Is a Professional Wizard?,Paperback,0.0,"['video on demand', 'Paperback', 'Blu-ray', 'DVD']",In what format is This Boy Is a Professional Wizard distributed?,A. Blu-ray  B. DVD  C. Paperback  D. video on demand,D,Is the distribution format of This Boy Is a Professional Wizard video on demand?,Is the distribution format of This Boy Is a Professional Wizard Paperback?,What genre does This Boy Is a Professional Wizard belong to?,What is distributed in the format of video on demand?,Which company provides the distribution format of This Boy Is a Professional Wizard?,Crunchyroll,In which year did the company that provides the distribution format of This Boy Is a Professional Wizard start its service?,2006,Who were the founders of the company that started its service in 2006 and provides the distribution format of This Boy Is a Professional Wizard?,"Kun Gao, Brandon Ooi, Vu Nguyen, James Lin, and Varun Narang",Which university did the founders of the company that provides the distribution format of This Boy Is a Professional Wizard attend?,"University of California, Berkeley",In which city is the university located that the founders of the company providing the distribution format of This Boy Is a Professional Wizard attended?,Berkeley
entertainment_anime,Aikatsu on Parade!,publisher,Bandai,What is the publisher of Aikatsu on Parade!?,Shogakukan,0.0,"['Bandai', 'Shogakukan', 'Kodansha', 'Toei Animation']",Who published Aikatsu on Parade!?,A. Toei Animation  B. Kodansha  C. Shogakukan  D. Bandai,D,Is Bandai the publisher of Aikatsu on Parade!?,Is Shogakukan the publisher of Aikatsu on Parade!?,What genre is Aikatsu on Parade! known for?,What series is published by Bandai?,What is a popular toy line produced by the publisher of Aikatsu on Parade!?,Gundam,What is the name of the main character in the popular toy line produced by the publisher of Aikatsu on Parade!?,Amuro Ray,Who is the voice actor for the main character in the popular toy line produced by the publisher of Aikatsu on Parade!?,Toru Furuya,Which other famous anime character is voiced by the voice actor for the main character in the popular toy line produced by the publisher of Aikatsu on Parade!?,Tuxedo Mask,In which anime series does the other famous character voiced by the voice actor for the main character in the popular toy line produced by the publisher of Aikatsu on Parade! appear?,Sailor Moon
entertainment_anime,Euphoria,original language of film or TV show,Japanese,What is the original language of film or TV show of Euphoria?,English,0.0,"['Japanese', 'English', 'Spanish', 'French']",In what language was the TV show Euphoria originally made?,A. Japanese  B. Spanish  C. English  D. French,A,Is the original language of the TV show Euphoria Japanese?,Is the original language of the TV show Euphoria English?,Who is the main character in the TV show Euphoria?,Which TV show has Japanese as its original language?,Who is the director of the film or TV show with the original language Japanese for Euphoria?,Shinji Aoyama,What is the birth year of the director of the film or TV show with the original language Japanese for Euphoria?,1964,Which film festival awarded a prize to the director of the film or TV show with the original language Japanese for Euphoria?,Cannes Film Festival,In which year did the film festival that awarded a prize to the director of the film or TV show with the original language Japanese for Euphoria take place?,2000,Which film won the prize at the film festival in 2000 that awarded the director of the film or TV show with the original language Japanese for Euphoria?,Eureka
entertainment_anime,W Wish,language of work or name,Japanese,What is the language of work or name of W Wish?,Work: English,0.0,"['Japanese', 'Work: English', 'French', 'Spanish']",In which language is W Wish created?,A. Spanish  B. Japanese  C. Work: English  D. French,B,Is the language of work or name of W Wish Japanese?,Is the language of work or name of W Wish Work: English?,What genre is W Wish known for?,Which work or name is in Japanese?,What is the country where the language of work or name of W Wish is primarily spoken?,Japan,What is the capital city of the country where the language of work or name of W Wish is primarily spoken?,Tokyo,What is the population of the capital city of the country where the language of work or name of W Wish is primarily spoken?,Approximately 14 million,What is the name of the famous tower located in the capital city of the country where the language of work or name of W Wish is primarily spoken?,Tokyo Tower,What is the height of the famous tower located in the capital city of the country where the language of work or name of W Wish is primarily spoken?,333 meters
entertainment_anime,Tabimachi Late Show,distribution format,video on demand,What is the distribution format of Tabimachi Late Show?,TV,0.0,"['video on demand', 'TV', 'DVD', 'Blu-ray']",In what format is Tabimachi Late Show distributed?,A. DVD  B. Blu-ray  C. TV  D. video on demand,D,Is the distribution format of Tabimachi Late Show video on demand?,Is the distribution format of Tabimachi Late Show TV?,What genre does Tabimachi Late Show belong to?,Which show is distributed in the format of video on demand?,Which company provides the video on demand service for the distribution format of Tabimachi Late Show?,Crunchyroll,Who is the parent company of the company that provides the video on demand service for the distribution format of Tabimachi Late Show?,Sony,In which country is the parent company of the company that provides the video on demand service for the distribution format of Tabimachi Late Show headquartered?,Japan,What is the capital city of the country where the parent company of the company that provides the video on demand service for the distribution format of Tabimachi Late Show is headquartered?,Tokyo,What is the population of the capital city of the country where the parent company of the company that provides the video on demand service for the distribution format of Tabimachi Late Show is headquartered?,Approximately 14 million
entertainment_anime,Armitage III: Poly Matrix,language of work or name,Japanese,What is the language of work or name of Armitage III: Poly Matrix?,Poly Matrix,0.0,"['Japanese', 'Poly Matrix', 'English', 'French']",In what language is Armitage III: Poly Matrix produced?,A. French  B. Japanese  C. Poly Matrix  D. English,B,Is the language of work or name of Armitage III: Poly Matrix Japanese?,Is the language of work or name of Armitage III: Poly Matrix Poly Matrix?,What genre is Armitage III: Poly Matrix known for?,What work or name is in Japanese and related to Armitage III: Poly Matrix?,What is the country of origin of the language of work or name of Armitage III: Poly Matrix?,Japan,What is the capital city of the country of origin of the language of work or name of Armitage III: Poly Matrix?,Tokyo,What is the population of the capital city of the country of origin of the language of work or name of Armitage III: Poly Matrix?,Approximately 14 million,What is the area in square kilometers of the capital city of the country of origin of the language of work or name of Armitage III: Poly Matrix?,"2,194 square kilometers",What is the time zone of the capital city of the country of origin of the language of work or name of Armitage III: Poly Matrix?,Japan Standard Time (JST)
entertainment_anime,Kowarekake no Orgel,director,Keiichiro Kawaguchi,Who is the director of Kowarekake no Orgel?,Yoshifumi Kondo,0.0,"['Keiichiro Kawaguchi', 'Yoshifumi Kondo', 'Hayao Miyazaki', 'Mamoru Hosoda']",Who directed Kowarekake no Orgel?,A. Hayao Miyazaki  B. Keiichiro Kawaguchi  C. Mamoru Hosoda  D. Yoshifumi Kondo,B,Is Keiichiro Kawaguchi the director of Kowarekake no Orgel?,Is Yoshifumi Kondo the director of Kowarekake no Orgel?,What genre is the anime Kowarekake no Orgel known for?,Who did Keiichiro Kawaguchi direct?,What is another anime directed by the director of Kowarekake no Orgel?,Sket Dance,Who is the main character in another anime directed by the director of Kowarekake no Orgel?,Yusuke Fujisaki,What is the nickname of the main character in another anime directed by the director of Kowarekake no Orgel?,Bossun,What is the name of the club led by the main character in another anime directed by the director of Kowarekake no Orgel?,Sket Dan,What is the primary objective of the club led by the main character in another anime directed by the director of Kowarekake no Orgel?,To help students with their problems
