topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_disease,vagus nerve injury,health specialty,neurology,What is the health specialty of vagus nerve injury?,Dysautonomia,0.0,"['neurology', 'Dysautonomia', 'cardiology', 'gastroenterology']",Which medical specialty deals with vagus nerve injury?,A. Dysautonomia  B. cardiology  C. neurology  D. gastroenterology,C,Is the health specialty of vagus nerve injury neurology?,Is the health specialty of vagus nerve injury Dysautonomia?,What is a common function associated with the vagus nerve?,What condition is associated with the health specialty of neurology?,What is a common symptom treated by the health specialty of vagus nerve injury?,Headaches,What is a common medication prescribed for the symptom treated by the health specialty of vagus nerve injury?,Ibuprofen,What is a common side effect of the medication prescribed for the symptom treated by the health specialty of vagus nerve injury?,Stomach upset,What is a common remedy for the side effect of the medication prescribed for the symptom treated by the health specialty of vagus nerve injury?,Taking the medication with food,What is a dietary recommendation to follow when taking the remedy for the side effect of the medication prescribed for the symptom treated by the health specialty of vagus nerve injury?,Eating a balanced meal
health_disease,anopsia,medical examination,visual field test,What is the medical examination of anopsia?,Ophthalmology,0.0,"['visual field test', 'Ophthalmology', 'MRI scan', 'Blood test']",Which medical test is used for diagnosing anopsia?,A. Blood test  B. MRI scan  C. Ophthalmology  D. visual field test,D,Is the medical examination for anopsia a visual field test?,Is the medical examination for anopsia Ophthalmology?,What is a common symptom associated with anopsia?,What condition is diagnosed using a visual field test?,What is the purpose of the medical examination of anopsia?,To assess the extent of vision loss,Which medical professional typically conducts the medical examination of anopsia to assess the extent of vision loss?,Ophthalmologist,What is the primary tool used by the medical professional who conducts the medical examination of anopsia to assess the extent of vision loss?,Perimeter,What is the principle behind the primary tool used by the medical professional who conducts the medical examination of anopsia to assess the extent of vision loss?,Mapping the visual field,What condition can be diagnosed by mapping the visual field using the primary tool in the medical examination of anopsia?,Glaucoma
health_disease,toothache,health specialty,gastroenterology,What is the health specialty of toothache?,Dental,0.0,"['gastroenterology', 'Dental', 'Cardiology', 'Neurology']",Which medical specialty deals with toothache?,A. Dental  B. gastroenterology  C. Neurology  D. Cardiology,B,Is the health specialty of toothache gastroenterology?,Is the health specialty of toothache Dental?,What is a common symptom associated with toothache?,What condition is treated by gastroenterology?,What is a common treatment provided by the health specialty of toothache?,Endoscopy,What is a common condition diagnosed using the treatment provided by the health specialty of toothache?,Gastroesophageal reflux disease (GERD),What is a common symptom of the condition diagnosed using the treatment provided by the health specialty of toothache?,Heartburn,What is a common over-the-counter medication used to treat the symptom of the condition diagnosed using the treatment provided by the health specialty of toothache?,Antacids,What is a common active ingredient in the over-the-counter medication used to treat the symptom of the condition diagnosed using the treatment provided by the health specialty of toothache?,Calcium carbonate
health_disease,bile acid malabsorption,genetic association,SLC10A2,What is the genetic association of bile acid malabsorption?,Genetic,0.0,"['SLC10A2', 'Genetic', 'SLC22A1', 'ABCB11']",Which gene is associated with bile acid malabsorption?,A. Genetic  B. SLC22A1  C. ABCB11  D. SLC10A2,D,Is SLC10A2 the genetic association of bile acid malabsorption?,Is Genetic the genetic association of bile acid malabsorption?,What is a common symptom of bile acid malabsorption?,What condition is genetically associated with SLC10A2?,What is the function of the gene associated with bile acid malabsorption?,It encodes the ileal sodium/bile acid cotransporter.,In which organ is the gene product of the gene associated with bile acid malabsorption primarily active?,Small intestine,What is a common symptom of dysfunction in the organ where the gene product of the gene associated with bile acid malabsorption is primarily active?,Diarrhea,What is a common treatment for the symptom caused by dysfunction in the organ where the gene product of the gene associated with bile acid malabsorption is primarily active?,Bile acid sequestrants,What is a potential side effect of the common treatment for the symptom caused by dysfunction in the organ where the gene product of the gene associated with bile acid malabsorption is primarily active?,Constipation
health_disease,enzootic bovine leukosis,has cause,infection,What does enzootic bovine leukosis have cause?,Virus,0.0,"['infection', 'Virus', 'bacteria', 'genetic mutation']",What is the cause of enzootic bovine leukosis?,A. Virus  B. genetic mutation  C. bacteria  D. infection,D,Does enzootic bovine leukosis have cause infection?,Does enzootic bovine leukosis have cause Virus?,What type of disease is enzootic bovine leukosis?,What is caused by infection in the context of enzootic bovine leukosis?,What is the pathogen responsible for the infection that enzootic bovine leukosis has cause?,Bovine leukemia virus,What type of virus is the pathogen responsible for the infection that enzootic bovine leukosis has cause?,Retrovirus,Which family does the type of virus belong to that is responsible for the infection that enzootic bovine leukosis has cause?,Retroviridae,"What is a common characteristic of the family of viruses that the type of virus belongs to, which is responsible for the infection that enzootic bovine leukosis has cause?",They have RNA genomes.,"What is the process called by which the family of viruses, to which the type of virus responsible for the infection that enzootic bovine leukosis has cause belongs, replicate their RNA genomes?",Reverse transcription
health_disease,stenosing tenosynovitis,health specialty,rheumatology,What is the health specialty of stenosing tenosynovitis?,Hand,0.0,"['rheumatology', 'Hand', 'orthopedics', 'neurology']",Which medical specialty deals with stenosing tenosynovitis?,A. rheumatology  B. Hand  C. neurology  D. orthopedics,A,Is the health specialty of stenosing tenosynovitis rheumatology?,Is the health specialty of stenosing tenosynovitis Hand?,What is a common symptom associated with stenosing tenosynovitis?,What condition is treated under the specialty of rheumatology?,What is a common treatment method used in the health specialty of stenosing tenosynovitis?,Corticosteroid injections,What is a potential side effect of the common treatment method used in the health specialty of stenosing tenosynovitis?,Increased blood sugar levels,What is a common condition associated with the potential side effect of the common treatment method used in the health specialty of stenosing tenosynovitis?,Diabetes,What is a common complication of the condition associated with the potential side effect of the common treatment method used in the health specialty of stenosing tenosynovitis?,Neuropathy,What is a common symptom of the complication of the condition associated with the potential side effect of the common treatment method used in the health specialty of stenosing tenosynovitis?,Numbness and tingling in the extremities
health_disease,suicidal ideation,possible treatment,psychotherapy,What is the possible treatment of suicidal ideation?,Treatment,0.0,"['psychotherapy', 'Treatment', 'medication', 'counseling']",What is a potential treatment for suicidal ideation?,A. medication  B. Treatment  C. psychotherapy  D. counseling,C,Is psychotherapy a possible treatment for suicidal ideation?,Is Treatment a possible treatment for suicidal ideation?,What is a common symptom associated with suicidal ideation?,What condition can psychotherapy be a possible treatment for?,What is a common type of psychotherapy used as a possible treatment of suicidal ideation?,Cognitive Behavioral Therapy (CBT),Who developed the common type of psychotherapy used as a possible treatment of suicidal ideation?,Aaron T. Beck,Which university was the developer of the common type of psychotherapy used as a possible treatment of suicidal ideation affiliated with?,University of Pennsylvania,In which city is the university located where the developer of the common type of psychotherapy used as a possible treatment of suicidal ideation was affiliated?,Philadelphia,In which state is the city located where the university is situated that the developer of the common type of psychotherapy used as a possible treatment of suicidal ideation was affiliated?,Pennsylvania
health_disease,passive–aggressive personality disorder,has characteristic,passive–aggressive behavior,What does passive–aggressive personality disorder have characteristic?,Manipulative,0.0,"['passive–aggressive behavior', 'Manipulative', 'Narcissistic behavior', 'Obsessive-compulsive tendencies']",What characteristic is associated with passive–aggressive personality disorder?,A. Obsessive-compulsive tendencies  B. Manipulative  C. Narcissistic behavior  D. passive–aggressive behavior,D,Does passive–aggressive personality disorder have the characteristic of passive–aggressive behavior?,Does passive–aggressive personality disorder have the characteristic of being manipulative?,What is a common symptom of passive–aggressive personality disorder?,Which disorder is characterized by passive–aggressive behavior?,What is a common symptom of the passive–aggressive behavior that passive–aggressive personality disorder has characteristic?,Procrastination,What is a common consequence of the procrastination that is a symptom of the passive–aggressive behavior that passive–aggressive personality disorder has characteristic?,Missed deadlines,What is a common result in the workplace due to the missed deadlines that are a consequence of the procrastination that is a symptom of the passive–aggressive behavior that passive–aggressive personality disorder has characteristic?,Decreased productivity,What is a common reaction from supervisors to the decreased productivity that is a result in the workplace due to the missed deadlines that are a consequence of the procrastination that is a symptom of the passive–aggressive behavior that passive–aggressive personality disorder has characteristic?,Increased supervision,What is a common feeling among employees due to the increased supervision that is a reaction from supervisors to the decreased productivity that is a result in the workplace due to the missed deadlines that are a consequence of the procrastination that is a symptom of the passive–aggressive behavior that passive–aggressive personality disorder has characteristic?,Resentment
health_disease,type 2 diabetes,afflicts,Homo sapiens,What does type 2 diabetes afflict?,Pancreas,0.0,"['Homo sapiens', 'Pancreas', 'Canis lupus', 'Felis catus']",Who is affected by type 2 diabetes?,A. Felis catus  B. Canis lupus  C. Pancreas  D. Homo sapiens,D,Does type 2 diabetes afflict Homo sapiens?,Does type 2 diabetes afflict the Pancreas?,What is a common symptom of type 2 diabetes?,What afflicts Homo sapiens?,What is a common symptom of the condition that type 2 diabetes afflicts?,Increased thirst,What is a common treatment for the symptom of the condition that type 2 diabetes afflicts?,Insulin therapy,Who discovered the common treatment for the symptom of the condition that type 2 diabetes afflicts?,Frederick Banting,In which year was the common treatment for the symptom of the condition that type 2 diabetes afflicts discovered?,1921,Which country was the common treatment for the symptom of the condition that type 2 diabetes afflicts discovered in?,Canada
health_disease,cementoma,anatomical location,cementum,What is the anatomical location of cementoma?,Cementoma is located in the cranial base,0.0,"['cementum', 'Cementoma is located in the cranial base', 'mandible', 'maxilla']",Where is a cementoma anatomically located?,A. Cementoma is located in the cranial base  B. mandible  C. cementum  D. maxilla,C,Is the anatomical location of cementoma the cementum?,Is the anatomical location of cementoma the cranial base?,What type of tissue is cementum associated with?,What condition is located in the cementum?,What is the primary function of the anatomical location of cementoma?,To anchor the teeth to the jawbone,Which cells are responsible for the formation of the primary function of the anatomical location of cementoma?,Cementoblasts,What is the origin of the cells responsible for the formation of the primary function of the anatomical location of cementoma?,Dental follicle,During which stage of tooth development does the origin of the cells responsible for the formation of the primary function of the anatomical location of cementoma occur?,Bell stage,Which part of the tooth is formed during the stage of tooth development when the origin of the cells responsible for the formation of the primary function of the anatomical location of cementoma occurs?,Enamel and dentin
