topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_disease,Morton's neuroma,health specialty,neurology,neurology,What is the health specialty of Morton's neuroma?,Podiatry,0.0,"['Neurology', 'Podiatry', 'Cardiology', 'Dermatology']",Which medical field specializes in Morton's neuroma?,A. neurology  B. Podiatry  C. Dermatology  D. Cardiology,A,Is the health specialty of Morton's neuroma neurology?,Is the health specialty of Morton's neuroma podiatry?,What part of the body is commonly affected by Morton's neuroma?,What condition is associated with the health specialty of neurology?,What is a common treatment for the health specialty of Morton's neuroma?,Corticosteroid injections,What is a potential side effect of the common treatment for the health specialty of Morton's neuroma?,Infection,What is a common symptom that might lead to the common treatment for the health specialty of Morton's neuroma?,Pain in the ball of the foot,What type of footwear is often recommended to alleviate the common symptom that might lead to the common treatment for the health specialty of Morton's neuroma?,Wide-toed shoes,What is a common material used in the type of footwear often recommended to alleviate the common symptom that might lead to the common treatment for the health specialty of Morton's neuroma?,Leather
health_disease,hyperphenylalaninemia,genetic association,QDPR,QDPR,What is the genetic association of hyperphenylalaninemia?,Maternal PKU mutation,0.0,"['QDPR', 'Maternal PKU mutation', 'PAH', 'GCH1']",Which gene is genetically associated with hyperphenylalaninemia?,A. PAH  B. Maternal PKU mutation  C. GCH1  D. QDPR,D,Is QDPR genetically associated with hyperphenylalaninemia?,Is Maternal PKU mutation genetically associated with hyperphenylalaninemia?,What is a common symptom of hyperphenylalaninemia?,Which condition is genetically associated with QDPR?,What is the function of the gene associated with hyperphenylalaninemia?,It encodes the enzyme dihydropteridine reductase.,What is the role of the enzyme encoded by the gene associated with hyperphenylalaninemia?,It is involved in the regeneration of tetrahydrobiopterin (BH4).,Which metabolic pathway involves the enzyme that is encoded by the gene associated with hyperphenylalaninemia?,The phenylalanine hydroxylation pathway.,What is the primary function of the phenylalanine hydroxylation pathway that involves the enzyme encoded by the gene associated with hyperphenylalaninemia?,The conversion of phenylalanine to tyrosine.,What is the consequence of a deficiency in the enzyme involved in the phenylalanine hydroxylation pathway that is encoded by the gene associated with hyperphenylalaninemia?,Accumulation of phenylalanine leading to hyperphenylalaninemia.
health_disease,Barium enema,said to be the same as,Double-contrast barium enema,Double-contrast barium enema,What did Barium enema say to be the same as?,"Barium enema is a medical test, not a person or animal, so",0.0,"['Double-contrast barium enema', 'Barium enema is a medical test, not a person or animal, so', 'Single-contrast barium enema', 'Colonoscopy']",What is Barium enema claimed to be equivalent to?,"A. Double-contrast barium enema  B. Single-contrast barium enema  C. Barium enema is a medical test, not a person or animal, so  D. Colonoscopy",A,Is Barium enema said to be the same as Double-contrast barium enema?,"Is Barium enema said to be the same as Barium enema is a medical test, not a person or animal, so?",What is a common use of Barium enema in medical diagnostics?,What is Double-contrast barium enema said to be the same as?,What is the primary purpose of the procedure that Barium enema is said to be the same as?,To diagnose abnormalities in the colon,"What type of abnormalities can be diagnosed by the procedure that Barium enema is said to be the same as, which is used to diagnose abnormalities in the colon?","Polyps, tumors, and diverticula","What is a common symptom that might lead a doctor to recommend the procedure that Barium enema is said to be the same as, which is used to diagnose abnormalities such as polyps, tumors, and diverticula in the colon?",Chronic abdominal pain,"What is a common preparation step for the procedure that Barium enema is said to be the same as, which is used to diagnose abnormalities such as polyps, tumors, and diverticula in the colon, and might be recommended for chronic abdominal pain?",Bowel cleansing with a laxative,"What is a potential complication of the procedure that Barium enema is said to be the same as, which is used to diagnose abnormalities such as polyps, tumors, and diverticula in the colon, might be recommended for chronic abdominal pain, and requires bowel cleansing with a laxative?",Perforation of the colon
health_disease,tarsal coalition,health specialty,rheumatology,rheumatology,What is the health specialty of tarsal coalition?,Orthopedics (Foot & Ankle),0.0,"['rheumatology', 'Orthopedics (Foot & Ankle)', 'podiatry', 'orthopedic surgery']",Which medical specialty deals with tarsal coalition?,A. Orthopedics (Foot & Ankle)  B. podiatry  C. rheumatology  D. orthopedic surgery,C,Is the health specialty of tarsal coalition rheumatology?,Is the health specialty of tarsal coalition Orthopedics (Foot & Ankle)?,What type of condition is tarsal coalition?,What condition is associated with the health specialty rheumatology?,What is a common treatment method used in the health specialty of tarsal coalition?,Physical therapy,What is a common goal of the treatment method used in the health specialty of tarsal coalition?,To improve joint function,What is a common symptom that the treatment method aims to alleviate in the health specialty of tarsal coalition?,Pain,What is a common diagnostic tool used to identify the symptom that the treatment method aims to alleviate in the health specialty of tarsal coalition?,X-ray,What is a common preparatory step before using the diagnostic tool to identify the symptom that the treatment method aims to alleviate in the health specialty of tarsal coalition?,Patient history and physical examination
health_disease,folate deficiency,health specialty,endocrinology,endocrinology,What is the health specialty of folate deficiency?,Nutrition/Metabolism,0.0,"['endocrinology', 'Nutrition/Metabolism', 'Hematology', 'Gastroenterology']",Which medical specialty deals with folate deficiency?,A. Nutrition/Metabolism  B. endocrinology  C. Hematology  D. Gastroenterology,B,Is endocrinology the health specialty of folate deficiency?,Is Nutrition/Metabolism the health specialty of folate deficiency?,What vitamin is commonly associated with folate deficiency?,What condition is associated with the health specialty of endocrinology?,Who is a notable endocrinologist specializing in folate deficiency?,Dr. Robert Murray,Which medical school did a notable endocrinologist specializing in folate deficiency attend?,Harvard Medical School,In which city is the medical school located that a notable endocrinologist specializing in folate deficiency attended?,Boston,In which state is the city located where the medical school that a notable endocrinologist specializing in folate deficiency attended is situated?,Massachusetts,In which country is the state located where the city is situated that contains the medical school a notable endocrinologist specializing in folate deficiency attended?,United States
health_disease,prostate neoplasm,health specialty,oncology,oncology,What is the health specialty of prostate neoplasm?,Urology,0.0,"['Oncology', 'Urology', 'Cardiology', 'Neurology']",Which medical specialty deals with prostate neoplasm?,A. Cardiology  B. Neurology  C. Urology  D. oncology,D,Is the health specialty of prostate neoplasm oncology?,Is the health specialty of prostate neoplasm urology?,What is a common symptom associated with prostate neoplasm?,What type of neoplasm is associated with the health specialty of oncology?,What is the primary treatment method used in the health specialty of prostate neoplasm?,Radiation therapy,What is a common side effect of the primary treatment method used in the health specialty of prostate neoplasm?,Fatigue,What is a recommended management strategy for the common side effect of the primary treatment method used in the health specialty of prostate neoplasm?,Regular exercise,What type of professional typically recommends the management strategy for the common side effect of the primary treatment method used in the health specialty of prostate neoplasm?,Oncologist,What is the educational requirement for the type of professional who typically recommends the management strategy for the common side effect of the primary treatment method used in the health specialty of prostate neoplasm?,Medical degree
health_disease,aneurysm,health specialty,vascular surgery,vascular surgery,What is the health specialty of aneurysm?,Neurosurgery or Radiology (Interventional),0.0,"['vascular surgery', 'Neurosurgery or Radiology (Interventional)', 'cardiology', 'neurology']",Which medical specialty deals with aneurysms?,A. neurology  B. cardiology  C. vascular surgery  D. Neurosurgery or Radiology (Interventional),C,Is the health specialty of aneurysm vascular surgery?,Is the health specialty of aneurysm Neurosurgery or Radiology (Interventional)?,What is a common symptom of an aneurysm?,What condition is treated by vascular surgery?,What is a common procedure performed in the health specialty of aneurysm?,Endovascular coiling,What is the primary goal of the common procedure performed in the health specialty of aneurysm?,To prevent rupture,What imaging technique is often used to guide the common procedure performed in the health specialty of aneurysm?,Angiography,Which medical professional typically interprets the imaging technique used to guide the common procedure performed in the health specialty of aneurysm?,Radiologist,What is the primary role of the medical professional who interprets the imaging technique used to guide the common procedure performed in the health specialty of aneurysm?,To diagnose and monitor vascular conditions
health_disease,hookworm disease,drug or therapy used for treatment,imidacloprid,imidacloprid,What is the drug or therapy used for treatment of hookworm disease?,Albendazole or Mebendazole,0.0,"['imidacloprid', 'Albendazole or Mebendazole', 'Ivermectin', 'Pyrantel pamoate']",Which drug or therapy is utilized to treat hookworm disease?,A. Albendazole or Mebendazole  B. Ivermectin  C. Pyrantel pamoate  D. imidacloprid,D,Is imidacloprid the drug or therapy used for treatment of hookworm disease?,Is Albendazole or Mebendazole the drug or therapy used for treatment of hookworm disease?,What is a common symptom of hookworm disease?,What disease is treated with imidacloprid?,What is the mechanism of action of the drug or therapy used for treatment of hookworm disease?,"It acts as an agonist at the nicotinic acetylcholine receptors of the insect nervous system, leading to paralysis and death.",Which company developed the drug or therapy used for treatment of hookworm disease?,Bayer AG,In which country is the company that developed the drug or therapy used for treatment of hookworm disease headquartered?,Germany,What is the capital city of the country where the company that developed the drug or therapy used for treatment of hookworm disease is headquartered?,Berlin,What is the population of the capital city of the country where the company that developed the drug or therapy used for treatment of hookworm disease is headquartered?,Approximately 3.6 million
health_disease,tapeworm infection,health specialty,infectious diseases,infectious diseases,What is the health specialty of tapeworm infection?,Parasitology,0.0,"['Infectious diseases', 'Parasitology', 'Gastroenterology', 'Immunology']",Which medical specialty deals with tapeworm infection?,A. Gastroenterology  B. infectious diseases  C. Immunology  D. Parasitology,B,Is the health specialty of tapeworm infection infectious diseases?,Is the health specialty of tapeworm infection parasitology?,What type of organism causes a tapeworm infection?,What condition is treated under the specialty of infectious diseases?,What is a common treatment for the health specialty of tapeworm infection?,Antiparasitic medication,What is a common side effect of the treatment for the health specialty of tapeworm infection?,Nausea,What is a common remedy for the side effect of the treatment for the health specialty of tapeworm infection?,Ginger,What is a common form of ginger used as a remedy for the side effect of the treatment for the health specialty of tapeworm infection?,Ginger tea,What is a common ingredient in ginger tea used as a remedy for the side effect of the treatment for the health specialty of tapeworm infection?,Honey
health_disease,familial amyloid neuropathy,health specialty,endocrinology,endocrinology,What is the health specialty of familial amyloid neuropathy?,Neurology,0.0,"['Endocrinology', 'Neurology', 'Cardiology', 'Gastroenterology']",Which medical specialty deals with familial amyloid neuropathy?,A. endocrinology  B. Gastroenterology  C. Cardiology  D. Neurology,A,Is the health specialty of familial amyloid neuropathy endocrinology?,Is the health specialty of familial amyloid neuropathy neurology?,What is a common symptom associated with familial amyloid neuropathy?,Which condition is associated with the health specialty of endocrinology?,What is a common treatment method used in the health specialty of familial amyloid neuropathy?,Medication management,What is a commonly prescribed medication in the treatment method used in the health specialty of familial amyloid neuropathy?,Diflunisal,What is the primary mechanism of action of the commonly prescribed medication in the treatment method used in the health specialty of familial amyloid neuropathy?,Stabilizes transthyretin,Which organ is primarily affected by the condition that the commonly prescribed medication in the treatment method used in the health specialty of familial amyloid neuropathy aims to stabilize?,Peripheral nerves,What is a common symptom associated with the organ primarily affected by the condition that the commonly prescribed medication in the treatment method used in the health specialty of familial amyloid neuropathy aims to stabilize?,Numbness and tingling
