topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_sport,Olympic Games,follows,Ancient Olympic Games,What does Olympic Games follow?,Paralympic Games,0.0,"['Ancient Olympic Games', 'Paralympic Games', 'Winter Olympic Games', 'Youth Olympic Games']",Which event does the Olympic Games come after?,A. Paralympic Games  B. Winter Olympic Games  C. Ancient Olympic Games  D. Youth Olympic Games,C,Do the Olympic Games follow the Ancient Olympic Games?,Do the Olympic Games follow the Paralympic Games?,In which city were the first modern Olympic Games held?,What follows the Ancient Olympic Games?,In which country were the Ancient Olympic Games held?,Greece,What is the capital city of the country where the Ancient Olympic Games were held?,Athens,Which famous historical site is located in the capital city of the country where the Ancient Olympic Games were held?,The Acropolis,What is the name of the temple located at the famous historical site in the capital city of the country where the Ancient Olympic Games were held?,The Parthenon,Who was the main deity worshipped at the temple located at the famous historical site in the capital city of the country where the Ancient Olympic Games were held?,Athena
event_sport,Olympic Games,sponsor,Visa Inc.,What does Olympic Games sponsor?,Athletes,0.0,"['Visa Inc.', 'Athletes', 'Coca-Cola', 'Nike']",Who is the sponsor of the Olympic Games?,A. Visa Inc.  B. Nike  C. Coca-Cola  D. Athletes,A,Does Visa Inc. sponsor the Olympic Games?,Do Athletes sponsor the Olympic Games?,In which city were the first modern Olympic Games held?,What event does Visa Inc. sponsor?,Who is the CEO of the company that Olympic Games sponsor?,Alfred F. Kelly Jr.,Which university did the CEO of the company that Olympic Games sponsor attend?,Iona College,In which city is the university located that the CEO of the company that Olympic Games sponsor attended?,New Rochelle,In which state is the city located where the university that the CEO of the company that Olympic Games sponsor attended is situated?,New York,In which country is the state located where the city is situated that contains the university the CEO of the company that Olympic Games sponsor attended?,United States
event_sport,Berlin Marathon,located in the administrative territorial entity,Berlin,What is the located in the administrative territorial entity of Berlin Marathon?,Germany,0.0,"['Berlin', 'Germany', 'Munich', 'Hamburg']",In which administrative territorial entity is the Berlin Marathon located?,A. Germany  B. Hamburg  C. Munich  D. Berlin,D,Is the Berlin Marathon located in the administrative territorial entity of Berlin?,Is the Berlin Marathon located in the administrative territorial entity of Germany?,What is a famous event that takes place in Berlin?,Which marathon is located in the administrative territorial entity of Berlin?,What is the country of the city that is the located in the administrative territorial entity of Berlin Marathon?,Germany,What is the capital of the country of the city that is the located in the administrative territorial entity of Berlin Marathon?,Berlin,What is the population of the capital of the country of the city that is the located in the administrative territorial entity of Berlin Marathon?,Approximately 3.6 million,What is the area in square kilometers of the capital of the country of the city that is the located in the administrative territorial entity of Berlin Marathon?,891.8 square kilometers,What is the time zone of the capital of the country of the city that is the located in the administrative territorial entity of Berlin Marathon?,Central European Time (CET)
event_sport,Australian Grand Prix,organizer,Fédération Internationale de l'Automobile,What is the organizer of Australian Grand Prix?,Australian Grand Prix Corporation,0.0,"[""Fédération Internationale de l'Automobile"", 'Australian Grand Prix Corporation', 'Formula One Group', 'Motorsport Australia']",Who is responsible for organizing the Australian Grand Prix?,A. Formula One Group  B. Fédération Internationale de l'Automobile  C. Motorsport Australia  D. Australian Grand Prix Corporation,B,Is the organizer of the Australian Grand Prix the Fédération Internationale de l'Automobile?,Is the organizer of the Australian Grand Prix the Australian Grand Prix Corporation?,In which country is the Australian Grand Prix held?,What event is organized by the Fédération Internationale de l'Automobile?,Who is the president of the organizer of the Australian Grand Prix?,Jean Todt,Which country is the president of the organizer of the Australian Grand Prix from?,France,What is the capital city of the country that the president of the organizer of the Australian Grand Prix is from?,Paris,Which river flows through the capital city of the country that the president of the organizer of the Australian Grand Prix is from?,Seine,Into which body of water does the river that flows through the capital city of the country that the president of the organizer of the Australian Grand Prix is from empty?,English Channel
event_sport,Olympic Games,sport,Olympic sport,What is the sport of Olympic Games?,Summer and Winter,0.0,"['Olympic sport', 'Summer and Winter', 'World Championship', 'Commonwealth Games']",Which sport is associated with the Olympic Games?,A. Commonwealth Games  B. Summer and Winter  C. World Championship  D. Olympic sport,D,Is the sport of Olympic Games Olympic sport?,Is the sport of Olympic Games Summer and Winter?,In which city were the first modern Olympic Games held?,Which event features Olympic sport?,What is an example of an Olympic sport?,Swimming,Who is a famous athlete in the example of an Olympic sport?,Michael Phelps,Which country does the famous athlete in the example of an Olympic sport represent?,United States,In which year did the famous athlete in the example of an Olympic sport win his first Olympic gold medal?,2004,In which city were the Olympic Games held when the famous athlete in the example of an Olympic sport won his first Olympic gold medal?,Athens
event_sport,Berlin Marathon,sponsor,BMW,What does Berlin Marathon sponsor?,Asics,0.0,"['BMW', 'Asics', 'Nike', 'Adidas']",Who is the sponsor of the Berlin Marathon?,A. Asics  B. Adidas  C. Nike  D. BMW,D,Is BMW the sponsor of the Berlin Marathon?,Is Asics the sponsor of the Berlin Marathon?,In which city is the Berlin Marathon held?,What event does BMW sponsor?,What is the headquarters location of the Berlin Marathon sponsor?,"Munich, Germany","Who is the CEO of the company headquartered in Munich, Germany that sponsors the Berlin Marathon?",Oliver Zipse,"Which university did the CEO of the company headquartered in Munich, Germany that sponsors the Berlin Marathon attend?",Technische Universität Darmstadt,"In which city is the university located that the CEO of the company headquartered in Munich, Germany that sponsors the Berlin Marathon attended?",Darmstadt,"In which state is the city located where the university is situated that the CEO of the company headquartered in Munich, Germany that sponsors the Berlin Marathon attended?",Hesse
event_sport,Nemean Games,time period,classical antiquity,What is the time period of Nemean Games?,Ancient,0.0,"['classical antiquity', 'Ancient', 'medieval times', 'modern era']",During which era were the Nemean Games held?,A. medieval times  B. Ancient  C. classical antiquity  D. modern era,C,Is the time period of Nemean Games classical antiquity?,Is the time period of Nemean Games Ancient?,What type of event were the Nemean Games?,Which games were held during classical antiquity?,What is a notable event that took place during the time period of the Nemean Games?,The Olympic Games,"Where were the Olympic Games held, which is a notable event that took place during the time period of the Nemean Games?","Olympia, Greece","Which god was honored at the location where the Olympic Games were held, a notable event during the time period of the Nemean Games?",Zeus,"What is the name of the temple dedicated to the god honored at the location where the Olympic Games were held, a notable event during the time period of the Nemean Games?",Temple of Zeus,"Who was the sculptor of the statue inside the temple dedicated to the god honored at the location where the Olympic Games were held, a notable event during the time period of the Nemean Games?",Phidias
event_sport,Nemean Games,culture,Ancient Greece,What is the culture of Nemean Games?,Pagan,0.0,"['Ancient Greece', 'Pagan', 'Roman Empire', 'Medieval Europe']",Which culture is associated with the Nemean Games?,A. Pagan  B. Roman Empire  C. Ancient Greece  D. Medieval Europe,C,Is the culture of Nemean Games Ancient Greece?,Is the culture of Nemean Games Pagan?,In which region were the Nemean Games held?,What games are associated with Ancient Greece?,What is the primary language of the culture of Nemean Games?,Ancient Greek,Who is a famous philosopher from the primary language of the culture of Nemean Games?,Socrates,Who was the teacher of the famous philosopher from the primary language of the culture of Nemean Games?,Plato,What is the name of the school founded by the teacher of the famous philosopher from the primary language of the culture of Nemean Games?,The Academy,In which city was the school founded by the teacher of the famous philosopher from the primary language of the culture of Nemean Games located?,Athens
event_sport,Dakar Rally,location,Saudi Arabia,What is the location of Dakar Rally?,Senegal,0.0,"['Saudi Arabia', 'Senegal', 'Argentina', 'Morocco']",Where is the Dakar Rally held?,A. Morocco  B. Senegal  C. Argentina  D. Saudi Arabia,D,Is the Dakar Rally located in Saudi Arabia?,Is the Dakar Rally located in Senegal?,What type of event is the Dakar Rally known for?,What event is located in Saudi Arabia?,What is the capital city of the country where the Dakar Rally is located?,Riyadh,What is the population of the capital city of the country where the Dakar Rally is located?,Approximately 7.6 million,What is the main language spoken in the capital city of the country where the Dakar Rally is located?,Arabic,What is the currency used in the country where the Dakar Rally is located?,Saudi Riyal,What is the official religion of the country where the Dakar Rally is located?,Islam
event_sport,Australian Grand Prix,location,Albert Park Circuit,What is the location of Australian Grand Prix?,Melbourne,0.0,"['Albert Park Circuit', 'Melbourne', 'Sydney', 'Adelaide']",Where is the Australian Grand Prix held?,A. Melbourne  B. Adelaide  C. Sydney  D. Albert Park Circuit,D,Is the location of the Australian Grand Prix Albert Park Circuit?,Is the location of the Australian Grand Prix Melbourne?,In which city is the Australian Grand Prix held?,Which event takes place at Albert Park Circuit?,In which city is the location of the Australian Grand Prix?,Melbourne,In which state is the city located where the location of the Australian Grand Prix is situated?,Victoria,In which country is the state located where the city is situated that contains the location of the Australian Grand Prix?,Australia,What is the population of the country where the state is located that contains the city where the location of the Australian Grand Prix is situated?,Approximately 25 million,What is the capital city of the country where the state is located that contains the city where the location of the Australian Grand Prix is situated?,Canberra
