topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_writer,Tamara Sinyavskaya,genre,opera,What is the genre of Tamara Sinyavskaya?,Poetry,0.0,"['opera', 'Poetry', 'jazz', 'rock']",Which genre is associated with Tamara Sinyavskaya?,A. Poetry  B. opera  C. rock  D. jazz,B,Is the genre of Tamara Sinyavskaya opera?,Is the genre of Tamara Sinyavskaya Poetry?,What is a notable achievement of Tamara Sinyavskaya?,Who is associated with the genre opera?,Who is a famous composer associated with the genre of Tamara Sinyavskaya?,Giuseppe Verdi,What is one of the most famous operas composed by a famous composer associated with the genre of Tamara Sinyavskaya?,La Traviata,Who is the main female character in one of the most famous operas composed by a famous composer associated with the genre of Tamara Sinyavskaya?,Violetta Valéry,Who is the author of the novel that inspired the main female character in one of the most famous operas composed by a famous composer associated with the genre of Tamara Sinyavskaya?,Alexandre Dumas,What is the title of the novel written by the author who inspired the main female character in one of the most famous operas composed by a famous composer associated with the genre of Tamara Sinyavskaya?,La Dame aux Camélias
human_writer,Daniel Morgan,conflict,American Revolutionary War,What is the conflict of Daniel Morgan?,Daniel Morgan,0.0,"['American Revolutionary War', 'Daniel Morgan', 'Civil War', 'War of 1812']",In which conflict did Daniel Morgan participate?,A. Daniel Morgan  B. American Revolutionary War  C. Civil War  D. War of 1812,B,Is the American Revolutionary War the conflict of Daniel Morgan?,Is Daniel Morgan the conflict of Daniel Morgan?,What was Daniel Morgan's role in the American Revolutionary War?,Who participated in the American Revolutionary War?,Who was a notable general in the conflict of Daniel Morgan?,George Washington,Who was the spouse of the notable general in the conflict of Daniel Morgan?,Martha Washington,What was the maiden name of the spouse of the notable general in the conflict of Daniel Morgan?,Martha Dandridge,In which year was the spouse of the notable general in the conflict of Daniel Morgan born?,1731,In which colony was the spouse of the notable general in the conflict of Daniel Morgan born?,Virginia Colony
human_writer,Anton Siluanov,employer,Finance University under the Government of the Russian Federation,What is the employer of Anton Siluanov?,Ministry of Finance,0.0,"['Finance University under the Government of the Russian Federation', 'Ministry of Finance', 'Central Bank of Russia', 'State Duma']",Who employs Anton Siluanov?,A. Central Bank of Russia  B. Finance University under the Government of the Russian Federation  C. State Duma  D. Ministry of Finance,B,Is the employer of Anton Siluanov the Finance University under the Government of the Russian Federation?,Is the employer of Anton Siluanov the Ministry of Finance?,What is a notable position held by Anton Siluanov?,Who is employed by the Finance University under the Government of the Russian Federation?,What is the location of the employer of Anton Siluanov?,"Moscow, Russia",What is the population of the city where the employer of Anton Siluanov is located?,Approximately 12.5 million,What is the area of the city with a population of approximately 12.5 million where the employer of Anton Siluanov is located?,"2,511 square kilometers","What is the name of the river that flows through the city with an area of 2,511 square kilometers where the employer of Anton Siluanov is located?",Moskva River,"What is the length of the river that flows through the city with an area of 2,511 square kilometers where the employer of Anton Siluanov is located?",503 kilometers
human_writer,Adlai Stevenson I,place of birth,Christian County,What is the place of birth of Adlai Stevenson I?,Illinois,0.0,"['Christian County', 'Illinois', 'Springfield', 'Cook County']",Where was Adlai Stevenson I born?,A. Springfield  B. Christian County  C. Cook County  D. Illinois,B,Was Adlai Stevenson I born in Christian County?,Was Adlai Stevenson I born in Illinois?,What political position did Adlai Stevenson I hold?,Who was born in Christian County?,In which state is the place of birth of Adlai Stevenson I located?,Kentucky,What is the capital of the state where the place of birth of Adlai Stevenson I is located?,Frankfort,Which river runs through the capital of the state where the place of birth of Adlai Stevenson I is located?,Kentucky River,What is the length of the river that runs through the capital of the state where the place of birth of Adlai Stevenson I is located?,259 miles,Into which larger river does the river that runs through the capital of the state where the place of birth of Adlai Stevenson I is located flow?,Ohio River
human_writer,Gennady Gudkov,military or police rank,reservist,What is the military or police rank of Gennady Gudkov?,Colonel,0.0,"['reservist', 'Colonel', 'Lieutenant', 'Sergeant']",What rank does Gennady Gudkov hold in the military or police?,A. Lieutenant  B. Sergeant  C. reservist  D. Colonel,C,Is Gennady Gudkov's military or police rank reservist?,Is Gennady Gudkov's military or police rank Colonel?,What is Gennady Gudkov known for besides his military or police rank?,Who holds the military or police rank of reservist?,What is the previous occupation of the person with the military or police rank of Gennady Gudkov?,KGB officer,What is the primary function of the organization where the previous occupation of the person with the military or police rank of Gennady Gudkov worked?,State security and intelligence,In which country is the organization located that has the primary function of state security and intelligence where the previous occupation of the person with the military or police rank of Gennady Gudkov worked?,Russia,What is the capital city of the country where the organization is located that has the primary function of state security and intelligence where the previous occupation of the person with the military or police rank of Gennady Gudkov worked?,Moscow,What is the population of the capital city of the country where the organization is located that has the primary function of state security and intelligence where the previous occupation of the person with the military or police rank of Gennady Gudkov worked?,Approximately 12 million
human_writer,Mikhail Nikolayev,residence,Sakha,What is the residence of Mikhail Nikolayev?,Moscow,0.0,"['Sakha', 'Moscow', 'Saint Petersburg', 'Novosibirsk']",Where does Mikhail Nikolayev live?,A. Saint Petersburg  B. Novosibirsk  C. Sakha  D. Moscow,C,Is Sakha the residence of Mikhail Nikolayev?,Is Moscow the residence of Mikhail Nikolayev?,What is a notable achievement of Mikhail Nikolayev?,Who resides in Sakha?,What is the capital of the residence of Mikhail Nikolayev?,Yakutsk,What is the population of the capital of the residence of Mikhail Nikolayev?,"Around 300,000",What river is the capital of the residence of Mikhail Nikolayev located on?,Lena River,What is the length of the river that the capital of the residence of Mikhail Nikolayev is located on?,"Approximately 4,400 kilometers",Into which sea does the river that the capital of the residence of Mikhail Nikolayev is located on flow?,Laptev Sea
human_writer,Boris Pankin,residence,Stockholm,What is the residence of Boris Pankin?,Moscow,0.0,"['Stockholm', 'Moscow', 'Berlin', 'Helsinki']",Where does Boris Pankin live?,A. Stockholm  B. Moscow  C. Helsinki  D. Berlin,A,Is Stockholm the residence of Boris Pankin?,Is Moscow the residence of Boris Pankin?,What is Boris Pankin known for?,Who resides in Stockholm?,What is the population of the residence of Boris Pankin?,"975,551","What is the area of the city with the population of 975,551, which is the residence of Boris Pankin?",188 km²,"What is the name of the country where the city with an area of 188 km², which is the residence of Boris Pankin, is located?",Sweden,"What is the official language of the country where the city with an area of 188 km², which is the residence of Boris Pankin, is located?",Swedish,"What is the currency used in the country where the official language is Swedish, and the city with an area of 188 km², which is the residence of Boris Pankin, is located?",Swedish krona
human_writer,James H. Kyle,place of birth,Cedarville,What is the place of birth of James H. Kyle?,Texas,0.0,"['Cedarville', 'Texas', 'New York', 'Chicago']",Where was James H. Kyle born?,A. Cedarville  B. Texas  C. New York  D. Chicago,A,Is Cedarville the place of birth of James H. Kyle?,Is Texas the place of birth of James H. Kyle?,What was James H. Kyle known for?,Who was born in Cedarville?,In which state is the place of birth of James H. Kyle located?,Ohio,What is the capital of the state where the place of birth of James H. Kyle is located?,Columbus,Which river flows through the capital of the state where the place of birth of James H. Kyle is located?,Scioto River,What is the length of the river that flows through the capital of the state where the place of birth of James H. Kyle is located?,231 miles,Into which river does the river that flows through the capital of the state where the place of birth of James H. Kyle is located empty?,Ohio River
human_writer,F. Ray Keyser,conflict,World War II,What is the conflict of F. Ray Keyser?,"""F. Ray Keyser's conflict is with his own moral values",0.0,"['World War II', ""F. Ray Keyser's conflict is with his own moral values"", 'Vietnam War', 'Korean War']",Which conflict was F. Ray Keyser involved in?,"A. World War II  B. ""F. Ray Keyser's conflict is with his own moral values  C. Vietnam War  D. Korean War",A,Was F. Ray Keyser involved in World War II?,Was F. Ray Keyser's conflict with his own moral values?,What position did F. Ray Keyser hold in Vermont?,Who was involved in World War II?,Which country did F. Ray Keyser serve during the conflict of World War II?,United States,What branch of the military did F. Ray Keyser serve in during the conflict of World War II for the United States?,United States Army,What rank did F. Ray Keyser achieve in the United States Army during the conflict of World War II?,Captain,Which division of the United States Army did F. Ray Keyser serve in as a Captain during the conflict of World War II?,26th Infantry Division,"In which theater of operations did the 26th Infantry Division, where F. Ray Keyser served as a Captain during the conflict of World War II, primarily operate?",European Theater
human_writer,Edward Kent,member of political party,Whig Party,What is the member of political party of Edward Kent?,Republican,0.0,"['Whig Party', 'Republican', 'Democratic Party', 'Green Party']",Which political party was Edward Kent a member of?,A. Green Party  B. Democratic Party  C. Whig Party  D. Republican,C,Is Edward Kent a member of the Whig Party?,Is Edward Kent a member of the Republican Party?,What position did Edward Kent hold in the government?,Who is a member of the Whig Party?,"Who was a prominent leader of the Whig Party, the political party of Edward Kent?",Henry Clay,"What was the profession of Henry Clay, a prominent leader of the Whig Party, the political party of Edward Kent?",Lawyer and Statesman,"Which state did Henry Clay, a prominent leader of the Whig Party, the political party of Edward Kent, represent in the U.S. Senate?",Kentucky,"What is the capital city of the state that Henry Clay, a prominent leader of the Whig Party, the political party of Edward Kent, represented in the U.S. Senate?",Frankfort,"Which river runs through the capital city of the state that Henry Clay, a prominent leader of the Whig Party, the political party of Edward Kent, represented in the U.S. Senate?",Kentucky River
