topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Bulgaria,official observer status in organisation,European Space Agency,European Space Agency,What is the official observer status in organisation of Bulgaria?,Council of Europe,0.0,"['European Space Agency', 'Council of Europe', 'United Nations', 'World Health Organization']",Which organisation does Bulgaria have official observer status in?,A. Council of Europe  B. United Nations  C. World Health Organization  D. European Space Agency,D,Does Bulgaria have official observer status in the European Space Agency?,Does Bulgaria have official observer status in the Council of Europe?,What is the capital city of Bulgaria?,Which country has official observer status in the European Space Agency?,Which organization does Bulgaria have official observer status in?,Organisation of Islamic Cooperation,Where is the headquarters of the organization in which Bulgaria has official observer status?,"Jeddah, Saudi Arabia",In which region of Saudi Arabia is the headquarters of the organization in which Bulgaria has official observer status located?,Makkah Region,What is the population of the region where the headquarters of the organization in which Bulgaria has official observer status is located?,"8,557,766",What is the area in square kilometers of the region where the headquarters of the organization in which Bulgaria has official observer status is located?,"153,128 km²"
places_country,Myanmar,basic form of government,republic,republic,What is the basic form of government of Myanmar?,Military regime (as of 2021),0.0,"['republic', 'Military regime (as of 2021)', 'monarchy', 'federal state']",What type of government does Myanmar have?,A. monarchy  B. Military regime (as of 2021)  C. federal state  D. republic,D,Is the basic form of government of Myanmar a republic?,Is the basic form of government of Myanmar a Military regime (as of 2021)?,What is the capital city of Myanmar?,Which country has a republic as its basic form of government?,Who is the current head of state in the basic form of government of Myanmar?,Min Aung Hlaing,What is the official title of the current head of state in the basic form of government of Myanmar?,Chairman of the State Administration Council,Which organization is the current head of state of Myanmar the chairman of?,State Administration Council,"When was the State Administration Council, chaired by the current head of state of Myanmar, established?",February 2021,What event led to the establishment of the State Administration Council in Myanmar?,2021 Myanmar coup d'état
places_country,Vatican City,house publication,Acta Apostolicae Sedis,Acta Apostolicae Sedis,What is the house publication of Vatican City?,L'Osservatore Romano,0.0,"['Acta Apostolicae Sedis', ""L'Osservatore Romano"", 'The Vatican Weekly', 'Vatican News']",What publication is officially associated with Vatican City?,A. Acta Apostolicae Sedis  B. L'Osservatore Romano  C. Vatican News  D. The Vatican Weekly,A,Is Acta Apostolicae Sedis the house publication of Vatican City?,Is L'Osservatore Romano the house publication of Vatican City?,What is the official language of Vatican City?,Which city houses the publication Acta Apostolicae Sedis?,Who is the editor of the house publication of Vatican City?,Andrea Tornielli,What is the title of the editor of the house publication of Vatican City?,Editorial Director of the Vatican's Dicastery for Communication,Which organization is the editor of the house publication of Vatican City associated with?,Dicastery for Communication,"When was the Dicastery for Communication, associated with the editor of the house publication of Vatican City, established?","June 27, 2015","Who was the Pope when the Dicastery for Communication, associated with the editor of the house publication of Vatican City, was established?",Pope Francis
places_country,Tuvalu,located in/on physical feature,Polynesia,Polynesia,What is the located in/on physical feature of Tuvalu?,Atolls,0.0,"['Polynesia', 'Islands', 'Micronesia', 'Melanesia']",Where is Tuvalu situated?,A. Micronesia  B. Polynesia  C. Melanesia  D. Atolls,B,Is Tuvalu located in Polynesia?,Is Tuvalu located in Islands?,What is the capital city of Tuvalu?,Which country is located in Polynesia?,What ocean is Tuvalu located in?,Pacific Ocean,Which major oceanic region is the Pacific Ocean part of where Tuvalu is located?,Oceania,Which continent is closest to the oceanic region of Oceania where Tuvalu is located?,Australia,What is the capital city of the continent closest to the oceanic region of Oceania where Tuvalu is located?,Canberra,"Which country has Canberra as its capital city, which is the closest continent to the oceanic region of Oceania where Tuvalu is located?",Australia
places_country,Iran,head of government,Masoud Pezeshkian,Masoud Pezeshkian,Who is the head of government of Iran?,President Raisi (as of 2022),0.0,"['Masoud Pezeshkian', 'Ebrahim Raisi', 'Hassan Rouhani', 'Ali Khamenei']",Who holds the position of head of government in Iran?,A. President Raisi (as of 2022)  B. Masoud Pezeshkian  C. Ali Khamenei  D. Hassan Rouhani,B,Is Masoud Pezeshkian the head of government of Iran?,Is Ebrahim Raisi the head of government of Iran?,What is the capital city of Iran?,Of which country is Masoud Pezeshkian the head of government?,Who is the spouse of the head of government of Iran?,Jamileh Alamolhoda,Which university did the spouse of the head of government of Iran attend?,University of Tehran,In which city is the university that the spouse of the head of government of Iran attended located?,Tehran,In which province is the city located where the university that the spouse of the head of government of Iran attended is situated?,Tehran Province,In which country is the province located where the city is situated that contains the university the spouse of the head of government of Iran attended?,Iran
places_country,Senegal,head of state,Bassirou Diomaye Diakhar Faye,Bassirou Diomaye Diakhar Faye,Who is the head of state of Senegal?,Macky Sall,0.0,"['Bassirou Diomaye Diakhar Faye', 'Macky Sall', 'Abdoulaye Wade', 'Amadou Ba']",Who holds the position of head of state in Senegal?,A. Amadou Ba  B. Abdoulaye Wade  C. Macky Sall  D. Bassirou Diomaye Diakhar Faye,D,Is Bassirou Diomaye Diakhar Faye the head of state of Senegal?,Is Macky Sall the head of state of Senegal?,What is the capital city of Senegal?,Who is the head of state of Bassirou Diomaye Diakhar Faye?,Who is the spouse of the head of state of Senegal?,Marieme Faye Sall,Which university did the spouse of the head of state of Senegal attend?,Cheikh Anta Diop University,In which city is the university that the spouse of the head of state of Senegal attended located?,Dakar,In which region is the city located where the university that the spouse of the head of state of Senegal attended is situated?,Dakar Region,In which country is the region located where the city is situated that contains the university the spouse of the head of state of Senegal attended?,Senegal
places_country,Estonia,railway traffic side,right,right,What is the railway traffic side of Estonia?,Eastbound,0.0,"['right', 'Eastbound', 'left', 'Westbound']",On which side does railway traffic operate in Estonia?,A. Eastbound  B. right  C. Westbound  D. left,B,Is the railway traffic side of Estonia the right side?,Is the railway traffic side of Estonia Eastbound?,What is the capital city of Estonia?,In which country is the railway traffic side the right side?,Which country has the same railway traffic side as Estonia?,Russia,What is the capital city of the country that has the same railway traffic side as Estonia?,Moscow,Which river flows through the capital city of the country that has the same railway traffic side as Estonia?,Moskva River,What is the length of the river that flows through the capital city of the country that has the same railway traffic side as Estonia?,502 kilometers,Into which larger body of water does the river that flows through the capital city of the country with the same railway traffic side as Estonia eventually drain?,Oka River
places_country,Bangladesh,named after,Bangla,Bangla,What was Bangladesh named after?,Bengal (river),0.0,"['Bangla', 'Bengal (river)', 'Ganges', 'Dhaka']",After what was Bangladesh named?,A. Bengal (river)  B. Bangla  C. Dhaka  D. Ganges,B,Was Bangladesh named after Bangla?,Was Bangladesh named after Bengal (river)?,What is the capital city of Bangladesh?,Which country was named after Bangla?,Who was Bangladesh named after?,Bengali ethno-linguistic group,What language is primarily spoken by the ethno-linguistic group that Bangladesh was named after?,Bengali,Which script is used to write the primary language spoken by the ethno-linguistic group that Bangladesh was named after?,Bengali script,What is the origin of the script used to write the primary language spoken by the ethno-linguistic group that Bangladesh was named after?,Brahmic scripts,Which ancient civilization is associated with the origin of the script used to write the primary language spoken by the ethno-linguistic group that Bangladesh was named after?,Indus Valley Civilization
places_country,Egypt,lowest point,Qattara Depression,Qattara Depression,What is the lowest point of Egypt?,Suez,0.0,"['Qattara Depression', 'Suez', 'Nile Delta', 'Sinai Peninsula']",Where is the lowest point located in Egypt?,A. Qattara Depression  B. Nile Delta  C. Suez  D. Sinai Peninsula,A,Is the Qattara Depression the lowest point of Egypt?,Is Suez the lowest point of Egypt?,What is the capital city of Egypt?,In which country is the Qattara Depression the lowest point?,What is the name of the body of water at the lowest point in Egypt?,Qattara Depression,Which desert contains the body of water at the lowest point in Egypt?,Libyan Desert,Which larger desert is the Libyan Desert a part of?,Sahara Desert,Which continent is the Sahara Desert located on?,Africa,Which ocean borders the continent that contains the Sahara Desert?,Atlantic Ocean
places_country,Botswana,named after,Tswana people,Tswana people,What was Botswana named after?,Kgosi Gaborone II (Chief Gaborone II),0.0,"['Tswana people', 'Kgosi Gaborone II (Chief Gaborone II)', 'Kalahari Desert', 'Botswana River']",After whom was Botswana named?,A. Kalahari Desert  B. Botswana River  C. Kgosi Gaborone II (Chief Gaborone II)  D. Tswana people,D,Was Botswana named after the Tswana people?,Was Botswana named after Kgosi Gaborone II (Chief Gaborone II)?,What is the capital city of Botswana?,Who were the Tswana people named after?,Who was Botswana named after?,The Tswana people,What language is primarily spoken by the people Botswana was named after?,Setswana,In which country is the primary language spoken by the people Botswana was named after an official language?,Botswana,What is the capital city of the country where the primary language spoken by the people Botswana was named after is an official language?,Gaborone,Which river flows near the capital city of the country where the primary language spoken by the people Botswana was named after is an official language?,Notwane River
