topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_volcano,Chaitén,time period,Holocene,Holocene,What is the time period of Chaitén?,Eruption (2008),0.0,"['Holocene', 'Eruption (2008)', 'Pleistocene', 'Miocene']",During which time period did Chaitén exist?,A. Miocene  B. Holocene  C. Pleistocene  D. Eruption (2008),B,Is the time period of Chaitén the Holocene?,Is the time period of Chaitén the Eruption (2008)?,In which country is Chaitén located?,Which location is associated with the Holocene time period?,What is a significant volcanic event that occurred during the time period of Chaitén?,2008 eruption,Which country experienced a significant volcanic event during the time period of Chaitén?,Chile,What is the capital city of the country that experienced a significant volcanic event during the time period of Chaitén?,Santiago,What is the population of the capital city of the country that experienced a significant volcanic event during the time period of Chaitén?,Approximately 5.6 million,What is the primary language spoken in the capital city of the country that experienced a significant volcanic event during the time period of Chaitén?,Spanish
geography_volcano,Kelut,volcano observatory,Volcanological Survey of Indonesia,Volcanological Survey of Indonesia,What is the volcano observatory of Kelut?,Kelut Volcano Observatory,0.0,"['Volcanological Survey of Indonesia', 'Kelut Volcano Observatory', 'Indonesian Geological Agency', 'Volcano Research Center']",Which organization serves as the volcano observatory for Kelut?,A. Indonesian Geological Agency  B. Kelut Volcano Observatory  C. Volcanological Survey of Indonesia  D. Volcano Research Center,C,Is the Volcanological Survey of Indonesia the volcano observatory of Kelut?,Is the Kelut Volcano Observatory the volcano observatory of Kelut?,In which country is Kelut located?,Which volcano is monitored by the Volcanological Survey of Indonesia?,"Who is the head of the Volcanological Survey of Indonesia, the volcano observatory of Kelut?",Kasbani,"Which university did the head of the Volcanological Survey of Indonesia, the volcano observatory of Kelut, attend?",Gadjah Mada University,"In which city is the university located that the head of the Volcanological Survey of Indonesia, the volcano observatory of Kelut, attended?",Yogyakarta,"In which province is the city located where the university is situated that the head of the Volcanological Survey of Indonesia, the volcano observatory of Kelut, attended?",Special Region of Yogyakarta,"In which country is the province located where the city is situated that contains the university the head of the Volcanological Survey of Indonesia, the volcano observatory of Kelut, attended?",Indonesia
geography_volcano,Sotará,made from material,andesite,andesite,What is the made from material of Sotará?,Wood,0.0,"['andesite', 'Wood', 'granite', 'limestone']",What material is Sotará made from?,A. limestone  B. granite  C. Wood  D. andesite,D,Is Sotará made from andesite?,Is Sotará made from Wood?,Where is Sotará located?,What is made from andesite?,What is the primary mineral composition of the material that Sotará is made from?,"plagioclase, pyroxene, and hornblende",What is the geological classification of the primary mineral composition of the material that Sotará is made from?,igneous rock,What is the cooling rate of the geological classification of the primary mineral composition of the material that Sotará is made from?,rapid cooling,What type of volcanic activity is associated with the cooling rate of the geological classification of the primary mineral composition of the material that Sotará is made from?,extrusive volcanic activity,What is a common landform created by the type of volcanic activity associated with the cooling rate of the geological classification of the primary mineral composition of the material that Sotará is made from?,volcanic cones
geography_volcano,Mount Haku,named after,white,white,What was Mount Haku named after?,Aso. (Mount Haku is one of the five peaks of the A,0.0,"['white', 'Aso', 'snow', 'clouds']",What is the origin of the name of Mount Haku?,A. snow  B. white  C. Aso. (Mount Haku is one of the five peaks of the A  D. clouds,B,Was Mount Haku named after white?,Was Mount Haku named after Aso?,Which mountain is one of the five peaks of the Japanese Alps?,Which mountain was named after white?,What is the significance of the color that Mount Haku was named after?,"The name 'Haku' means 'white' in Japanese, referring to the snow that covers the mountain for much of the year.",In which season is the significance of the color that Mount Haku was named after most evident?,Winter,What is a popular activity during the season when the significance of the color that Mount Haku was named after is most evident?,Skiing,Which nearby city is a common destination for tourists who engage in the popular activity during the season when the significance of the color that Mount Haku was named after is most evident?,Kanazawa,In which prefecture is the nearby city located that is a common destination for tourists who engage in the popular activity during the season when the significance of the color that Mount Haku was named after is most evident?,Ishikawa Prefecture
geography_volcano,Lastarria,made from material,andesite,andesite,What is the made from material of Lastarria?,Stone,0.0,"['andesite', 'Stone', 'granite', 'limestone']",From what material is Lastarria made?,A. Stone  B. granite  C. andesite  D. limestone,C,Is Lastarria made from andesite?,Is Lastarria made from Stone?,Where is Lastarria located?,What is made from andesite?,What is the primary mineral composition of the andesite that Lastarria is made from?,Plagioclase feldspar,What is the chemical formula of the primary mineral composition of the andesite that Lastarria is made from?,NaAlSi3O8 - CaAl2Si2O8,What is the crystal system of the primary mineral composition of the andesite that Lastarria is made from?,Triclinic,What is the typical color of the primary mineral composition of the andesite that Lastarria is made from?,White to gray,What is the Mohs hardness of the primary mineral composition of the andesite that Lastarria is made from?,6 to 6.5
geography_volcano,Mount Scenery,time period,Holocene,Holocene,What is the time period of Mount Scenery?,Epoch (Volcano),0.0,"['Holocene', 'Epoch (Volcano)', 'Pleistocene', 'Miocene']",During which time period did Mount Scenery form?,A. Miocene  B. Epoch (Volcano)  C. Holocene  D. Pleistocene,C,Is the time period of Mount Scenery the Holocene?,Is the time period of Mount Scenery the Epoch (Volcano)?,What is the highest point on the island of Saba?,Which volcano formed during the Holocene?,What is the geological epoch of the time period of Mount Scenery?,Quaternary,What is the preceding epoch of the geological epoch of the time period of Mount Scenery?,Neogene,What is the period of the preceding epoch of the geological epoch of the time period of Mount Scenery?,Neogene Period,What is the era of the period of the preceding epoch of the geological epoch of the time period of Mount Scenery?,Cenozoic,What is the eon of the era of the period of the preceding epoch of the geological epoch of the time period of Mount Scenery?,Phanerozoic
geography_volcano,Citerne,located in protected area,Guadeloupe National Park,Guadeloupe National Park,What is the located in protected area of Citerne?,Spring,0.0,"['Guadeloupe National Park', 'Spring', 'Yellowstone National Park', 'Everglades National Park']",Which protected area is Citerne located in?,A. Everglades National Park  B. Spring  C. Yellowstone National Park  D. Guadeloupe National Park,D,Is Citerne located in Guadeloupe National Park?,Is Citerne located in Spring?,What is a notable feature of Citerne?,Where is Guadeloupe National Park located?,"What is the area of Guadeloupe National Park, which is the protected area where Citerne is located?",173 square kilometers,"What is the highest peak in the area of Guadeloupe National Park, which is the protected area where Citerne is located?",La Grande Soufrière,"What is the elevation of the highest peak in the area of Guadeloupe National Park, which is the protected area where Citerne is located?","1,467 meters","In which year did the highest peak in the area of Guadeloupe National Park, which is the protected area where Citerne is located, last erupt?",1976,"Which island is home to the highest peak in the area of Guadeloupe National Park, which is the protected area where Citerne is located?",Basse-Terre
geography_volcano,Kronotsky,volcano observatory,Institute of Volcanology and Seismology,Institute of Volcanology and Seismology,What is the volcano observatory of Kronotsky?,Kronotsky Volcano Observatory,0.0,"['Institute of Volcanology and Seismology', 'Kronotsky Volcano Observatory', 'Volcano Research Center', 'Seismic Activity Institute']",Which institution serves as the volcano observatory for Kronotsky?,A. Kronotsky Volcano Observatory  B. Seismic Activity Institute  C. Volcano Research Center  D. Institute of Volcanology and Seismology,D,Is the Institute of Volcanology and Seismology the volcano observatory of Kronotsky?,Is the Kronotsky Volcano Observatory the volcano observatory of Kronotsky?,What is a notable feature of Kronotsky?,What volcano observatory is associated with the Institute of Volcanology and Seismology?,In which country is the volcano observatory of Kronotsky located?,Russia,What is the capital city of the country where the volcano observatory of Kronotsky is located?,Moscow,Which river flows through the capital city of the country where the volcano observatory of Kronotsky is located?,Moskva River,What is the length of the river that flows through the capital city of the country where the volcano observatory of Kronotsky is located?,502 kilometers,Into which body of water does the river that flows through the capital city of the country where the volcano observatory of Kronotsky is located ultimately drain?,Oka River
geography_volcano,Zavodovski Island,located in/on physical feature,South Sandwich Islands,South Sandwich Islands,What is the located in/on physical feature of Zavodovski Island?,Volcano,0.0,"['South Sandwich Islands', 'Volcano', 'Atlantic Ocean', 'Pacific Ocean']",Where is Zavodovski Island situated?,A. Volcano  B. South Sandwich Islands  C. Atlantic Ocean  D. Pacific Ocean,B,Is Zavodovski Island located in the South Sandwich Islands?,Is Zavodovski Island located on a Volcano?,What is a notable geographical feature of Zavodovski Island?,Which island is located in the South Sandwich Islands?,"What is the capital of the South Sandwich Islands, where Zavodovski Island is located?",There is no permanent capital as the South Sandwich Islands are uninhabited.,"Which country administers the South Sandwich Islands, where Zavodovski Island is located?",United Kingdom,"What is the official language of the country that administers the South Sandwich Islands, where Zavodovski Island is located?",English,"What is the currency used in the country that administers the South Sandwich Islands, where Zavodovski Island is located?",Pound sterling,"What is the capital city of the country that administers the South Sandwich Islands, where Zavodovski Island is located?",London
geography_volcano,Mount Tarumae,made from material,andesite,andesite,What is the made from material of Mount Tarumae?,Basalt,0.0,"['andesite', 'Basalt', 'granite', 'limestone']",What material is Mount Tarumae composed of?,A. limestone  B. granite  C. Basalt  D. andesite,D,Is Mount Tarumae made from andesite?,Is Mount Tarumae made from Basalt?,Where is Mount Tarumae located?,What mountain is made from andesite?,What is the primary mineral found in the andesite that Mount Tarumae is made from?,Plagioclase feldspar,What is the chemical composition of the primary mineral found in the andesite that Mount Tarumae is made from?,Calcium and sodium aluminosilicate,What is the crystal system of the primary mineral found in the andesite that Mount Tarumae is made from?,Triclinic,What is the hardness on the Mohs scale of the primary mineral found in the andesite that Mount Tarumae is made from?,6 to 6.5,What is the specific gravity of the primary mineral found in the andesite that Mount Tarumae is made from?,2.62 to 2.76
