subjectLabel,relation,objectLabel
tinzaparin,physically interacts with,Serpin family C member 1
tinzaparin,part of,tinzaparin sodium
antibiotic,different from,bactericide
antibiotic,has characteristic,antibiotic resistance
stem bromelain,found in taxon,Ananas comosus
botulinum toxin type A,found in taxon,Clostridium botulinum
botulinum toxin type A,subclass of,botulinum toxin group
ginseng,natural product of taxon,Panax
antibiotic,instance of,medication
ginseng,described by source,Encyclopædia Britannica 11th edition
corticotropin,physically interacts with,Melanocortin 2 receptor
botulinum toxin type A,subject has role,acetylcholine release inhibitors
corticotropin,encoded by,POMC
corticotropin,subject has role,hormone
corticotropin,found in taxon,Homo sapiens
immunoglobulin G,subject has role,immunologic factor
ado-trastuzumab emtansine,active ingredient in,Kadcyla
industrial bromelain,different from,bromelain
industrial bromelain,has part(s),stem bromelain
ado-trastuzumab emtansine,different from,trastuzumab
Stelara,has active ingredient,ustekinumab
sebelipase alfa,said to be the same as,"Lipase A, lysosomal acid type"
sebelipase alfa,subclass of,medication
sitagliptin/metformin,active ingredient in,Janumet
sodium ferric gluconate complex,active ingredient in,Ferrlecit
buprenorphine/naloxone,subclass of,chemical compound
sacrosidase,instance of,medication
talimogene laherparepvec,medical condition treated,melanoma
lutropin alfa,physically interacts with,Luteinizing hormone/choriogonadotropin receptor
talimogene laherparepvec,subclass of,virus
lutropin alfa,subclass of,gonadotropins
luspatercept,instance of,medication
merestinib,subclass of,chemical compound
talimogene laherparepvec,instance of,medication
ferumoxytol,subclass of,chemical substance
placebo,has effect,placebo effect
Serpin family A member 1,molecular function,protein binding
merestinib,instance of,medication
Serpin family A member 1,encoded by,SERPINA1
Serpin family A member 1,found in taxon,Homo sapiens
Serpin family A member 1,subject has role,Trypsin inhibitor
emapalumab,medical condition treated,hemophagocytic lymphohistiocytosis
rifamycin,subject has role,antibiotic
aviptadil,has part(s),vasoactive intestinal peptide
calfactant,subject has role,pulmonary surfactant
modafinil,has use,medication
prostaglandin E,subclass of,prostaglandins
chondroitin sulfate,subclass of,mucopolysaccharide
beractant,subject has role,pulmonary surfactant
rifamycin,instance of,medication
modafinil,subclass of,chemical compound
botulinum toxin Type B,part of,botulinum toxin group
botulinum toxin Type B,medical condition treated,dystonia
botulinum toxin Type B,physically interacts with,Vesicle associated membrane protein 2
aviptadil,instance of,medication
botulinum toxin Type B,found in taxon,Clostridium botulinum
botulinum toxin Type B,subject has role,acetylcholine release inhibitors
prostaglandin E,instance of,medication
collagenase clostridium histolyticum,found in taxon,Hathewaya histolytica
collagenase clostridium histolyticum,subclass of,collagenase
asenapine,different from,"5-chloro-2-methyl-2,3,3a,12b-tetrahydrodibenzo[2,3:6,7]oxepino[4,5-c]pyrrole"
Insulin degludec,instance of,medication
abacavir/dolutegravir/lamivudine,route of administration,oral administration
renin inhibitor,instance of,medication
tranylcypromine,significant drug interaction,procarbazine
epoetin beta,active ingredient in,Neorecormon
glucagon-like peptide-1 agonist,agonist of,glucagon-like peptide-1
insulin glargine,subject has role,anti-diabetic medication
insulin glargine,subclass of,protein
andexanet alfa,has active ingredient,coagulation factor X
glucagon-like peptide-1 agonist,subclass of,anti-diabetic medication
kanamycin (extract),has active ingredient,kanamycin A
kanamycin (extract),produced by,Streptomyces kanamyceticus
kanamycin (extract),medical condition treated,upper respiratory tract infection
glucagon-like peptide-1 agonist,instance of,medication
andexanet alfa,instance of,medication
laureth,described by source,English Wiktionary
neomycin,subclass of,aminoglycoside
elixir,instance of,medication
insulin,produced by,pancreas
insulin,subject has role,anti-diabetic medication
insulin,active ingredient in,Humulin R
insulin,found in taxon,Homo sapiens
pre-exposure prophylaxis against HIV,subclass of,preventive medicine
pyridoxine/doxylamine,route of administration,oral administration
pyridoxine/doxylamine,side effect,somnolence
fish oil,has use,food additive
insulin,has part(s),insulin B chain
dalteparin,manufacturer,Pfizer
fish oil,described by source,Brockhaus and Efron Encyclopedic Dictionary
laureth,instance of,medication
dalteparin,physically interacts with,Serpin family C member 1
pre-exposure prophylaxis against HIV,instance of,medication
fish oil,instance of,medication
nabilone,medical condition treated,vomiting
urokinase,physically interacts with,plasmin
sedative,has use,sedation
ibritumomab,subject has role,radiopharmaceutical
sedative,subclass of,hypnotics and sedatives
artificial saliva,instance of,medication
cajeput oil,indigenous to,Maluku Islands
cajeput oil,described by source,Encyclopædia Britannica 11th edition
cajeput oil,subclass of,essential oil
haemaccel,instance of,medication
sedative,instance of,medication
onasemnogene abeparvovec,manufacturer,Novartis
candicidin,has active ingredient,candicidin D
candicidin,produced by,Streptomyces griseus
antiparkinson,medical condition treated,Parkinson's disease
antiparkinson,has use,Management of Parkinson's disease
trastuzumab deruxtecan,instance of,medication
artificial tears,instance of,medication
phosphatidyl serine,physically interacts with,Adhesion G protein-coupled receptor B1
phosphatidyl serine,has part(s),carbon
phosphatidyl serine,subclass of,phospholipids
xenon-133,subclass of,xenon
Tylenol,has active ingredient,paracetamol
antiparkinson,instance of,medication
Tylenol,country,United States of America
phosphatidyl serine,instance of,medication
xenon-133,subject has role,radiopharmaceutical
dronabinol,different from,droperidol
bamlanivimab,developer,AbCellera
pegcetacoplan,physically interacts with,complement C3
Sotrovimab,medical condition treated,COVID-19
neuromuscular-blocking drug,instance of,medication
pegcetacoplan,instance of,medication
dronabinol,instance of,medication
bulevirtide,instance of,medication
rac-miconazole,different from,miconazole
calcium supplement,facet of,calcium compounds
calcium supplement,subclass of,dietary supplement
chlorine,discoverer or inventor,Carl Wilhelm Scheele
chlorine,part of,halogens
calcium,discoverer or inventor,Humphry Davy
calcium,named after,lime
calcium,subject has role,essential medicine
calcium,part of,alkaline earth metal
chlorine,subclass of,halogens
chlorine,named after,green
calcium,subclass of,alkaline earth metal
calcium,different from,serum calcium
Hepatitis B vaccine,discoverer or inventor,Baruch Samuel Blumberg
tuberculin,instance of,essential medicine
Hepatitis B vaccine,subclass of,vaccine
Hepatitis B vaccine,instance of,essential medicine
calcium supplement,instance of,essential medicine
Hib vaccine,subclass of,conjugate vaccine
saline solution,medical condition treated,dehydration
influenza vaccine,subclass of,viral vaccines
digestive enzyme,molecular function,catalysis
digestive enzyme,subject has role,digestion
influenza vaccine,instance of,essential medicine
digestive enzyme,subclass of,enzyme
saline solution,instance of,essential medicine
Hib vaccine,instance of,essential medicine
