topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_corporation,De Hypotheker,industry,real estate economics,What is the industry of De Hypotheker?,Banking,0.0,"['real estate economics', 'Banking', 'Technology', 'Healthcare']",In which industry does De Hypotheker operate?,A. Banking  B. real estate economics  C. Healthcare  D. Technology,B,Is the industry of De Hypotheker real estate economics?,Is the industry of De Hypotheker Banking?,What is a well-known service provided by De Hypotheker?,Which company operates in the real estate economics industry?,What is a major service provided in the industry of De Hypotheker?,mortgage brokerage,Which organization regulates the major service provided in the industry of De Hypotheker?,Authority for the Financial Markets (AFM),In which country is the organization that regulates the major service provided in the industry of De Hypotheker located?,Netherlands,What is the capital city of the country where the organization that regulates the major service provided in the industry of De Hypotheker is located?,Amsterdam,What is a famous museum located in the capital city of the country where the organization that regulates the major service provided in the industry of De Hypotheker is located?,Rijksmuseum
business_corporation,De Hypotheker,headquarters location,Capelle aan den IJssel,What is the headquarters location of De Hypotheker?,Amsterdam,0.0,"['Capelle aan den IJssel', 'Amsterdam', 'Rotterdam', 'Utrecht']",Where is the headquarters of De Hypotheker located?,A. Rotterdam  B. Capelle aan den IJssel  C. Utrecht  D. Amsterdam,B,Is the headquarters location of De Hypotheker Capelle aan den IJssel?,Is the headquarters location of De Hypotheker Amsterdam?,What type of services does De Hypotheker provide?,Which company's headquarters are located in Capelle aan den IJssel?,What is the population of the headquarters location of De Hypotheker?,"66,261","What is the area in square kilometers of the location with a population of 66,261, which is the headquarters location of De Hypotheker?",15.42 km²,"What is the province of the area that is 15.42 km², which is the headquarters location of De Hypotheker?",South Holland,"What is the capital of the province where the area of 15.42 km² is located, which is the headquarters location of De Hypotheker?",The Hague,"What is the population of the capital of the province where the area of 15.42 km² is located, which is the headquarters location of De Hypotheker?","545,838"
business_corporation,Aeon,headquarters location,AEON Tower,What is the headquarters location of Aeon?,Tokyo,0.0,"['AEON Tower', 'Tokyo', 'Osaka', 'Nagoya']",Where is Aeon's headquarters located?,A. AEON Tower  B. Tokyo  C. Osaka  D. Nagoya,A,Is the headquarters location of Aeon AEON Tower?,Is the headquarters location of Aeon Tokyo?,What type of business is Aeon known for?,Which company's headquarters is located in AEON Tower?,In which city is the headquarters location of Aeon?,Quezon City,In which country is the city located where the headquarters location of Aeon is situated?,Philippines,What is the official language of the country where the city is located that contains the headquarters location of Aeon?,Filipino,What is the population of the country where the city is located that contains the headquarters location of Aeon?,Approximately 109 million,What is the currency used in the country where the city is located that contains the headquarters location of Aeon?,Philippine Peso
business_corporation,Corporació Catalana de Mitjans Audiovisuals,founded by,Parliament of Catalonia,What was Corporació Catalana de Mitjans Audiovisuals founded by?,Televisió de Catalunya,0.0,"['Parliament of Catalonia', 'Televisió de Catalunya', 'Government of Catalonia', 'Barcelona City Council']",Who established the Corporació Catalana de Mitjans Audiovisuals?,A. Barcelona City Council  B. Televisió de Catalunya  C. Parliament of Catalonia  D. Government of Catalonia,C,Was Corporació Catalana de Mitjans Audiovisuals founded by the Parliament of Catalonia?,Was Corporació Catalana de Mitjans Audiovisuals founded by Televisió de Catalunya?,What is the primary language used by Corporació Catalana de Mitjans Audiovisuals?,What organization was founded by the Parliament of Catalonia?,Who is the current president of the Parliament of Catalonia that founded Corporació Catalana de Mitjans Audiovisuals?,Laura Borràs,Which political party does the current president of the Parliament of Catalonia that founded Corporació Catalana de Mitjans Audiovisuals belong to?,Together for Catalonia,When was the political party that the current president of the Parliament of Catalonia that founded Corporació Catalana de Mitjans Audiovisuals belongs to established?,July 2018,Who was the founder of the political party that the current president of the Parliament of Catalonia that founded Corporació Catalana de Mitjans Audiovisuals belongs to?,Carles Puigdemont,What position did the founder of the political party that the current president of the Parliament of Catalonia that founded Corporació Catalana de Mitjans Audiovisuals belongs to hold in the Catalan government?,President of the Government of Catalonia
business_corporation,Aeon,country,Japan,What is the country of Aeon?,None,0.0,"['Japan', 'None', 'China', 'South Korea']",Which country is Aeon located in?,A. Japan  B. None  C. South Korea  D. China,A,Is the country of Aeon Japan?,Is the country of Aeon None?,What is a popular retail chain in Japan?,Which company is based in Japan?,What is the capital of the country of Aeon?,Tokyo,What is the population of the capital of the country of Aeon?,Approximately 14 million,What is the area in square kilometers of the capital of the country of Aeon?,"2,194 square kilometers",What is the name of the river that flows through the capital of the country of Aeon?,Sumida River,What is the length of the river that flows through the capital of the country of Aeon?,27 kilometers
business_corporation,Corporació Catalana de Mitjans Audiovisuals,industry,social communication,What is the industry of Corporació Catalana de Mitjans Audiovisuals?,Media,0.0,"['social communication', 'Media', 'Technology', 'Finance']",In which industry does Corporació Catalana de Mitjans Audiovisuals operate?,A. social communication  B. Technology  C. Finance  D. Media,A,Is the industry of Corporació Catalana de Mitjans Audiovisuals social communication?,Is the industry of Corporació Catalana de Mitjans Audiovisuals Media?,What is the headquarters location of Corporació Catalana de Mitjans Audiovisuals?,Which organization operates in the social communication industry?,What is a major television channel operated by a company in the social communication industry like Corporació Catalana de Mitjans Audiovisuals?,TV3,What is a popular show broadcasted on a major television channel like TV3 operated by a company in the social communication industry like Corporació Catalana de Mitjans Audiovisuals?,Polònia,Who is the creator of a popular show like Polònia broadcasted on a major television channel like TV3 operated by a company in the social communication industry like Corporació Catalana de Mitjans Audiovisuals?,Toni Soler,Which production company is associated with the creator Toni Soler of a popular show like Polònia broadcasted on a major television channel like TV3 operated by a company in the social communication industry like Corporació Catalana de Mitjans Audiovisuals?,Minoria Absoluta,"In which year was the production company Minoria Absoluta, associated with the creator Toni Soler of a popular show like Polònia broadcasted on a major television channel like TV3 operated by a company in the social communication industry like Corporació Catalana de Mitjans Audiovisuals, founded?",2004
business_corporation,Corporació Catalana de Mitjans Audiovisuals,headquarters location,Sant Joan Despí,Who is the headquarters location of Corporació Catalana de Mitjans Audiovisuals?,Barcelona,0.0,"['Sant Joan Despí', 'Barcelona', 'Madrid', 'Valencia']",Where is the headquarters of Corporació Catalana de Mitjans Audiovisuals located?,A. Sant Joan Despí  B. Valencia  C. Madrid  D. Barcelona,A,Is the headquarters location of Corporació Catalana de Mitjans Audiovisuals in Sant Joan Despí?,Is the headquarters location of Corporació Catalana de Mitjans Audiovisuals in Barcelona?,What type of media does Corporació Catalana de Mitjans Audiovisuals primarily produce?,Which organization has its headquarters located in Sant Joan Despí?,What is the population of the headquarters location of Corporació Catalana de Mitjans Audiovisuals?,"34,529","What is the area in square kilometers of the location with a population of 34,529, which is the headquarters location of Corporació Catalana de Mitjans Audiovisuals?",6.3 km²,"What is the name of the river that flows through the area of 6.3 km², which is the headquarters location of Corporació Catalana de Mitjans Audiovisuals?",Llobregat River,"What is the length of the river that flows through the area of 6.3 km², which is the headquarters location of Corporació Catalana de Mitjans Audiovisuals?",170 km,"Into which sea does the river that is 170 km long and flows through the area of 6.3 km², which is the headquarters location of Corporació Catalana de Mitjans Audiovisuals, empty?",Mediterranean Sea
business_corporation,Inc & Co Group,chief executive officer,Jack Mason,Who is the chief executive officer of Inc & Co Group?,James Benham,0.0,"['Jack Mason', 'James Benham', 'Sarah Johnson', 'Michael Smith']",Who holds the position of chief executive officer at Inc & Co Group?,A. James Benham  B. Sarah Johnson  C. Michael Smith  D. Jack Mason,D,Is Jack Mason the chief executive officer of Inc & Co Group?,Is James Benham the chief executive officer of Inc & Co Group?,What industry is Inc & Co Group primarily involved in?,Which company does Jack Mason serve as the chief executive officer?,What is the alma mater of the chief executive officer of Inc & Co Group?,University of Manchester,In which city is the alma mater of the chief executive officer of Inc & Co Group located?,Manchester,In which country is the city located where the alma mater of the chief executive officer of Inc & Co Group is situated?,United Kingdom,What is the population of the country where the city is located that contains the alma mater of the chief executive officer of Inc & Co Group?,Approximately 67 million,"What is the official language of the country with a population of approximately 67 million, where the city is located that contains the alma mater of the chief executive officer of Inc & Co Group?",English
business_corporation,Events DC,headquarters location,"Washington, D.C.",What is the headquarters location of Events DC?,Washington D.C,0.0,"['Washington, D.C.', 'Washington D.C', 'New York City', 'Los Angeles']",Where is the headquarters of Events DC located?,"A. Washington D.C  B. Washington, D.C.  C. Los Angeles  D. New York City",B,"Is the headquarters location of Events DC in Washington, D.C.?",Is the headquarters location of Events DC in Washington D.C?,What type of events does Events DC typically organize?,"Which organization has its headquarters located in Washington, D.C.?",What is the population of the headquarters location of Events DC?,"705,749","Who is the mayor of the city with the population of 705,749, which is the headquarters location of Events DC?",Muriel Bowser,"Which university did the mayor of the city with the population of 705,749, which is the headquarters location of Events DC, attend?",Chatham University,"In which state is the university located that the mayor of the city with the population of 705,749, which is the headquarters location of Events DC, attended?",Pennsylvania,"What is the capital of the state where the university is located that the mayor of the city with the population of 705,749, which is the headquarters location of Events DC, attended?",Harrisburg
business_corporation,IMC Financial Markets,location of formation,Amsterdam,What is the location of formation of IMC Financial Markets?,London,0.0,"['Amsterdam', 'London', 'New York', 'Paris']",Where was IMC Financial Markets founded?,A. New York  B. Amsterdam  C. London  D. Paris,B,Is the location of formation of IMC Financial Markets Amsterdam?,Is the location of formation of IMC Financial Markets London?,What type of business is IMC Financial Markets known for?,Which company was formed in Amsterdam?,What is the population of the location of formation of IMC Financial Markets?,"872,757",What is the area in square kilometers of the location of formation of IMC Financial Markets?,219.3 km²,What is the name of the river that flows through the location of formation of IMC Financial Markets?,Amstel River,What is the name of the airport located near the location of formation of IMC Financial Markets?,Amsterdam Airport Schiphol,In which year was the airport located near the location of formation of IMC Financial Markets opened?,1916
