topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_symptom,tunnel vision,afflicts,peripheral vision,peripheral vision,What does tunnel vision afflict?,Tunnel vision afflicts vision,0.0,"['peripheral vision', 'vision', 'central vision', 'color vision']",What is affected by tunnel vision?,A. Tunnel vision afflicts vision  B. color vision  C. central vision  D. peripheral vision,D,Does tunnel vision afflict peripheral vision?,Does tunnel vision afflict vision?,What is a common symptom of tunnel vision?,What afflicts peripheral vision?,What is a common cause of the condition that tunnel vision afflicts?,Glaucoma,What is a common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Eye drops,What is the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Latanoprost,Which pharmaceutical company manufactures the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Pfizer,In which country is the headquarters of the pharmaceutical company that manufactures the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,United States
health_symptom,bleeding gums,health specialty,oral and maxillofacial surgery,oral and maxillofacial surgery,What is the health specialty of bleeding gums?,Periodontics,0.0,"['oral and maxillofacial surgery', 'Periodontics', 'Dentistry', 'Orthodontics']",Which health specialty deals with bleeding gums?,A. oral and maxillofacial surgery  B. Dentistry  C. Periodontics  D. Orthodontics,A,Is the health specialty of bleeding gums oral and maxillofacial surgery?,Is the health specialty of bleeding gums Periodontics?,What is a common symptom associated with bleeding gums?,What condition is treated by oral and maxillofacial surgery?,What is a common procedure performed in the health specialty of bleeding gums?,Tooth extraction,"What is a common reason for a tooth extraction, a procedure performed in the health specialty of bleeding gums?",Severe tooth decay,"What is a common symptom of severe tooth decay, a reason for a tooth extraction in the health specialty of bleeding gums?",Toothache,"What is a common over-the-counter medication used to alleviate a toothache, a symptom of severe tooth decay, which is a reason for a tooth extraction in the health specialty of bleeding gums?",Ibuprofen,"What is a common side effect of taking ibuprofen, an over-the-counter medication used to alleviate a toothache, a symptom of severe tooth decay, which is a reason for a tooth extraction in the health specialty of bleeding gums?",Stomach upset
health_symptom,gummatous syphilis,health specialty,infectious diseases,infectious diseases,What is the health specialty of gummatous syphilis?,Dermatology,0.0,"['Infectious diseases', 'Dermatology', 'Cardiology', 'Neurology']",Which medical specialty deals with gummatous syphilis?,A. Dermatology  B. infectious diseases  C. Neurology  D. Cardiology,B,Is the health specialty of gummatous syphilis infectious diseases?,Is the health specialty of gummatous syphilis dermatology?,What is a common symptom associated with gummatous syphilis?,Which condition is associated with the health specialty of infectious diseases?,What is a common treatment for the health specialty of gummatous syphilis?,Penicillin,Who discovered the common treatment for the health specialty of gummatous syphilis?,Alexander Fleming,In which year was the common treatment for the health specialty of gummatous syphilis discovered?,1928,Which institution was associated with the discovery of the common treatment for the health specialty of gummatous syphilis?,"St. Mary's Hospital, London",In which city is the institution located that was associated with the discovery of the common treatment for the health specialty of gummatous syphilis?,London
health_symptom,red eye,afflicts,conjunctiva,conjunctiva,What does red eye afflict?,Photographs,0.0,"['conjunctiva', 'Photographs', 'retina', 'cornea']",What part of the body is affected by red eye?,A. cornea  B. Photographs  C. conjunctiva  D. retina,C,Does red eye afflict the conjunctiva?,Does red eye afflict photographs?,What is a common symptom of red eye?,What afflicts the conjunctiva?,What is the function of the conjunctiva that red eye afflicts?,It helps lubricate the eye by producing mucus and tears.,What is a common symptom of an issue with the conjunctiva that red eye afflicts?,Redness and irritation of the eye.,What is a common cause of the symptom of redness and irritation in the conjunctiva that red eye afflicts?,Infection or allergic reaction.,What type of infection commonly causes the symptom of redness and irritation in the conjunctiva that red eye afflicts?,Viral or bacterial infection.,What is a common treatment for the type of infection that causes redness and irritation in the conjunctiva that red eye afflicts?,Antibiotic or antiviral eye drops.
health_symptom,bone fracture,health specialty,osteology,osteology,What is the health specialty of bone fracture?,Orthopedics,0.0,"['Osteology', 'Orthopedics', 'Cardiology', 'Neurology']",Which health specialty deals with bone fractures?,A. Neurology  B. osteology  C. Cardiology  D. Orthopedics,B,Is the health specialty of bone fracture osteology?,Is the health specialty of bone fracture orthopedics?,What is a common treatment method for bone fractures?,What condition does osteology specialize in?,What is a common treatment method in the health specialty of bone fracture?,Casting,What material is commonly used in the common treatment method in the health specialty of bone fracture?,Plaster,What is the primary component of the material commonly used in the common treatment method in the health specialty of bone fracture?,Calcium sulfate,What is the natural form of the primary component of the material commonly used in the common treatment method in the health specialty of bone fracture?,Gypsum,In which type of rock is the natural form of the primary component of the material commonly used in the common treatment method in the health specialty of bone fracture found?,Sedimentary rock
health_symptom,distraction,does not have characteristic,intention,intention,What does distraction do not have characteristic?,Consistency,0.0,"['Intention', 'Consistency', 'Focus', 'Purpose']",What characteristic is absent in distraction?,A. Purpose  B. Consistency  C. Focus  D. intention,D,Does distraction lack the characteristic of intention?,Does distraction lack the characteristic of consistency?,What is a common effect of distraction?,What does intention not characterize?,What is an example of something that has the characteristic that distraction does not have?,Focus,What is a common activity that requires the characteristic that distraction does not have?,Studying,What is a common tool used to aid in the activity that requires the characteristic that distraction does not have?,Textbook,Which subject is commonly studied using the tool that aids in the activity that requires the characteristic that distraction does not have?,Mathematics,What is a fundamental concept in the subject that is commonly studied using the tool that aids in the activity that requires the characteristic that distraction does not have?,Algebra
health_symptom,Webbed neck,health specialty,medical genetics,medical genetics,What is the health specialty of Webbed neck?,Cervical Dysplasia (or Congenital Cervical Ver,0.0,"['medical genetics', 'Cervical Dysplasia (or Congenital Cervical Ver', 'pediatrics', 'endocrinology']",Which medical field specializes in Webbed neck?,A. endocrinology  B. Cervical Dysplasia (or Congenital Cervical Ver  C. pediatrics  D. medical genetics,D,Is the health specialty of Webbed neck medical genetics?,Is the health specialty of Webbed neck Cervical Dysplasia (or Congenital Cervical Ver?,What is a common symptom associated with Webbed neck?,What condition is associated with the health specialty of medical genetics?,What is a common condition associated with the health specialty of Webbed neck?,Turner syndrome,What is a common symptom of the condition associated with the health specialty of Webbed neck?,Short stature,What is a common treatment for the symptom of the condition associated with the health specialty of Webbed neck?,Growth hormone therapy,Which hormone is commonly used in the treatment for the symptom of the condition associated with the health specialty of Webbed neck?,Somatropin,Which gland produces the hormone commonly used in the treatment for the symptom of the condition associated with the health specialty of Webbed neck?,Pituitary gland
health_symptom,heat exhaustion,has cause,hot,hot,What does heat exhaustion have cause?,"Prolonged exposure, dehydration, physical exertion",0.0,"['hot', 'Prolonged exposure, dehydration, physical exertion', 'cold', 'lack of sleep']",What is the cause of heat exhaustion?,"A. cold  B. Prolonged exposure, dehydration, physical exertion  C. hot  D. lack of sleep",C,Does heat exhaustion have cause hot?,"Does heat exhaustion have cause Prolonged exposure, dehydration, physical exertion?",What is a common symptom of heat exhaustion?,What condition is caused by hot?,What is a common symptom of the condition that heat exhaustion has cause?,Heavy sweating,What is a recommended treatment for the common symptom of the condition that heat exhaustion has cause?,Drinking water,What is a common source of the recommended treatment for the common symptom of the condition that heat exhaustion has cause?,Tap water,What is a common method of purifying the common source of the recommended treatment for the common symptom of the condition that heat exhaustion has cause?,Boiling,What is a common appliance used for the common method of purifying the common source of the recommended treatment for the common symptom of the condition that heat exhaustion has cause?,Stove
health_symptom,metal poisoning,health specialty,neurology,neurology,What is the health specialty of metal poisoning?,Toxicology,0.0,"['Neurology', 'Toxicology', 'Cardiology', 'Dermatology']",Which medical field specializes in metal poisoning?,A. Dermatology  B. neurology  C. Cardiology  D. Toxicology,B,Is neurology the health specialty of metal poisoning?,Is toxicology the health specialty of metal poisoning?,What is a common symptom associated with metal poisoning?,What condition does neurology specialize in?,What is a common symptom treated by the health specialty of metal poisoning?,Tremors,What is a common cause of the symptom treated by the health specialty of metal poisoning?,Exposure to heavy metals,What is a common source of exposure to heavy metals that causes the symptom treated by the health specialty of metal poisoning?,Contaminated water,What is a common method to test for the source of exposure to heavy metals that causes the symptom treated by the health specialty of metal poisoning?,Blood test,What is a common treatment for the source of exposure to heavy metals that causes the symptom treated by the health specialty of metal poisoning?,Chelation therapy
health_symptom,metal poisoning,has cause,metal element,metal element,What does metal poisoning have cause?,Exposure,0.0,"['metal element', 'Exposure', 'Bacteria', 'Virus']",What is the cause of metal poisoning?,A. Exposure  B. Bacteria  C. Virus  D. metal element,D,Does metal poisoning have cause metal element?,Does metal poisoning have cause Exposure?,What is a common symptom of metal poisoning?,What does a metal element cause?,What is a common source of the metal element that causes metal poisoning?,Industrial pollution,Which industry is a major contributor to the industrial pollution that is a common source of the metal element causing metal poisoning?,Mining industry,In which country is the mining industry a significant contributor to industrial pollution that is a common source of the metal element causing metal poisoning?,China,"What is a major city in the country where the mining industry significantly contributes to industrial pollution, which is a common source of the metal element causing metal poisoning?",Beijing,"What is the population of the major city in the country where the mining industry significantly contributes to industrial pollution, which is a common source of the metal element causing metal poisoning?",21 million
