topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_forest,Ottawa National Forest,significant place,Ironwood,What is the significant place of Ottawa National Forest?,Mining,0.0,"['Ironwood', 'Mining', 'Houghton', 'Marquette']",Which location is considered significant in Ottawa National Forest?,A. Ironwood  B. Mining  C. Houghton  D. Marquette,A,Is Ironwood a significant place of Ottawa National Forest?,Is Mining a significant place of Ottawa National Forest?,What state is Ottawa National Forest located in?,Which national forest has Ironwood as a significant place?,What is the population of the significant place of Ottawa National Forest?,"5,045",What is the area in square miles of the significant place of Ottawa National Forest?,6.48 square miles,What is the elevation of the significant place of Ottawa National Forest?,"1,480 feet",What is the ZIP code of the significant place of Ottawa National Forest?,49938,In which county is the significant place of Ottawa National Forest located?,Gogebic County
geography_forest,Okanogan-Wenatchee National Forest,located in the administrative territorial entity,Washington,What is the located in the administrative territorial entity of Okanogan-Wenatchee National Forest?,Mountains,0.0,"['Washington', 'Mountains', 'Oregon', 'California']",In which administrative territorial entity is the Okanogan-Wenatchee National Forest located?,A. California  B. Washington  C. Oregon  D. Mountains,B,Is the Okanogan-Wenatchee National Forest located in the administrative territorial entity of Washington?,Is the Okanogan-Wenatchee National Forest located in the administrative territorial entity of Mountains?,What type of natural feature is the Okanogan-Wenatchee National Forest known for?,Which national forest is located in the administrative territorial entity of Washington?,What is the capital of the state that Okanogan-Wenatchee National Forest is located in the administrative territorial entity of?,Olympia,What is the population of the capital of the state that Okanogan-Wenatchee National Forest is located in the administrative territorial entity of?,"52,882",What is the area in square miles of the capital of the state that Okanogan-Wenatchee National Forest is located in the administrative territorial entity of?,19.68 square miles,What is the name of the river that flows through the capital of the state that Okanogan-Wenatchee National Forest is located in the administrative territorial entity of?,Deschutes River,What is the length of the river that flows through the capital of the state that Okanogan-Wenatchee National Forest is located in the administrative territorial entity of?,50 miles
geography_forest,Sierra National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Sierra National Forest?,IUCN Category II,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'IUCN Category II', 'IUCN Category IV', 'IUCN Category V']",Which IUCN protected areas category does Sierra National Forest belong to?,A. IUCN Category II  B. IUCN Category IV  C. IUCN Category V  D. IUCN category VI: Protected Area with sustainable use of natural resources,D,Is the IUCN protected areas category of Sierra National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Sierra National Forest IUCN Category II?,In which state is Sierra National Forest located?,Which forest is classified under the IUCN category VI: Protected Area with sustainable use of natural resources?,"What is an example of a sustainable use of natural resources in the Sierra National Forest, which is categorized under IUCN category VI?",Timber harvesting,"Which organization oversees timber harvesting as a sustainable use of natural resources in the Sierra National Forest, which is categorized under IUCN category VI?",United States Forest Service,"Who is the current Chief of the organization that oversees timber harvesting in the Sierra National Forest, which is categorized under IUCN category VI?",Randy Moore,"In which year did the current Chief of the organization that oversees timber harvesting in the Sierra National Forest, which is categorized under IUCN category VI, assume office?",2021,"Which U.S. President was in office when the current Chief of the organization that oversees timber harvesting in the Sierra National Forest, which is categorized under IUCN category VI, assumed office?",Joe Biden
geography_forest,Zeisigwald,country,Germany,What is the country of Zeisigwald?,Non-existent,0.0,"['Germany', 'Non-existent', 'France', 'Italy']",Which country is Zeisigwald located in?,A. Italy  B. Non-existent  C. Germany  D. France,C,Is the country of Zeisigwald Germany?,Is the country of Zeisigwald Non-existent?,What is a well-known city in Germany?,Which place in Germany is Zeisigwald?,What is the capital of the country of Zeisigwald?,Berlin,What is the population of the capital of the country of Zeisigwald?,Approximately 3.6 million,What is the area in square kilometers of the capital of the country of Zeisigwald?,891.8 square kilometers,What is the name of the river that flows through the capital of the country of Zeisigwald?,Spree,What is the length of the river that flows through the capital of the country of Zeisigwald?,400 kilometers
geography_forest,Sierra National Forest,significant place,Oakhurst,What is the significant place of Sierra National Forest?,California,0.0,"['Oakhurst', 'California', 'Yosemite', 'Fresno']",Which location is considered a significant place of Sierra National Forest?,A. Fresno  B. California  C. Oakhurst  D. Yosemite,C,Is Oakhurst a significant place of Sierra National Forest?,Is California a significant place of Sierra National Forest?,In which state is Sierra National Forest located?,Which forest has Oakhurst as a significant place?,What is the population of the significant place of Sierra National Forest?,"Approximately 3,000",What is the elevation of the significant place of Sierra National Forest?,"2,274 feet",What is the ZIP code of the significant place of Sierra National Forest?,93644,In which county is the significant place of Sierra National Forest located?,Madera County,In which state is the county located where the significant place of Sierra National Forest is situated?,California
geography_forest,Siuslaw National Forest,operator,United States Forest Service,What is the operator of Siuslaw National Forest?,USDA,0.0,"['United States Forest Service', 'USDA', 'National Park Service', 'Bureau of Land Management']",Who manages the Siuslaw National Forest?,A. United States Forest Service  B. Bureau of Land Management  C. USDA  D. National Park Service,A,Is the United States Forest Service the operator of Siuslaw National Forest?,Is the USDA the operator of Siuslaw National Forest?,In which state is the Siuslaw National Forest located?,Which national forest is operated by the United States Forest Service?,"Who is the Chief of the United States Forest Service, the operator of Siuslaw National Forest?",Randy Moore,"Which university did the Chief of the United States Forest Service, the operator of Siuslaw National Forest, attend?",Southern University,"In which city is the university located that the Chief of the United States Forest Service, the operator of Siuslaw National Forest, attended?",Baton Rouge,"In which state is the city located where the university that the Chief of the United States Forest Service, the operator of Siuslaw National Forest, attended?",Louisiana,"In which country is the state located where the city is situated that contains the university the Chief of the United States Forest Service, the operator of Siuslaw National Forest, attended?",United States
geography_forest,Lolo National Forest,located in the administrative territorial entity,Montana,What is the located in the administrative territorial entity of Lolo National Forest?,Missoula,0.0,"['Montana', 'Missoula', 'Idaho', 'Wyoming']",In which administrative territorial entity is Lolo National Forest located?,A. Idaho  B. Montana  C. Missoula  D. Wyoming,B,Is Lolo National Forest located in the administrative territorial entity of Montana?,Is Lolo National Forest located in the administrative territorial entity of Missoula?,What is a well-known feature of Lolo National Forest?,Which national forest is located in the administrative territorial entity of Montana?,What is the capital of the state that Lolo National Forest is located in the administrative territorial entity of?,Helena,What is the population of the capital of the state that Lolo National Forest is located in the administrative territorial entity of?,"Approximately 32,000",What is the area in square miles of the capital of the state that Lolo National Forest is located in the administrative territorial entity of?,16.39 square miles,What is the name of the county where the capital of the state that Lolo National Forest is located in the administrative territorial entity of is situated?,Lewis and Clark County,What is the population of the county where the capital of the state that Lolo National Forest is located in the administrative territorial entity of is situated?,"Approximately 70,000"
geography_forest,Palatinate Forest,highest point,Kalmit,Who is the highest point of Palatinate Forest?,Fuchsberg,0.0,"['Kalmit', 'Fuchsberg', 'Donnersberg', 'Hohe Loog']",What is the name of the highest point in the Palatinate Forest?,A. Hohe Loog  B. Kalmit  C. Donnersberg  D. Fuchsberg,B,Is Kalmit the highest point of Palatinate Forest?,Is Fuchsberg the highest point of Palatinate Forest?,What is a well-known natural feature of the Palatinate Forest?,Which forest has Kalmit as its highest point?,What is the elevation of the highest point of Palatinate Forest?,673 meters,In which country is the highest point of Palatinate Forest located?,Germany,Which state in Germany contains the highest point of Palatinate Forest?,Rhineland-Palatinate,What is the nearest town to the highest point of Palatinate Forest?,Maikammer,What is the population of the nearest town to the highest point of Palatinate Forest?,"Approximately 4,000"
geography_forest,Nantahala National Forest,operator,United States Forest Service,What is the operator of Nantahala National Forest?,USDA,0.0,"['United States Forest Service', 'USDA', 'National Park Service', 'Bureau of Land Management']",Who manages the Nantahala National Forest?,A. United States Forest Service  B. USDA  C. Bureau of Land Management  D. National Park Service,A,Is the United States Forest Service the operator of Nantahala National Forest?,Is the USDA the operator of Nantahala National Forest?,In which state is the Nantahala National Forest located?,What forest is operated by the United States Forest Service?,"Who is the Chief of the United States Forest Service, the operator of Nantahala National Forest?",Randy Moore,"Which university did the Chief of the United States Forest Service, the operator of Nantahala National Forest, attend?",Southern University,"In which city is the university located that the Chief of the United States Forest Service, the operator of Nantahala National Forest, attended?",Baton Rouge,"In which state is the city located where the university that the Chief of the United States Forest Service, the operator of Nantahala National Forest, attended?",Louisiana,"In which country is the state located where the city is situated that contains the university the Chief of the United States Forest Service, the operator of Nantahala National Forest, attended?",United States
geography_forest,Tombigbee National Forest,operator,United States Forest Service,What is the operator of Tombigbee National Forest?,USDA,0.0,"['United States Forest Service', 'USDA', 'National Park Service', 'Bureau of Land Management']",Who manages the operations of Tombigbee National Forest?,A. United States Forest Service  B. National Park Service  C. Bureau of Land Management  D. USDA,A,Is the United States Forest Service the operator of Tombigbee National Forest?,Is the USDA the operator of Tombigbee National Forest?,In which state is Tombigbee National Forest located?,Which national forest is operated by the United States Forest Service?,"Who is the Chief of the United States Forest Service, the operator of Tombigbee National Forest?",Randy Moore,"Which university did the Chief of the United States Forest Service, the operator of Tombigbee National Forest, attend?",Southern University,"In which city is the university located that the Chief of the United States Forest Service, the operator of Tombigbee National Forest, attended?",Baton Rouge,"In which state is the city located where the university is situated that the Chief of the United States Forest Service, the operator of Tombigbee National Forest, attended?",Louisiana,"In which country is the state located where the city is situated that contains the university the Chief of the United States Forest Service, the operator of Tombigbee National Forest, attended?",United States
