topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
art_sculpture,Manneken Pis,movement,Baroque,Baroque,What is the movement of Manneken Pis?,Stationary,0.0,"['Baroque', 'Stationary', 'Renaissance', 'Gothic']",Which artistic movement is Manneken Pis associated with?,A. Stationary  B. Renaissance  C. Baroque  D. Gothic,C,Is the movement of Manneken Pis Baroque?,Is the movement of Manneken Pis Stationary?,What city is the Manneken Pis statue located in?,Which statue is associated with the Baroque movement?,Who is a famous artist associated with the Baroque movement of Manneken Pis?,Caravaggio,Which country was the famous artist associated with the Baroque movement of Manneken Pis born in?,Italy,What is the capital city of the country where the famous artist associated with the Baroque movement of Manneken Pis was born?,Rome,What is a famous landmark located in the capital city of the country where the famous artist associated with the Baroque movement of Manneken Pis was born?,Colosseum,In which year was the famous landmark located in the capital city of the country where the famous artist associated with the Baroque movement of Manneken Pis was born completed?,80 AD
art_sculpture,Rape of Polyxena,location,Loggia dei Lanzi,Loggia dei Lanzi,Who is the location of Rape of Polyxena?,Troy,0.0,"['Loggia dei Lanzi', 'Troy', 'Louvre Museum', 'Uffizi Gallery']",Where is the Rape of Polyxena located?,A. Louvre Museum  B. Troy  C. Uffizi Gallery  D. Loggia dei Lanzi,D,Is the location of Rape of Polyxena Loggia dei Lanzi?,Is the location of Rape of Polyxena Troy?,Who is the artist of the Rape of Polyxena?,What artwork is located at Loggia dei Lanzi?,In which city is the location of Rape of Polyxena?,Florence,In which country is the city located where the location of Rape of Polyxena is situated?,Italy,What is the official language of the country where the city is located that contains the location of Rape of Polyxena?,Italian,What is the currency used in the country where the city is located that contains the location of Rape of Polyxena?,Euro,What is the capital of the country where the city is located that contains the location of Rape of Polyxena?,Rome
art_sculpture,Royal Marines Memorial,creator,Adrian Jones,Adrian Jones,Who is the creator of Royal Marines Memorial?,Flaxman,0.0,"['Adrian Jones', 'Flaxman', 'John Nash', 'Edwin Lutyens']",Who designed the Royal Marines Memorial?,A. John Nash  B. Adrian Jones  C. Edwin Lutyens  D. Flaxman,B,Is Adrian Jones the creator of the Royal Marines Memorial?,Is Flaxman the creator of the Royal Marines Memorial?,What is a notable feature of the Royal Marines Memorial?,Who did Adrian Jones create?,What other notable work was created by the creator of Royal Marines Memorial?,Peace Quadriga,Where is the other notable work created by the creator of Royal Marines Memorial located?,"Wellington Arch, London",In which year was the other notable work created by the creator of Royal Marines Memorial completed?,1912,Who commissioned the other notable work created by the creator of Royal Marines Memorial?,King Edward VII,Which architect designed the structure that houses the other notable work created by the creator of Royal Marines Memorial?,Decimus Burton
art_sculpture,Ludovisi Throne,fabrication method,bas-relief,bas-relief,What is the fabrication method of Ludovisi Throne?,Casting,0.0,"['bas-relief', 'Casting', 'Carving', 'Molding']",How was the Ludovisi Throne made?,A. Carving  B. Molding  C. bas-relief  D. Casting,C,Is the fabrication method of Ludovisi Throne bas-relief?,Is the fabrication method of Ludovisi Throne Casting?,What is a notable feature of the Ludovisi Throne?,What object was made using the bas-relief method?,What is the primary material used in the fabrication method of Ludovisi Throne?,Marble,Where was the primary material used in the fabrication method of Ludovisi Throne sourced from?,"Carrara, Italy","What is Carrara, Italy, known for besides being the source of the primary material used in the fabrication method of Ludovisi Throne?",High-quality marble,"Which famous artist used marble from Carrara, Italy, known for being the source of the primary material used in the fabrication method of Ludovisi Throne?",Michelangelo,"Which famous sculpture by Michelangelo was created using marble from Carrara, Italy, known for being the source of the primary material used in the fabrication method of Ludovisi Throne?",David
art_sculpture,Peace Monument,located in the administrative territorial entity,"Washington, D.C.","Washington, D.C.",What is the located in the administrative territorial entity of Peace Monument?,Pyongyang,0.0,"['Washington, D.C.', 'Pyongyang', 'New York City', 'Los Angeles']",In which administrative territorial entity is the Peace Monument located?,"A. Pyongyang  B. New York City  C. Washington, D.C.  D. Los Angeles",C,"Is the Peace Monument located in the administrative territorial entity of Washington, D.C.?",Is the Peace Monument located in the administrative territorial entity of Pyongyang?,"What is a famous landmark located in Washington, D.C.?","What monument is located in the administrative territorial entity of Washington, D.C.?",What is the population of the city where the Peace Monument is located in the administrative territorial entity?,"692,683","Who is the mayor of the city with the population of 692,683 where the Peace Monument is located in the administrative territorial entity?",Muriel Bowser,"What is the birth year of the mayor of the city with the population of 692,683 where the Peace Monument is located in the administrative territorial entity?",1972,"Which university did the mayor, born in 1972, of the city with the population of 692,683 where the Peace Monument is located in the administrative territorial entity attend?",Chatham University,"In which state is the university located that the mayor, born in 1972, of the city with the population of 692,683 where the Peace Monument is located in the administrative territorial entity attended?",Pennsylvania
art_sculpture,Venus Victrix,creator,Antonio Canova,Antonio Canova,Who is the creator of Venus Victrix?,Alma-Tadema,0.0,"['Antonio Canova', 'Alma-Tadema', 'Michelangelo', 'Donatello']",Who made the sculpture Venus Victrix?,A. Michelangelo  B. Alma-Tadema  C. Antonio Canova  D. Donatello,C,Is Antonio Canova the creator of Venus Victrix?,Is Alma-Tadema the creator of Venus Victrix?,What is a famous work by Antonio Canova?,Who was created by Antonio Canova?,What is another famous work by the creator of Venus Victrix?,Psyche Revived by Cupid's Kiss,In which museum is another famous work by the creator of Venus Victrix displayed?,Louvre Museum,In which city is the museum located that displays another famous work by the creator of Venus Victrix?,Paris,In which country is the city located that contains the museum displaying another famous work by the creator of Venus Victrix?,France,What is the official language of the country where the city is located that contains the museum displaying another famous work by the creator of Venus Victrix?,French
art_sculpture,Trevi Fountain,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Trevi Fountain?,Neptune,0.0,"['Brockhaus and Efron Encyclopedic Dictionary', 'Neptune', 'Encyclopedia Britannica', 'Wikipedia']",What source describes the Trevi Fountain?,A. Neptune  B. Brockhaus and Efron Encyclopedic Dictionary  C. Wikipedia  D. Encyclopedia Britannica,B,Is the Trevi Fountain described by the Brockhaus and Efron Encyclopedic Dictionary?,Is the Trevi Fountain described by Neptune?,In which city is the Trevi Fountain located?,What fountain is described by the Brockhaus and Efron Encyclopedic Dictionary?,Who is the editor of the described by source of Trevi Fountain?,Konstantin Arsenyev,Which university did the editor of the described by source of Trevi Fountain attend?,Saint Petersburg State University,In which city is the university that the editor of the described by source of Trevi Fountain attended located?,Saint Petersburg,In which country is the city located where the university that the editor of the described by source of Trevi Fountain attended is situated?,Russia,What is the official language of the country where the city is located that contains the university the editor of the described by source of Trevi Fountain attended?,Russian
art_sculpture,Rape of Polyxena,collection,Loggia dei Lanzi,Loggia dei Lanzi,Who is the collection of Rape of Polyxena?,Caravaggio,0.0,"['Loggia dei Lanzi', 'Caravaggio', 'Uffizi Gallery', 'Louvre Museum']",Which collection houses the Rape of Polyxena?,A. Louvre Museum  B. Uffizi Gallery  C. Caravaggio  D. Loggia dei Lanzi,D,Is the Rape of Polyxena part of the Loggia dei Lanzi collection?,Is the Rape of Polyxena part of the Caravaggio collection?,What is a famous attribute of the Loggia dei Lanzi?,Which artwork is part of the Loggia dei Lanzi collection?,In which city is the collection of Rape of Polyxena located?,Florence,In which country is the city located where the collection of Rape of Polyxena is situated?,Italy,What is the primary language spoken in the country where the city is located that houses the collection of Rape of Polyxena?,Italian,What is the currency used in the country where the primary language is Italian and the city houses the collection of Rape of Polyxena?,Euro,Which continent is the country located in where the currency is Euro and the city houses the collection of Rape of Polyxena?,Europe
art_sculpture,"Aeneas, Anchises and Ascanius",creator,Gian Lorenzo Bernini,Gian Lorenzo Bernini,"Who is the creator of Aeneas, Anchises and Ascanius?",Virgil,0.0,"['Gian Lorenzo Bernini', 'Virgil', 'Michelangelo', 'Donatello']","Who sculpted Aeneas, Anchises, and Ascanius?",A. Michelangelo  B. Virgil  C. Gian Lorenzo Bernini  D. Donatello,C,"Is Gian Lorenzo Bernini the creator of Aeneas, Anchises, and Ascanius?","Is Virgil the creator of Aeneas, Anchises, and Ascanius?","What is a famous work by Gian Lorenzo Bernini other than Aeneas, Anchises, and Ascanius?",Who was created by Gian Lorenzo Bernini?,"What is another famous work by the creator of Aeneas, Anchises and Ascanius?",The Ecstasy of Saint Teresa,"In which city is another famous work by the creator of Aeneas, Anchises and Ascanius located?",Rome,"Which country is the city located in where another famous work by the creator of Aeneas, Anchises and Ascanius is situated?",Italy,"What is the primary language spoken in the country where the city is located that contains another famous work by the creator of Aeneas, Anchises and Ascanius?",Italian,"What is the population of the country where the primary language is Italian and the city is located that contains another famous work by the creator of Aeneas, Anchises and Ascanius?",Approximately 60 million
art_sculpture,Hermannsdenkmal,located in the administrative territorial entity,Detmold,Detmold,What is the located in the administrative territorial entity of Hermannsdenkmal?,Germany,0.0,"['Detmold', 'Germany', 'Berlin', 'Munich']",In which administrative territorial entity is Hermannsdenkmal located?,A. Berlin  B. Germany  C. Detmold  D. Munich,C,Is Hermannsdenkmal located in the administrative territorial entity of Detmold?,Is Hermannsdenkmal located in the administrative territorial entity of Germany?,What is a famous feature or attribute of Hermannsdenkmal?,What monument is located in the administrative territorial entity of Detmold?,What is the population of the city that Hermannsdenkmal is located in the administrative territorial entity of?,"74,817","What is the area of the city with a population of 74,817 that Hermannsdenkmal is located in the administrative territorial entity of?",129.39 square kilometers,"What is the name of the district that contains the city with an area of 129.39 square kilometers and a population of 74,817 where Hermannsdenkmal is located in the administrative territorial entity of?",Lippe,"What is the capital of the district that contains the city with an area of 129.39 square kilometers and a population of 74,817 where Hermannsdenkmal is located in the administrative territorial entity of?",Detmold,"What is the state that contains the capital of the district that contains the city with an area of 129.39 square kilometers and a population of 74,817 where Hermannsdenkmal is located in the administrative territorial entity of?",North Rhine-Westphalia
