subjectLabel,relation,objectLabel
JavaScript,regulated by,Ecma International
JavaScript,designed by,Brendan Eich
JavaScript,named after,Java
JavaScript,said to be the same as,JScript
Visual Basic,developer,Microsoft
JavaScript,based on,ECMAScript
Visual Basic,platform,Microsoft Windows
C,operating system,Microsoft Windows
C,designed by,Dennis M. Ritchie
Visual Basic,subclass of,BASIC
C,has characteristic,Turing completeness
C++,designed by,Bjarne Stroustrup
C++,developer,Bjarne Stroustrup
C++,has use,systems programming
TeX,developer,Donald Knuth
TeX,operating system,cross-platform
C++,has characteristic,Turing completeness
TeX,has use,typesetting
TeX,founded by,Donald Knuth
TeX,different from,LaTeX
TeX,programmer,Donald Knuth
TeX,writable file format,device independent file format
QBasic,programming paradigm,procedural programming
QBasic,developer,Microsoft
TeX,creator,Donald Knuth
GNU Common Lisp,implementation of,Common Lisp
TeX,named after,techne
GNU Common Lisp,part of,GNU Project
GNU Common Lisp,developer,GNU Project
Scala,designed by,Martin Odersky
PARI/GP,copyright license,GNU General Public License
Scala,copyright license,BSD licenses
C,instance of,programming language
PARI/GP,programmed in,C
Turbo Pascal,programmed in,assembly language
PARI/GP,developer,Henri Cohen
PARI/GP,named after,Pascal's Wager
Turbo Pascal,programming paradigm,object-oriented programming
Turbo Pascal,designed by,Anders Hejlsberg
XPath,developer,World Wide Web Consortium
Agda,implementation of,homotopy type theory
Agda,operating system,Microsoft Windows
Turbo Pascal,dialect of computer language,Object Pascal
Agda,programmed in,Haskell
XSLT,based on,Extensible Markup Language
XSLT,influenced by,Document Style Semantics and Specification Language
XSLT,standards body,World Wide Web Consortium
Haskell,operating system,Microsoft Windows
XSLT,part of,XSL
XSLT,programming paradigm,declarative programming
Agda,copyright license,BSD licenses
XSLT,developer,World Wide Web Consortium
Haskell,named after,Haskell Curry
QBasic,instance of,programming language
Haskell,programming paradigm,functional programming
PL/SQL,programming paradigm,procedural programming
PL/SQL,influenced by,Ada
batch file,subclass of,computer file
Turing,named after,Alan Turing
Go,reply to,C++
Turing,country,Canada
PL/SQL,owned by,Oracle
XSLT,instance of,programming language
Go,copyright license,BSD licenses
CFEngine,developer,Mark Burgess
Go,different from,go
Go,director / manager,Sameer Ajmani
CFEngine,has use,configuration management
CFEngine,programmed in,C
Perl,programmed in,C
Perl,designed by,Larry Wall
Netwide Assembler,programmed in,C
Perl,copyright license,Artistic License
Netwide Assembler,has use,x86 assembly language
Netwide Assembler,implementation of,x86 assembly language
Perl,creator,Larry Wall
Netwide Assembler,platform,x86
PL/SQL,instance of,programming language
Mathematica,developer,Wolfram Research
Mathematica,has use,science
Turing,instance of,programming language
Go,instance of,programming language
Expect,programmed in,Tcl
BASIC,designed by,John George Kemeny
Mathematica,programming paradigm,functional programming
Expect,developer,Don Libes
Expect,copyright status,public domain
GNU Guile,copyright holder,Free Software Foundation
GNU Guile,developer,GNU Project
GNU Guile,programmed in,C
GNU Guile,GUI toolkit or framework,ncurses
GNU Guile,implementation of,Scheme
Turing,influenced by,Pascal
Turing,operating system,Microsoft Windows
GNU Guile,dialect of computer language,Scheme
Cascading Style Sheets,standards body,World Wide Web Consortium
GNU Guile,part of,GNU Project
GNU Guile,maintained by,Ludovic Courtès
Perl,instance of,programming language
Rust,discoverer or inventor,Graydon Hoare
Rust,named after,Pucciniales
Clojure,dialect of computer language,Lisp
Sass,operating system,cross-platform
Haml,copyright license,MIT License
Sass,copyright license,MIT License
Haml,developer,Hampton Lintorn-Catlin
Sass,designed by,Hampton Lintorn-Catlin
CLISP,developer,GNU Project
CLISP,copyright license,GNU General Public License
CLISP,creator,Bruno Haible
CLISP,language of work or name,English
BASIC,instance of,programming language
Rust,has goal,computer performance
Rust,copyright license,MIT License
SQL,programming paradigm,declarative programming
SQL,used by,relational database
Rust,designed by,Graydon Hoare
KTurtle,programmed in,C++
Clojure,programmed in,Java
SQL,subclass of,query language
SQL,based on,first-order logic
Clojure,developer,Richard Hickey
KTurtle,supports programming language,Logo
KTurtle,GUI toolkit or framework,Qt
Mathematica,GUI toolkit or framework,Qt
KTurtle,copyright license,GNU General Public License
Pascal,designed by,Niklaus Wirth
Pascal,named after,Blaise Pascal
