topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_entrepreneur,Hans Stern,occupation,entrepreneur,What is the occupation of Hans Stern?,Jeweler,0.0,"['entrepreneur', 'Jeweler', 'artist', 'scientist']",What does Hans Stern do for a living?,A. artist  B. scientist  C. entrepreneur  D. Jeweler,C,Is Hans Stern's occupation entrepreneur?,Is Hans Stern's occupation Jeweler?,What nationality is Hans Stern?,Who is an entrepreneur?,What is the name of the company founded by the entrepreneur Hans Stern?,H. Stern,In which country is the company founded by the entrepreneur Hans Stern headquartered?,Brazil,What is the capital city of the country where the company founded by the entrepreneur Hans Stern is headquartered?,Brasília,In which year was the capital city of the country where the company founded by the entrepreneur Hans Stern is headquartered officially inaugurated?,1960,"Who was the president of the country when the capital city, where the company founded by the entrepreneur Hans Stern is headquartered, was officially inaugurated?",Juscelino Kubitschek
human_entrepreneur,Denis Thatcher,place of burial,Royal Hospital Chelsea,What is the place of burial of Denis Thatcher?,Hastings,0.0,"['Royal Hospital Chelsea', 'Hastings', 'Westminster Abbey', ""St. Paul's Cathedral""]",Where is Denis Thatcher buried?,A. Royal Hospital Chelsea  B. Hastings  C. St. Paul's Cathedral  D. Westminster Abbey,A,Is Denis Thatcher buried at the Royal Hospital Chelsea?,Is Denis Thatcher buried in Hastings?,What was Denis Thatcher's profession?,Who is buried at the Royal Hospital Chelsea?,In which city is the place of burial of Denis Thatcher located?,London,In which country is the city located where the place of burial of Denis Thatcher is situated?,United Kingdom,What is the official language of the country where the city is located that contains the place of burial of Denis Thatcher?,English,What is the currency used in the country where the city is located that contains the place of burial of Denis Thatcher?,Pound sterling,What is the capital of the country where the city is located that contains the place of burial of Denis Thatcher?,London
human_entrepreneur,Jakub Kryštof Rad,place of death,Vienna,What is the place of death of Jakub Kryštof Rad?,Prague,0.0,"['Vienna', 'Prague', 'Berlin', 'Budapest']",Where did Jakub Kryštof Rad die?,A. Prague  B. Budapest  C. Vienna  D. Berlin,C,Did Jakub Kryštof Rad die in Vienna?,Did Jakub Kryštof Rad die in Prague?,What is Jakub Kryštof Rad known for?,Who died in Vienna?,In which country is the place of death of Jakub Kryštof Rad located?,Austria,What is the official language of the country where the place of death of Jakub Kryštof Rad is located?,German,What is the population of the country where the place of death of Jakub Kryštof Rad is located?,Approximately 8.9 million,What is the capital city of the country where the place of death of Jakub Kryštof Rad is located?,Vienna,What is the name of the river that flows through the capital city of the country where the place of death of Jakub Kryštof Rad is located?,Danube
human_entrepreneur,Wilhelm Keppler,place of death,Friedrichshafen,What is the place of death of Wilhelm Keppler?,Berlin,0.0,"['Friedrichshafen', 'Berlin', 'Munich', 'Hamburg']",Where did Wilhelm Keppler die?,A. Hamburg  B. Friedrichshafen  C. Berlin  D. Munich,B,Did Wilhelm Keppler die in Friedrichshafen?,Did Wilhelm Keppler die in Berlin?,What was Wilhelm Keppler known for?,Who died in Friedrichshafen?,In which country is the place of death of Wilhelm Keppler located?,Germany,What is the population of the country where the place of death of Wilhelm Keppler is located?,Approximately 83 million,What is the capital city of the country where the place of death of Wilhelm Keppler is located?,Berlin,What is the name of the river that flows through the capital city of the country where the place of death of Wilhelm Keppler is located?,Spree,What is the length of the river that flows through the capital city of the country where the place of death of Wilhelm Keppler is located?,Approximately 400 kilometers
human_entrepreneur,Claudius Dornier,place of death,Zug,What is the place of death of Claudius Dornier?,Medebach,0.0,"['Zug', 'Medebach', 'Berlin', 'Munich']",Where did Claudius Dornier pass away?,A. Munich  B. Medebach  C. Zug  D. Berlin,C,Did Claudius Dornier die in Zug?,Did Claudius Dornier die in Medebach?,What is Claudius Dornier well-known for in the field of aviation?,Who died in Zug?,In which country is the place of death of Claudius Dornier located?,Switzerland,What is the official language spoken in the country where the place of death of Claudius Dornier is located?,German,What is the population of the country where the place of death of Claudius Dornier is located?,Approximately 8.5 million,What is the capital city of the country where the place of death of Claudius Dornier is located?,Bern,What is the name of the river that flows through the capital city of the country where the place of death of Claudius Dornier is located?,Aare
human_entrepreneur,Albert Böhler,place of death,Vienna,What is the place of death of Albert Böhler?,Innsbruck,0.0,"['Vienna', 'Innsbruck', 'Salzburg', 'Graz']",Where did Albert Böhler pass away?,A. Vienna  B. Innsbruck  C. Graz  D. Salzburg,A,Did Albert Böhler die in Vienna?,Did Albert Böhler die in Innsbruck?,What was Albert Böhler's profession?,Who died in Vienna?,In which country is the place of death of Albert Böhler located?,Austria,What is the official language of the country where the place of death of Albert Böhler is located?,German,What is the population of the city that is the place of death of Albert Böhler?,1.9 million,What is the name of the river that flows through the city that is the place of death of Albert Böhler?,Danube,What is the length of the river that flows through the city that is the place of death of Albert Böhler?,"2,850 km"
human_entrepreneur,Adolf Rosenberger,place of birth,Pforzheim,What is the place of birth of Adolf Rosenberger?,Berlin,0.0,"['Pforzheim', 'Berlin', 'Munich', 'Hamburg']",Where was Adolf Rosenberger born?,A. Hamburg  B. Berlin  C. Pforzheim  D. Munich,C,Is Pforzheim the place of birth of Adolf Rosenberger?,Is Berlin the place of birth of Adolf Rosenberger?,What was Adolf Rosenberger known for?,Who was born in Pforzheim?,In which country is the place of birth of Adolf Rosenberger located?,Germany,What is the official language of the country where the place of birth of Adolf Rosenberger is located?,German,What is the capital city of the country where the place of birth of Adolf Rosenberger is located?,Berlin,Which river flows through the capital city of the country where the place of birth of Adolf Rosenberger is located?,Spree,What is the length of the river that flows through the capital city of the country where the place of birth of Adolf Rosenberger is located?,400 kilometers
human_entrepreneur,Günther Fielmann,place of birth,Stafstedt,What is the place of birth of Günther Fielmann?,Lübeck,0.0,"['Stafstedt', 'Lübeck', 'Hamburg', 'Berlin']",Where was Günther Fielmann born?,A. Hamburg  B. Berlin  C. Lübeck  D. Stafstedt,D,Is Günther Fielmann's place of birth Stafstedt?,Is Günther Fielmann's place of birth Lübeck?,What is Günther Fielmann known for?,Who was born in Stafstedt?,In which country is the place of birth of Günther Fielmann located?,Germany,What is the official language of the country where the place of birth of Günther Fielmann is located?,German,What is the capital city of the country where the place of birth of Günther Fielmann is located?,Berlin,Which river flows through the capital city of the country where the place of birth of Günther Fielmann is located?,Spree,What is the length of the river that flows through the capital city of the country where the place of birth of Günther Fielmann is located?,400 kilometers
human_entrepreneur,Konrad Gobel,place of birth,Frankfurt,What is the place of birth of Konrad Gobel?,Breslau,0.0,"['Frankfurt', 'Breslau', 'Berlin', 'Munich']",Where was Konrad Gobel born?,A. Berlin  B. Munich  C. Breslau  D. Frankfurt,D,Is Konrad Gobel's place of birth Frankfurt?,Is Konrad Gobel's place of birth Breslau?,What is Konrad Gobel known for?,Who was born in Frankfurt?,In which country is the place of birth of Konrad Gobel located?,Germany,What is the official language of the country where the place of birth of Konrad Gobel is located?,German,What is the population of the country where the place of birth of Konrad Gobel is located?,Approximately 83 million,What is the capital city of the country where the place of birth of Konrad Gobel is located?,Berlin,What is the name of the river that flows through the capital city of the country where the place of birth of Konrad Gobel is located?,Spree
human_entrepreneur,Otto Fahr,sport,swimming,What is the sport of Otto Fahr?,Rowing,0.0,"['Swimming', 'Rowing', 'Cycling', 'Running']",Which sport is Otto Fahr associated with?,A. Cycling  B. Running  C. swimming  D. Rowing,C,Is Otto Fahr's sport swimming?,Is Otto Fahr's sport rowing?,What nationality is Otto Fahr?,Who is associated with the sport of swimming?,What is the main event in the sport of Otto Fahr?,Backstroke,Which Olympic Games did the main event in the sport of Otto Fahr take place?,1912 Summer Olympics,In which city were the Olympic Games held where the main event in the sport of Otto Fahr took place?,Stockholm,In which country is the city located where the Olympic Games were held that featured the main event in the sport of Otto Fahr?,Sweden,What is the official language of the country where the city is located that hosted the Olympic Games featuring the main event in the sport of Otto Fahr?,Swedish
human_entrepreneur,Jimmy Wales,religion or worldview,irreligion,What is the religion or worldview of Jimmy Wales?,Agnostic,0.0,"['irreligion', 'Agnostic', 'Christianity', 'Atheism']",What belief system does Jimmy Wales adhere to?,A. irreligion  B. Atheism  C. Christianity  D. Agnostic,A,Is the religion or worldview of Jimmy Wales irreligion?,Is the religion or worldview of Jimmy Wales Agnostic?,What is Jimmy Wales well-known for founding?,Who has irreligion as their religion or worldview?,What is the profession of a person who has the religion or worldview of Jimmy Wales?,Internet entrepreneur,What is the name of the most famous website created by the profession of a person who has the religion or worldview of Jimmy Wales?,Wikipedia,In which year was the most famous website created by the profession of a person who has the religion or worldview of Jimmy Wales launched?,2001,Who co-founded the most famous website created by the profession of a person who has the religion or worldview of Jimmy Wales?,Larry Sanger,Which university did the co-founder of the most famous website created by the profession of a person who has the religion or worldview of Jimmy Wales attend for their undergraduate studies?,Reed College
