topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,Delve Deeper,distributed by,Steam,What was Delve Deeper distributed by?,Fantasy Flight Games,0.0,"['Steam', 'Fantasy Flight Games', 'GOG', 'Epic Games Store']",Who was the distributor of Delve Deeper?,A. Fantasy Flight Games  B. Epic Games Store  C. Steam  D. GOG,C,Was Delve Deeper distributed by Steam?,Was Delve Deeper distributed by Fantasy Flight Games?,What genre is the game Delve Deeper?,What game was distributed by Steam?,Who is the parent company of the platform that Delve Deeper was distributed by?,Valve Corporation,In which year was the parent company of the platform that Delve Deeper was distributed by founded?,1996,Who were the founders of the parent company of the platform that Delve Deeper was distributed by?,Gabe Newell and Mike Harrington,Which game engine was developed by the parent company of the platform that Delve Deeper was distributed by?,Source,Which popular first-person shooter game series was developed using the game engine created by the parent company of the platform that Delve Deeper was distributed by?,Half-Life
technology_software,Open 3D Engine,replaces,Amazon Lumberyard,What does Open 3D Engine replace?,CryEngine,0.0,"['Amazon Lumberyard', 'CryEngine', 'Unity', 'Unreal Engine']",Which software does Open 3D Engine take the place of?,A. CryEngine  B. Unity  C. Amazon Lumberyard  D. Unreal Engine,C,Does Open 3D Engine replace Amazon Lumberyard?,Does Open 3D Engine replace CryEngine?,What is a key feature of Open 3D Engine?,What replaces Amazon Lumberyard?,Who developed the engine that Open 3D Engine replaces?,Amazon,What is the headquarters location of the company that developed the engine that Open 3D Engine replaces?,"Seattle, Washington",In which country is the headquarters located of the company that developed the engine that Open 3D Engine replaces?,United States,Who is the CEO of the company headquartered in the country where the headquarters of the company that developed the engine that Open 3D Engine replaces is located?,Andy Jassy,Which university did the CEO of the company headquartered in the country where the headquarters of the company that developed the engine that Open 3D Engine replaces is located attend?,Harvard University
technology_software,News Channel,developer,Nintendo,What is the developer of News Channel?,Apple,0.0,"['Nintendo', 'Apple', 'Sony', 'Microsoft']",Who developed the News Channel?,A. Nintendo  B. Microsoft  C. Apple  D. Sony,A,Is Nintendo the developer of News Channel?,Is Apple the developer of News Channel?,What type of content does the News Channel typically broadcast?,What did Nintendo develop?,What is the headquarters location of the developer of News Channel?,"Kyoto, Japan","Who is the president of the company headquartered in Kyoto, Japan, that is the developer of News Channel?",Shuntaro Furukawa,"Which university did the president of the company headquartered in Kyoto, Japan, that is the developer of News Channel attend?",Waseda University,"In which city is the university located that the president of the company headquartered in Kyoto, Japan, that is the developer of News Channel attended?",Tokyo,"In which country is the city located where the university is situated that the president of the company headquartered in Kyoto, Japan, that is the developer of News Channel attended?",Japan
technology_software,Tintin in Tibet,game mode,single-player video game,What is the game mode of Tintin in Tibet?,Adventure,0.0,"['single-player video game', 'Adventure', 'multiplayer video game', 'co-op mode']",Which game mode does Tintin in Tibet feature?,A. single-player video game  B. multiplayer video game  C. co-op mode  D. Adventure,A,Is the game mode of Tintin in Tibet a single-player video game?,Is the game mode of Tintin in Tibet Adventure?,What is the main genre of the game Tintin in Tibet?,Which game features a single-player video game mode?,What is the genre of the single-player video game mode of Tintin in Tibet?,Platform game,Which company developed the genre of the single-player video game mode of Tintin in Tibet?,Infogrames,In which year was the game developed by the company that created the genre of the single-player video game mode of Tintin in Tibet released?,1995,On which gaming console was the game released in the year developed by the company that created the genre of the single-player video game mode of Tintin in Tibet?,Super Nintendo Entertainment System (SNES),Which company manufactured the gaming console on which the game was released in the year developed by the company that created the genre of the single-player video game mode of Tintin in Tibet?,Nintendo
technology_software,MicroStrategy,founded by,Michael J. Saylor,Who was MicroStrategy founded by?,Michael Saylor,0.0,"['Michael J. Saylor', 'Michael Saylor', 'John Doe', 'Elon Musk']",Who is the founder of MicroStrategy?,A. John Doe  B. Michael Saylor  C. Michael J. Saylor  D. Elon Musk,C,Was MicroStrategy founded by Michael J. Saylor?,Was MicroStrategy founded by Michael Saylor?,What type of software does MicroStrategy specialize in?,Which company was founded by Michael J. Saylor?,What is the alma mater of the person who founded MicroStrategy?,Massachusetts Institute of Technology,In which city is the alma mater of the person who founded MicroStrategy located?,Cambridge,In which state is the city located where the alma mater of the person who founded MicroStrategy is situated?,Massachusetts,In which country is the state located where the city is situated that contains the alma mater of the person who founded MicroStrategy?,United States,What is the official language of the country where the state is located that contains the city where the alma mater of the person who founded MicroStrategy is situated?,English
technology_software,Proton Mail,owned by,Proton,What was Proton Mail owned by?,CERN,0.0,"['Proton', 'CERN', 'Google', 'Microsoft']",Who is the owner of Proton Mail?,A. CERN  B. Proton  C. Microsoft  D. Google,B,Is Proton Mail owned by Proton?,Is Proton Mail owned by CERN?,What type of service does Proton Mail provide?,What does Proton own?,Who is the CEO of the company that Proton Mail was owned by?,Andy Yen,Which university did the CEO of the company that Proton Mail was owned by attend for their PhD?,Harvard University,In which city is the university located where the CEO of the company that Proton Mail was owned by attended for their PhD?,Cambridge,In which state is the city located where the university is situated that the CEO of the company that Proton Mail was owned by attended for their PhD?,Massachusetts,In which country is the state located where the city is situated that contains the university the CEO of the company that Proton Mail was owned by attended for their PhD?,United States
technology_software,The Marvellous Miss Take,has characteristic,indie game,What does The Marvellous Miss Take have characteristic?,Whimsy,0.0,"['indie game', 'Whimsy', 'puzzle elements', 'stealth gameplay']",What is a characteristic of The Marvellous Miss Take?,A. Whimsy  B. stealth gameplay  C. indie game  D. puzzle elements,C,Does The Marvellous Miss Take have the characteristic of being an indie game?,Does The Marvellous Miss Take have the characteristic of Whimsy?,What genre does The Marvellous Miss Take belong to?,Which game has the characteristic of being an indie game?,What is the genre of the indie game that The Marvellous Miss Take has characteristic?,Stealth,Who is the developer of the indie game that has the genre of stealth and is a characteristic of The Marvellous Miss Take?,Wonderstruck,"In which year was the indie game developed by Wonderstruck, which has the genre of stealth and is a characteristic of The Marvellous Miss Take, released?",2014,"On which platform was the indie game released in 2014, developed by Wonderstruck, which has the genre of stealth and is a characteristic of The Marvellous Miss Take?",PC,"Which digital distribution service offers the indie game released in 2014 on PC, developed by Wonderstruck, which has the genre of stealth and is a characteristic of The Marvellous Miss Take?",Steam
technology_software,Encarta,based on,Funk & Wagnalls,What was Encarta based on?,Microsoft,0.0,"['Funk & Wagnalls', 'Microsoft', 'Britannica', 'World Book']",On what was Encarta founded?,A. World Book  B. Microsoft  C. Funk & Wagnalls  D. Britannica,C,Was Encarta based on Funk & Wagnalls?,Was Encarta based on Microsoft?,Who developed Encarta?,What is based on Funk & Wagnalls?,Who was the founder of the entity that Encarta was based on?,Isaac Kaufmann Funk,What was the profession of the founder of the entity that Encarta was based on?,Lexicographer,Which university did the founder of the entity that Encarta was based on attend?,Wittenberg College,In which state is the university located that the founder of the entity that Encarta was based on attended?,Ohio,In which country is the state located where the university is situated that the founder of the entity that Encarta was based on attended?,United States
technology_software,Super Puzzle Platformer Deluxe,publisher,Adult Swim Games,What is the publisher of Super Puzzle Platformer Deluxe?,Midway Games,0.0,"['Adult Swim Games', 'Midway Games', 'Electronic Arts', 'Ubisoft']",Who published Super Puzzle Platformer Deluxe?,A. Ubisoft  B. Midway Games  C. Electronic Arts  D. Adult Swim Games,D,Is the publisher of Super Puzzle Platformer Deluxe Adult Swim Games?,Is the publisher of Super Puzzle Platformer Deluxe Midway Games?,What genre is Super Puzzle Platformer Deluxe known for?,Which game was published by Adult Swim Games?,What is another game published by the publisher of Super Puzzle Platformer Deluxe?,Duck Game,Who is the developer of another game published by the publisher of Super Puzzle Platformer Deluxe?,Landon Podbielski,What is the release year of the game developed by the developer of another game published by the publisher of Super Puzzle Platformer Deluxe?,2014,On which platform was the game released in 2014 by the developer of another game published by the publisher of Super Puzzle Platformer Deluxe?,PC,Which game engine was used to develop the game released in 2014 on PC by the developer of another game published by the publisher of Super Puzzle Platformer Deluxe?,Unity
technology_software,TeachAIDS,parent organization,Stanford University,What is the parent organization of TeachAIDS?,"University of California, San Francisco (UCSF)",0.0,"['Stanford University', 'University of California, San Francisco (UCSF)', 'Harvard University', 'Massachusetts Institute of Technology (MIT)']",Which institution serves as the parent organization of TeachAIDS?,"A. Harvard University  B. University of California, San Francisco (UCSF)  C. Stanford University  D. Massachusetts Institute of Technology (MIT)",C,Is Stanford University the parent organization of TeachAIDS?,"Is University of California, San Francisco (UCSF) the parent organization of TeachAIDS?",What is a well-known research focus of Stanford University?,Which organization is parented by Stanford University?,Who is the president of the parent organization of TeachAIDS?,Marc Tessier-Lavigne,Which country is the president of the parent organization of TeachAIDS originally from?,Canada,What is the capital city of the country that the president of the parent organization of TeachAIDS is originally from?,Ottawa,Which river flows through the capital city of the country that the president of the parent organization of TeachAIDS is originally from?,Ottawa River,"Which major Canadian province is the capital city located in, where the river flows through, in the country that the president of the parent organization of TeachAIDS is originally from?",Ontario
technology_software,Ben and Ed,game mode,single-player video game,What is the game mode of Ben and Ed?,Run-and-gun,0.0,"['single-player video game', 'Run-and-gun', 'multiplayer video game', 'co-op video game']",Which game mode does Ben and Ed feature?,A. multiplayer video game  B. Run-and-gun  C. single-player video game  D. co-op video game,C,Is the game mode of Ben and Ed a single-player video game?,Is the game mode of Ben and Ed a Run-and-gun?,Who are the main characters in Ben and Ed?,Which game features a single-player video game mode?,What is the genre of the single-player video game mode of Ben and Ed?,Platformer,Which company developed the platformer genre single-player video game mode of Ben and Ed?,Sluggerfly,In which country is the company that developed the platformer genre single-player video game mode of Ben and Ed located?,Germany,What is the capital city of the country where the company that developed the platformer genre single-player video game mode of Ben and Ed is located?,Berlin,Which famous landmark is located in the capital city of the country where the company that developed the platformer genre single-player video game mode of Ben and Ed is located?,Brandenburg Gate
technology_software,J-Pilot,programmed in,GTK,What was J-Pilot programmed in?,C,0.0,"['GTK', 'C', 'Java', 'Python']",In which programming language was J-Pilot developed?,A. Python  B. C  C. GTK  D. Java,C,Was J-Pilot programmed in GTK?,Was J-Pilot programmed in C?,What is a notable feature of J-Pilot?,Which software was programmed in GTK?,Who developed the toolkit that J-Pilot was programmed in?,The GTK toolkit was developed by the GNOME Project,What is the primary programming language used by the developers of the toolkit that J-Pilot was programmed in?,C,Which operating system primarily uses the toolkit that J-Pilot was programmed in?,Linux,What is the name of the desktop environment that primarily uses the operating system which uses the toolkit that J-Pilot was programmed in?,GNOME,Which organization oversees the development of the desktop environment that primarily uses the operating system which uses the toolkit that J-Pilot was programmed in?,The GNOME Foundation
technology_software,Keycloak,named after,cloaking device,What was Keycloak named after?,Keycloak,0.0,"['cloaking device', 'Keycloak', 'encryption algorithm', 'security protocol']",What is the origin of the name Keycloak?,A. security protocol  B. Keycloak  C. cloaking device  D. encryption algorithm,C,Was Keycloak named after a cloaking device?,Was Keycloak named after Keycloak?,What is Keycloak primarily used for?,What is a cloaking device associated with?,"In which science fiction series is the cloaking device, which Keycloak was named after, prominently featured?",Star Trek,"Who created the science fiction series in which the cloaking device, which Keycloak was named after, is prominently featured?",Gene Roddenberry,"In which year did the creator of the science fiction series, in which the cloaking device that Keycloak was named after is prominently featured, pass away?",1991,"Which university did the creator of the science fiction series, in which the cloaking device that Keycloak was named after is prominently featured, attend?","University of California, Los Angeles (UCLA)","In which city is the university located that the creator of the science fiction series, in which the cloaking device that Keycloak was named after is prominently featured, attended?",Los Angeles
technology_software,popt,programmed in,C,What was popt programmed in?,Python,0.0,"['C', 'Python', 'Java', 'Ruby']",In which programming language was popt written?,A. Java  B. C  C. Python  D. Ruby,B,Was popt programmed in C?,Was popt programmed in Python?,What is a common use of popt?,Which software was programmed in C?,Who developed the language that popt was programmed in?,Dennis Ritchie,Where did the developer of the language that popt was programmed in work?,Bell Labs,In which city is the workplace of the developer of the language that popt was programmed in located?,Murray Hill,In which state is the city located where the workplace of the developer of the language that popt was programmed in is situated?,New Jersey,In which country is the state located where the city is situated that contains the workplace of the developer of the language that popt was programmed in?,United States
technology_software,MicroStrategy,chief executive officer,Michael J. Saylor,Who is the chief executive officer of MicroStrategy?,Michael Saylor,0.0,"['Michael J. Saylor', 'Michael Saylor', 'John Doe', 'Jane Smith']",Who holds the position of CEO at MicroStrategy?,A. Michael J. Saylor  B. Michael Saylor  C. Jane Smith  D. John Doe,A,Is Michael J. Saylor the chief executive officer of MicroStrategy?,Is Michael Saylor the chief executive officer of MicroStrategy?,What is a well-known product or service offered by MicroStrategy?,Who is Michael J. Saylor the chief executive officer of?,What is the alma mater of the chief executive officer of MicroStrategy?,Massachusetts Institute of Technology,In which city is the alma mater of the chief executive officer of MicroStrategy located?,Cambridge,In which state is the city located where the alma mater of the chief executive officer of MicroStrategy is situated?,Massachusetts,In which country is the state located where the city is situated that contains the alma mater of the chief executive officer of MicroStrategy?,United States,What is the name of the river that flows through the city where the alma mater of the chief executive officer of MicroStrategy is located?,Charles River
technology_software,Inoreader,programmed in,PHP,What was Inoreader programmed in?,Python,0.0,"['PHP', 'Python', 'Java', 'Ruby']",Which programming language was used to develop Inoreader?,A. Ruby  B. Java  C. Python  D. PHP,D,Was Inoreader programmed in PHP?,Was Inoreader programmed in Python?,What type of service is Inoreader known for?,Which application was programmed in PHP?,Who is the creator of the language that Inoreader was programmed in?,Rasmus Lerdorf,What is the nationality of the creator of the language that Inoreader was programmed in?,Danish-Canadian,Which country is the creator of the language that Inoreader was programmed in originally from?,Greenland,What is the capital of the country that the creator of the language that Inoreader was programmed in is originally from?,Nuuk,What is the population of the capital of the country that the creator of the language that Inoreader was programmed in is originally from?,"Approximately 18,000"
