topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_industry,floristry,practiced by,florist,florist,What was floristry practiced by?,People,0.0,"['Florist', 'People', 'Botanist', 'Gardener']",Who practices floristry?,A. People  B. Gardener  C. Botanist  D. florist,D,Is floristry practiced by a florist?,Is floristry practiced by people?,What is a common tool used in floristry?,What does a florist practice?,What is the primary occupation of someone who practices floristry?,Florist,What skills are essential for the primary occupation of someone who practices floristry?,"Creativity, knowledge of plants, and design skills",What type of education or training is typically required for the primary occupation of someone who practices floristry?,Vocational training or apprenticeship,What professional organization might someone who practices floristry join?,American Institute of Floral Designers (AIFD),What is one benefit of joining a professional organization for someone who practices floristry?,Networking opportunities and professional development
business_industry,television,practiced by,announcer,announcer,What was television practiced by?,Broadcasting,0.0,"['announcer', 'Broadcasting', 'producer', 'director']",Who practiced television?,A. director  B. Broadcasting  C. announcer  D. producer,C,Was television practiced by an announcer?,Was television practiced by Broadcasting?,What is a common feature of television?,What did the announcer practice?,What is the primary role of the announcer who practiced television?,To present information and entertainment to the audience,What skills are essential for the primary role of the announcer who practiced television?,"Clear communication, public speaking, and presentation skills",What type of training is typically required to develop the skills essential for the primary role of the announcer who practiced television?,Broadcast journalism or communication studies,Which institutions commonly offer the type of training required to develop the skills essential for the primary role of the announcer who practiced television?,Universities and colleges,What is one well-known university that offers the type of training required to develop the skills essential for the primary role of the announcer who practiced television?,Northwestern University
business_industry,biotechnology,practiced by,biotechnologist,biotechnologist,What was biotechnology practiced by?,Humans,0.0,"['biotechnologist', 'Humans', 'engineers', 'doctors']",Who practices biotechnology?,A. Humans  B. biotechnologist  C. doctors  D. engineers,B,Is biotechnology practiced by biotechnologists?,Is biotechnology practiced by humans?,What is a common application of biotechnology?,What does a biotechnologist practice?,What is a notable field of study for a biotechnologist who practices biotechnology?,Genetic engineering,"What is a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",CRISPR technology,"Which organism is commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Escherichia coli (E. coli),"What is a common laboratory technique used to manipulate Escherichia coli (E. coli), an organism commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",Transformation,"What is the purpose of the transformation technique, a common laboratory technique used to manipulate Escherichia coli (E. coli), an organism commonly used in CRISPR technology, a significant application of genetic engineering, a field of study for a biotechnologist who practices biotechnology?",To introduce foreign DNA into the bacterial cells
business_industry,technology,practiced by,technologist,technologist,What was technology practiced by?,Invented,0.0,"['technologist', 'Invented', 'engineer', 'scientist']",Who practices technology?,A. technologist  B. Invented  C. scientist  D. engineer,A,Is technology practiced by a technologist?,Is technology practiced by Invented?,What is a common field of study for technology?,What does a technologist practice?,What is the primary field of study of a technologist who practices technology?,Engineering,"Which university is known for its strong engineering program, the primary field of study of a technologist who practices technology?",Massachusetts Institute of Technology (MIT),"In which city is the university located that is known for its strong engineering program, the primary field of study of a technologist who practices technology?",Cambridge,"In which state is the city located where the university known for its strong engineering program, the primary field of study of a technologist who practices technology, is situated?",Massachusetts,"In which country is the state located where the city is situated that contains the university known for its strong engineering program, the primary field of study of a technologist who practices technology?",United States
business_industry,technology,is the study of,technique,technique,What does technology be the study of?,Science and engineering,0.0,"['technique', 'Science and engineering', 'mathematics', 'biology']",What is technology the study of?,A. mathematics  B. technique  C. biology  D. Science and engineering,B,Is technology the study of technique?,Is technology the study of Science and engineering?,What is a common application of technology?,What studies technique?,What is an example of a technique that technology is the study of?,Programming,What is a popular language used in the example of a technique that technology is the study of?,Python,Who created the popular language used in the example of a technique that technology is the study of?,Guido van Rossum,"In which year was the popular language created by Guido van Rossum, used in the example of a technique that technology is the study of, released?",1991,"Which organization manages the development of the popular language created by Guido van Rossum, used in the example of a technique that technology is the study of?",Python Software Foundation
business_industry,technology,uses,technique,technique,What does technology use?,"Resources (power, materials, data)",0.0,"['technique', 'Resources (power, materials, data)', 'tools', 'methods']",What is utilized by technology?,"A. Resources (power, materials, data)  B. tools  C. methods  D. technique",D,Does technology use technique?,"Does technology use Resources (power, materials, data)?",What is a common feature of technology?,What uses technique?,What is an example of a technique that technology uses?,Algorithm,Who developed the example of a technique that technology uses?,Ada Lovelace,What is a notable work of the person who developed the example of a technique that technology uses?,Notes on the Analytical Engine,Who created the machine described in the notable work of the person who developed the example of a technique that technology uses?,Charles Babbage,What is the name of the machine created by the person who is mentioned in the notable work of the person who developed the example of a technique that technology uses?,Analytical Engine
business_industry,technology,has characteristic,technological singularity,technological singularity,What does technology have characteristic?,"Innovative, adaptable, efficient, interconnected, and transformative",0.0,"['technological singularity', 'Innovative, adaptable, efficient, interconnected, and transformative', 'automation', 'digital transformation']",What characteristic does technology possess?,"A. automation  B. Innovative, adaptable, efficient, interconnected, and transformative  C. digital transformation  D. technological singularity",D,Does technology have the characteristic of technological singularity?,"Does technology have the characteristic of being innovative, adaptable, efficient, interconnected, and transformative?",What is a common application of technology in modern society?,What has the characteristic of technological singularity?,"What is a potential outcome of the technological singularity, which is a characteristic of technology?",Artificial superintelligence,"Who is a prominent advocate for the development of artificial superintelligence, which is a potential outcome of the technological singularity, a characteristic of technology?",Ray Kurzweil,"What book did Ray Kurzweil, a prominent advocate for the development of artificial superintelligence, write about the technological singularity, a characteristic of technology?",The Singularity Is Near,"In what year was 'The Singularity Is Near' published, a book written by Ray Kurzweil about the technological singularity, a characteristic of technology?",2005,"Which publishing company released 'The Singularity Is Near' in 2005, a book written by Ray Kurzweil about the technological singularity, a characteristic of technology?",Viking Press
business_industry,financial audit,practiced by,statutory auditor,statutory auditor,What was financial audit practiced by?,Accountants,0.0,"['statutory auditor', 'Accountants', 'Internal auditor', 'Financial analyst']",Who conducts a financial audit?,A. statutory auditor  B. Accountants  C. Internal auditor  D. Financial analyst,A,Is a financial audit practiced by a statutory auditor?,Is a financial audit practiced by Accountants?,What is a common purpose of a financial audit?,What does a statutory auditor practice?,What is the primary responsibility of the statutory auditor who practiced financial audit?,To examine and verify a company's financial statements,Which organization typically appoints the statutory auditor who has the primary responsibility to examine and verify a company's financial statements and practiced financial audit?,The company's shareholders,In which type of meeting do the shareholders typically appoint the statutory auditor who has the primary responsibility to examine and verify a company's financial statements and practiced financial audit?,Annual General Meeting (AGM),What is one of the key documents reviewed during the Annual General Meeting (AGM) where shareholders appoint the statutory auditor who has the primary responsibility to examine and verify a company's financial statements and practiced financial audit?,The company's annual financial report,Which regulatory body often oversees the process of appointing the statutory auditor and the review of the company's annual financial report during the Annual General Meeting (AGM) where financial audit is practiced?,Securities and Exchange Commission (SEC)
business_industry,mass media,practiced by,media profession,media profession,What was mass media practiced by?,Humans,0.0,"['media profession', 'Humans', 'journalists', 'advertisers']",Who practiced mass media?,A. advertisers  B. Humans  C. journalists  D. media profession,D,Is mass media practiced by media profession?,Is mass media practiced by Humans?,What is a common form of mass media?,What profession practices media?,What is a common job title within the media profession that practices mass media?,Journalist,Which organization often employs a journalist within the media profession that practices mass media?,News agency,What is a well-known news agency that employs journalists within the media profession that practices mass media?,Reuters,"In which country is the headquarters of Reuters, a well-known news agency that employs journalists within the media profession that practices mass media, located?",United Kingdom,"What is the capital city of the country where the headquarters of Reuters, a well-known news agency that employs journalists within the media profession that practices mass media, is located?",London
business_industry,industrial engineering,practiced by,industrial engineer,industrial engineer,What was industrial engineering practiced by?,Individuals,0.0,"['industrial engineer', 'Individuals', 'mechanical engineer', 'civil engineer']",Who practices industrial engineering?,A. Individuals  B. mechanical engineer  C. industrial engineer  D. civil engineer,C,Is industrial engineering practiced by an industrial engineer?,Is industrial engineering practiced by Individuals?,What is a common task performed by an industrial engineer?,What profession practices industrial engineering?,What is a notable contribution made by an industrial engineer?,Time and motion studies,"Who is a famous person known for their work in time and motion studies, a notable contribution made by an industrial engineer?",Frederick Winslow Taylor,"What book did Frederick Winslow Taylor, a famous person known for their work in time and motion studies, write?",The Principles of Scientific Management,"In what year was 'The Principles of Scientific Management' written by Frederick Winslow Taylor, a famous person known for their work in time and motion studies, published?",1911,"Which organization was significantly influenced by 'The Principles of Scientific Management' published in 1911 by Frederick Winslow Taylor, a famous person known for their work in time and motion studies?",Ford Motor Company
business_industry,dairy industry,field of work,dairying,dairying,What is the field of work of dairy industry?,Agriculture,0.0,"['dairying', 'Agriculture', 'farming', 'horticulture']",In which field does the dairy industry work?,A. farming  B. Agriculture  C. dairying  D. horticulture,C,Is the field of work of the dairy industry dairying?,Is the field of work of the dairy industry Agriculture?,What is a common product produced by the dairy industry?,Which industry works in the field of dairying?,What is a common product produced in the field of work of the dairy industry?,Milk,What is a popular beverage made from the common product produced in the field of work of the dairy industry?,Cheese,Which country is known for producing a popular beverage made from the common product produced in the field of work of the dairy industry?,France,What is the capital city of the country known for producing a popular beverage made from the common product produced in the field of work of the dairy industry?,Paris,Which famous landmark is located in the capital city of the country known for producing a popular beverage made from the common product produced in the field of work of the dairy industry?,Eiffel Tower
business_industry,plant breeding,practiced by,plant breeder,plant breeder,What was plant breeding practiced by?,Farmers,0.0,"['plant breeder', 'Farmers', 'Botanists', 'Agricultural engineers']",Who practices plant breeding?,A. Farmers  B. plant breeder  C. Agricultural engineers  D. Botanists,B,Is plant breeding practiced by a plant breeder?,Is plant breeding practiced by Farmers?,What is a common goal of plant breeding?,What does a plant breeder practice?,What is a notable achievement of the plant breeder who practiced plant breeding?,Development of high-yield crop varieties,Which organization often employs the plant breeder who achieved the development of high-yield crop varieties?,International Maize and Wheat Improvement Center (CIMMYT),In which country is the organization located that employs the plant breeder who achieved the development of high-yield crop varieties?,Mexico,What is the capital city of the country where the organization is located that employs the plant breeder who achieved the development of high-yield crop varieties?,Mexico City,What is the population of the capital city of the country where the organization is located that employs the plant breeder who achieved the development of high-yield crop varieties?,Approximately 9 million
business_industry,health care industry,field of work,health care,health care,What is the field of work of health care industry?,Healthcare,0.0,"['health care', 'Healthcare', 'technology', 'education']",In which field does the health care industry operate?,A. health care  B. Healthcare  C. education  D. technology,A,Is the field of work of the health care industry health care?,Is the field of work of the health care industry Healthcare?,What is a common challenge faced by the health care industry?,Which industry works in the field of health care?,What is a major sector within the field of work of the health care industry?,Hospitals,What is a common service provided by a major sector within the field of work of the health care industry?,Emergency care,What is a typical condition treated by a common service provided by a major sector within the field of work of the health care industry?,Heart attack,What is a common medication used to treat a typical condition treated by a common service provided by a major sector within the field of work of the health care industry?,Aspirin,What is a common side effect of a common medication used to treat a typical condition treated by a common service provided by a major sector within the field of work of the health care industry?,Stomach upset
business_industry,health care industry,said to be the same as,human health activities,human health activities,What did health care industry say to be the same as?,"""Business""",0.0,"['human health activities', 'Business', 'financial services', 'education sector']",What is the health care industry said to be equivalent to?,"A. education sector  B. human health activities  C. ""Business""  D. financial services",B,Is the health care industry said to be the same as human health activities?,Is the health care industry said to be the same as Business?,What is a major concern for the health care industry?,What is said to be the same as human health activities?,What is a major component of the human health activities that the health care industry is said to be the same as?,Medical services,What is a common type of medical service that is a major component of the human health activities that the health care industry is said to be the same as?,Primary care,"What is a typical setting for primary care, which is a common type of medical service that is a major component of the human health activities that the health care industry is said to be the same as?",Clinics,"Who typically works in clinics, which are a typical setting for primary care, a common type of medical service that is a major component of the human health activities that the health care industry is said to be the same as?",General practitioners,"What is the primary role of general practitioners who typically work in clinics, which are a typical setting for primary care, a common type of medical service that is a major component of the human health activities that the health care industry is said to be the same as?",Providing comprehensive health care
business_industry,printing,used by,Protestant Reformation,Protestant Reformation,What was printing used by?,People,0.0,"['Protestant Reformation', 'People', 'Industrial Revolution', 'Medieval Monks']",Who utilized printing?,A. People  B. Industrial Revolution  C. Protestant Reformation  D. Medieval Monks,C,Was printing used by the Protestant Reformation?,Was printing used by People?,What is a common material associated with printing?,What utilized the Protestant Reformation?,Who was a key figure in the Protestant Reformation that printing was used by?,Martin Luther,"What document did the key figure in the Protestant Reformation, who printing was used by, famously publish?",Ninety-Five Theses,"In which year was the document published by the key figure in the Protestant Reformation, who printing was used by, released?",1517,"In which city was the document published by the key figure in the Protestant Reformation, who printing was used by, posted?",Wittenberg,"In which country is the city located where the document was posted by the key figure in the Protestant Reformation, who printing was used by?",Germany
business_industry,printing,uses,printing machine,printing machine,What does printing use?,Ink,0.0,"['printing machine', 'Ink', 'paper', 'toner']",What is used by printing?,A. paper  B. printing machine  C. toner  D. Ink,B,Does printing use a printing machine?,Does printing use Ink?,What is a common material used in printing?,What uses a printing machine?,Who invented the printing machine that printing uses?,Johannes Gutenberg,In which century did the inventor of the printing machine that printing uses live?,15th century,Which country was the inventor of the printing machine that printing uses from?,Germany,What is the name of the city in Germany where the inventor of the printing machine that printing uses was born?,Mainz,Which river flows through the city where the inventor of the printing machine that printing uses was born?,Rhine River
business_industry,metallurgy,practiced by,metallurgist,metallurgist,What was metallurgy practiced by?,Humans,0.0,"['metallurgist', 'Humans', 'blacksmith', 'engineer']",Who practices metallurgy?,A. blacksmith  B. metallurgist  C. engineer  D. Humans,B,Is metallurgy practiced by a metallurgist?,Is metallurgy practiced by Humans?,What is a common process involved in metallurgy?,What does a metallurgist practice?,What is the primary material that a metallurgist works with?,Metals,What is one common process that a metallurgist uses to work with metals?,Smelting,What is the main purpose of the smelting process used by a metallurgist?,To extract metal from its ore,What is a common byproduct of the smelting process used by a metallurgist to extract metal from its ore?,Slag,"What is one way that the byproduct slag, produced by the smelting process used by a metallurgist to extract metal from its ore, can be utilized?",As a construction material
business_industry,metallurgy,said to be the same as,metal industry,metal industry,What did metallurgy say to be the same as?,Elements,0.0,"['metal industry', 'Elements', 'mining', 'alloy production']",What is metallurgy said to be equivalent to?,A. Elements  B. alloy production  C. metal industry  D. mining,C,Is metallurgy said to be the same as the metal industry?,Is metallurgy said to be the same as Elements?,What is a common process involved in metallurgy?,What is the metal industry said to be the same as?,What is a major product of the industry that metallurgy is said to be the same as?,Steel,Which country is the largest producer of the major product of the industry that metallurgy is said to be the same as?,China,What is the capital city of the country that is the largest producer of the major product of the industry that metallurgy is said to be the same as?,Beijing,What is the population of the capital city of the country that is the largest producer of the major product of the industry that metallurgy is said to be the same as?,21 million,What is the name of the international airport in the capital city of the country that is the largest producer of the major product of the industry that metallurgy is said to be the same as?,Beijing Capital International Airport
