topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_forest,Paimpont forest,owned by,Donatien Levesque,Who was Paimpont forest owned by?,Paimpont forest was owned by the Duke of Brittany,0.0,"['Donatien Levesque', 'Paimpont forest was owned by the Duke of Brittany', 'The King of France', 'The Count of Anjou']",Who is the owner of Paimpont forest?,A. Donatien Levesque  B. The Count of Anjou  C. The King of France  D. Paimpont forest was owned by the Duke of Brittany,A,Was Paimpont forest owned by Donatien Levesque?,Was Paimpont forest owned by the Duke of Brittany?,What is a famous feature of Paimpont forest?,Who owned Donatien Levesque?,What is the profession of the person who Paimpont forest was owned by?,Businessman,Which company was associated with the profession of the person who Paimpont forest was owned by?,Levesque Group,In which industry did the company associated with the profession of the person who Paimpont forest was owned by operate?,Real Estate,In which country did the company operate that was associated with the profession of the person who Paimpont forest was owned by?,France,What is the capital city of the country where the company operated that was associated with the profession of the person who Paimpont forest was owned by?,Paris
geography_forest,Black Forest,made from material,gneiss,What is the made from material of Black Forest?,Wood,0.0,"['gneiss', 'Wood', 'granite', 'sandstone']",What material is the Black Forest made from?,A. gneiss  B. granite  C. sandstone  D. Wood,A,Is the Black Forest made from gneiss?,Is the Black Forest made from Wood?,Where is the Black Forest located?,What is made from gneiss in the Black Forest?,What is the primary mineral component of the material that Black Forest is made from?,quartz,What is the chemical formula of the primary mineral component of the material that Black Forest is made from?,SiO2,What is the crystal system of the primary mineral component of the material that Black Forest is made from?,hexagonal,What is the Mohs hardness of the primary mineral component of the material that Black Forest is made from?,7,What is the specific gravity of the primary mineral component of the material that Black Forest is made from?,2.65
geography_forest,Forest of Dean,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Forest of Dean?,"""Forest of Dean"" - Source: Ancient Woodland",0.0,"['Encyclopædia Britannica 11th edition', 'Forest of Dean - Source: Ancient Woodland', 'Oxford English Dictionary', 'National Geographic']",Which source describes the Forest of Dean?,"A. Oxford English Dictionary  B. ""Forest of Dean"" - Source: Ancient Woodland  C. Encyclopædia Britannica 11th edition  D. National Geographic",C,Is the Forest of Dean described by the Encyclopædia Britannica 11th edition?,Is the Forest of Dean described by the Forest of Dean - Source: Ancient Woodland?,What type of landscape is the Forest of Dean known for?,What does the Encyclopædia Britannica 11th edition describe?,Who was the editor of the described by source of Forest of Dean?,Hugh Chisholm,Which university did the editor of the described by source of Forest of Dean attend?,University of Oxford,In which city is the university located that the editor of the described by source of Forest of Dean attended?,Oxford,In which country is the city located where the university that the editor of the described by source of Forest of Dean attended is situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the editor of the described by source of Forest of Dean attended?,English
geography_forest,Olympic National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Olympic National Forest?,IUCN protected area category: II - National Park,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'IUCN protected area category: II - National Park', 'IUCN category IV: Habitat/Species Management Area', 'IUCN category III: Natural Monument or Feature']",Which IUCN protected areas category does the Olympic National Forest belong to?,A. IUCN category VI: Protected Area with sustainable use of natural resources  B. IUCN category IV: Habitat/Species Management Area  C. IUCN protected area category: II - National Park  D. IUCN category III: Natural Monument or Feature,A,Is the IUCN protected areas category of Olympic National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Olympic National Forest IUCN protected area category: II - National Park?,In which state is the Olympic National Forest located?,Which forest is classified under the IUCN category VI: Protected Area with sustainable use of natural resources?,"What is the primary objective of the IUCN category VI protected areas, which includes Olympic National Forest?",To protect natural ecosystems and use natural resources sustainably.,Which organization is responsible for designating the IUCN protected areas category that includes Olympic National Forest?,International Union for Conservation of Nature (IUCN),In which year was the organization responsible for designating the IUCN protected areas category that includes Olympic National Forest founded?,1948,In which city was the organization responsible for designating the IUCN protected areas category that includes Olympic National Forest founded?,Fontainebleau,In which country is the city located where the organization responsible for designating the IUCN protected areas category that includes Olympic National Forest was founded?,France
geography_forest,Olympic National Forest,located in the administrative territorial entity,Washington,What is the located in the administrative territorial entity of Olympic National Forest?,Port Angeles,0.0,"['Washington', 'Port Angeles', 'Oregon', 'California']",In which administrative territorial entity is the Olympic National Forest located?,A. Port Angeles  B. California  C. Oregon  D. Washington,D,Is the Olympic National Forest located in the administrative territorial entity of Washington?,Is the Olympic National Forest located in the administrative territorial entity of Port Angeles?,What is a famous mountain range located within the Olympic National Forest?,Which forest is located in the administrative territorial entity of Washington?,What is the capital of the state that Olympic National Forest is located in the administrative territorial entity of?,Olympia,What is the population of the capital of the state that Olympic National Forest is located in the administrative territorial entity of?,"52,882",What is the area in square miles of the capital of the state that Olympic National Forest is located in the administrative territorial entity of?,19.68 square miles,What is the name of the county where the capital of the state that Olympic National Forest is located in the administrative territorial entity of is situated?,Thurston County,What is the population of the county where the capital of the state that Olympic National Forest is located in the administrative territorial entity of is situated?,"290,536"
geography_forest,Pine Barrens,located in the administrative territorial entity,New Jersey,What is the located in the administrative territorial entity of Pine Barrens?,Piney,0.0,"['New Jersey', 'Piney', 'Pennsylvania', 'Delaware']",In which administrative territorial entity is Pine Barrens located?,A. Delaware  B. Piney  C. New Jersey  D. Pennsylvania,C,Is Pine Barrens located in the administrative territorial entity of New Jersey?,Is Pine Barrens located in the administrative territorial entity of Piney?,What is a well-known feature of Pine Barrens?,What is New Jersey the administrative territorial entity of?,What is the capital of the administrative territorial entity where Pine Barrens is located?,Trenton,What is the population of the capital of the administrative territorial entity where Pine Barrens is located?,"83,203",What is the area of the capital of the administrative territorial entity where Pine Barrens is located?,8.21 square miles,What is the name of the river that flows through the capital of the administrative territorial entity where Pine Barrens is located?,Delaware River,Which ocean does the river that flows through the capital of the administrative territorial entity where Pine Barrens is located ultimately empty into?,Atlantic Ocean
geography_forest,Sundarbans,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Sundarbans?,Bengal,0.0,"['Encyclopædia Britannica 11th edition', 'Bengal', 'Wikipedia', 'National Geographic']",Which source describes the Sundarbans?,A. National Geographic  B. Wikipedia  C. Encyclopædia Britannica 11th edition  D. Bengal,C,Is the Sundarbans described by the Encyclopædia Britannica 11th edition?,Is the Sundarbans described by Bengal?,What is a notable feature of the Sundarbans?,What does the Encyclopædia Britannica 11th edition describe?,Who was the editor of the described by source of Sundarbans?,Hugh Chisholm,Which university did the editor of the described by source of Sundarbans attend?,University of Oxford,In which city is the university located that the editor of the described by source of Sundarbans attended?,Oxford,In which country is the city located where the university that the editor of the described by source of Sundarbans attended is situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the editor of the described by source of Sundarbans attended?,English
geography_forest,Sundarbans,has part(s),Sundarbans National Park,What does Sundarbans have part(s )?,Mangroves,0.0,"['Sundarbans National Park', 'Mangroves', 'Kaziranga National Park', 'Jim Corbett National Park']",What is a part of the Sundarbans?,A. Kaziranga National Park  B. Sundarbans National Park  C. Mangroves  D. Jim Corbett National Park,B,Does Sundarbans have part(s) Sundarbans National Park?,Does Sundarbans have part(s) Mangroves?,What type of ecosystem is the Sundarbans known for?,What is Sundarbans National Park a part of?,In which country is the Sundarbans National Park located?,India,What is the capital city of the country where the Sundarbans National Park is located?,New Delhi,Which river flows through the capital city of the country where the Sundarbans National Park is located?,Yamuna River,Which major city is located at the confluence of the river that flows through the capital city of the country where the Sundarbans National Park is located?,Allahabad (Prayagraj),In which state is the major city located at the confluence of the river that flows through the capital city of the country where the Sundarbans National Park is located?,Uttar Pradesh
geography_forest,Sherwood Forest,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Sherwood Forest?,Legend,0.0,"['Encyclopædia Britannica 11th edition', 'Legend', 'Wikipedia', 'Oxford Dictionary']",Which source describes Sherwood Forest?,A. Oxford Dictionary  B. Wikipedia  C. Legend  D. Encyclopædia Britannica 11th edition,D,Is the described by source of Sherwood Forest the Encyclopædia Britannica 11th edition?,Is the described by source of Sherwood Forest Legend?,In which country is Sherwood Forest located?,What forest is described by the Encyclopædia Britannica 11th edition?,Who was the editor of the described by source of Sherwood Forest?,Hugh Chisholm,What is the birth year of the editor of the described by source of Sherwood Forest?,1866,In which city was the editor of the described by source of Sherwood Forest born?,London,In which country is the city located where the editor of the described by source of Sherwood Forest was born?,United Kingdom,What is the official language of the country where the city is located that the editor of the described by source of Sherwood Forest was born?,English
geography_forest,Waipoua Forest,located in the administrative territorial entity,Kaipara District,What is the located in the administrative territorial entity of Waipoua Forest?,Waipoua,0.0,"['Kaipara District', 'Waipoua', 'Auckland', 'Northland']",In which administrative territorial entity is Waipoua Forest located?,A. Kaipara District  B. Auckland  C. Waipoua  D. Northland,A,Is Waipoua Forest located in the administrative territorial entity of Kaipara District?,Is Waipoua Forest located in the administrative territorial entity of Waipoua?,What is a famous natural feature found in Waipoua Forest?,Which forest is located in the administrative territorial entity of Kaipara District?,"What is the population of the Kaipara District, where Waipoua Forest is located?","22,100 (as of 2018)","Who is the mayor of the Kaipara District, where Waipoua Forest is located?",Jason Smith,"What is the area in square kilometers of the Kaipara District, where Waipoua Forest is located?","3,115 square kilometers","What is the name of the largest town in the Kaipara District, where Waipoua Forest is located?",Dargaville,"What river flows through the largest town in the Kaipara District, where Waipoua Forest is located?",Northern Wairoa River
geography_forest,Custer National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Custer National Forest?,IUCN protected area category: II - National Park,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'IUCN protected area category: II - National Park', 'IUCN category IV: Habitat/Species Management Area', 'IUCN category III: Natural Monument or Feature']",Which IUCN protected areas category does Custer National Forest belong to?,A. IUCN category VI: Protected Area with sustainable use of natural resources  B. IUCN category IV: Habitat/Species Management Area  C. IUCN category III: Natural Monument or Feature  D. IUCN protected area category: II - National Park,A,Is the IUCN protected areas category of Custer National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Custer National Forest IUCN protected area category: II - National Park?,What state is Custer National Forest located in?,Which national forest is classified under the IUCN category VI: Protected Area with sustainable use of natural resources?,"What is an example of a species that can be found in the Custer National Forest, which is categorized under IUCN category VI?",Grizzly bear,"What is the primary diet of a species that can be found in the Custer National Forest, which is categorized under IUCN category VI?","Omnivorous, including fish, berries, and small mammals","What is the average lifespan in the wild of a species that can be found in the Custer National Forest, which is categorized under IUCN category VI, and has an omnivorous diet?",20-25 years,"In which regions of the United States can a species that can be found in the Custer National Forest, which is categorized under IUCN category VI, and has an omnivorous diet, be typically found?","Northwestern United States, including Montana and Wyoming","What is the conservation status of a species that can be found in the Custer National Forest, which is categorized under IUCN category VI, has an omnivorous diet, and is typically found in the northwestern United States?",Threatened
geography_forest,Bighorn National Forest,located in the administrative territorial entity,Big Horn County,What is the located in the administrative territorial entity of Bighorn National Forest?,Cody,0.0,"['Big Horn County', 'Cody', 'Sheridan County', 'Johnson County']",In which administrative territorial entity is Bighorn National Forest located?,A. Big Horn County  B. Johnson County  C. Cody  D. Sheridan County,A,Is Bighorn National Forest located in Big Horn County?,Is Bighorn National Forest located in Cody?,What is a popular recreational activity in Bighorn National Forest?,Which national forest is located in Big Horn County?,What is the county seat of the administrative territorial entity where Bighorn National Forest is located?,Basin,What is the population of the county seat of the administrative territorial entity where Bighorn National Forest is located?,"1,285 (as of 2020)",What is the area in square miles of the county seat of the administrative territorial entity where Bighorn National Forest is located?,2.03 square miles,What is the elevation in feet of the county seat of the administrative territorial entity where Bighorn National Forest is located?,"3,878 feet",In which time zone is the county seat of the administrative territorial entity where Bighorn National Forest is located?,Mountain Time Zone
geography_forest,Bighorn National Forest,significant place,Sheridan,Who is the significant place of Bighorn National Forest?,Wyoming,0.0,"['Sheridan', 'Wyoming', 'Buffalo', 'Cody']",Which location is significant to Bighorn National Forest?,A. Cody  B. Sheridan  C. Wyoming  D. Buffalo,B,Is Sheridan the significant place of Bighorn National Forest?,Is Wyoming the significant place of Bighorn National Forest?,What state is Bighorn National Forest located in?,Which national forest has Sheridan as a significant place?,What is the population of the significant place of Bighorn National Forest?,"17,444",What is the area in square miles of the significant place of Bighorn National Forest?,10.95 square miles,What is the elevation of the significant place of Bighorn National Forest?,"3,743 feet",In which county is the significant place of Bighorn National Forest located?,Sheridan County,In which state is the county located where the significant place of Bighorn National Forest is situated?,Wyoming
geography_forest,Wildpark Potsdam,located in the administrative territorial entity,Potsdam,What is the located in the administrative territorial entity of Wildpark Potsdam?,Wildpark,0.0,"['Potsdam', 'Wildpark', 'Berlin', 'Brandenburg']",In which administrative territorial entity is Wildpark Potsdam located?,A. Berlin  B. Potsdam  C. Brandenburg  D. Wildpark,B,Is Wildpark Potsdam located in the administrative territorial entity of Potsdam?,Is Wildpark Potsdam located in the administrative territorial entity of Wildpark?,What is a famous landmark or attraction in Wildpark Potsdam?,What administrative territorial entity is Potsdam located in?,What is the state where the administrative territorial entity of Wildpark Potsdam is located?,Brandenburg,What is the capital of the state where the administrative territorial entity of Wildpark Potsdam is located?,Potsdam,What is the population of the capital of the state where the administrative territorial entity of Wildpark Potsdam is located?,"Approximately 180,000",What is the area in square kilometers of the capital of the state where the administrative territorial entity of Wildpark Potsdam is located?,187.28 square kilometers,What is the name of the river that flows through the capital of the state where the administrative territorial entity of Wildpark Potsdam is located?,Havel
geography_forest,Bighorn National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Bighorn National Forest?,IUCN protected area category: II - National Park,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'IUCN protected area category: II - National Park', 'IUCN category IV: Habitat/Species Management Area', 'IUCN category III: Natural Monument or Feature']",Which IUCN protected areas category does Bighorn National Forest belong to?,A. IUCN category III: Natural Monument or Feature  B. IUCN category IV: Habitat/Species Management Area  C. IUCN category VI: Protected Area with sustainable use of natural resources  D. IUCN protected area category: II - National Park,C,Is the IUCN protected areas category of Bighorn National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Bighorn National Forest IUCN protected area category: II - National Park?,In which state is Bighorn National Forest located?,Which national forest is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?,"What is an example of a natural resource sustainably used in the Bighorn National Forest, which is categorized under IUCN category VI?",Timber,"What is a common tree species harvested for timber in the Bighorn National Forest, which is categorized under IUCN category VI?",Ponderosa Pine,"What is a primary use of Ponderosa Pine timber harvested in the Bighorn National Forest, which is categorized under IUCN category VI?",Construction,"Which industry primarily benefits from the construction use of Ponderosa Pine timber harvested in the Bighorn National Forest, which is categorized under IUCN category VI?",Building and Construction Industry,"What is a major city where the building and construction industry benefits from the use of Ponderosa Pine timber harvested in the Bighorn National Forest, which is categorized under IUCN category VI?",Denver
geography_forest,Hardtwald,country,Germany,What is the country of Hardtwald?,Hardtwald is not a country,0.0,"['Germany', 'Hardtwald is not a country', 'France', 'Austria']",Which country is Hardtwald located in?,A. Austria  B. Hardtwald is not a country  C. France  D. Germany,D,Is Germany the country of Hardtwald?,Is Hardtwald not a country?,What is a well-known forest located in Germany?,What forest is located in Germany?,What is the capital of the country of Hardtwald?,Berlin,Who is the current mayor of the capital of the country of Hardtwald?,Kai Wegner,Which political party does the current mayor of the capital of the country of Hardtwald belong to?,Christian Democratic Union (CDU),When was the political party that the current mayor of the capital of the country of Hardtwald belongs to founded?,1945,Who was the first leader of the political party that the current mayor of the capital of the country of Hardtwald belongs to?,Konrad Adenauer
geography_forest,Zeisigwald,country,Germany,What is the country of Zeisigwald?,Zeisigwald does not exist as a real country,0.0,"['Germany', 'Zeisigwald does not exist as a real country', 'France', 'Italy']",Which country is Zeisigwald located in?,A. Italy  B. France  C. Germany  D. Zeisigwald does not exist as a real country,C,Is Germany the country of Zeisigwald?,Is Zeisigwald does not exist as a real country the country of Zeisigwald?,What is a well-known forest in Germany?,What place in Germany is known as Zeisigwald?,What is the capital of the country of Zeisigwald?,Berlin,What is the population of the capital of the country of Zeisigwald?,Approximately 3.6 million,What is the area in square kilometers of the capital of the country of Zeisigwald?,891.8 square kilometers,What is the name of the river that flows through the capital of the country of Zeisigwald?,Spree,What is the length of the river that flows through the capital of the country of Zeisigwald?,400 kilometers
