topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_glacier,Glärnisch,key col,Klausen Pass,Who is the key col of Glärnisch?,Grosser Mythen,0.0,"['Klausen Pass', 'Grosser Mythen', 'Susten Pass', 'Gotthard Pass']",What is the key col of Glärnisch?,A. Gotthard Pass  B. Susten Pass  C. Grosser Mythen  D. Klausen Pass,D,Is Klausen Pass the key col of Glärnisch?,Is Grosser Mythen the key col of Glärnisch?,What is the elevation of Glärnisch?,Which mountain has Klausen Pass as its key col?,In which country is the key col of Glärnisch located?,Switzerland,What is the elevation of the key col of Glärnisch?,"1,948 meters",Which mountain range is the key col of Glärnisch part of?,Glarus Alps,Which canton in Switzerland contains the key col of Glärnisch?,Canton of Glarus,What is the capital of the canton that contains the key col of Glärnisch?,Glarus
geography_glacier,Portage Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Portage Glacier?,Kenai Fjords National Park,0.0,"['Alaska', 'Kenai Fjords National Park', 'Denali National Park', 'Wrangell-St. Elias National Park']",In which administrative territorial entity is Portage Glacier located?,A. Denali National Park  B. Wrangell-St. Elias National Park  C. Alaska  D. Kenai Fjords National Park,C,Is Portage Glacier located in the administrative territorial entity of Alaska?,Is Portage Glacier located in the administrative territorial entity of Kenai Fjords National Park?,What is a famous feature of Portage Glacier?,What glacier is located in the administrative territorial entity of Alaska?,What is the capital of the administrative territorial entity where Portage Glacier is located?,Juneau,What is the population of the capital of the administrative territorial entity where Portage Glacier is located?,"32,255",What is the area in square miles of the capital of the administrative territorial entity where Portage Glacier is located?,"3,254.7 square miles",What is the name of the mayor of the capital of the administrative territorial entity where Portage Glacier is located?,Beth Weldon,What is the name of the high school in the capital of the administrative territorial entity where Portage Glacier is located?,Juneau-Douglas High School
geography_glacier,Gangotri Glacier,located in the administrative territorial entity,Uttarkashi district,What is the located in the administrative territorial entity of Gangotri Glacier?,Uttarakhand,0.0,"['Uttarkashi district', 'Uttarakhand', 'Dehradun', 'Chamoli']",In which administrative territorial entity is Gangotri Glacier located?,A. Uttarakhand  B. Chamoli  C. Dehradun  D. Uttarkashi district,D,Is Gangotri Glacier located in the administrative territorial entity of Uttarkashi district?,Is Gangotri Glacier located in the administrative territorial entity of Uttarakhand?,What is a famous attribute of Gangotri Glacier?,What glacier is located in the administrative territorial entity of Uttarkashi district?,What is the capital of the administrative territorial entity where Gangotri Glacier is located?,Uttarkashi,What is the population of the capital of the administrative territorial entity where Gangotri Glacier is located?,"17,000 (approx.)",What is the primary language spoken in the capital of the administrative territorial entity where Gangotri Glacier is located?,Hindi,What is the main river flowing through the capital of the administrative territorial entity where Gangotri Glacier is located?,Bhagirathi River,What is the main festival celebrated in the capital of the administrative territorial entity where Gangotri Glacier is located?,Magh Mela
geography_glacier,Biafo Glacier,mountain range,Karakoram,What is the mountain range of Biafo Glacier?,Masherbrum,0.0,"['Karakoram', 'Masherbrum', 'Himalayas', 'Andes']",Which mountain range is Biafo Glacier part of?,A. Andes  B. Karakoram  C. Himalayas  D. Masherbrum,B,Is the mountain range of Biafo Glacier the Karakoram?,Is the mountain range of Biafo Glacier the Masherbrum?,What is a well-known feature of the Biafo Glacier?,Which glacier is part of the Karakoram mountain range?,What is the highest peak in the mountain range of Biafo Glacier?,K2,Who was the first person to successfully climb the highest peak in the mountain range of Biafo Glacier?,Achille Compagnoni,In which year did the first person successfully climb the highest peak in the mountain range of Biafo Glacier?,1954,Which country is the highest peak in the mountain range of Biafo Glacier located?,Pakistan,What is the capital city of the country where the highest peak in the mountain range of Biafo Glacier is located?,Islamabad
geography_glacier,Miage Glacier,located in the administrative territorial entity,Courmayeur,What is the located in the administrative territorial entity of Miage Glacier?,Italy,0.0,"['Courmayeur', 'Italy', 'Aosta Valley', 'Mont Blanc']",In which administrative territorial entity is Miage Glacier located?,A. Aosta Valley  B. Italy  C. Courmayeur  D. Mont Blanc,C,Is Miage Glacier located in the administrative territorial entity of Courmayeur?,Is Miage Glacier located in the administrative territorial entity of Italy?,What is a famous mountain near Miage Glacier?,What glacier is located in the administrative territorial entity of Courmayeur?,What is the population of the administrative territorial entity where Miage Glacier is located?,"2,765",What is the area in square kilometers of the administrative territorial entity where Miage Glacier is located?,210.8 km²,What is the elevation in meters of the administrative territorial entity where Miage Glacier is located?,"1,224 meters",What is the region in which the administrative territorial entity where Miage Glacier is located?,Aosta Valley,What is the country in which the region is located that contains the administrative territorial entity where Miage Glacier is located?,Italy
geography_glacier,Skelton Glacier,mountain range,Royal Society Range,What is the mountain range of Skelton Glacier?,Transantarctic Mountains,0.0,"['Royal Society Range', 'Transantarctic Mountains', 'Ellsworth Mountains', 'Queen Maud Mountains']",Which mountain range is Skelton Glacier part of?,A. Queen Maud Mountains  B. Ellsworth Mountains  C. Royal Society Range  D. Transantarctic Mountains,C,Is the mountain range of Skelton Glacier the Royal Society Range?,Is the mountain range of Skelton Glacier the Transantarctic Mountains?,What continent is Skelton Glacier located on?,Which glacier is part of the Royal Society Range?,What is the highest peak in the mountain range of Skelton Glacier?,Mount Lister,Who was the highest peak in the mountain range of Skelton Glacier named after?,Joseph Lister,What was the profession of the person after whom the highest peak in the mountain range of Skelton Glacier was named?,Surgeon,Which country was the person from who was a surgeon and after whom the highest peak in the mountain range of Skelton Glacier was named?,United Kingdom,What is the capital city of the country where the person was from who was a surgeon and after whom the highest peak in the mountain range of Skelton Glacier was named?,London
geography_glacier,Juneau Icefield,has part(s),Devils Paw,What does Juneau Icefield have part(s )?,Glaciers,0.0,"['Devils Paw', 'Glaciers', 'Mendenhall Glacier', 'Taku Glacier']",What is a part of the Juneau Icefield?,A. Taku Glacier  B. Devils Paw  C. Mendenhall Glacier  D. Glaciers,B,Does Juneau Icefield have Devils Paw as a part?,Does Juneau Icefield have Glaciers as a part?,What is a well-known feature of the Juneau Icefield?,What icefield is Devils Paw a part of?,"What is the elevation of Devils Paw, which is a part of Juneau Icefield?","8,584 feet","In which mountain range is Devils Paw, which is a part of Juneau Icefield, located?",Boundary Ranges,"Which larger mountain system includes the Boundary Ranges, where Devils Paw, a part of Juneau Icefield, is located?",Coast Mountains,"In which two countries are the Coast Mountains, which include the Boundary Ranges where Devils Paw, a part of Juneau Icefield, is located?",Canada and the United States,"Which ocean is closest to the Coast Mountains, which include the Boundary Ranges where Devils Paw, a part of Juneau Icefield, is located?",Pacific Ocean
geography_glacier,Baltoro Glacier,located in the administrative territorial entity,Gilgit-Baltistan,What is the located in the administrative territorial entity of Baltoro Glacier?,Pakistan,0.0,"['Gilgit-Baltistan', 'Pakistan', 'Khyber Pakhtunkhwa', 'Azad Kashmir']",In which administrative territorial entity is the Baltoro Glacier located?,A. Khyber Pakhtunkhwa  B. Azad Kashmir  C. Gilgit-Baltistan  D. Pakistan,C,Is the Baltoro Glacier located in Gilgit-Baltistan?,Is the Baltoro Glacier located in Pakistan?,What is a famous mountain range associated with the Baltoro Glacier?,Which glacier is located in the administrative territorial entity of Gilgit-Baltistan?,What is the capital of the administrative territorial entity where Baltoro Glacier is located?,Gilgit,What is the population of the capital of the administrative territorial entity where Baltoro Glacier is located?,"216,760",What is the primary language spoken in the capital of the administrative territorial entity where Baltoro Glacier is located?,Shina,What is the primary religion practiced in the capital of the administrative territorial entity where Baltoro Glacier is located?,Islam,What is the main economic activity in the capital of the administrative territorial entity where Baltoro Glacier is located?,Agriculture
geography_glacier,Öræfajökull,time period,Pleistocene,What is the time period of Öræfajökull?,Holocene,0.0,"['Pleistocene', 'Holocene', 'Miocene', 'Eocene']",During which time period did Öræfajökull form?,A. Holocene  B. Pleistocene  C. Miocene  D. Eocene,B,Is the time period of Öræfajökull the Pleistocene?,Is the time period of Öræfajökull the Holocene?,What type of geological feature is Öræfajökull?,Which volcano formed during the Pleistocene?,What is a significant event that occurred during the time period of Öræfajökull?,The last Ice Age,What species went extinct during the significant event that occurred during the time period of Öræfajökull?,Woolly Mammoth,In which region were the species that went extinct during the significant event that occurred during the time period of Öræfajökull primarily found?,Northern Hemisphere,What type of climate characterized the region where the species that went extinct during the significant event that occurred during the time period of Öræfajökull were primarily found?,Cold and glacial,What type of vegetation was common in the climate that characterized the region where the species that went extinct during the significant event that occurred during the time period of Öræfajökull were primarily found?,Tundra vegetation
geography_glacier,Biafo Glacier,located in the administrative territorial entity,Gilgit-Baltistan,What is the located in the administrative territorial entity of Biafo Glacier?,Pakistan,0.0,"['Gilgit-Baltistan', 'Pakistan', 'Khyber Pakhtunkhwa', 'Azad Kashmir']",In which administrative territorial entity is Biafo Glacier situated?,A. Khyber Pakhtunkhwa  B. Azad Kashmir  C. Gilgit-Baltistan  D. Pakistan,C,Is Biafo Glacier located in the administrative territorial entity of Gilgit-Baltistan?,Is Biafo Glacier located in the administrative territorial entity of Pakistan?,What is a notable feature of Biafo Glacier?,Which glacier is located in the administrative territorial entity of Gilgit-Baltistan?,What is the capital of the administrative territorial entity where Biafo Glacier is located?,Gilgit,Which river flows through the capital of the administrative territorial entity where Biafo Glacier is located?,Gilgit River,What is the length of the river that flows through the capital of the administrative territorial entity where Biafo Glacier is located?,240 km,Which mountain range is near the river that flows through the capital of the administrative territorial entity where Biafo Glacier is located?,Karakoram Range,What is the highest peak in the mountain range near the river that flows through the capital of the administrative territorial entity where Biafo Glacier is located?,K2
