topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
entertainment_anime,Holo no Graffiti,main subject,VTuber,VTuber,What is the main subject of Holo no Graffiti?,Graffiti (Holo),0.0,"['VTuber', 'Graffiti (Holo)', 'Anime', 'Manga']",What is the primary focus of Holo no Graffiti?,A. VTuber  B. Graffiti (Holo)  C. Anime  D. Manga,A,Is the main subject of Holo no Graffiti VTuber?,Is the main subject of Holo no Graffiti Graffiti (Holo)?,What type of content is Holo no Graffiti known for?,Which series has VTuber as its main subject?,Who is a popular VTuber featured in Holo no Graffiti?,Gawr Gura,What is the debut date of the popular VTuber featured in Holo no Graffiti?,"September 13, 2020",Which agency manages the popular VTuber featured in Holo no Graffiti?,Hololive Production,Who is the CEO of the agency that manages the popular VTuber featured in Holo no Graffiti?,Tanigo Motoaki,In which country is the agency headquartered that manages the popular VTuber featured in Holo no Graffiti?,Japan
entertainment_anime,Lupin VIII,country of origin,Japan,Japan,What is the country of origin of Lupin VIII?,France,0.0,"['Japan', 'France', 'Italy', 'Germany']",Which country is Lupin VIII originally from?,A. France  B. Germany  C. Japan  D. Italy,C,Is the country of origin of Lupin VIII Japan?,Is the country of origin of Lupin VIII France?,What is a well-known characteristic of Lupin VIII?,Who is originally from Japan?,What is the capital of the country of origin of Lupin VIII?,Tokyo,What is the population of the capital of the country of origin of Lupin VIII?,Approximately 14 million,What is the area in square kilometers of the capital of the country of origin of Lupin VIII?,"2,194 square kilometers",What is the name of the famous tower located in the capital of the country of origin of Lupin VIII?,Tokyo Tower,What year was the famous tower located in the capital of the country of origin of Lupin VIII completed?,1958
entertainment_anime,The Black Cat,genre,animated film,animated film,What is the genre of The Black Cat?,Gothic,0.0,"['animated film', 'Gothic', 'horror', 'comedy']",Which genre does The Black Cat belong to?,A. horror  B. animated film  C. comedy  D. Gothic,B,Is the genre of The Black Cat an animated film?,Is the genre of The Black Cat Gothic?,Who is the author of The Black Cat?,What animated film has the genre of The Black Cat?,Who is the director of the animated film The Black Cat?,Alfred Werker,What other film did the director of the animated film The Black Cat direct?,He Walked by Night,Who starred in the film that the director of the animated film The Black Cat also directed?,Richard Basehart,Which television series did the star of the film that the director of the animated film The Black Cat also directed appear in?,Voyage to the Bottom of the Sea,Who created the television series that the star of the film that the director of the animated film The Black Cat also directed appeared in?,Irwin Allen
entertainment_anime,Euphoria,developer,CLOCKUP,CLOCKUP,What is the developer of Euphoria?,Sucker Punch Productions,0.0,"['CLOCKUP', 'Sucker Punch Productions', 'Naughty Dog', 'Rockstar Games']",Who developed Euphoria?,A. Rockstar Games  B. Naughty Dog  C. Sucker Punch Productions  D. CLOCKUP,D,Is CLOCKUP the developer of Euphoria?,Is Sucker Punch Productions the developer of Euphoria?,What genre is the game Euphoria known for?,What game was developed by CLOCKUP?,What is another game developed by the developer of Euphoria?,Alicesoft,What is the genre of another game developed by the developer of Euphoria?,Visual novel,What is the release year of the genre of another game developed by the developer of Euphoria?,2010,Who is the publisher of the game released in 2010 that is of the same genre as another game developed by the developer of Euphoria?,JAST USA,In which country is the publisher located that published the game released in 2010 of the same genre as another game developed by the developer of Euphoria?,United States
entertainment_anime,Peeping Life,distributed by,Crunchyroll,Crunchyroll,What was Peeping Life distributed by?,Peeping Life was distributed by Channel 4 (UK),0.0,"['Crunchyroll', 'Channel 4 (UK)', 'Netflix', 'Hulu']",Who was the distributor of Peeping Life?,A. Peeping Life was distributed by Channel 4 (UK)  B. Crunchyroll  C. Netflix  D. Hulu,B,Was Peeping Life distributed by Crunchyroll?,Was Peeping Life distributed by Channel 4 (UK)?,What genre is Peeping Life known for?,What series was distributed by Crunchyroll?,What is the parent company of the distributor of Peeping Life?,Sony,What is the headquarters location of the parent company of the distributor of Peeping Life?,"Minato, Tokyo, Japan","Who is the CEO of the parent company whose headquarters is located in Minato, Tokyo, Japan, and which distributes Peeping Life?",Kenichiro Yoshida,"Which university did the CEO of the parent company whose headquarters is located in Minato, Tokyo, Japan, and which distributes Peeping Life attend?",Hitotsubashi University,"In which city is the university located that the CEO of the parent company whose headquarters is in Minato, Tokyo, Japan, and which distributes Peeping Life attended?",Tokyo
entertainment_anime,Holo no Graffiti,producer,Hololive Production,Hololive Production,What is the producer of Holo no Graffiti?,A-1 Pictures,0.0,"['Hololive Production', 'A-1 Pictures', 'Toei Animation', 'Madhouse']",Who is responsible for producing Holo no Graffiti?,A. A-1 Pictures  B. Madhouse  C. Toei Animation  D. Hololive Production,D,Is Hololive Production the producer of Holo no Graffiti?,Is A-1 Pictures the producer of Holo no Graffiti?,What type of content is Holo no Graffiti known for?,What does Hololive Production produce?,Who is the CEO of the producer of Holo no Graffiti?,Tanigo Motoaki,Which company did the CEO of the producer of Holo no Graffiti found?,Cover Corp,In which year was the company founded by the CEO of the producer of Holo no Graffiti established?,2016,In which country is the company founded by the CEO of the producer of Holo no Graffiti headquartered?,Japan,What is the primary industry of the company headquartered in the country where the company founded by the CEO of the producer of Holo no Graffiti is located?,Virtual YouTubers and entertainment
entertainment_anime,Aikatsu on Parade!,production company,Bandai Namco Pictures,Bandai Namco Pictures,What is the production company of Aikatsu on Parade!?,Sunrise,0.0,"['Bandai Namco Pictures', 'Sunrise', 'Toei Animation', 'Madhouse']",Which company produced Aikatsu on Parade!?,A. Madhouse  B. Sunrise  C. Toei Animation  D. Bandai Namco Pictures,D,Is Bandai Namco Pictures the production company of Aikatsu on Parade!?,Is Sunrise the production company of Aikatsu on Parade!?,What genre is Aikatsu on Parade! known for?,Which anime was produced by Bandai Namco Pictures?,Who is the CEO of the production company of Aikatsu on Parade!?,Masayuki Ozaki,Which university did the CEO of the production company of Aikatsu on Parade! attend?,Waseda University,In which city is the university located that the CEO of the production company of Aikatsu on Parade! attended?,Tokyo,In which country is the city located where the university that the CEO of the production company of Aikatsu on Parade! attended?,Japan,What is the official language of the country where the city is located that contains the university the CEO of the production company of Aikatsu on Parade! attended?,Japanese
entertainment_anime,Kinnikuman Nisei,main subject,sport,sport,What is the main subject of Kinnikuman Nisei?,Kinnikuman Nisei's main subject is professional wrestling,0.0,"['sport', ""Kinnikuman Nisei's main subject is professional wrestling"", 'adventure', 'comedy']",What is the primary focus of Kinnikuman Nisei?,A. Kinnikuman Nisei's main subject is professional wrestling  B. comedy  C. adventure  D. sport,D,Is the main subject of Kinnikuman Nisei sport?,Is the main subject of Kinnikuman Nisei professional wrestling?,What genre does Kinnikuman Nisei belong to?,Which series has sport as its main subject?,What is the name of the sport that is the main subject of Kinnikuman Nisei?,professional wrestling,Who is the main character involved in the sport that is the main subject of Kinnikuman Nisei?,Kid Muscle,Who is the father of the main character involved in the sport that is the main subject of Kinnikuman Nisei?,Kinnikuman,What is the real name of the father of the main character involved in the sport that is the main subject of Kinnikuman Nisei?,Suguru Kinniku,Which planet is the father of the main character involved in the sport that is the main subject of Kinnikuman Nisei from?,Planet Kinniku
entertainment_anime,Power DoLLS: Detachment of Limited Line Service,genre,turn-based tactics,turn-based tactics,What is the genre of Power DoLLS: Detachment of Limited Line Service?,Visual Novel,0.0,"['turn-based tactics', 'Visual Novel', 'real-time strategy', 'role-playing game']",Which genre does Power DoLLS: Detachment of Limited Line Service belong to?,A. turn-based tactics  B. Visual Novel  C. role-playing game  D. real-time strategy,A,Is the genre of Power DoLLS: Detachment of Limited Line Service turn-based tactics?,Is the genre of Power DoLLS: Detachment of Limited Line Service Visual Novel?,What is the primary gameplay style of Power DoLLS: Detachment of Limited Line Service?,Which game belongs to the turn-based tactics genre?,What is a popular game similar in genre to Power DoLLS: Detachment of Limited Line Service?,XCOM: Enemy Unknown,Who is the developer of a popular game similar in genre to Power DoLLS: Detachment of Limited Line Service?,Firaxis Games,What is another game developed by the developer of a popular game similar in genre to Power DoLLS: Detachment of Limited Line Service?,Sid Meier's Civilization VI,What is the release year of another game developed by the developer of a popular game similar in genre to Power DoLLS: Detachment of Limited Line Service?,2016,Which platform is another game developed by the developer of a popular game similar in genre to Power DoLLS: Detachment of Limited Line Service available on?,PC
entertainment_anime,JK-Meshi!,distribution format,video on demand,video on demand,What is the distribution format of JK-Meshi!?,.json,0.0,"['video on demand', '.json', 'broadcast television', 'DVD']",In what format is JK-Meshi! distributed?,A. DVD  B. .json  C. video on demand  D. broadcast television,C,Is the distribution format of JK-Meshi! video on demand?,Is the distribution format of JK-Meshi! .json?,What genre is JK-Meshi! known for?,Which show is distributed in the format of video on demand?,Which company provides the video on demand distribution format of JK-Meshi!?,Crunchyroll,In which year did the company that provides the video on demand distribution format of JK-Meshi! start its service?,2006,Who were the founders of the company that started its service in 2006 and provides the video on demand distribution format of JK-Meshi!?,"Kun Gao, Brandon Ooi, Vu Nguyen, and James Lin",Which university did one of the founders of the company that provides the video on demand distribution format of JK-Meshi! attend?,"University of California, Berkeley",In which city is the university located that one of the founders of the company providing the video on demand distribution format of JK-Meshi! attended?,Berkeley
