subjectLabel,relation,objectLabel
television,different from,Internet television
floristry,practiced by,florist
television,patron saint,Clare of Assisi
television,practiced by,announcer
television,history of topic,history of television
radio communications,history of topic,history of radio
biotechnology,practiced by,biotechnologist
biotechnology,described by source,Lean Logic
radio communications,subclass of,telecommunication
technology,has contributing factor,applied science
technology,practiced by,technologist
subscription television,different from,pay-per-view
technology,history of topic,history of technology
technology,is the study of,technique
technology,uses,technique
technology,manifestation of,applied science
technology,has characteristic,technological singularity
cosmetics industry,product or material produced or service provided,cosmetics
music industry,product or material produced or service provided,music
technology,described by source,The Verge
construction materials industry,subclass of,construction industry
biotechnology,subclass of,technology
subscription television,subclass of,subscription business model
pipeline transport,subclass of,transport
financial audit,practiced by,statutory auditor
biotechnology industry,facet of,biotechnology
mass media,history of topic,media history
financial audit,subclass of,audit
biotechnology industry,has part(s),biotechnologist
mass media,product or material produced or service provided,information
mass media,part of,social communication
construction materials industry,instance of,industry
mass media,practiced by,media profession
music industry,instance of,industry
cosmetics industry,instance of,industry
aviation,part of,transportation industry
subscription television,instance of,industry
mass media,different from,news media
construction industry,different from,construction
environmental technology,instance of,industry
construction industry,said to be the same as,construction
glass production,product or material produced or service provided,glass
industrial engineering,practiced by,industrial engineer
light industry,opposite of,heavy industry
dairy industry,product or material produced or service provided,dairy product
dairy industry,field of work,dairying
light industry,subclass of,manufacturing
construction industry,subclass of,construction
glass production,subclass of,manufacturing
petrochemical industry,part of,chemical industry
biotechnology industry,instance of,industry
money creation,product or material produced or service provided,money
money creation,facet of,money
land transport,part of,transport
industrial engineering,subclass of,engineering
money creation,described by source,Brockhaus and Efron Encyclopedic Dictionary
petrochemical industry,subclass of,chemical industry
land transport,uses,land vehicle
land transport,location,Earth's surface
journalism,history of topic,history of journalism
land transport,subclass of,transport
construction industry,instance of,industry
coal industry,described by source,The SAGE Encyclopedia of Cancer and Society
light industry,instance of,industry
industrial engineering,instance of,industry
coal industry,different from,mining of coal
foundry,described by source,Brockhaus and Efron Encyclopedic Dictionary
cultural industry,has use,culture
coal industry,subclass of,mining and quarrying
plant breeding,facet of,history of civilization
architectural firm,industry,architecture
plant breeding,practiced by,plant breeder
journalism,subclass of,activity
architectural firm,practiced by,architect
cultural industry,product or material produced or service provided,cultural artifact
plant breeding,described by source,Encyclopædia Britannica 11th edition
health care industry,field of work,health care
health care industry,said to be the same as,human health activities
glass production,instance of,industry
woodworking,described by source,Brockhaus and Efron Encyclopedic Dictionary
woodworking,different from,wood processing
health care industry,part of,health system
facility management,part of,real estate economics
petrochemical industry,instance of,industry
facility management,facet of,management science
skateboarding,uses,skateboard
security guard,has immediate cause,group of humans
facility management,subclass of,management
printing,used by,Protestant Reformation
printing,product or material produced or service provided,printed matter
printing,industry,poligraphy
skateboarding,subclass of,Olympic sport
home automation,subclass of,automation
fintech,has use,financial services
fintech,part of,financial sector
printing,uses,printing machine
academic publishing,facet of,scholarly communication
architectural firm,instance of,industry
fintech,subclass of,technology
health care industry,instance of,industry
woodworking,instance of,industry
social entrepreneurship,instance of,industry
printing,subclass of,printing technique
information and communications technology,facet of,information technology
academic publishing,subclass of,publishing
academic publishing,has part(s),academic journal
information and communications technology,part of,information infrastructure
metallurgy,practiced by,metallurgist
metallurgy,said to be the same as,metal industry
cultural industry,instance of,industry
home automation,instance of,industry
electronics,studied in,engineering
electronics,different from,fluidics
facility management,instance of,industry
information and communications technology,subclass of,technology
culture industry,instance of,industry
electronics,has part(s),electronic circuit
life sciences,said to be the same as,biology
