topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
health_symptom,tunnel vision,afflicts,peripheral vision,What does tunnel vision afflict?,Brain,0.0,"['Peripheral vision', 'Brain', 'Central vision', 'Hearing']",What is affected by tunnel vision?,A. Hearing  B. peripheral vision  C. Central vision  D. Brain,B,Does tunnel vision afflict peripheral vision?,Does tunnel vision afflict the brain?,What is a common symptom of tunnel vision?,What afflicts peripheral vision?,What is a common cause of the condition that tunnel vision afflicts?,Glaucoma,What is a common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Eye drops,What is the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Prostaglandin analogs,Which pharmaceutical company manufactures a common treatment containing the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,Pfizer,In which country is the headquarters of the pharmaceutical company that manufactures a common treatment containing the active ingredient in the common treatment for the condition that is a common cause of the condition that tunnel vision afflicts?,United States
health_symptom,fatigue,health specialty,primary care,What is the health specialty of fatigue?,Sleep,0.0,"['primary care', 'Sleep', 'Cardiology', 'Neurology']",Which medical specialty deals with fatigue?,A. Cardiology  B. primary care  C. Sleep  D. Neurology,B,Is the health specialty of fatigue primary care?,Is the health specialty of fatigue Sleep?,What is a common symptom associated with fatigue?,What condition is associated with primary care?,Who is a well-known expert in the health specialty of fatigue?,Dr. Michael Sharpe,Which university is associated with a well-known expert in the health specialty of fatigue?,University of Oxford,In which country is the university associated with a well-known expert in the health specialty of fatigue located?,United Kingdom,What is the name of a notable research center at the university associated with a well-known expert in the health specialty of fatigue?,Oxford Centre for Clinical Trials Research,What is one of the primary research focuses of the notable research center at the university associated with a well-known expert in the health specialty of fatigue?,Chronic Fatigue Syndrome
health_symptom,bleeding gums,health specialty,oral and maxillofacial surgery,What is the health specialty of bleeding gums?,Periodontology,0.0,"['oral and maxillofacial surgery', 'Periodontology', 'Endodontics', 'Orthodontics']",Which health specialty deals with bleeding gums?,A. Orthodontics  B. Periodontology  C. oral and maxillofacial surgery  D. Endodontics,C,Is the health specialty of bleeding gums oral and maxillofacial surgery?,Is the health specialty of bleeding gums Periodontology?,What is a common symptom associated with bleeding gums?,What condition is treated by oral and maxillofacial surgery?,What is a common treatment provided by the health specialty of bleeding gums?,Tooth extraction,What is a common complication that can occur after the treatment provided by the health specialty of bleeding gums?,Dry socket,What is a common symptom of the complication that can occur after the treatment provided by the health specialty of bleeding gums?,Severe pain,What is a common medication prescribed to alleviate the symptom of the complication that can occur after the treatment provided by the health specialty of bleeding gums?,Pain relievers,What is a common side effect of the medication prescribed to alleviate the symptom of the complication that can occur after the treatment provided by the health specialty of bleeding gums?,Drowsiness
health_symptom,gummatous syphilis,health specialty,infectious diseases,What is the health specialty of gummatous syphilis?,Dermatology,0.0,"['Infectious diseases', 'Dermatology', 'Cardiology', 'Neurology']",Which medical specialty deals with gummatous syphilis?,A. Cardiology  B. Dermatology  C. Neurology  D. infectious diseases,D,Is the health specialty of gummatous syphilis infectious diseases?,Is the health specialty of gummatous syphilis dermatology?,What is a common symptom associated with gummatous syphilis?,What condition is associated with the health specialty of infectious diseases?,What is a common treatment for the health specialty of gummatous syphilis?,Penicillin,Who discovered the common treatment for the health specialty of gummatous syphilis?,Alexander Fleming,In which year was the common treatment for the health specialty of gummatous syphilis discovered?,1928,Which institution was associated with the discovery of the common treatment for the health specialty of gummatous syphilis?,"St. Mary's Hospital, London",In which city is the institution located that was associated with the discovery of the common treatment for the health specialty of gummatous syphilis?,London
health_symptom,red eye,afflicts,conjunctiva,What does red eye afflict?,Red eye,0.0,"['conjunctiva', 'Red eye', 'cornea', 'retina']",What part of the body is affected by red eye?,A. retina  B. Red eye  C. cornea  D. conjunctiva,D,Does red eye afflict the conjunctiva?,Does red eye afflict Red eye?,What is a common symptom of red eye?,What afflicts the conjunctiva?,What is a common symptom of the condition that red eye afflicts?,Eye redness,What is a common cause of the symptom of the condition that red eye afflicts?,Allergies,What is a common treatment for the cause of the symptom of the condition that red eye afflicts?,Antihistamines,What is a common side effect of the treatment for the cause of the symptom of the condition that red eye afflicts?,Drowsiness,What is a common remedy for the side effect of the treatment for the cause of the symptom of the condition that red eye afflicts?,Caffeine
health_symptom,red eye,health specialty,ophthalmology,What is the health specialty of red eye?,Red eye,0.0,"['ophthalmology', 'Red eye', 'dermatology', 'cardiology']",Which medical field specializes in treating red eye?,A. dermatology  B. Red eye  C. ophthalmology  D. cardiology,C,Is the health specialty of red eye ophthalmology?,Is the health specialty of red eye Red eye?,What is a common symptom associated with red eye?,What condition does ophthalmology specialize in treating?,What is a common diagnostic tool used in the health specialty of red eye?,Slit lamp,Who invented the common diagnostic tool used in the health specialty of red eye?,Hermann von Helmholtz,In which year was the common diagnostic tool used in the health specialty of red eye invented?,1851,Which university did the inventor of the common diagnostic tool used in the health specialty of red eye attend?,University of Königsberg,In which country is the university located that the inventor of the common diagnostic tool used in the health specialty of red eye attended?,Germany
health_symptom,bone fracture,health specialty,osteology,What is the health specialty of bone fracture?,Orthopedic,0.0,"['Osteology', 'Orthopedic', 'Cardiology', 'Neurology']",Which medical field specializes in bone fractures?,A. Orthopedic  B. Neurology  C. osteology  D. Cardiology,C,Is the health specialty of bone fracture osteology?,Is the health specialty of bone fracture orthopedic?,What is a common treatment method for bone fractures?,What condition does osteology specialize in?,What is a common treatment method in the health specialty of bone fracture?,Casting,What material is commonly used in the common treatment method in the health specialty of bone fracture?,Plaster,What is a common complication that can arise from using the material commonly used in the common treatment method in the health specialty of bone fracture?,Compartment syndrome,What is a common symptom of the common complication that can arise from using the material commonly used in the common treatment method in the health specialty of bone fracture?,Severe pain,What is a common medication used to treat the common symptom of the common complication that can arise from using the material commonly used in the common treatment method in the health specialty of bone fracture?,Analgesics
health_symptom,distraction,does not have characteristic,intention,What does distraction do not have characteristic?,None,0.0,"['intention', 'None', 'focus', 'clarity']",What characteristic is missing in distraction?,A. intention  B. clarity  C. focus  D. None,A,Does distraction lack the characteristic of intention?,Does distraction lack the characteristic of None?,What is a common effect of distraction?,What does intention not have characteristic of?,What is an example of something that has the characteristic that distraction does not have?,Focus,"What is a common technique to achieve the characteristic that distraction does not have, which is exemplified by focus?",Meditation,"Who is a well-known proponent of the technique to achieve the characteristic that distraction does not have, which is exemplified by focus?",Jon Kabat-Zinn,"What book did the well-known proponent of the technique to achieve the characteristic that distraction does not have, which is exemplified by focus, write?",Full Catastrophe Living,"In what year was the book written by the well-known proponent of the technique to achieve the characteristic that distraction does not have, which is exemplified by focus, published?",1990
health_symptom,Webbed neck,health specialty,medical genetics,What is the health specialty of Webbed neck?,Plastic,0.0,"['medical genetics', 'Plastic', 'Dermatology', 'Orthopedics']",Which medical field specializes in Webbed neck?,A. medical genetics  B. Plastic  C. Dermatology  D. Orthopedics,A,Is the health specialty of Webbed neck medical genetics?,Is the health specialty of Webbed neck Plastic?,What is a common symptom associated with Webbed neck?,What condition is associated with the health specialty of medical genetics?,What is a common syndrome associated with the health specialty of Webbed neck?,Turner syndrome,What is a common symptom of the syndrome associated with the health specialty of Webbed neck?,Short stature,What is a common treatment for the symptom of the syndrome associated with the health specialty of Webbed neck?,Growth hormone therapy,Which hormone is commonly used in the treatment for the symptom of the syndrome associated with the health specialty of Webbed neck?,Somatropin,Which gland produces the hormone commonly used in the treatment for the symptom of the syndrome associated with the health specialty of Webbed neck?,Pituitary gland
health_symptom,heat exhaustion,has cause,hot,What does heat exhaustion have cause?,Heat exhaustion causes:  * Dehydration,0.0,"['hot', 'Dehydration', 'cold', 'fatigue']",What is the cause of heat exhaustion?,A. hot  B. cold  C. fatigue  D. Heat exhaustion causes:  * Dehydration,A,Does heat exhaustion have the cause hot?,Does heat exhaustion have the cause Dehydration?,What is a common symptom of heat exhaustion?,What does hot cause?,What is a common symptom of the condition that heat exhaustion has cause?,Heavy sweating,What is a recommended treatment for the common symptom of the condition that heat exhaustion has cause?,Drinking cool water,What is a potential complication if the common symptom of the condition that heat exhaustion has cause is not treated?,Heat stroke,What is a common symptom of the potential complication if the common symptom of the condition that heat exhaustion has cause is not treated?,High body temperature,What is a recommended immediate action if someone shows a common symptom of the potential complication if the common symptom of the condition that heat exhaustion has cause is not treated?,Call emergency services
