topic,subject,relation,object,question,output_llama_2_7b_chat_hf,eval_llama_2_7b_chat_hf,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Libya,replaces,Great Socialist People's Libyan Arab Jamahiriya,What does Libya replace?,Libya replaces Muammar Gaddafi,0.0,"[""Great Socialist People's Libyan Arab Jamahiriya"", 'Libya replaces Muammar Gaddafi', 'Kingdom of Libya', 'Libyan Arab Republic']",What did Libya take the place of?,A. Great Socialist People's Libyan Arab Jamahiriya  B. Libyan Arab Republic  C. Kingdom of Libya  D. Libya replaces Muammar Gaddafi,A,Does Libya replace Great Socialist People's Libyan Arab Jamahiriya?,Does Libya replace Muammar Gaddafi?,What is the capital city of Libya?,What replaces Great Socialist People's Libyan Arab Jamahiriya?,Who replaced the leader of Libya?,Fayez al-Sarraj,Which organization did the person who replaced the leader of Libya lead?,Government of National Accord,In which year was the organization led by the person who replaced the leader of Libya established?,2015,Which country recognized the organization established in 2015 and led by the person who replaced the leader of Libya?,United Nations,Where is the headquarters of the organization recognized by the United Nations and led by the person who replaced the leader of Libya?,Tripoli
places_country,Poland,head of government,Donald Tusk,Who is the head of government of Poland?,Mateusz Morawiecki,0.0,"['Donald Tusk', 'Mateusz Morawiecki', 'Andrzej Duda', 'Lech Kaczyński']",Who serves as the head of government in Poland?,A. Donald Tusk  B. Andrzej Duda  C. Lech Kaczyński  D. Mateusz Morawiecki,A,Is Donald Tusk the head of government of Poland?,Is Mateusz Morawiecki the head of government of Poland?,What is the capital city of Poland?,Of which country is Donald Tusk the head of government?,Who is the spouse of the head of government of Poland?,Iwona Morawiecka,Which university did the spouse of the head of government of Poland attend?,University of Wrocław,In which city is the university that the spouse of the head of government of Poland attended located?,Wrocław,In which voivodeship is the city located where the university that the spouse of the head of government of Poland attended is situated?,Lower Silesian Voivodeship,In which country is the voivodeship located where the city is situated that contains the university the spouse of the head of government of Poland attended?,Poland
places_country,Indonesia,highest judicial authority,Supreme Court of the Republic of Indonesia,What is the highest judicial authority of Indonesia?,Constitutional Court,0.0,"['Supreme Court of the Republic of Indonesia', 'Constitutional Court', 'National Assembly', 'Presidential Office']",Which institution serves as the highest judicial authority in Indonesia?,A. Supreme Court of the Republic of Indonesia  B. Presidential Office  C. National Assembly  D. Constitutional Court,A,Is the Supreme Court of the Republic of Indonesia the highest judicial authority of Indonesia?,Is the Constitutional Court the highest judicial authority of Indonesia?,What is the capital city of Indonesia?,Which country has the Supreme Court of the Republic of Indonesia as its highest judicial authority?,Who is the chief justice of the highest judicial authority in Indonesia?,Muhammad Syarifuddin,Which university did the chief justice of the highest judicial authority in Indonesia attend?,Sriwijaya University,In which city is the university located that the chief justice of the highest judicial authority in Indonesia attended?,Palembang,In which province is the city located where the university attended by the chief justice of the highest judicial authority in Indonesia is situated?,South Sumatra,In which country is the province located where the city is situated that contains the university attended by the chief justice of the highest judicial authority in Indonesia?,Indonesia
places_country,Saint Vincent and the Grenadines,head of state,Charles III of the United Kingdom,Who is the head of state of Saint Vincent and the Grenadines?,Prime Minister Ralph Gonsalves,0.0,"['Charles III of the United Kingdom', 'Prime Minister Ralph Gonsalves', 'Queen Elizabeth II', 'Governor-General Susan Dougan']",Who serves as the head of state for Saint Vincent and the Grenadines?,A. Governor-General Susan Dougan  B. Charles III of the United Kingdom  C. Queen Elizabeth II  D. Prime Minister Ralph Gonsalves,B,Is Charles III of the United Kingdom the head of state of Saint Vincent and the Grenadines?,Is Prime Minister Ralph Gonsalves the head of state of Saint Vincent and the Grenadines?,What is the capital city of Saint Vincent and the Grenadines?,Of which country is Charles III of the United Kingdom the head of state?,Who is the spouse of the head of state of Saint Vincent and the Grenadines?,Eloise Gonsalves,What is the profession of the spouse of the head of state of Saint Vincent and the Grenadines?,Educator,Which institution did the spouse of the head of state of Saint Vincent and the Grenadines work for?,St. Vincent Girls' High School,In which city is the institution located where the spouse of the head of state of Saint Vincent and the Grenadines worked?,Kingstown,In which country is the city located where the institution is situated that the spouse of the head of state of Saint Vincent and the Grenadines worked?,Saint Vincent and the Grenadines
places_country,United States of America,said to be the same as,Union,What did United States of America say to be the same as?,"""Independence""",0.0,"['Union', 'Independence', 'Confederation', 'Republic']",What did the United States of America claim to be equivalent to?,"A. Union  B. ""Independence""  C. Republic  D. Confederation",A,Did the United States of America say to be the same as the Union?,Did the United States of America say to be the same as Independence?,What is the capital city of the United States of America?,What country is said to be the same as the Union?,What is the capital of the country that is said to be the same as the United States of America?,"Washington, D.C.",Which river flows through the capital of the country that is said to be the same as the United States of America?,Potomac River,What is the name of the major airport located near the river that flows through the capital of the country that is said to be the same as the United States of America?,Ronald Reagan Washington National Airport,Which airline has a hub at the major airport located near the river that flows through the capital of the country that is said to be the same as the United States of America?,American Airlines,What is the name of the frequent flyer program of the airline that has a hub at the major airport located near the river that flows through the capital of the country that is said to be the same as the United States of America?,AAdvantage
places_country,Bahrain,head of government,"Salman bin Hamad, Crown Prince of Bahrain",Who is the head of government of Bahrain?,King Hamad bin Isa Al Khalifa,0.0,"['Salman bin Hamad, Crown Prince of Bahrain', 'King Hamad bin Isa Al Khalifa', 'Khalifa bin Salman Al Khalifa', 'Prince Khalifa bin Salman']",Who serves as the head of government in Bahrain?,"A. King Hamad bin Isa Al Khalifa  B. Salman bin Hamad, Crown Prince of Bahrain  C. Khalifa bin Salman Al Khalifa  D. Prince Khalifa bin Salman",B,"Is Salman bin Hamad, Crown Prince of Bahrain, the head of government of Bahrain?",Is King Hamad bin Isa Al Khalifa the head of government of Bahrain?,What is the capital city of Bahrain?,"Who is Salman bin Hamad, Crown Prince of Bahrain, the head of government of?",Who is the spouse of the head of government of Bahrain?,Sabika bint Ibrahim Al Khalifa,Which university did the spouse of the head of government of Bahrain attend?,University of Bahrain,In which city is the university that the spouse of the head of government of Bahrain attended located?,Zallaq,In which governorate is the city located where the university that the spouse of the head of government of Bahrain attended is situated?,Southern Governorate,In which country is the governorate located where the city is situated that contains the university the spouse of the head of government of Bahrain attended?,Bahrain
places_country,Estonia,railway traffic side,right,What is the railway traffic side of Estonia?,Estonian,0.0,"['right', 'Estonian', 'left', 'north']",On which side does railway traffic operate in Estonia?,A. right  B. Estonian  C. left  D. north,A,Is the railway traffic side of Estonia the right side?,Is the railway traffic side of Estonia Estonian?,What is the capital city of Estonia?,Which country has the railway traffic side on the right?,Which country has the same railway traffic side as Estonia?,Russia,What is the capital city of the country that has the same railway traffic side as Estonia?,Moscow,Which river flows through the capital city of the country that has the same railway traffic side as Estonia?,Moskva River,What is the length of the river that flows through the capital city of the country that has the same railway traffic side as Estonia?,502 km,Into which larger body of water does the river that flows through the capital city of the country with the same railway traffic side as Estonia eventually drain?,Oka River
places_country,Bangladesh,anthem,Amar Sonar Bangla,Who does Bangladesh anthem?,Bangladesh,0.0,"['Amar Sonar Bangla', 'Bangladesh', 'Jana Gana Mana', 'God Save the Queen']",What is the national anthem of Bangladesh?,A. Jana Gana Mana  B. God Save the Queen  C. Amar Sonar Bangla  D. Bangladesh,C,Is Amar Sonar Bangla the anthem of Bangladesh?,Is Bangladesh the anthem of Bangladesh?,What is the capital city of Bangladesh?,Which country's anthem is Amar Sonar Bangla?,Who wrote the anthem of Bangladesh?,Rabindranath Tagore,Which country was the writer of the anthem of Bangladesh born in?,India,In which city was the writer of the anthem of Bangladesh born?,Kolkata,Which river flows through the city where the writer of the anthem of Bangladesh was born?,Hooghly River,Into which larger river does the river that flows through the city where the writer of the anthem of Bangladesh was born eventually flow?,Ganges River
places_country,Vietnam,head of state,Võ Văn Thưởng,Who is the head of state of Vietnam?,President,0.0,"['Võ Văn Thưởng', 'President', 'Nguyễn Phú Trọng', 'Nguyễn Xuân Phúc']",Who holds the position of head of state in Vietnam?,A. Võ Văn Thưởng  B. President  C. Nguyễn Xuân Phúc  D. Nguyễn Phú Trọng,A,Is Võ Văn Thưởng the head of state of Vietnam?,Is President the head of state of Vietnam?,What is the capital city of Vietnam?,Who is the head of state that Võ Văn Thưởng represents?,Who is the spouse of the head of state of Vietnam?,Nguyen Thi Hien,Which university did the spouse of the head of state of Vietnam attend?,Hanoi University of Science and Technology,In which city is the university that the spouse of the head of state of Vietnam attended located?,Hanoi,In which district is the city located where the university that the spouse of the head of state of Vietnam attended is situated?,Hai Ba Trung District,In which country is the district located where the city is situated that contains the university the spouse of the head of state of Vietnam attended?,Vietnam
places_country,Botswana,anthem,Fatshe leno la rona,Who does Botswana anthem?,Batswana,0.0,"['Fatshe leno la rona', 'Batswana', ""Nkosi Sikelel' iAfrika"", 'God Save the Queen']",What is the anthem of Botswana?,A. Batswana  B. God Save the Queen  C. Nkosi Sikelel' iAfrika  D. Fatshe leno la rona,D,Is Fatshe leno la rona the anthem of Botswana?,Is Batswana the anthem of Botswana?,What is the capital city of Botswana?,Which country's anthem is Fatshe leno la rona?,Who composed the anthem of Botswana?,Kgalemang Tumediso Motsete,What is the title of the anthem of Botswana composed by Kgalemang Tumediso Motsete?,Fatshe leno la rona,"In which year was the anthem of Botswana, 'Fatshe leno la rona', adopted?",1966,Which event in Botswana's history coincided with the adoption of its anthem 'Fatshe leno la rona' in 1966?,Independence from the United Kingdom,Who was the first president of Botswana when the country gained independence and adopted its anthem in 1966?,Seretse Khama
