topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_city,Quito,patron saint,Francis of Assisi,Francis of Assisi,Who is the patron saint of Quito?,Guadalupe,0.0,"['Francis of Assisi', 'Guadalupe', 'Saint Peter', 'Saint Paul']",Who serves as the patron saint of Quito?,A. Saint Paul  B. Guadalupe  C. Francis of Assisi  D. Saint Peter,C,Is Francis of Assisi the patron saint of Quito?,Is Guadalupe the patron saint of Quito?,What is the capital city of Ecuador?,Of which city is Francis of Assisi the patron saint?,What is the feast day of the patron saint of Quito?,December 8,Which religious event is celebrated on the feast day of the patron saint of Quito?,Feast of the Immaculate Conception,Which church doctrine is associated with the religious event celebrated on the feast day of the patron saint of Quito?,Immaculate Conception,Which Pope declared the doctrine associated with the religious event celebrated on the feast day of the patron saint of Quito?,Pope Pius IX,In which year did the Pope declare the doctrine associated with the religious event celebrated on the feast day of the patron saint of Quito?,1854
places_city,Santa Catarina,country,Mexico,Mexico,What is the country of Santa Catarina?,Brazil,0.0,"['Mexico', 'Brazil', 'Argentina', 'Chile']",Which country is Santa Catarina located in?,A. Chile  B. Argentina  C. Mexico  D. Brazil,C,Is the country of Santa Catarina Mexico?,Is the country of Santa Catarina Brazil?,What is the capital city of Santa Catarina?,Which region in Mexico is Santa Catarina?,What is the capital of the country where Santa Catarina is located?,Brasília,Who is the current president of the country whose capital is Brasília?,Luiz Inácio Lula da Silva,Which political party does the current president of the country whose capital is Brasília belong to?,Workers' Party,In which year was the political party founded that the current president of the country whose capital is Brasília belongs to?,1980,In which city was the political party founded that the current president of the country whose capital is Brasília belongs to?,São Paulo
places_city,Sharjah,head of government,Sultan bin Mohamed Al-Qasimi,Sultan bin Mohamed Al-Qasimi,Who is the head of government of Sharjah?,Rashid bin Al-Saeed (Sheikh),0.0,"['Sultan bin Mohamed Al-Qasimi', 'Rashid bin Al-Saeed (Sheikh)', 'Khalifa bin Zayed Al Nahyan', 'Mohammed bin Rashid Al Maktoum']",Who serves as the head of government in Sharjah?,A. Mohammed bin Rashid Al Maktoum  B. Sultan bin Mohamed Al-Qasimi  C. Rashid bin Al-Saeed (Sheikh)  D. Khalifa bin Zayed Al Nahyan,B,Is Sultan bin Mohamed Al-Qasimi the head of government of Sharjah?,Is Rashid bin Al-Saeed (Sheikh) the head of government of Sharjah?,What is a famous landmark in Sharjah?,Who is Sultan bin Mohamed Al-Qasimi the head of government of?,Who is the spouse of the head of government of Sharjah?,Jawaher bint Mohammed Al Qasimi,What organization is the spouse of the head of government of Sharjah associated with?,Supreme Council for Family Affairs,In which year was the organization associated with the spouse of the head of government of Sharjah established?,1982,Who was the ruler of Sharjah when the organization associated with the spouse of the head of government of Sharjah was established?,Sultan bin Muhammad Al-Qasimi,What is the title of the ruler of Sharjah who was in power when the organization associated with the spouse of the head of government of Sharjah was established?,Sheikh
places_city,Viborg,head of government,Ulrik Wilbek,Ulrik Wilbek,Who is the head of government of Viborg?,"I'm sorry for any inconvenience, but I'm unable to",0.0,"['Ulrik Wilbek', ""I'm sorry for any inconvenience, but I'm unable to"", 'Lars Rasmussen', 'Mette Frederiksen']",Who holds the position of head of government in Viborg?,"A. Lars Rasmussen  B. Ulrik Wilbek  C. I'm sorry for any inconvenience, but I'm unable to  D. Mette Frederiksen",B,Is Ulrik Wilbek the head of government of Viborg?,"Is I'm sorry for any inconvenience, but I'm unable to the head of government of Viborg?",What is a famous landmark in Viborg?,Who is governed by Ulrik Wilbek?,What is the title of the head of government of Viborg?,Mayor,Who is the current Mayor of Viborg?,Ulrik Wilbek,"Which sport did the current Mayor of Viborg, Ulrik Wilbek, coach?",Handball,Which national team did Ulrik Wilbek coach in handball?,Denmark,In which year did Ulrik Wilbek become the head coach of the Danish national handball team?,2005
places_city,Chicoutimi,founded by,Peter McLeod,Peter McLeod,Who was Chicoutimi founded by?,Intendant Thomas Tonty,0.0,"['Peter McLeod', 'Intendant Thomas Tonty', 'Samuel de Champlain', 'Jean Talon']",Who established Chicoutimi?,A. Samuel de Champlain  B. Intendant Thomas Tonty  C. Jean Talon  D. Peter McLeod,D,Was Chicoutimi founded by Peter McLeod?,Was Chicoutimi founded by Intendant Thomas Tonty?,What is a notable feature or landmark in Chicoutimi?,Who did Peter McLeod found?,Who was the spouse of the person who founded Chicoutimi?,Marie Rollet,Which country did the spouse of the person who founded Chicoutimi originate from?,France,What is the capital city of the country where the spouse of the person who founded Chicoutimi originated from?,Paris,Which river flows through the capital city of the country where the spouse of the person who founded Chicoutimi originated from?,Seine,Into which body of water does the river that flows through the capital city of the country where the spouse of the person who founded Chicoutimi originated from empty?,English Channel
places_city,Randers,head of government,Torben Hansen,Torben Hansen,Who is the head of government of Randers?,The head of government of Randers is not specified at a national level. It,0.0,"['Torben Hansen', 'The head of government of Randers is not specified at a national level.', 'Jens Jensen', 'Mette Frederiksen']",Who holds the position of head of government in Randers?,A. Jens Jensen  B. Mette Frederiksen  C. Torben Hansen  D. The head of government of Randers is not specified at a national level. It,C,Is Torben Hansen the head of government of Randers?,Is the head of government of Randers not specified at a national level?,What is a well-known landmark or attraction in Randers?,Who is Torben Hansen the head of government of?,What is the political party of the head of government of Randers?,Social Democrats,Who is the leader of the political party of the head of government of Randers?,Mette Frederiksen,What is the official title of the leader of the political party of the head of government of Randers?,Prime Minister of Denmark,Which country is governed by the Prime Minister of Denmark?,Denmark,What is the capital city of the country governed by the Prime Minister of Denmark?,Copenhagen
places_city,Ruhengeri,located in time zone,Kigali,Kigali,What is the located in time zone of Ruhengeri?,Eastern Africa Time (EAT),0.0,"['Kigali', 'Eastern Africa Time (EAT)', 'Central Africa Time (CAT)', 'Greenwich Mean Time (GMT)']",In which time zone is Ruhengeri located?,A. Central Africa Time (CAT)  B. Greenwich Mean Time (GMT)  C. Eastern Africa Time (EAT)  D. Kigali,D,Is Ruhengeri located in the Kigali time zone?,Is Ruhengeri located in the Eastern Africa Time (EAT) time zone?,What is a well-known landmark or feature in Ruhengeri?,Which city is located in the time zone of Kigali?,What is the capital city of the country where Ruhengeri is located in the time zone?,Kigali,What is the population of the capital city of the country where Ruhengeri is located in the time zone?,1.13 million,What is the main language spoken in the capital city of the country where Ruhengeri is located in the time zone?,Kinyarwanda,"What is the currency used in the country where the capital city is located, which is in the same time zone as Ruhengeri?",Rwandan franc,"What is the name of the central bank that issues the currency used in the country where the capital city is located, which is in the same time zone as Ruhengeri?",National Bank of Rwanda
places_city,Strzelin,named after,arrow,arrow,What was Strzelin named after?,River Strzelna,0.0,"['arrow', 'River Strzelna', 'mountain', 'forest']",What is the origin of the name Strzelin?,A. River Strzelna  B. forest  C. arrow  D. mountain,C,Was Strzelin named after an arrow?,Was Strzelin named after the River Strzelna?,What is a notable landmark or feature in Strzelin?,Which place was named after an arrow?,Who is Strzelin named after?,Saint Nicholas,What is the feast day of the person Strzelin is named after?,December 6,Which country celebrates the feast day of the person Strzelin is named after on December 6?,Germany,What is the capital city of the country that celebrates the feast day of the person Strzelin is named after on December 6?,Berlin,Which river flows through the capital city of the country that celebrates the feast day of the person Strzelin is named after on December 6?,Spree
places_city,Pisa,nominated for,Italian capital of culture C.E.2016,Italian capital of culture C.E.2016,What was Pisa nominated for?,World Heritage Site,0.0,"['Italian capital of culture C.E.2016', 'World Heritage Site', 'European Capital of Culture', 'UNESCO Creative City']",For what title was Pisa nominated?,A. Italian capital of culture C.E.2016  B. European Capital of Culture  C. UNESCO Creative City  D. World Heritage Site,A,Was Pisa nominated for Italian capital of culture C.E.2016?,Was Pisa nominated for World Heritage Site?,What famous leaning tower is located in Pisa?,Which city was nominated for Italian capital of culture C.E.2016?,Who was nominated for an award in Pisa?,Galileo Galilei,What field did the person nominated for an award in Pisa contribute to?,Astronomy,What is one significant discovery made by the person who contributed to astronomy and was nominated for an award in Pisa?,The moons of Jupiter,Which planet's moons were discovered by the person who contributed to astronomy and was nominated for an award in Pisa?,Jupiter,What is the largest moon of the planet whose moons were discovered by the person who contributed to astronomy and was nominated for an award in Pisa?,Ganymede
places_city,Ordu,replaces,Kotyora,Kotyora,What does Ordu replace?,Replaces a word or phrase with a synonym,0.0,"['Kotyora', 'Replaces a word or phrase with a synonym', 'Sinope', 'Trebizond']",What location does Ordu replace?,A. Sinope  B. Replaces a word or phrase with a synonym  C. Trebizond  D. Kotyora,D,Does Ordu replace Kotyora?,Does Ordu replace a word or phrase with a synonym?,What is a notable feature of Ordu?,What replaces Kotyora?,Who is the current leader that Ordu replaces?,Nurettin Canikli,Which political party does the current leader that Ordu replaces belong to?,Justice and Development Party,Who is the founder of the political party that the current leader Ordu replaces belongs to?,Recep Tayyip Erdoğan,What is the birth year of the founder of the political party that the current leader Ordu replaces belongs to?,1954,In which city was the founder of the political party that the current leader Ordu replaces belongs to born?,Istanbul
