topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
technology_software,runc,operating system,Linux,Linux,What is the operating system of runc?,Container runtime engine (runc) does not have an operating system. It',0.0,"['Linux', 'Container runtime engine (runc) does not have an operating system.', 'Windows', 'macOS']",Which operating system does runc use?,A. macOS  B. Container runtime engine (runc) does not have an operating system. It'  C. Linux  D. Windows,C,Is the operating system of runc Linux?,Is the operating system of runc Container runtime engine (runc) does not have an operating system.?,What is the primary function of runc?,Which container runtime engine uses Linux as its operating system?,Who is the creator of the operating system of runc?,Linus Torvalds,What is the nationality of the creator of the operating system of runc?,Finnish,What is the capital city of the country of the creator of the operating system of runc?,Helsinki,What is the population of the capital city of the country of the creator of the operating system of runc?,"Approximately 631,695",What is the official language spoken in the capital city of the country of the creator of the operating system of runc?,Finnish
technology_software,Private Internet Access,industry,software development,software development,What is the industry of Private Internet Access?,Technology,0.0,"['software development', 'Internet Service Provider', 'telecommunications', 'cybersecurity']",In which industry does Private Internet Access operate?,A. Technology  B. software development  C. cybersecurity  D. telecommunications,B,Is the industry of Private Internet Access software development?,Is the industry of Private Internet Access Internet Service Provider?,What is a well-known feature of Private Internet Access?,Which company operates in the software development industry?,What is a popular product in the industry of Private Internet Access?,VPN service,What is the primary function of a popular product in the industry of Private Internet Access?,To provide online privacy and security,Which protocol is commonly used by the primary function of a popular product in the industry of Private Internet Access?,OpenVPN,Who developed the protocol commonly used by the primary function of a popular product in the industry of Private Internet Access?,James Yonan,"In which year was the protocol developed by James Yonan, commonly used by the primary function of a popular product in the industry of Private Internet Access, released?",2001
technology_software,ITVX,operating system,Microsoft Windows,Microsoft Windows,What is the operating system of ITVX?,Unspecified (as of my last update),0.0,"['Microsoft Windows', 'Unspecified (as of my last update)', 'Linux', 'macOS']",Which operating system does ITVX use?,A. Unspecified (as of my last update)  B. Microsoft Windows  C. macOS  D. Linux,B,Is the operating system of ITVX Microsoft Windows?,Is the operating system of ITVX Unspecified (as of my last update)?,What type of content does ITVX primarily offer?,Which platform uses Microsoft Windows as its operating system?,Who is the founder of the operating system of ITVX?,Bill Gates,What is the name of the company founded by the founder of the operating system of ITVX?,Microsoft,In which year was the company founded by the founder of the operating system of ITVX established?,1975,In which city was the company founded by the founder of the operating system of ITVX established?,Albuquerque,In which state is the city located where the company founded by the founder of the operating system of ITVX was established?,New Mexico
technology_software,The Marvellous Miss Take,genre,stealth game,stealth game,What is the genre of The Marvellous Miss Take?,Comedy,0.0,"['stealth game', 'Comedy', 'action-adventure', 'puzzle']",Which genre does The Marvellous Miss Take belong to?,A. action-adventure  B. stealth game  C. puzzle  D. Comedy,B,Is the genre of The Marvellous Miss Take a stealth game?,Is the genre of The Marvellous Miss Take Comedy?,Who is the main character in The Marvellous Miss Take?,Which game is a stealth game?,Who is the developer of the stealth game The Marvellous Miss Take?,Wonderstruck,What other game was developed by the developer of the stealth game The Marvellous Miss Take?,Boundless,What is the genre of the other game developed by the developer of the stealth game The Marvellous Miss Take?,sandbox game,"Which platform is the sandbox game, developed by the developer of the stealth game The Marvellous Miss Take, available on?",PC,"Which company published the sandbox game available on PC, developed by the developer of the stealth game The Marvellous Miss Take?",Square Enix
technology_software,age,operating system,Microsoft Windows,Microsoft Windows,What is the operating system of age?,Age is not an operating system. It's an object or concept representing a,0.0,"['Microsoft Windows', ""Age is not an operating system. It's an object or concept representing a"", 'Linux', 'macOS']",Which operating system is associated with age?,A. Age is not an operating system. It's an object or concept representing a  B. macOS  C. Linux  D. Microsoft Windows,D,Is Microsoft Windows the operating system of age?,Is Age is not an operating system. It's an object or concept representing a the operating system of age?,What is a common feature of Microsoft Windows?,What is the age of Microsoft Windows?,Who is the developer of the operating system of age?,Microsoft,Who is the current CEO of the developer of the operating system of age?,Satya Nadella,Which university did the current CEO of the developer of the operating system of age attend for their undergraduate studies?,Manipal Institute of Technology,In which country is the university located where the current CEO of the developer of the operating system of age attended for their undergraduate studies?,India,What is the official language of the country where the university is located that the current CEO of the developer of the operating system of age attended for their undergraduate studies?,Hindi
technology_software,Tintin in Tibet,developer,Infogrames,Infogrames,What is the developer of Tintin in Tibet?,Hergé,0.0,"['Infogrames', 'Hergé', 'Ubisoft', 'Electronic Arts']",Who developed Tintin in Tibet?,A. Electronic Arts  B. Infogrames  C. Hergé  D. Ubisoft,B,Is Infogrames the developer of Tintin in Tibet?,Is Hergé the developer of Tintin in Tibet?,What is the main setting of Tintin in Tibet?,What game did Infogrames develop?,What is the headquarters location of the developer of Tintin in Tibet?,"Lyon, France",What is the population of the city where the headquarters of the developer of Tintin in Tibet is located?,"Approximately 515,695",What is the name of the river that flows through the city where the headquarters of the developer of Tintin in Tibet is located?,Rhône,What is the length of the river that flows through the city where the headquarters of the developer of Tintin in Tibet is located?,813 kilometers,Which sea does the river that flows through the city where the headquarters of the developer of Tintin in Tibet is located empty into?,Mediterranean Sea
technology_software,f.lux,language of work or name,English,English,What is the language of work or name of f.lux?,f.lux: Language not applicable (software),0.0,"['English', 'f.lux: Language not applicable (software)', 'Spanish', 'French']",In which language is f.lux primarily developed or named?,A. French  B. f.lux: Language not applicable (software)  C. English  D. Spanish,C,Is the language of work or name of f.lux English?,Is the language of work or name of f.lux f.lux: Language not applicable (software)?,What is the primary function of the f.lux software?,What software is primarily developed or named in English?,What is the country where the language of work or name of f.lux is predominantly spoken?,United States,What is the capital city of the country where the language of work or name of f.lux is predominantly spoken?,"Washington, D.C.",What is the population of the capital city of the country where the language of work or name of f.lux is predominantly spoken?,"Approximately 700,000",What is the name of the river that flows through the capital city of the country where the language of work or name of f.lux is predominantly spoken?,Potomac River,What is the length of the river that flows through the capital city of the country where the language of work or name of f.lux is predominantly spoken?,405 miles
technology_software,BIOS,discoverer or inventor,Gary Kildall,Gary Kildall,Who is the discoverer or inventor of BIOS?,Edward Roberts,0.0,"['Gary Kildall', 'Edward Roberts', 'Bill Gates', 'Steve Jobs']",Who invented or discovered BIOS?,A. Bill Gates  B. Gary Kildall  C. Edward Roberts  D. Steve Jobs,B,Is Gary Kildall the discoverer or inventor of BIOS?,Is Edward Roberts the discoverer or inventor of BIOS?,What is a well-known contribution of Gary Kildall to the field of computing?,Who was discovered or invented by Gary Kildall?,What company did the discoverer or inventor of BIOS found?,Digital Research Inc.,What was the primary product of the company founded by the discoverer or inventor of BIOS?,CP/M,In which year was the primary product of the company founded by the discoverer or inventor of BIOS released?,1974,Which major computer manufacturer adopted the primary product of the company founded by the discoverer or inventor of BIOS?,IBM,What was the name of the operating system that the major computer manufacturer adopted after the primary product of the company founded by the discoverer or inventor of BIOS?,PC DOS
technology_software,Archeblade,language of work or name,English,English,What is the language of work or name of Archeblade?,ArcheAge,0.0,"['English', 'ArcheAge', 'Spanish', 'French']",In which language is Archeblade created?,A. French  B. ArcheAge  C. Spanish  D. English,D,Is the language of work or name of Archeblade English?,Is the language of work or name of Archeblade ArcheAge?,What genre does the game Archeblade belong to?,Which game has English as its language of work or name?,Who is the developer of the game that has English as the language of work or name and is called Archeblade?,Codebrush Games,In which country is the developer located that developed the game with English as the language of work or name and is called Archeblade?,South Korea,What is the capital city of the country where the developer is located that developed the game with English as the language of work or name and is called Archeblade?,Seoul,What is the population of the capital city of the country where the developer is located that developed the game with English as the language of work or name and is called Archeblade?,Approximately 9.7 million,"What is the area in square kilometers of the capital city with a population of approximately 9.7 million, located in the country where the developer of the game with English as the language of work or name and is called Archeblade is situated?",605.21 square kilometers
technology_software,Small World 2,input device,touchscreen,touchscreen,What is the input device of Small World 2?,"Mouse, Keyboard",0.0,"['touchscreen', 'Mouse', 'Keyboard', 'Trackpad']",Which input device is used for Small World 2?,"A. Mouse, Keyboard  B. Trackpad  C. touchscreen  D. Keyboard",C,Is the input device of Small World 2 a touchscreen?,"Is the input device of Small World 2 a Mouse, Keyboard?",What genre does Small World 2 belong to?,Which game uses a touchscreen as its input device?,What is the primary function of the input device of Small World 2?,To detect and respond to touch gestures,Which company manufactures the input device that has the primary function to detect and respond to touch gestures for Small World 2?,Apple,What is the headquarters location of the company that manufactures the input device with the primary function to detect and respond to touch gestures for Small World 2?,"Cupertino, California",In which country is the headquarters located of the company that manufactures the input device with the primary function to detect and respond to touch gestures for Small World 2?,United States,"What is the name of the CEO of the company headquartered in Cupertino, California, that manufactures the input device with the primary function to detect and respond to touch gestures for Small World 2?",Tim Cook
